,A_Open,A_High,A_Low,A_Close,A_Adj Close,A_Volume,A_Dividend Amount,A_Split Coefficient
2024-11-01,139.135,140.97,135.27,136.87,136.87,2074418,0.0,1.0
2024-10-31,130.67,131.44,129.86,130.31,130.31,1596089,0.0,1.0
2024-10-30,131.66,134.11,131.14,131.49,131.49,1550574,0.0,1.0
2024-10-29,131.14,132.29,130.56,131.23,131.23,941585,0.0,1.0
2024-10-28,131.75,132.23,130.34,131.54,131.54,1739863,0.0,1.0
2024-10-25,131.18,131.71,129.35,130.19,130.19,1248591,0.0,1.0
2024-10-24,133.14,133.31,130.69,130.69,130.69,1830078,0.0,1.0
2024-10-23,133.27,134.3,131.36,133.03,133.03,1657530,0.0,1.0
2024-10-22,134.69,134.75,131.98,133.46,133.46,1822734,0.0,1.0
2024-10-21,138.35,138.81,136.22,136.76,136.76,975947,0.0,1.0
2024-10-18,138.53,139.52,137.2375,138.83,138.83,1185274,0.0,1.0
2024-10-17,141.81,142.53,136.48,137.42,137.42,1592884,0.0,1.0
2024-10-16,141.51,142.565,138.44,139.11,139.11,1702132,0.0,1.0
2024-10-15,144.35,146.66,144.068,144.58,144.58,1251198,0.0,1.0
2024-10-14,144.0,145.07,142.82,144.25,144.25,1765112,0.0,1.0
2024-10-11,143.06,145.055,143.06,143.82,143.82,1427375,0.0,1.0
2024-10-10,143.21,144.41,142.595,142.74,142.74,1288934,0.0,1.0
2024-10-09,145.03,145.5899,144.18,144.8,144.8,634673,0.0,1.0
2024-10-08,144.0,145.24,143.84,144.61,144.61,914968,0.0,1.0
2024-10-07,144.13,144.4499,142.83,143.89,143.89,836738,0.0,1.0
2024-10-04,146.2,146.56,144.2,144.97,144.97,1001140,0.0,1.0
2024-10-03,145.43,145.98,144.09,144.55,144.55,1100049,0.0,1.0
2024-10-02,146.27,147.65,145.11,146.54,146.54,1200066,0.0,1.0
2024-10-01,148.19,148.19,144.02,146.56,146.56,1408643,0.236,1.0
2024-09-30,147.7,148.83,146.71,148.48,148.241292678275,1408312,0.0,1.0
2024-09-27,147.18,150.08,147.18,148.06,147.821967901033,2213029,0.0,1.0
2024-09-26,141.26,146.96,140.54,146.74,146.504090029701,2149759,0.0,1.0
2024-09-25,141.97,142.835,139.21,139.44,139.215826044306,1437304,0.0,1.0
2024-09-24,140.1,143.27,139.31,141.87,141.641919398349,1930083,0.0,1.0
2024-09-23,141.15,141.15,138.6007,139.79,139.565263358675,2179480,0.0,1.0
2024-09-20,141.21,141.3952,137.88,140.09,139.864781056705,2613595,0.0,1.0
2024-09-19,141.85,143.44,141.455,141.95,141.72179078449,1225954,0.0,1.0
2024-09-18,138.5,141.0,137.43,139.01,138.786517343797,1390546,0.0,1.0
2024-09-17,138.66,139.775,137.39,138.35,138.127578408131,1210176,0.0,1.0
2024-09-16,138.28,139.78,137.495,138.31,138.08764271506,887044,0.0,1.0
2024-09-13,136.81,137.61,136.365,137.31,137.089250388294,917759,0.0,1.0
2024-09-12,138.2,138.62,134.25,136.39,136.170729447669,1616489,0.0,1.0
