,ACC_Open,ACC_High,ACC_Low,ACC_Close,ACC_Adj Close,ACC_Volume,ACC_Dividend Amount,ACC_Split Coefficient
2022-08-09,65.37,65.46,65.37,65.42,65.42,18855710,0.0,1.0
2022-08-08,65.41,65.42,65.37,65.37,65.37,3017037,0.0,1.0
2022-08-05,65.41,65.41,65.38,65.4,65.4,1940820,0.0,1.0
2022-08-04,65.38,65.425,65.36,65.39,65.39,5737887,0.0,1.0
2022-08-03,65.33,65.4,65.33,65.38,65.38,2126027,0.0,1.0
2022-08-02,65.34,65.365,65.31,65.34,65.34,1321387,0.0,1.0
2022-08-01,65.34,65.38,65.3,65.31,65.31,3142349,0.0,1.0
2022-07-29,65.35,65.35,65.32,65.32,65.32,1999344,0.0,1.0
2022-07-28,65.34,65.39,65.31,65.33,65.33,1483720,0.0,1.0
2022-07-27,65.29,65.32,65.29,65.31,65.31,1195129,0.0,1.0
2022-07-26,65.24,65.34,65.23,65.28,65.28,1770956,0.0,1.0
2022-07-25,65.26,65.265,65.175,65.2,65.2,1372995,0.0,1.0
2022-07-22,65.29,65.3,65.23,65.25,65.25,744567,0.0,1.0
2022-07-21,65.17,65.32,65.17,65.32,65.32,1034829,0.0,1.0
2022-07-20,65.15,65.2,65.15,65.2,65.2,2633417,0.0,1.0
2022-07-19,65.17,65.2,65.13,65.18,65.18,1321828,0.0,1.0
2022-07-18,65.02,65.19,65.02,65.12,65.12,1111227,0.0,1.0
2022-07-15,64.92,65.12,64.91,65.11,65.11,1039999,0.0,1.0
2022-07-14,64.85,64.98,64.78,64.86,64.86,1626743,0.0,1.0
2022-07-13,64.8,64.94,64.76,64.89,64.89,980985,0.0,1.0
2022-07-12,64.9,64.96,64.8,64.8,64.8,1086653,0.0,1.0
2022-07-11,64.94,64.98,64.91,64.91,64.91,1175251,0.0,1.0
2022-07-08,64.95,64.97,64.87,64.91,64.91,636975,0.0,1.0
2022-07-07,64.86,64.98,64.83,64.88,64.88,852404,0.0,1.0
2022-07-06,64.88,65.03,64.7,64.81,64.81,1779745,0.0,1.0
2022-07-05,64.65,64.93,64.54,64.91,64.91,1472346,0.0,1.0
2022-07-01,64.48,64.8,64.48,64.74,64.74,1347066,0.0,1.0
2022-06-30,64.55,64.65,64.39,64.47,64.47,2463348,0.0,1.0
2022-06-29,64.47,64.78,64.45,64.61,64.61,1275644,0.0,1.0
2022-06-28,64.69,64.7,64.41,64.67,64.67,1628765,0.0,1.0
2022-06-27,64.55,64.735,64.42,64.62,64.62,1992085,0.0,1.0
2022-06-24,64.5,64.555,64.37,64.47,64.47,2387698,0.0,1.0
2022-06-23,64.23,64.54,64.155,64.43,64.43,2291257,0.0,1.0
2022-06-22,64.06,64.16,63.84,64.11,64.11,3720256,0.0,1.0
2022-06-21,64.49,64.71,63.995,64.11,64.11,4324709,0.0,1.0
2022-06-17,64.4,64.59,64.11,64.23,64.23,2892599,0.0,1.0
2022-06-16,64.42,64.53,63.985,64.1,64.1,2699655,0.0,1.0
2022-06-15,64.4,64.76,64.3,64.52,64.52,2080326,0.0,1.0
2022-06-14,64.45,64.61,64.33,64.42,64.42,2461643,0.0,1.0
2022-06-13,64.75,64.79,64.16,64.3,64.3,3527555,0.0,1.0
2022-06-10,64.72,64.92,64.69,64.77,64.77,1480810,0.0,1.0
2022-06-09,64.76,64.895,64.68,64.77,64.77,1597973,0.0,1.0
2022-06-08,64.85,64.85,64.66,64.73,64.73,2108514,0.0,1.0
2022-06-07,64.95,65.01,64.74,64.76,64.76,3205174,0.0,1.0
2022-06-06,65.05,65.14,64.81,64.89,64.89,2503934,0.0,1.0
2022-06-03,65.06,65.22,65.0,65.15,65.15,3123565,0.0,1.0
2022-06-02,64.92,65.13,64.92,65.08,65.08,1797073,0.0,1.0
