,ACN_Open,ACN_High,ACN_Low,ACN_Close,ACN_Adj Close,ACN_Volume,ACN_Dividend Amount,ACN_Split Coefficient
2024-10-07,360.0,362.0,355.85,356.8,356.8,1536791,0.0,1.0
2024-10-04,364.2,367.79,359.8232,362.24,362.24,2131552,0.0,1.0
2024-10-03,359.55,364.45,359.325,361.24,361.24,3646268,0.0,1.0
2024-10-02,352.71,357.19,351.34,356.29,356.29,2421257,0.0,1.0
2024-10-01,354.99,354.99,349.9,351.98,351.98,1827309,0.0,1.0
2024-09-30,348.5,354.06,347.72,353.48,353.48,2425021,0.0,1.0
2024-09-27,356.33,358.34,349.3,349.7,349.7,2575382,0.0,1.0
2024-09-26,355.01,363.99,349.7,355.81,355.81,4454991,0.0,1.0
2024-09-25,335.14,339.75,334.16,337.05,337.05,3552701,0.0,1.0
2024-09-24,337.94,340.62,335.28,339.62,339.62,2842859,0.0,1.0
2024-09-23,337.38,339.44,334.05,339.21,339.21,1998526,0.0,1.0
2024-09-20,332.32,336.35,331.87,336.22,336.22,5231021,0.0,1.0
2024-09-19,340.0,340.38,332.23,335.24,335.24,2645896,0.0,1.0
2024-09-18,335.0,339.0,332.96,336.18,336.18,2150899,0.0,1.0
2024-09-17,355.1,355.28,336.31,337.04,337.04,4528964,0.0,1.0
2024-09-16,350.84,354.98,349.63,354.12,354.12,2536398,0.0,1.0
2024-09-13,351.1,351.4299,348.7945,349.58,349.58,1812013,0.0,1.0
2024-09-12,350.48,352.42,345.2,349.89,349.89,2182279,0.0,1.0
2024-09-11,346.36,350.72,342.24,350.31,350.31,2121785,0.0,1.0
2024-09-10,343.81,348.0,342.22,347.7,347.7,1655717,0.0,1.0
2024-09-09,340.63,342.25,339.09,341.81,341.81,1569422,0.0,1.0
2024-09-06,340.7,342.4432,336.76,339.84,339.84,1613563,0.0,1.0
2024-09-05,344.22,344.45,339.5,340.93,340.93,1195275,0.0,1.0
2024-09-04,340.0,344.91,338.98,343.99,343.99,1476582,0.0,1.0
2024-09-03,341.36,345.54,339.67,341.88,341.88,2049328,0.0,1.0
2024-08-30,341.0,343.45,338.64,341.95,341.95,2004144,0.0,1.0
2024-08-29,340.25,343.87,338.97,340.21,340.21,1612584,0.0,1.0
2024-08-28,340.56,343.6,335.11,337.39,337.39,1527981,0.0,1.0
2024-08-27,335.18,340.99,335.0,340.38,340.38,2154150,0.0,1.0
2024-08-26,333.08,337.21,331.77,336.78,336.78,1692174,0.0,1.0
2024-08-23,331.66,333.76,329.67,333.27,333.27,1518702,0.0,1.0
2024-08-22,333.89,334.07,329.65,330.57,330.57,1679226,0.0,1.0
2024-08-21,330.84,333.66,330.54,333.6,333.6,1233957,0.0,1.0
2024-08-20,329.93,330.57,328.05,330.37,330.37,1790106,0.0,1.0
2024-08-19,327.56,330.43,327.0,329.44,329.44,1678267,0.0,1.0
2024-08-16,324.91,327.705,323.27,326.92,326.92,2292799,0.0,1.0
2024-08-15,322.28,325.21,321.94,325.13,325.13,2271669,0.0,1.0
2024-08-14,320.0,322.07,318.02,319.83,319.83,1404627,0.0,1.0
2024-08-13,316.11,320.18,315.13,319.33,319.33,2269581,0.0,1.0
2024-08-12,315.47,317.4699,312.74,313.96,313.96,2276546,0.0,1.0
2024-08-09,316.2,317.32,313.2201,315.83,315.83,1851305,0.0,1.0
2024-08-08,315.3,319.51,314.47,315.88,315.88,2213725,0.0,1.0
2024-08-07,319.95,325.74,317.93,318.02,318.02,2327705,0.0,1.0
2024-08-06,317.0,322.66,315.72,318.68,318.68,2284261,0.0,1.0
2024-08-05,311.61,317.87,310.23,313.74,313.74,3186698,0.0,1.0
2024-08-02,324.99,326.68,320.35,323.15,323.15,2682736,0.0,1.0
2024-08-01,333.88,338.92,326.42,328.08,328.08,2538193,0.0,1.0
2024-07-31,331.64,333.93,329.042,330.62,330.62,2606401,0.0,1.0
2024-07-30,327.49,330.4499,326.95,329.2,329.2,1985465,0.0,1.0
2024-07-29,328.66,328.98,323.87,326.2,326.2,1629266,0.0,1.0
2024-07-26,325.92,329.81,325.211,328.46,328.46,2438247,0.0,1.0
2024-07-25,325.59,335.69,323.34,330.12,330.12,2764639,0.0,1.0
2024-07-24,329.38,332.54,328.135,328.68,328.68,3286450,0.0,1.0
2024-07-23,331.43,332.2,327.97,330.33,330.33,1994169,0.0,1.0
2024-07-22,330.72,332.82,329.7228,331.51,331.51,3419315,0.0,1.0
2024-07-19,331.09,335.79,327.7065,329.19,329.19,5376237,0.0,1.0
2024-07-18,329.41,336.25,327.84,328.1,328.1,4563719,0.0,1.0
2024-07-17,325.95,328.57,323.62,325.6,325.6,4383856,0.0,1.0
2024-07-16,318.38,325.15,318.03,325.0,325.0,3640693,0.0,1.0
2024-07-15,312.67,319.37,312.67,317.87,317.87,3866301,0.0,1.0
2024-07-12,299.59,312.02,299.03,310.63,310.63,3951627,0.0,1.0
2024-07-11,295.44,302.18,293.98,297.99,297.99,2988052,1.29,1.0
2024-07-10,296.9,298.0,290.5306,295.44,294.166551724138,2283455,0.0,1.0
2024-07-09,299.09,299.15,294.4775,298.06,296.77525862069,2479254,0.0,1.0
2024-07-08,300.46,301.95,295.6002,299.47,298.179181034483,2557914,0.0,1.0
2024-07-05,304.91,305.7,297.68,299.14,297.850603448276,3158944,0.0,1.0
2024-07-03,304.75,306.89,303.975,305.75,304.432112068966,1751215,0.0,1.0
2024-07-02,300.93,304.0,300.93,303.83,302.520387931034,2177192,0.0,1.0
2024-07-01,303.73,304.36,299.6,302.55,301.245905172414,2411300,0.0,1.0
2024-06-28,303.54,305.545,301.65,303.41,302.102198275862,14905693,0.0,1.0
2024-06-27,305.0,305.465,301.46,303.19,301.883146551724,3162199,0.0,1.0
2024-06-26,299.92,305.74,299.43,304.62,303.306982758621,3162079,0.0,1.0
2024-06-25,307.98,309.9997,305.43,307.17,305.84599137931,4498741,0.0,1.0
2024-06-24,305.36,312.37,304.68,307.21,305.885818965517,4399601,0.0,1.0
2024-06-21,307.03,310.35,302.58,308.98,307.648189655172,8481762,0.0,1.0
2024-06-20,314.63,317.73,298.0,306.16,304.840344827586,11374572,0.0,1.0
2024-06-18,285.31,289.91,284.39,285.35,284.120043103448,5314911,0.0,1.0
2024-06-17,286.23,288.6,283.95,285.53,284.299267241379,3559587,0.0,1.0
2024-06-14,281.41,286.95,280.71,286.71,285.474181034483,2966211,0.0,1.0
2024-06-13,287.67,289.5471,282.09,282.32,281.103103448276,3119248,0.0,1.0
2024-06-12,291.63,294.15,285.44,285.73,284.498405172414,3749585,0.0,1.0
2024-06-11,290.12,294.31,288.79,294.22,292.951810344828,2457624,0.0,1.0
2024-06-10,287.38,290.52,287.0,290.43,289.178146551724,2510107,0.0,1.0
2024-06-07,291.44,291.81,288.15,288.4,287.156896551724,2626974,0.0,1.0
2024-06-06,291.2,293.87,290.6,291.74,290.4825,2363205,0.0,1.0
2024-06-05,288.26,292.31,288.06,291.02,289.765603448276,3002215,0.0,1.0
2024-06-04,281.76,288.88,280.34,288.06,286.818362068966,3498601,0.0,1.0
2024-06-03,286.35,287.52,280.71,281.76,280.545517241379,3596609,0.0,1.0
2024-05-31,284.8,285.39,278.69,282.29,281.073232758621,6882088,0.0,1.0
2024-05-30,289.97,290.5,284.29,284.8,283.572413793103,5007994,0.0,1.0
2024-05-29,294.15,296.0996,291.01,293.77,292.50375,4479999,0.0,1.0
2024-05-28,299.37,300.32,295.82,297.73,296.446681034483,3530301,0.0,1.0
2024-05-24,306.89,307.46,300.335,300.99,299.692629310345,2048661,0.0,1.0
2024-05-23,310.14,310.99,304.5601,305.93,304.611336206897,2526304,0.0,1.0
2024-05-22,303.96,308.19,303.69,307.11,305.78625,2432422,0.0,1.0
2024-05-21,306.79,307.15,302.96,303.64,302.331206896552,1866555,0.0,1.0
2024-05-20,303.51,307.07,301.61,305.7,304.382327586207,2418094,0.0,1.0
