,AEE_Open,AEE_High,AEE_Low,AEE_Close,AEE_Adj Close,AEE_Volume,AEE_Dividend Amount,AEE_Split Coefficient
2024-11-01,87.04,87.37,85.44,85.88,85.88,1884615,0.0,1.0
2024-10-31,86.75,88.15,86.65,87.11,87.11,1664009,0.0,1.0
2024-10-30,86.59,86.7865,86.005,86.61,86.61,1088342,0.0,1.0
2024-10-29,87.54,87.54,85.935,86.01,86.01,1137221,0.0,1.0
2024-10-28,88.21,88.55,88.02,88.12,88.12,693585,0.0,1.0
2024-10-25,89.45,89.485,87.7,87.8,87.8,772305,0.0,1.0
2024-10-24,89.34,89.54,88.83,89.01,89.01,945341,0.0,1.0
2024-10-23,88.06,89.21,87.955,89.2,89.2,937276,0.0,1.0
2024-10-22,87.73,88.03,87.21,87.76,87.76,884344,0.0,1.0
2024-10-21,88.98,89.08,87.94,88.23,88.23,1208521,0.0,1.0
2024-10-18,88.19,88.905,87.54,88.84,88.84,952324,0.0,1.0
2024-10-17,88.58,88.88,87.61,88.31,88.31,1995271,0.0,1.0
2024-10-16,88.14,88.9,87.88,88.73,88.73,866298,0.0,1.0
2024-10-15,87.83,88.515,87.35,87.93,87.93,1287998,0.0,1.0
2024-10-14,86.53,87.39,86.505,87.25,87.25,798383,0.0,1.0
2024-10-11,86.05,86.61,85.82,86.45,86.45,1011943,0.0,1.0
2024-10-10,86.86,87.07,85.75,85.81,85.81,1192793,0.0,1.0
2024-10-09,86.36,87.06,85.84,86.38,86.38,2310286,0.0,1.0
2024-10-08,87.54,87.64,86.56,86.75,86.75,2021774,0.0,1.0
2024-10-07,87.73,87.82,86.97,87.14,87.14,2431201,0.0,1.0
2024-10-04,86.91,87.925,86.695,87.74,87.74,1182075,0.0,1.0
2024-10-03,87.74,88.11,87.095,88.02,88.02,1360062,0.0,1.0
2024-10-02,86.96,87.68,86.48,87.4,87.4,1235391,0.0,1.0
2024-10-01,87.62,88.0,86.78,87.5,87.5,1014627,0.0,1.0
2024-09-30,86.75,87.61,86.145,87.46,87.46,1617528,0.0,1.0
2024-09-27,86.48,87.055,86.06,86.49,86.49,1107866,0.0,1.0
2024-09-26,85.78,87.1,85.78,86.06,86.06,1357243,0.0,1.0
2024-09-25,85.9,86.37,84.98,86.34,86.34,1860376,0.0,1.0
2024-09-24,85.23,86.5,84.77,85.41,85.41,923511,0.0,1.0
2024-09-23,85.98,86.15,85.4,85.64,85.64,1034268,0.0,1.0
2024-09-20,84.34,85.85,83.91,85.62,85.62,3814209,0.0,1.0
2024-09-19,84.01,84.49,82.95,83.62,83.62,1193986,0.0,1.0
2024-09-18,84.93,85.23,84.04,84.62,84.62,921567,0.0,1.0
2024-09-17,85.36,85.63,84.77,85.02,85.02,1695365,0.0,1.0
2024-09-16,85.16,85.83,84.6702,85.47,85.47,1158567,0.0,1.0
2024-09-13,83.54,84.14,83.4813,83.99,83.99,989127,0.0,1.0
2024-09-12,83.75,84.145,83.15,83.5,83.5,1404512,0.0,1.0
2024-09-11,84.05,84.15,82.785,83.74,83.74,1153205,0.67,1.0
2024-09-10,84.53,85.57,84.48,84.91,84.2360312759152,1480304,0.0,1.0
2024-09-09,83.19,84.66,82.89,84.59,83.9185712593295,2181925,0.0,1.0
2024-09-06,83.94,84.03,83.1,83.16,82.4999218102121,1076049,0.0,1.0
2024-09-05,84.55,84.6,83.52,83.74,83.0753180902737,1235888,0.0,1.0
2024-09-04,83.7,84.51,83.255,83.82,83.1546830944201,1083143,0.0,1.0
2024-09-03,82.62,83.78,82.12,83.28,82.6189693164317,2240366,0.0,1.0
2024-08-30,82.36,82.91,81.92,82.51,81.8550811515223,1168009,0.0,1.0
2024-08-29,82.43,82.74,81.31,82.28,81.6269067646014,1233726,0.0,1.0
2024-08-28,81.94,82.7,81.5,82.34,81.6864305177112,1414659,0.0,1.0
2024-08-27,82.52,82.535,81.55,81.65,81.0019073569482,966361,0.0,1.0
2024-08-26,82.32,82.96,82.0,82.57,81.9146049046322,1100746,0.0,1.0
2024-08-23,82.59,82.59,81.96,82.05,81.3987323776804,765117,0.0,1.0
2024-08-22,82.42,82.66,81.94,82.29,81.6368273901197,977076,0.0,1.0
2024-08-21,82.23,82.57,82.05,82.35,81.6963511432295,749256,0.0,1.0
2024-08-20,82.53,82.9,81.96,82.22,81.5673830114915,772250,0.0,1.0
2024-08-19,82.15,82.84,82.06,82.51,81.8550811515223,924097,0.0,1.0
2024-08-16,81.92,82.44,81.33,82.1,81.4483355052719,1463807,0.0,1.0
2024-08-15,80.79,81.59,80.57,81.34,80.6943679658808,1015859,0.0,1.0
2024-08-14,81.01,81.76,80.7,81.26,80.6150029617344,827481,0.0,1.0
2024-08-13,80.73,81.4925,80.005,81.3,80.6546854638076,1438460,0.0,1.0
2024-08-12,80.14,80.39,79.81,80.32,79.6824641630139,1084744,0.0,1.0
2024-08-09,80.12,80.59,78.91,80.31,79.6725435374956,1351561,0.0,1.0
2024-08-08,79.94,80.91,79.55,80.2,79.5634166567942,1458466,0.0,1.0
2024-08-07,80.56,81.62,80.39,80.49,79.851114796825,1695628,0.0,1.0
2024-08-06,80.26,81.34,79.93,80.56,79.9205591754531,1455770,0.0,1.0
2024-08-05,84.28,84.4,80.17,80.19,79.5534960312759,1708728,0.0,1.0
2024-08-02,82.67,83.83,80.76,82.53,81.8749224025589,2132414,0.0,1.0
2024-08-01,79.26,81.5,79.26,81.26,80.6150029617344,1533651,0.0,1.0
2024-07-31,79.42,79.56,78.8052,79.27,78.640798483592,1267531,0.0,1.0
2024-07-30,78.06,79.61,77.99,79.52,78.8888141215496,1304625,0.0,1.0
2024-07-29,77.97,78.56,77.085,78.2,77.5792915531335,1191249,0.0,1.0
2024-07-26,77.66,78.48,77.365,78.04,77.4205615448407,976386,0.0,1.0
2024-07-25,77.51,79.255,76.95,77.55,76.9344508944438,2258061,0.0,1.0
2024-07-24,75.78,77.25,75.3,77.04,76.4284989930103,1429395,0.0,1.0
2024-07-23,75.62,75.89,75.0,75.08,74.4840563914228,1288765,0.0,1.0
2024-07-22,74.98,75.8,74.87,75.74,75.1388176756308,1332276,0.0,1.0
2024-07-19,75.88,75.88,74.33,74.82,74.2261201279469,1065100,0.0,1.0
2024-07-18,74.84,76.46,74.84,75.05,74.4542945148679,1062243,0.0,1.0
2024-07-17,74.11,75.93,74.11,75.24,74.6427863997157,886197,0.0,1.0
2024-07-16,73.24,73.98,72.65,73.93,73.3431844568179,931344,0.0,1.0
2024-07-15,73.35,73.83,72.33,72.75,72.1725506456581,1014635,0.0,1.0
2024-07-12,73.46,74.57,73.27,73.88,73.2935813292264,1032279,0.0,1.0
2024-07-11,72.17,73.59,71.87,73.12,72.5396137898353,1097570,0.0,1.0
2024-07-10,71.7,71.84,70.88,71.81,71.2400118469376,1063241,0.0,1.0
2024-07-09,70.54,71.52,70.27,71.36,70.7935836986139,1721916,0.0,1.0
2024-07-08,70.46,70.86,70.19,70.71,70.1487430399242,1245481,0.0,1.0
2024-07-05,70.49,71.19,70.15,70.45,69.8908067764483,2445380,0.0,1.0
2024-07-03,71.5,71.84,70.55,70.56,69.9999336571496,785499,0.0,1.0
2024-07-02,70.93,71.725,70.86,71.5,70.9324724558702,2591630,0.0,1.0
2024-07-01,71.28,71.77,70.54,70.75,70.1884255419974,1812695,0.0,1.0
2024-06-28,71.2,71.325,70.29,71.11,70.5455680606563,2596819,0.0,1.0
2024-06-27,70.18,71.075,70.175,70.94,70.3769174268452,1381079,0.0,1.0
2024-06-26,69.77,70.2725,69.39,70.13,69.5733467598626,1016042,0.0,1.0
2024-06-25,71.07,71.07,70.1,70.15,69.5931880108992,1283748,0.0,1.0
2024-06-24,70.26,71.27,70.26,71.15,70.5852505627295,1197486,0.0,1.0
2024-06-21,71.15,71.75,70.12,70.25,69.6923942660822,3325424,0.0,1.0
2024-06-20,70.34,71.35,69.97,71.06,70.4959649330648,1699422,0.0,1.0
2024-06-18,70.16,70.7,69.82,70.19,69.6328705129724,1483253,0.0,1.0
2024-06-17,69.75,70.62,69.52,70.4,69.8412036488568,1457419,0.0,1.0
2024-06-14,69.68,70.38,69.52,70.12,69.5634261343443,1089740,0.0,1.0
2024-06-13,70.14,70.57,69.59,70.0,69.4443786281246,2090065,0.0,1.0
2024-06-12,71.55,71.705,69.85,70.14,69.5832673853809,1476342,0.67,1.0
2024-06-11,70.78,71.62,70.38,71.47,70.231833357339,1032984,0.0,1.0
2024-06-10,71.16,71.805,70.82,71.5,70.2613136287916,1541264,0.0,1.0
2024-06-07,71.42,71.775,71.06,71.07,69.8387630713037,1153988,0.0,1.0
2024-06-06,72.15,72.825,71.745,72.1,70.8509190578444,1216088,0.0,1.0
2024-06-05,73.45,73.53,72.27,72.37,71.1162415009182,974446,0.0,1.0
2024-06-04,73.68,73.94,73.14,73.71,72.4330269591361,1068278,0.0,1.0
2024-06-03,73.52,74.16,73.22,73.77,72.4919875020413,1977666,0.0,1.0
2024-05-31,71.9,73.45,71.6796,73.37,72.0989172160061,3160448,0.0,1.0
2024-05-30,70.71,71.56,70.29,71.51,70.2711403859425,2069649,0.0,1.0
2024-05-29,70.8,70.8,70.0,70.1,68.8855676276684,976496,0.0,1.0
2024-05-28,71.34,71.93,71.05,71.23,69.9959911857178,1598798,0.0,1.0
2024-05-24,71.65,71.88,70.74,71.34,70.1040855143775,1376824,0.0,1.0
2024-05-23,72.76,72.77,71.48,71.5,70.2613136287916,2198347,0.0,1.0
2024-05-22,74.21,74.38,73.15,73.2,71.9318623444412,1763410,0.0,1.0
2024-05-21,74.29,75.06,74.07,74.56,73.2683013169609,1548055,0.0,1.0
2024-05-20,74.69,74.865,74.215,74.4,73.1110732025468,1734456,0.0,1.0
2024-05-17,74.92,75.3,74.07,74.74,73.4451829456767,1826400,0.0,1.0
2024-05-16,75.39,75.84,74.755,74.9,73.6024110600908,2781771,0.0,1.0
2024-05-15,75.66,76.15,75.1,75.33,74.0249616175786,3381992,0.0,1.0
2024-05-14,74.78,75.07,74.26,74.88,73.582757545789,2954364,0.0,1.0
2024-05-13,74.6,75.01,74.11,74.47,73.1798605026029,2167756,0.0,1.0
