,AES_Open,AES_High,AES_Low,AES_Close,AES_Adj Close,AES_Volume,AES_Dividend Amount,AES_Split Coefficient
2024-10-01,19.98,20.3,19.62,20.24,20.24,6086070,0.0,1.0
2024-09-30,20.09,20.2,19.85,20.06,20.06,7123864,0.0,1.0
2024-09-27,19.85,20.175,19.85,20.07,20.07,6670297,0.0,1.0
2024-09-26,19.7,20.015,19.52,19.64,19.64,6737532,0.0,1.0
2024-09-25,19.16,19.63,19.16,19.53,19.53,8380691,0.0,1.0
2024-09-24,19.35,19.64,19.1,19.11,19.11,9284600,0.0,1.0
2024-09-23,18.93,19.34,18.92,19.32,19.32,10068508,0.0,1.0
2024-09-20,19.16,19.16,18.74,18.9,18.9,19704232,0.0,1.0
2024-09-19,19.56,19.65,18.85,18.9,18.9,13603994,0.0,1.0
2024-09-18,19.3,19.65,19.055,19.26,19.26,10658632,0.0,1.0
2024-09-17,19.2,19.585,19.08,19.24,19.24,12312181,0.0,1.0
2024-09-16,18.58,19.23,18.58,19.01,19.01,10000514,0.0,1.0
2024-09-13,18.34,18.645,18.21,18.54,18.54,7082872,0.0,1.0
2024-09-12,17.95,18.435,17.69,18.12,18.12,9276535,0.0,1.0
2024-09-11,16.78,17.88,16.75,17.86,17.86,13642595,0.0,1.0
2024-09-10,16.24,16.7,16.22,16.44,16.44,6992279,0.0,1.0
2024-09-09,16.21,16.32,16.11,16.2,16.2,7817718,0.0,1.0
2024-09-06,17.0,17.035,16.18,16.19,16.19,8732003,0.0,1.0
2024-09-05,17.11,17.18,16.83,16.94,16.94,7326564,0.0,1.0
2024-09-04,16.76,17.095,16.72,16.94,16.94,8587161,0.0,1.0
2024-09-03,17.13,17.14,16.65,16.75,16.75,7982145,0.0,1.0
2024-08-30,17.41,17.4472,17.0,17.13,17.13,5713821,0.0,1.0
2024-08-29,17.25,17.385,16.975,17.26,17.26,5947681,0.0,1.0
2024-08-28,17.38,17.4499,17.12,17.2,17.2,4646080,0.0,1.0
2024-08-27,17.8,17.9,17.34,17.37,17.37,5240876,0.0,1.0
2024-08-26,18.17,18.21,17.89,17.9,17.9,4255743,0.0,1.0
2024-08-23,17.87,18.23,17.75,18.08,18.08,6788472,0.0,1.0
2024-08-22,17.66,17.84,17.535,17.77,17.77,6082942,0.0,1.0
2024-08-21,17.43,17.76,17.33,17.67,17.67,5766488,0.0,1.0
2024-08-20,17.29,17.47,17.24,17.38,17.38,7780326,0.0,1.0
2024-08-19,17.24,17.49,17.19,17.37,17.37,5804439,0.0,1.0
2024-08-16,17.26,17.38,17.16,17.26,17.26,6108331,0.0,1.0
2024-08-15,16.94,17.46,16.9,17.27,17.27,7799665,0.0,1.0
2024-08-14,16.94,17.095,16.6299,16.94,16.94,5670226,0.0,1.0
2024-08-13,16.9,16.95,16.635,16.89,16.89,6322044,0.0,1.0
2024-08-12,16.65,16.74,16.44,16.71,16.71,6236993,0.0,1.0
2024-08-09,16.56,16.77,16.195,16.66,16.66,7689283,0.0,1.0
2024-08-08,16.39,16.82,16.3,16.65,16.65,11742461,0.0,1.0
2024-08-07,16.8,17.01,16.3,16.39,16.39,7055475,0.0,1.0
2024-08-06,16.28,16.94,16.27,16.52,16.52,6182943,0.0,1.0
2024-08-05,16.75,16.95,15.995,16.29,16.29,8794322,0.0,1.0
