,AGCO_Open,AGCO_High,AGCO_Low,AGCO_Close,AGCO_Adj Close,AGCO_Volume,AGCO_Dividend Amount,AGCO_Split Coefficient
2024-10-07,97.19,97.46,96.2511,96.84,96.84,423757,0.0,1.0
2024-10-04,97.52,97.65,96.65,97.45,97.45,450825,0.0,1.0
2024-10-03,97.38,97.48,95.37,96.27,96.27,640474,0.0,1.0
2024-10-02,98.45,99.44,97.79,98.13,98.13,643851,0.0,1.0
2024-10-01,97.68,99.11,95.99,98.5,98.5,816477,0.0,1.0
2024-09-30,98.5,99.3,97.22,97.86,97.86,784275,0.0,1.0
2024-09-27,97.71,99.26,97.575,98.31,98.31,659164,0.0,1.0
2024-09-26,96.06,97.12,95.62,96.73,96.73,640825,0.0,1.0
2024-09-25,96.53,96.6,93.9,94.42,94.42,747354,0.0,1.0
2024-09-24,96.05,97.2,95.42,96.33,96.33,647006,0.0,1.0
2024-09-23,94.81,95.21,93.545,94.76,94.76,610863,0.0,1.0
2024-09-20,95.29,95.61,93.655,94.74,94.74,1623030,0.0,1.0
2024-09-19,95.59,96.49,94.62,95.83,95.83,569964,0.0,1.0
2024-09-18,92.85,96.0,92.735,93.75,93.75,528020,0.0,1.0
2024-09-17,91.72,92.8,90.823,92.71,92.71,586295,0.0,1.0
2024-09-16,91.43,92.26,89.92,91.16,91.16,639450,0.0,1.0
2024-09-13,90.0,91.02,89.76,90.93,90.93,533652,0.0,1.0
2024-09-12,89.0,89.46,88.03,89.32,89.32,673896,0.0,1.0
2024-09-11,88.65,89.22,86.66,88.95,88.95,621014,0.0,1.0
2024-09-10,89.03,89.1225,87.57,88.78,88.78,618310,0.0,1.0
2024-09-09,87.5,89.91,87.5,89.09,89.09,1066551,0.0,1.0
2024-09-06,89.12,89.75,87.3079,87.56,87.56,771127,0.0,1.0
2024-09-05,89.49,89.49,87.83,88.83,88.83,999146,0.0,1.0
2024-09-04,88.01,90.8199,88.01,89.58,89.58,651213,0.0,1.0
2024-09-03,90.06,90.37,87.83,88.08,88.08,1062068,0.0,1.0
2024-08-30,90.8,91.26,89.96,91.04,91.04,727029,0.0,1.0
2024-08-29,91.09,91.11,89.91,90.44,90.44,726859,0.0,1.0
2024-08-28,89.54,90.45,89.1,90.33,90.33,562453,0.0,1.0
2024-08-27,90.78,90.98,89.02,89.87,89.87,677174,0.0,1.0
2024-08-26,91.63,92.13,90.525,91.18,91.18,687028,0.0,1.0
2024-08-23,88.98,91.295,88.39,91.05,91.05,904813,0.0,1.0
2024-08-22,89.62,89.945,88.29,88.41,88.41,527546,0.0,1.0
2024-08-21,89.16,89.6,88.825,89.48,89.48,523402,0.0,1.0
2024-08-20,89.97,90.05,88.4601,88.76,88.76,607182,0.0,1.0
2024-08-19,88.74,90.78,88.64,89.97,89.97,904183,0.0,1.0
2024-08-16,87.77,89.35,87.07,88.39,88.39,1093036,0.0,1.0
2024-08-15,86.54,88.985,86.155,88.13,88.13,1132867,0.29,1.0
2024-08-14,86.47,87.23,85.44,85.48,85.199642614793,660836,0.0,1.0
2024-08-13,85.48,86.69,84.85,86.32,86.036887581995,1395841,0.0,1.0
2024-08-12,87.72,87.94,84.77,84.99,84.7112497172585,1018718,0.0,1.0
2024-08-09,88.63,89.26,86.34,87.46,87.173148608912,1182305,0.0,1.0
2024-08-08,87.55,89.355,87.27,88.91,88.6183928975345,561473,0.0,1.0
2024-08-07,88.76,89.585,86.9801,87.16,86.874132549197,806303,0.0,1.0
2024-08-06,87.64,88.77,86.37,86.98,86.694722913368,1319998,0.0,1.0
2024-08-05,86.19,89.46,84.35,87.64,87.352558244741,1031369,0.0,1.0
2024-08-02,89.85,90.67,88.12,89.57,89.2762282289075,1203055,0.0,1.0
2024-08-01,94.32,95.0,90.64,91.35,91.0503901832165,1593820,0.0,1.0
2024-07-31,95.69,95.85,93.97,94.42,94.1103211942999,1369308,0.0,1.0
2024-07-30,95.84,98.14,93.52,96.23,95.9143847545804,1760970,0.0,1.0
2024-07-29,102.99,103.615,101.41,102.05,101.715296313051,818274,0.0,1.0
2024-07-26,103.19,104.7,102.74,103.52,103.180475005655,562203,0.0,1.0
2024-07-25,97.89,103.78,97.55,101.84,101.505985071251,869753,0.0,1.0
2024-07-24,98.82,99.73,97.75,97.83,97.5091370730604,653097,0.0,1.0
2024-07-23,100.61,100.7599,98.68,98.89,98.5656604840534,611793,0.0,1.0
2024-07-22,102.6,102.6,99.525,101.72,101.386378647365,700093,0.0,1.0
2024-07-19,102.3,102.72,101.18,102.03,101.69536190907,680630,0.0,1.0
2024-07-18,102.1,105.18,101.34,102.24,101.904673150871,975587,0.0,1.0
2024-07-17,100.95,103.11,100.585,102.78,102.442902058358,845557,0.0,1.0
2024-07-16,98.73,101.63,97.76,101.31,100.977723365754,744753,0.0,1.0
2024-07-15,97.83,99.24,97.67,98.78,98.4560212621579,690836,0.0,1.0
2024-07-12,97.9,99.03,97.81,98.05,97.7284155168514,753405,0.0,1.0
2024-07-11,95.0,97.3,94.67,97.2,96.8812033476589,772384,0.0,1.0
2024-07-10,93.7,94.4,92.98,94.21,93.9010099524994,880840,0.0,1.0
2024-07-09,94.28,94.522,92.75,93.56,93.2531418231169,966656,0.0,1.0
2024-07-08,95.13,95.65,94.19,94.57,94.2598292241574,713573,0.0,1.0
2024-07-05,96.27,96.37,94.1,94.31,94.0006819724044,1649224,0.0,1.0
2024-07-03,96.77,97.95,96.255,96.67,96.3529416421624,350647,0.0,1.0
2024-07-02,95.62,96.41,95.375,96.04,95.7250079167609,856257,0.0,1.0
2024-07-01,98.97,98.97,95.025,95.58,95.2665166251979,792373,0.0,1.0
2024-06-28,99.02,99.87,97.18,97.88,97.5589730830129,983225,0.0,1.0
2024-06-27,98.75,99.18,97.31,98.82,98.4958900701199,819665,0.0,1.0
2024-06-26,97.86,99.26,96.6,99.21,98.8846109477494,582140,0.0,1.0
2024-06-25,100.15,100.39,97.16,98.4,98.0772675865189,1029666,0.0,1.0
2024-06-24,101.57,103.37,100.475,101.88,101.545853879213,693062,0.0,1.0
2024-06-21,100.68,101.38,99.88,101.0,100.668740104049,1993651,0.0,1.0
2024-06-20,102.44,102.44,100.725,100.94,100.608936892106,700370,0.0,1.0
2024-06-18,102.91,104.07,101.87,102.33,101.994377968785,850736,0.0,1.0
2024-06-17,102.96,103.27,101.45,102.71,102.373131644424,840553,0.0,1.0
2024-06-14,104.23,105.145,102.96,103.68,103.339950237503,785743,0.0,1.0
2024-06-13,103.62,105.59,102.57,105.47,105.124079393802,898475,0.0,1.0
2024-06-12,103.41,105.0,102.75,103.77,103.429655055417,838660,0.0,1.0
2024-06-11,100.96,102.51,100.24,101.84,101.505985071251,544506,0.0,1.0
2024-06-10,102.22,103.63,101.58,101.62,101.28670662746,481915,0.0,1.0
2024-06-07,102.54,103.54,101.9,103.1,102.761852522054,543047,0.0,1.0
2024-06-06,103.53,103.84,102.66,103.6,103.260212621579,598504,0.0,1.0
2024-06-05,103.99,104.115,101.89,103.53,103.190442207645,760344,0.0,1.0
2024-06-04,104.18,104.73,103.22,103.73,103.389786247455,850881,0.0,1.0
2024-06-03,107.99,107.99,105.115,105.35,105.004472969916,570360,0.0,1.0
2024-05-31,104.85,107.43,104.735,107.33,106.977978964035,802044,0.0,1.0
2024-05-30,104.86,106.13,104.04,104.7,104.356604840534,764606,0.0,1.0
2024-05-29,104.99,105.61,102.76,104.65,104.306768830581,1314059,0.0,1.0
2024-05-28,106.72,107.2699,105.83,106.16,105.811816331147,688282,0.0,1.0
2024-05-24,108.05,108.38,106.105,106.56,106.210504410767,535163,0.0,1.0
2024-05-23,108.92,108.92,106.89,107.45,107.097585387921,699304,0.0,1.0
2024-05-22,107.49,109.3,107.49,108.54,108.184010404886,686824,0.0,1.0
2024-05-21,110.1,110.46,107.6,108.14,107.785322325266,561776,0.0,1.0
2024-05-20,109.98,110.49,109.52,110.11,109.748861117394,674789,0.0,1.0
2024-05-17,110.0,111.53,109.835,110.02,109.65915629948,873696,2.5,1.0
2024-05-16,114.83,115.365,112.01,112.03,109.181614648336,1177239,0.0,1.0
2024-05-15,117.97,119.23,117.475,118.04,115.038809185839,616927,0.0,1.0
2024-05-14,117.17,119.71,116.97,117.28,114.298132339166,877866,0.29,1.0
2024-05-13,116.26,117.75,115.86,116.25,113.014866755363,963080,0.0,1.0
2024-05-10,117.03,117.235,114.46,116.05,112.820432575999,532413,0.0,1.0
2024-05-09,113.74,116.36,113.68,116.29,113.053753591236,474471,0.0,1.0
2024-05-08,116.39,117.0,113.89,113.93,110.75943027474,920405,0.0,1.0
2024-05-07,115.99,117.69,114.91,117.08,113.821768599724,1103156,0.0,1.0
2024-05-06,113.39,115.6,112.82,115.47,112.256573455844,985814,0.0,1.0
2024-05-03,110.56,112.8,110.21,111.81,108.698427973481,1097646,0.0,1.0
2024-05-02,110.0,115.3,107.65,110.63,107.551266315233,1544966,0.0,1.0
2024-05-01,113.98,113.98,111.8,112.14,109.019244369432,1208623,0.0,1.0
2024-04-30,117.08,117.425,114.03,114.19,111.012194707914,913049,0.0,1.0
2024-04-29,117.17,119.88,116.83,119.14,115.824440647174,629977,0.0,1.0
2024-04-26,117.64,118.18,116.225,116.61,113.364848278219,664104,0.0,1.0
2024-04-25,116.9,118.96,116.475,117.67,114.395349428848,694025,0.0,1.0
2024-04-24,116.86,119.03,116.01,118.69,115.386963743605,722837,0.0,1.0
2024-04-23,119.31,121.485,117.32,117.45,114.181471831548,668763,0.0,1.0
2024-04-22,116.41,120.0,115.396,119.17,115.853605774079,849703,0.0,1.0
2024-04-19,116.63,119.02,115.98,118.75,115.445293997414,735541,0.0,1.0
2024-04-18,116.89,117.745,115.69,116.73,113.481508785837,552611,0.0,1.0
2024-04-17,118.07,118.34,115.35,116.24,113.005145046395,610434,0.0,1.0
2024-04-16,117.43,117.595,115.54,117.07,113.812046890756,458649,0.0,1.0
2024-04-15,121.2,121.775,117.93,118.04,114.755052660672,693139,0.0,1.0
2024-04-12,121.73,122.26,119.97,120.01,116.670229327408,629516,0.0,1.0
2024-04-11,125.61,125.76,121.19,121.88,118.488188904462,614099,0.0,1.0
2024-04-10,122.96,125.53,121.78,125.37,121.881065334365,673395,0.0,1.0
2024-04-09,122.08,124.46,121.94,123.92,120.471417533975,520827,0.0,1.0
2024-04-08,122.78,123.18,121.11,121.36,117.982660038115,363965,0.0,1.0
2024-04-05,122.28,122.68,121.44,122.33,118.925665808031,435915,0.0,1.0
2024-04-04,121.7,123.9,120.4,122.03,118.634014538985,695649,0.0,1.0
2024-04-03,119.83,121.72,119.69,120.61,117.2535318655,531572,0.0,1.0
2024-04-02,121.23,123.83,120.81,121.51,118.128485672638,690756,0.0,1.0
2024-04-01,123.93,125.24,120.44,120.55,117.195201611691,521462,0.0,1.0
2024-03-28,122.0,123.118,121.42,123.02,119.596463726837,413023,0.0,1.0
2024-03-27,118.41,121.79,118.1,121.72,118.332641560971,478921,0.0,1.0
2024-03-26,118.32,118.32,117.08,117.62,114.346740884007,438215,0.0,1.0
2024-03-25,118.58,119.48,117.81,118.11,114.823104623449,505787,0.0,1.0
2024-03-22,118.45,118.78,117.24,118.36,115.066147347654,524117,0.0,1.0
2024-03-21,118.09,119.135,117.61,118.03,114.745330951704,456016,0.0,1.0
2024-03-20,115.75,118.49,115.54,118.01,114.725887533767,626776,0.0,1.0
2024-03-19,115.01,116.95,114.96,115.89,112.664885232508,579865,0.0,1.0
2024-03-18,116.05,116.8,114.4997,115.39,112.178799784098,775995,0.0,1.0
2024-03-15,115.44,117.25,115.44,116.43,113.189857516791,1610178,0.0,1.0
2024-03-14,117.79,118.195,115.26,115.99,112.76210232219,690444,0.0,1.0
2024-03-13,113.7,117.55,113.7,117.1,113.841212017661,853236,0.0,1.0
2024-03-12,115.1,115.66,113.0,113.44,110.283066535298,589993,0.0,1.0
2024-03-11,112.8,114.78,112.8,114.68,111.488558447355,612019,0.0,1.0
2024-03-08,113.79,114.02,111.84,112.71,109.573381780619,581671,0.0,1.0
2024-03-07,110.75,114.09,110.72,113.02,109.874754758634,637062,0.0,1.0
2024-03-06,109.74,110.97,108.87,110.93,107.842917584279,675520,0.0,1.0
2024-03-05,109.01,111.2,108.85,109.61,106.559652000476,610241,0.0,1.0
2024-03-04,111.04,111.42,108.89,109.11,106.073566552066,768493,0.0,1.0
2024-03-01,109.98,111.18,108.7,110.46,107.385997262774,552374,0.0,1.0
2024-02-29,110.39,110.39,108.765,109.7,106.64714738119,872294,0.0,1.0
2024-02-28,107.43,110.01,107.0256,109.5,106.452713201826,652093,0.0,1.0
2024-02-27,107.83,107.83,106.4,107.57,104.576423370963,1130363,0.0,1.0
2024-02-26,107.55,108.8532,106.61,107.56,104.566701661995,647075,0.0,1.0
2024-02-23,107.44,109.1023,106.67,108.23,105.218056162864,685603,0.0,1.0
2024-02-22,106.95,107.505,106.19,107.1,104.119503049457,765853,0.0,1.0
