,ANDE_Open,ANDE_High,ANDE_Low,ANDE_Close,ANDE_Adj Close,ANDE_Volume,ANDE_Dividend Amount,ANDE_Split Coefficient
2024-10-07,49.56,50.31,49.16,50.0,50.0,99096,0.0,1.0
2024-10-04,49.3,49.88,49.19,49.84,49.84,103852,0.0,1.0
2024-10-03,48.9,49.26,48.35,48.46,48.46,94460,0.0,1.0
2024-10-02,49.9,50.34,48.75,49.25,49.25,105907,0.0,1.0
2024-10-01,49.81,50.14,48.96,49.9,49.9,122460,0.19,1.0
2024-09-30,50.12,50.49,49.55,50.14,49.9498103413855,130879,0.0,1.0
2024-09-27,50.43,51.15,49.8,50.08,49.8900379317229,93444,0.0,1.0
2024-09-26,49.21,50.53,49.075,50.06,49.8701137951687,165176,0.0,1.0
2024-09-25,50.36,50.36,48.81,48.81,48.624855260531,145769,0.0,1.0
2024-09-24,49.72,50.89,49.0438,50.21,50.0195448193252,172616,0.0,1.0
2024-09-23,49.87,50.3333,49.49,49.75,49.5612896785786,145641,0.0,1.0
2024-09-20,49.92,50.085,49.0938,49.91,49.7206827710122,764019,0.0,1.0
2024-09-19,49.84,50.38,48.9977,50.11,49.9199241365542,138520,0.0,1.0
2024-09-18,49.02,50.64,48.58,49.06,48.8739069674586,132887,0.0,1.0
2024-09-17,48.65,49.69,48.47,49.13,48.9436414453983,125815,0.0,1.0
2024-09-16,48.27,48.5,47.73,48.28,48.0968656418447,131283,0.0,1.0
2024-09-13,47.04,48.13,46.851,47.9,47.7183070473148,169292,0.0,1.0
2024-09-12,46.14,47.0088,45.895,46.38,46.2040726691954,125801,0.0,1.0
2024-09-11,45.75,45.85,44.65,45.71,45.5366140946297,163367,0.0,1.0
2024-09-10,46.71,48.05,45.83,46.16,45.9849071670992,149612,0.0,1.0
2024-09-09,47.73,48.028,46.71,46.82,46.6424036733879,124002,0.0,1.0
2024-09-06,48.99,49.315,47.497,47.8,47.6186863645438,111784,0.0,1.0
2024-09-05,48.58,49.22,48.2878,49.12,48.9336793771212,128961,0.0,1.0
2024-09-04,49.18,49.35,48.52,48.62,48.4355759632661,105261,0.0,1.0
2024-09-03,50.42,50.7102,49.12,49.14,48.9536035136754,117356,0.0,1.0
2024-08-30,50.67,51.07,50.32,50.97,50.7766620083849,144674,0.0,1.0
2024-08-29,50.63,50.91,49.89,50.43,50.2387103214214,102602,0.0,1.0
2024-08-28,50.08,50.73,49.85,50.11,49.9199241365542,106434,0.0,1.0
2024-08-27,50.4,50.64,49.76,50.09,49.9,112548,0.0,1.0
2024-08-26,50.06,51.08,50.06,50.57,50.3781792773009,156753,0.0,1.0
2024-08-23,49.05,50.585,48.99,49.91,49.7206827710122,152395,0.0,1.0
2024-08-22,48.76,49.79,48.24,48.83,48.6447793970852,121105,0.0,1.0
2024-08-21,49.31,49.31,48.62,48.93,48.7444000798563,108657,0.0,1.0
2024-08-20,49.86,49.86,48.72,48.75,48.5650828508684,115831,0.0,1.0
2024-08-19,49.65,50.195,49.305,49.73,49.5413655420244,124856,0.0,1.0
2024-08-16,49.69,50.625,49.33,50.22,50.0295068876023,167981,0.0,1.0
2024-08-15,49.13,49.45,48.44,48.82,48.6348173288081,117941,0.0,1.0
2024-08-14,48.13,48.335,47.34,47.9,47.7183070473148,103738,0.0,1.0
2024-08-13,47.11,48.105,46.09,47.98,47.7980035935316,152432,0.0,1.0
2024-08-12,47.42,47.97,46.55,46.68,46.5029347175085,117101,0.0,1.0
2024-08-09,48.06,48.06,46.63,47.08,46.9014174485925,125215,0.0,1.0
2024-08-08,47.95,48.81,47.66,48.15,47.9673587542424,162323,0.0,1.0
2024-08-07,47.44,48.54,45.55,47.25,47.0707726093033,318119,0.0,1.0
2024-08-06,47.16,47.96,46.24,47.73,47.5489518866041,274836,0.0,1.0
2024-08-05,48.94,48.97,47.25,47.38,47.2002794969056,197192,0.0,1.0
2024-08-02,51.95,52.37,50.985,51.01,50.8165102814933,143668,0.0,1.0
2024-08-01,54.62,55.4299,52.9542,53.22,53.0181273707327,170651,0.0,1.0
2024-07-31,54.92,55.47,53.87,54.53,54.3231583150329,182808,0.0,1.0
2024-07-30,54.31,55.52,53.4601,54.8,54.5921341585147,165530,0.0,1.0
2024-07-29,54.8,55.006,53.34,54.13,53.9246755839489,159375,0.0,1.0
2024-07-26,54.68,55.03,53.69,54.98,54.7714513875025,151787,0.0,1.0
2024-07-25,52.57,54.51,52.57,54.23,54.0242962667199,159994,0.0,1.0
2024-07-24,52.22,52.93,52.045,52.26,52.061768816131,120903,0.0,1.0
