,ANDV_Open,ANDV_High,ANDV_Low,ANDV_Close,ANDV_Adj Close,ANDV_Volume,ANDV_Dividend Amount,ANDV_Split Coefficient
2018-09-28,153.39,154.72,150.65,153.5,153.5,23880112,0.0,1.0
2018-09-27,157.34,159.3,154.28,154.79,154.79,5119657,0.0,1.0
2018-09-26,157.44,158.16,153.5885,157.1,157.1,2836892,0.0,1.0
2018-09-25,159.91,163.19,157.29,157.29,157.29,3050702,0.0,1.0
2018-09-24,155.42,159.9,155.16,158.87,158.87,2663463,0.0,1.0
2018-09-21,153.03,155.92,152.66,154.73,154.73,2461427,0.0,1.0
2018-09-20,150.5,153.58,148.75,152.56,152.56,1704751,0.0,1.0
2018-09-19,155.42,155.42,149.53,150.26,150.26,1948360,0.0,1.0
2018-09-18,155.81,156.89,154.84,155.77,155.77,1475676,0.0,1.0
2018-09-17,156.07,156.41,154.76,155.59,155.59,696383,0.0,1.0
2018-09-14,155.67,156.8568,155.49,156.09,156.09,1470351,0.0,1.0
2018-09-13,155.98,156.42,153.84,155.91,155.91,1415907,0.0,1.0
2018-09-12,156.04,157.64,155.03,155.89,155.89,1062474,0.0,1.0
2018-09-11,152.55,155.5,152.43,154.94,154.94,1282966,0.0,1.0
2018-09-10,153.49,154.33,152.8,153.22,153.22,973133,0.0,1.0
2018-09-07,153.12,153.83,151.73,153.29,153.29,599064,0.0,1.0
2018-09-06,154.95,157.65,153.78,153.8,153.8,908278,0.0,1.0
2018-09-05,155.48,156.27,152.98,155.47,155.47,1256881,0.0,1.0
2018-09-04,153.21,157.1,153.21,155.92,155.92,1831626,0.0,1.0
2018-08-31,153.21,153.33,150.69,152.79,152.79,2571840,0.0,1.0
2018-08-30,154.81,155.3,152.32,153.79,153.79,1627870,0.59,1.0
2018-08-29,155.54,156.74,154.19,155.45,154.855910739733,1013309,0.0,1.0
2018-08-28,155.05,156.72,154.87,155.55,154.955528565876,1298115,0.0,1.0
2018-08-27,155.69,156.99,154.47,155.38,154.786178261433,1453835,0.0,1.0
2018-08-24,152.45,155.61,152.32,155.26,154.666636870061,1578449,0.0,1.0
2018-08-23,149.65,152.29,149.3,152.24,151.658178520534,839833,0.0,1.0
2018-08-22,148.0,150.2,147.84,149.71,149.137847519109,1320085,0.0,1.0
