,APOG_Open,APOG_High,APOG_Low,APOG_Close,APOG_Adj Close,APOG_Volume,APOG_Dividend Amount,APOG_Split Coefficient
2024-10-07,82.64,82.64,77.3322,78.81,78.81,359692,0.0,1.0
2024-10-04,75.75,86.22,75.0253,83.93,83.93,883152,0.0,1.0
2024-10-03,69.15,69.975,68.12,68.43,68.43,232999,0.0,1.0
2024-10-02,68.67,69.54,68.11,69.33,69.33,116432,0.0,1.0
2024-10-01,69.69,69.705,67.77,69.3,69.3,104298,0.0,1.0
2024-09-30,69.44,70.46,69.03,70.015,70.015,125529,0.0,1.0
2024-09-27,70.04,71.49,69.155,69.81,69.81,121068,0.0,1.0
2024-09-26,68.34,69.8,68.285,69.67,69.67,137886,0.0,1.0
2024-09-25,68.15,69.025,67.235,67.9,67.9,165235,0.0,1.0
2024-09-24,68.04,68.05,66.68,66.71,66.71,77918,0.0,1.0
2024-09-23,68.2,68.7299,67.1701,67.43,67.43,91567,0.0,1.0
2024-09-20,69.09,69.74,67.46,67.5,67.5,622638,0.0,1.0
2024-09-19,69.14,69.595,68.14,69.53,69.53,95255,0.0,1.0
2024-09-18,68.77,69.88,67.22,67.47,67.47,105424,0.0,1.0
2024-09-17,67.31,68.9756,66.96,68.41,68.41,118583,0.0,1.0
2024-09-16,65.99,67.03,65.74,66.87,66.87,173445,0.0,1.0
2024-09-13,64.21,65.68,63.85,65.44,65.44,81965,0.0,1.0
2024-09-12,62.98,63.71,62.53,63.28,63.28,64750,0.0,1.0
2024-09-11,62.77,62.81,61.07,62.64,62.64,84178,0.0,1.0
2024-09-10,62.09,63.31,61.28,63.3,63.3,113574,0.0,1.0
2024-09-09,62.18,63.4,60.79,61.99,61.99,112625,0.0,1.0
2024-09-06,63.38,64.43,61.805,62.31,62.31,70529,0.0,1.0
2024-09-05,63.84,63.89,62.99,63.28,63.28,71898,0.0,1.0
2024-09-04,63.8,64.21,63.15,63.51,63.51,100645,0.0,1.0
2024-09-03,66.07,66.21,63.93,64.02,64.02,87575,0.0,1.0
2024-08-30,66.39,66.92,65.62,66.78,66.78,140833,0.0,1.0
2024-08-29,66.09,67.95,65.175,66.36,66.36,74131,0.0,1.0
2024-08-28,65.72,66.63,65.23,65.43,65.43,84260,0.0,1.0
2024-08-27,67.15,67.76,64.1905,66.09,66.09,62859,0.0,1.0
2024-08-26,67.91,69.15,67.4194,67.61,67.61,76890,0.0,1.0
2024-08-23,64.71,67.46,64.52,67.26,67.26,96533,0.0,1.0
2024-08-22,64.21,65.25,63.685,64.0,64.0,43732,0.0,1.0
2024-08-21,63.59,64.9,63.5,64.51,64.51,84349,0.0,1.0
