,ASTE_Open,ASTE_High,ASTE_Low,ASTE_Close,ASTE_Adj Close,ASTE_Volume,ASTE_Dividend Amount,ASTE_Split Coefficient
2024-10-07,30.3,30.88,30.209,30.77,30.77,106190,0.0,1.0
2024-10-04,30.86,31.05,30.57,30.97,30.97,68755,0.0,1.0
2024-10-03,30.61,30.81,30.24,30.29,30.29,145313,0.0,1.0
2024-10-02,30.91,31.43,30.84,30.86,30.86,109471,0.0,1.0
2024-10-01,31.79,31.79,30.88,30.98,30.98,111579,0.0,1.0
2024-09-30,31.6,32.16,31.445,31.94,31.94,264827,0.0,1.0
2024-09-27,31.75,32.63,31.565,31.7,31.7,151675,0.0,1.0
2024-09-26,31.69,31.875,31.39,31.39,31.39,128027,0.0,1.0
2024-09-25,31.69,31.75,31.05,31.13,31.13,93224,0.0,1.0
2024-09-24,31.82,32.16,31.67,31.7,31.7,99958,0.0,1.0
2024-09-23,32.13,32.25,31.43,31.72,31.72,108627,0.0,1.0
2024-09-20,32.38,32.6199,31.88,31.9,31.9,483986,0.0,1.0
2024-09-19,33.22,33.24,32.3,32.64,32.64,137434,0.0,1.0
2024-09-18,32.05,33.33,31.66,32.11,32.11,141514,0.0,1.0
2024-09-17,32.09,32.67,31.78,32.0,32.0,133507,0.0,1.0
2024-09-16,31.59,31.79,31.19,31.77,31.77,150629,0.0,1.0
2024-09-13,30.9,31.36,30.705,31.31,31.31,112697,0.0,1.0
2024-09-12,30.52,30.57,29.895,30.34,30.34,132249,0.0,1.0
2024-09-11,29.97,30.33,29.04,30.28,30.28,144712,0.0,1.0
2024-09-10,30.5,30.64,29.932,30.13,30.13,150683,0.0,1.0
2024-09-09,30.6,31.125,30.1903,30.28,30.28,155027,0.0,1.0
2024-09-06,30.75,31.35,30.3,30.4,30.4,131410,0.0,1.0
2024-09-05,31.58,31.58,30.65,30.82,30.82,236763,0.0,1.0
2024-09-04,31.62,32.11,31.17,31.32,31.32,81426,0.0,1.0
2024-09-03,33.52,33.52,31.745,31.84,31.84,129274,0.0,1.0
2024-08-30,34.32,34.32,33.25,33.83,33.83,99085,0.0,1.0
2024-08-29,34.12,34.45,33.67,33.98,33.98,85520,0.0,1.0
2024-08-28,33.68,34.045,33.43,33.73,33.73,80817,0.0,1.0
2024-08-27,34.45,34.45,33.39,33.68,33.68,103903,0.0,1.0
2024-08-26,34.29,34.89,34.18,34.56,34.56,159919,0.0,1.0
2024-08-23,33.0,34.62,32.96,34.03,34.03,124135,0.0,1.0
2024-08-22,32.88,32.96,32.565,32.67,32.67,69356,0.0,1.0
2024-08-21,32.74,32.98,32.295,32.78,32.78,102571,0.0,1.0
2024-08-20,32.69,32.7,31.96,32.35,32.35,66077,0.0,1.0
2024-08-19,32.86,33.19,32.635,32.93,32.93,113824,0.0,1.0
2024-08-16,33.04,33.72,32.86,32.86,32.86,391482,0.0,1.0
2024-08-15,32.84,33.46,32.52,33.02,33.02,77553,0.0,1.0
2024-08-14,32.8,32.8,31.54,32.0,32.0,155743,0.0,1.0
2024-08-13,31.9,32.73,31.71,32.59,32.59,118664,0.0,1.0
2024-08-12,31.71,31.72,30.98,31.55,31.55,119841,0.13,1.0
2024-08-09,31.75,31.86,31.34,31.78,31.6495896464647,93614,0.0,1.0
2024-08-08,31.57,31.9,30.81,31.74,31.6097537878788,123014,0.0,1.0
2024-08-07,31.73,33.28,30.75,31.23,31.1018465909091,198376,0.0,1.0
2024-08-06,30.97,31.78,30.97,31.33,31.2014362373737,244162,0.0,1.0
2024-08-05,30.47,31.16,29.79,31.12,30.992297979798,174308,0.0,1.0
2024-08-02,32.33,32.48,31.59,32.07,31.9383996212121,143092,0.0,1.0
2024-08-01,35.1,35.335,33.11,33.47,33.3326546717172,118265,0.0,1.0
2024-07-31,35.21,36.05,33.97,35.09,34.9460069444444,191169,0.0,1.0
2024-07-30,35.03,35.26,34.37,34.97,34.8264993686869,94121,0.0,1.0
2024-07-29,35.35,35.35,34.4125,34.72,34.5775252525253,111379,0.0,1.0
2024-07-26,35.1,35.55,34.75,35.24,35.0953914141414,160221,0.0,1.0
2024-07-25,33.63,35.23,33.63,34.56,34.4181818181818,176824,0.0,1.0
2024-07-24,34.66,35.05,33.14,33.32,33.1832702020202,117218,0.0,1.0
2024-07-23,33.65,35.453,33.65,34.95,34.8065814393939,156109,0.0,1.0
2024-07-22,33.49,34.26,32.95,34.02,33.8803977272727,132397,0.0,1.0
2024-07-19,33.67,33.67,32.77,33.27,33.1334753787879,303393,0.0,1.0
2024-07-18,33.99,35.19,33.49,33.71,33.5716698232323,113151,0.0,1.0
2024-07-17,33.91,34.6,33.78,34.06,33.9202335858586,173326,0.0,1.0
2024-07-16,32.36,34.37,32.36,34.32,34.1791666666667,199870,0.0,1.0
2024-07-15,31.73,32.6399,31.3126,31.99,31.8587279040404,230838,0.0,1.0
2024-07-12,31.47,32.03,31.38,31.45,31.3209438131313,195419,0.0,1.0
2024-07-11,29.96,31.31,29.96,30.99,30.8628314393939,183967,0.0,1.0
2024-07-10,28.92,29.685,28.6,29.56,29.4386994949495,110980,0.0,1.0
2024-07-09,28.9,29.22,28.46,28.71,28.5921875,135420,0.0,1.0
2024-07-08,29.58,29.72,29.01,29.02,28.9009154040404,96560,0.0,1.0
2024-07-05,29.25,29.35,28.71,29.24,29.1200126262626,135193,0.0,1.0
2024-07-03,29.31,29.73,29.25,29.38,29.2594381313131,45639,0.0,1.0
2024-07-02,28.93,29.43,28.83,29.16,29.0403409090909,125989,0.0,1.0
2024-07-01,29.65,29.775,28.625,28.82,28.7017361111111,169207,0.0,1.0
2024-06-28,29.77,30.04,29.35,29.66,29.5382891414141,367905,0.0,1.0
2024-06-27,29.49,29.62,29.18,29.36,29.2395202020202,124430,0.0,1.0
2024-06-26,29.37,29.43,28.94,29.38,29.2594381313131,101839,0.0,1.0
2024-06-25,29.88,30.02,29.22,29.41,29.2893150252525,179374,0.0,1.0
2024-06-24,30.45,30.9246,29.91,29.93,29.8071811868687,150388,0.0,1.0
2024-06-21,30.12,30.57,29.88,30.22,30.0959911616162,628570,0.0,1.0
2024-06-20,30.03,31.06,29.93,29.96,29.8370580808081,132991,0.0,1.0
2024-06-18,30.42,30.6789,29.94,30.02,29.8968118686869,144169,0.0,1.0
2024-06-17,30.06,30.52,29.51,30.52,30.3947601010101,196604,0.0,1.0
2024-06-14,30.85,31.3091,30.0,30.31,30.1856218434343,138693,0.0,1.0
2024-06-13,31.63,31.63,30.69,31.29,31.1616003787879,180180,0.0,1.0
2024-06-12,32.29,32.71,31.47,31.63,31.5002051767677,82849,0.0,1.0
2024-06-11,31.1,31.45,30.61,31.4,31.271148989899,107808,0.0,1.0
2024-06-10,30.81,31.59,30.6,31.29,31.1616003787879,80181,0.0,1.0
2024-06-07,30.98,31.53,30.74,31.04,30.9126262626263,151312,0.0,1.0
2024-06-06,31.36,31.495,31.02,31.24,31.1118055555556,81177,0.0,1.0
2024-06-05,31.2,31.5,30.55,31.36,31.2313131313131,156795,0.0,1.0
2024-06-04,31.55,31.99,30.86,31.12,30.992297979798,181903,0.0,1.0
2024-06-03,32.83,32.83,31.31,31.58,31.4504103535354,105358,0.0,1.0
2024-05-31,32.28,32.55,32.218,32.49,32.3566761363636,152098,0.0,1.0
2024-05-30,32.06,32.835,31.92,32.18,32.0479482323232,118320,0.0,1.0
2024-05-29,32.48,32.67,31.73,31.73,31.5997948232323,89139,0.0,1.0
2024-05-28,33.46,33.61,32.73,32.74,32.6056502525253,102573,0.0,1.0
2024-05-24,33.81,34.0025,33.16,33.23,33.093639520202,95960,0.0,1.0
2024-05-23,34.05,34.05,33.3,33.5,33.3625315656566,128238,0.0,1.0
2024-05-22,33.52,34.43,33.17,33.97,33.8306029040404,194527,0.0,1.0
2024-05-21,33.49,33.75,32.86,33.56,33.4222853535354,129896,0.0,1.0
2024-05-20,33.98,34.35,33.43,33.54,33.4023674242424,117449,0.0,1.0
2024-05-17,33.78,33.78,33.25,33.49,33.3525726010101,188515,0.0,1.0
2024-05-16,35.18,35.18,33.55,33.55,33.4123263888889,189691,0.0,1.0
2024-05-15,35.43,35.43,34.56,35.2,35.0555555555556,154042,0.0,1.0
2024-05-14,35.06,35.26,34.62,35.01,34.8663352272727,169234,0.0,1.0
2024-05-13,35.3,35.53,34.33,34.5,34.358428030303,199439,0.0,1.0
2024-05-10,34.76,34.93,33.95,34.82,34.6771148989899,170525,0.13,1.0
2024-05-09,34.01,34.895,33.68,34.89,34.6175833712663,199516,0.0,1.0
2024-05-08,33.22,34.06,32.99,33.79,33.5261720296672,186764,0.0,1.0
2024-05-07,32.8,33.658,32.57,33.34,33.0796855717403,308293,0.0,1.0
2024-05-06,32.51,32.97,32.11,32.64,32.3851510816318,282899,0.0,1.0
2024-05-03,33.79,34.17,32.17,32.38,32.1271811281629,459410,0.0,1.0
2024-05-02,33.16,33.2,31.49,33.16,32.9010909885695,474547,0.0,1.0
2024-05-01,35.12,35.13,32.2494,33.77,33.5063281870927,627440,0.0,1.0
2024-04-30,42.73,42.8099,41.56,41.8,41.4736309807662,230790,0.0,1.0
2024-04-29,43.05,43.18,42.31,42.92,42.5848861649398,106355,0.0,1.0
2024-04-26,42.54,42.93,42.28,42.64,42.3070723688964,97436,0.0,1.0
2024-04-25,43.35,43.35,41.981,42.48,42.1483216283002,131484,0.0,1.0
2024-04-24,42.85,44.03,42.7675,43.96,43.6167659788153,181597,0.0,1.0
2024-04-23,42.94,43.78,42.94,43.1,42.7634807481106,81181,0.0,1.0
2024-04-22,43.1,43.19,42.39,42.94,42.6047300075143,111529,0.0,1.0
2024-04-19,41.63,42.845,41.63,42.77,42.4360573456309,277525,0.0,1.0
2024-04-18,41.99,42.48,41.72,41.88,41.5530063510643,128209,0.0,1.0
2024-04-17,42.2,42.23,41.17,41.73,41.4041775317553,155341,0.0,1.0
2024-04-16,42.11,42.455,41.41,42.2,41.8705078322568,60654,0.0,1.0
2024-04-15,42.74,43.1,42.35,42.41,42.0788681792893,75327,0.0,1.0
2024-04-12,43.25,43.45,42.3375,42.49,42.1582435495874,62539,0.0,1.0
2024-04-11,43.12,43.61,42.66,43.56,43.2198891273248,78630,0.0,1.0
2024-04-10,42.95,43.4,41.47,43.26,42.9222314887068,124615,0.0,1.0
2024-04-09,44.07,44.465,43.77,44.04,43.6961413491135,55359,0.0,1.0
2024-04-08,44.55,44.74,43.92,44.02,43.6762975065389,57891,0.0,1.0
2024-04-05,43.49,44.54,43.49,44.45,44.1029401218913,118663,0.0,1.0
2024-04-04,44.26,44.735,43.44,43.56,43.2198891273248,80965,0.0,1.0
2024-04-03,42.49,43.87,42.49,43.87,43.5274686872299,91537,0.0,1.0
2024-04-02,42.09,42.84,42.03,42.69,42.3566819753327,116095,0.0,1.0
2024-04-01,44.03,44.03,42.73,42.73,42.3963696604818,97863,0.0,1.0
2024-03-28,43.61,44.11,43.33,43.71,43.3687179466337,111583,0.0,1.0
2024-03-27,42.79,43.54,42.665,43.47,43.1305918357394,75211,0.0,1.0
2024-03-26,42.49,42.66,41.8201,42.27,41.9399612812676,76022,0.0,1.0
2024-03-25,42.22,42.49,41.9848,42.11,41.7812105406714,68959,0.0,1.0
2024-03-22,42.35,42.47,41.745,41.99,41.6621474852242,119036,0.0,1.0
2024-03-21,41.44,42.41,41.44,42.22,41.8903516748313,114650,0.0,1.0
2024-03-20,40.6,41.72,40.11,41.4,41.0767541292756,108521,0.0,1.0
2024-03-19,39.98,40.8,39.98,40.62,40.3028442688689,72561,0.0,1.0
2024-03-18,40.46,40.79,39.96,40.01,39.6976070703458,130790,0.0,1.0
2024-03-15,39.94,41.005,39.94,40.64,40.3226881114435,404546,0.0,1.0
2024-03-14,40.14,40.36,39.575,40.04,39.7273728342076,116142,0.0,1.0
2024-03-13,39.89,40.82,39.89,40.37,40.0547962366873,126417,0.0,1.0
2024-03-12,40.35,40.87,39.93,39.94,39.628153621335,159331,0.0,1.0
2024-03-11,41.75,41.79,40.15,40.43,40.1143277644109,120957,0.0,1.0
2024-03-08,42.8,43.03,41.575,41.78,41.4537871381916,167041,0.13,1.0
2024-03-07,41.16,42.26,40.93,42.21,41.7505214770477,145475,0.0,1.0
2024-03-06,41.13,41.838,40.93,41.68,41.2262908117353,138930,0.0,1.0
2024-03-05,40.23,41.24,40.045,40.77,40.3261966505386,183142,0.0,1.0
2024-03-04,40.75,41.21,40.37,40.65,40.2075029149962,182160,0.0,1.0
2024-03-01,40.6,41.12,39.98,40.7,40.2569586381389,284009,0.0,1.0
2024-02-29,39.8,40.78,38.95,40.6,40.1580471918535,345422,0.0,1.0
2024-02-28,39.96,41.39,37.65,38.68,38.2589474231747,241464,0.0,1.0
2024-02-27,35.55,36.48,35.4,36.33,35.9345284354689,175313,0.0,1.0
2024-02-26,34.98,35.74,34.98,35.38,34.9948696957581,76096,0.0,1.0
2024-02-23,34.88,35.5,34.55,35.22,34.8366113817015,64900,0.0,1.0
2024-02-22,35.18,35.315,34.58,34.94,34.5596593321025,100138,0.0,1.0
2024-02-21,34.76,35.47,34.76,35.28,34.8959582494727,136945,0.0,1.0
2024-02-20,35.09,35.17,34.59,34.88,34.5003124643313,72268,0.0,1.0
2024-02-16,35.59,35.94,34.95,35.69,35.3014951792427,104288,0.0,1.0
2024-02-15,35.0,35.89,34.67,35.88,35.4894269271848,303803,0.0,1.0
2024-02-14,34.23,35.065,33.99,34.82,34.4409655965601,107884,0.0,1.0
2024-02-13,35.01,35.4,33.5,33.89,33.5210891461063,119884,0.0,1.0
2024-02-12,35.36,36.34,35.36,36.31,35.9147461462118,85023,0.0,1.0
2024-02-09,35.42,35.42,34.67,35.16,34.7772645139303,69424,0.0,1.0
2024-02-08,34.75,35.53,34.28,35.41,35.0245431296437,88652,0.0,1.0
2024-02-07,35.42,35.88,34.8,34.84,34.4607478858171,70994,0.0,1.0
2024-02-06,34.97,36.02,34.85,35.4,35.0146519850151,77816,0.0,1.0
2024-02-05,35.87,35.87,34.96,35.1,34.7179176461591,87482,0.0,1.0
2024-02-02,35.39,36.5,35.16,36.05,35.6575763858699,78080,0.0,1.0
2024-02-01,35.79,36.22,34.8114,35.88,35.4894269271848,98018,0.0,1.0
2024-01-31,36.02,37.26,35.52,35.6,35.2124748775858,266665,0.0,1.0
2024-01-30,36.04,36.65,35.87,35.88,35.4894269271848,97095,0.0,1.0
2024-01-29,35.77,36.44,35.26,36.29,35.8949638569548,101611,0.0,1.0
2024-01-26,36.58,37.355,35.88,35.88,35.4894269271848,89978,0.0,1.0
2024-01-25,35.72,36.78,35.72,36.24,35.8455081338121,107612,0.0,1.0
2024-01-24,35.55,35.55,34.74,35.12,34.7376999354161,109270,0.0,1.0
2024-01-23,35.45,35.88,34.93,34.95,34.569550476731,144824,0.0,1.0
2024-01-22,34.0,35.24,34.0,35.15,34.7673733693017,112431,0.0,1.0
2024-01-19,34.08,34.08,33.2,33.83,33.4617422783351,152561,0.0,1.0
2024-01-18,33.35,33.9,33.125,33.81,33.441959989078,86260,0.0,1.0
2024-01-17,33.34,33.345,32.7,32.99,32.6308861295381,168087,0.0,1.0
2024-01-16,33.79,34.22,33.71,33.75,33.3826131213068,203333,0.0,1.0
2024-01-12,35.02,35.2821,33.995,34.17,33.7980411957053,48419,0.0,1.0
2024-01-11,34.07,34.61,33.73,34.56,34.1837958362182,126048,0.0,1.0
2024-01-10,34.11,34.3,33.7505,34.3,33.9266260758762,78602,0.0,1.0
2024-01-09,34.7,34.7,34.07,34.21,33.8376057742194,82287,0.0,1.0
2024-01-08,34.74,35.28,34.53,35.26,34.8761759602156,122034,0.0,1.0
2024-01-05,34.8,35.5494,34.73,34.9,34.5200947535884,287541,0.0,1.0
2024-01-04,35.31,35.46,34.8,35.18,34.7970468031873,191168,0.0,1.0
2024-01-03,35.57,35.78,34.89,35.11,34.7278087907876,165501,0.0,1.0
2024-01-02,36.93,37.06,35.65,35.83,35.4399712040421,109184,0.0,1.0
2023-12-29,37.3,37.46,36.8082,37.2,36.7950580181515,126961,0.0,1.0
2023-12-28,37.4,37.58,37.3,37.43,37.0225543446078,91096,0.0,1.0
2023-12-27,37.91,38.14,37.27,37.38,36.9730986214651,74068,0.0,1.0
2023-12-26,37.63,38.04,37.41,37.9,37.487438142149,82494,0.0,1.0
2023-12-22,37.87,38.32,37.36,37.49,37.081901212379,99413,0.0,1.0
2023-12-21,37.77,37.92,36.93,37.48,37.0720100677505,152687,0.0,1.0
2023-12-20,38.17,38.665,37.26,37.28,36.8741871751798,152810,0.0,1.0
2023-12-19,37.43,38.64,37.43,38.34,37.9226485058045,169299,0.0,1.0
2023-12-18,37.35,37.59,36.729,36.94,36.5378882578096,234665,0.0,1.0
2023-12-15,38.12,38.835,37.46,37.47,37.0621189231219,836089,0.0,1.0
2023-12-14,35.47,37.765,35.47,37.5,37.0917923570075,251209,0.0,1.0
2023-12-13,33.21,34.91,33.06,34.62,34.2431427039894,183880,0.0,1.0
2023-12-12,32.4,33.5,32.045,33.2,32.8386001667374,146178,0.0,1.0
2023-12-11,31.99,32.38,31.69,32.35,31.9978528733118,237974,0.0,1.0
2023-12-08,31.75,32.37,31.71,31.74,31.3944930509712,107738,0.0,1.0
2023-12-07,31.84,32.08,31.505,31.87,31.5230779311422,135750,0.0,1.0
2023-12-06,31.56,32.37,30.8301,31.74,31.3944930509712,131323,0.0,1.0
2023-12-05,32.53,32.53,31.36,31.42,31.0779764228581,115795,0.0,1.0
2023-12-04,31.78,32.53,31.67,32.47,32.1165466088543,242352,0.0,1.0
2023-12-01,30.88,32.3,30.71,32.17,31.8198122699982,180585,0.0,1.0
2023-11-30,31.4,31.59,30.76,31.09,30.7515686501164,183115,0.0,1.0
2023-11-29,31.33,31.575,31.0,31.27,30.92960925343,207072,0.0,1.0
2023-11-28,31.77,31.8,31.0,31.04,30.7021129269737,87198,0.0,1.0
2023-11-27,31.92,32.37,31.75,31.83,31.483513352628,80383,0.0,1.0
2023-11-24,31.99,32.315,31.99,32.08,31.7307919683414,34194,0.0,1.0
2023-11-22,31.79,32.16,31.465,31.77,31.4241664848568,126474,0.0,1.0
2023-11-21,31.87,32.0897,31.34,31.79,31.4439487741139,75269,0.0,1.0
2023-11-20,32.56,33.01,32.19,32.19,31.8395945592553,137525,0.0,1.0
2023-11-17,32.05,32.47,31.6301,32.36,32.0077440179404,249807,0.0,1.0
2023-11-16,32.26,32.79,31.38,31.67,31.3252550385714,103104,0.0,1.0
2023-11-15,32.49,33.2675,32.004,32.31,31.9582882947977,143739,0.0,1.0
2023-11-14,31.67,32.77,31.58,32.28,31.9286148609121,378761,0.0,1.0
2023-11-13,31.17,31.85,30.97,31.09,30.7515686501164,127573,0.0,1.0
2023-11-10,29.95,31.27,29.46,31.22,30.8801535302874,171603,0.0,1.0
