,ATI_Open,ATI_High,ATI_Low,ATI_Close,ATI_Adj Close,ATI_Volume,ATI_Dividend Amount,ATI_Split Coefficient
2024-10-07,64.48,65.02,64.02,64.64,64.64,626302,0.0,1.0
2024-10-04,64.96,65.45,64.0,65.09,65.09,918233,0.0,1.0
2024-10-03,65.59,66.1,63.77,63.91,63.91,1476052,0.0,1.0
2024-10-02,65.72,67.07,64.79,65.59,65.59,1351104,0.0,1.0
2024-10-01,66.57,67.09,65.805,65.96,65.96,1115760,0.0,1.0
2024-09-30,65.66,67.03,65.66,66.91,66.91,1023017,0.0,1.0
2024-09-27,66.2,67.39,65.62,66.27,66.27,1601883,0.0,1.0
2024-09-26,66.46,67.47,65.14,65.32,65.32,1462773,0.0,1.0
2024-09-25,64.71,65.72,64.27,65.42,65.42,1080550,0.0,1.0
2024-09-24,65.77,66.0,64.36,64.64,64.64,1030968,0.0,1.0
2024-09-23,65.44,65.82,64.43,65.02,65.02,719062,0.0,1.0
2024-09-20,64.45,64.88,63.5,63.84,63.84,2188127,0.0,1.0
2024-09-19,64.23,64.8,62.755,64.68,64.68,760711,0.0,1.0
2024-09-18,62.17,63.35,61.35,62.28,62.28,635178,0.0,1.0
2024-09-17,61.61,61.96,60.66,61.84,61.84,777978,0.0,1.0
2024-09-16,61.61,63.09,61.17,61.61,61.61,1456762,0.0,1.0
2024-09-13,62.12,62.77,60.84,61.77,61.77,1850063,0.0,1.0
2024-09-12,61.69,63.37,61.42,62.2,62.2,1191220,0.0,1.0
2024-09-11,58.97,61.58,58.74,61.38,61.38,1487853,0.0,1.0
2024-09-10,59.22,60.17,58.71,59.53,59.53,1256445,0.0,1.0
2024-09-09,58.8,60.51,58.45,59.22,59.22,2083192,0.0,1.0
2024-09-06,59.8,60.075,57.3,58.13,58.13,2498693,0.0,1.0
2024-09-05,60.03,60.22,57.98,59.94,59.94,3058785,0.0,1.0
2024-09-04,59.82,61.095,59.16,59.79,59.79,6281450,0.0,1.0
2024-09-03,64.71,65.185,60.09,60.27,60.27,1937663,0.0,1.0
2024-08-30,64.78,65.045,63.5,63.88,63.88,1249355,0.0,1.0
