,ATO_Open,ATO_High,ATO_Low,ATO_Close,ATO_Adj Close,ATO_Volume,ATO_Dividend Amount,ATO_Split Coefficient
2024-10-07,139.29,139.61,136.66,137.66,137.66,953298,0.0,1.0
2024-10-04,138.32,140.04,138.09,139.84,139.84,674240,0.0,1.0
2024-10-03,139.22,139.33,138.06,139.22,139.22,744237,0.0,1.0
2024-10-02,137.95,139.32,137.53,139.12,139.12,620427,0.0,1.0
2024-10-01,138.79,139.625,137.83,138.98,138.98,771025,0.0,1.0
2024-09-30,138.18,138.93,137.295,138.71,138.71,648601,0.0,1.0
2024-09-27,137.19,138.42,137.0,137.78,137.78,729002,0.0,1.0
2024-09-26,136.46,137.97,136.065,136.77,136.77,527553,0.0,1.0
2024-09-25,137.47,137.47,136.14,136.58,136.58,761541,0.0,1.0
2024-09-24,136.34,138.48,136.03,136.48,136.48,698114,0.0,1.0
2024-09-23,136.96,137.49,136.4875,137.35,137.35,732578,0.0,1.0
2024-09-20,137.42,137.42,135.37,136.56,136.56,2146553,0.0,1.0
2024-09-19,136.24,136.87,134.95,136.25,136.25,1021649,0.0,1.0
2024-09-18,138.07,138.59,136.09,136.53,136.53,629335,0.0,1.0
2024-09-17,138.0,138.78,137.79,138.15,138.15,740330,0.0,1.0
2024-09-16,137.39,138.56,137.02,138.27,138.27,762467,0.0,1.0
2024-09-13,135.18,136.97,133.8964,136.97,136.97,887215,0.0,1.0
2024-09-12,134.44,135.07,133.86,134.77,134.77,795645,0.0,1.0
2024-09-11,135.7,136.1,132.58,134.78,134.78,927788,0.0,1.0
2024-09-10,134.25,136.33,134.25,136.2,136.2,1656890,0.0,1.0
2024-09-09,131.12,134.02,130.88,133.8,133.8,1656760,0.0,1.0
2024-09-06,131.74,132.315,130.66,130.8,130.8,879197,0.0,1.0
2024-09-05,133.31,133.46,131.18,131.42,131.42,631547,0.0,1.0
2024-09-04,132.27,133.27,131.2,132.2,132.2,814014,0.0,1.0
2024-09-03,130.81,133.01,130.67,131.85,131.85,1029531,0.0,1.0
2024-08-30,129.36,131.07,128.96,130.74,130.74,872069,0.0,1.0
2024-08-29,129.25,129.465,128.12,129.39,129.39,503343,0.0,1.0
2024-08-28,129.58,130.64,128.98,129.09,129.09,652159,0.0,1.0
2024-08-27,129.96,130.34,129.265,129.31,129.31,430826,0.0,1.0
2024-08-26,129.76,131.0,129.54,130.19,130.19,656908,0.805,1.0
2024-08-23,130.11,130.49,129.57,130.09,129.290561471812,507888,0.0,1.0
2024-08-22,129.67,130.33,129.18,129.72,128.922835222718,433086,0.0,1.0
2024-08-21,129.27,130.08,128.93,129.59,128.793634108172,648614,0.0,1.0
2024-08-20,129.31,129.97,128.985,129.26,128.46566204817,478309,0.0,1.0
2024-08-19,129.14,130.0,128.875,129.41,128.614740257262,653741,0.0,1.0
2024-08-16,129.34,129.62,128.4,129.21,128.415969311806,876019,0.0,1.0
2024-08-15,128.08,129.73,127.43,129.03,128.237075460895,846672,0.0,1.0
2024-08-14,128.48,129.35,128.005,128.66,127.869349211802,725456,0.0,1.0
2024-08-13,129.22,129.28,128.32,128.8,128.008488873621,461110,0.0,1.0
2024-08-12,128.29,129.06,128.02,128.64,127.849472117256,591079,0.0,1.0
2024-08-09,127.29,128.25,126.18,128.05,127.263097828161,674463,0.0,1.0
2024-08-08,127.7,128.445,126.08,126.95,126.169857628154,1237181,0.0,1.0
2024-08-07,128.11,129.36,127.13,128.1,127.312790564525,1097844,0.0,1.0
2024-08-06,127.12,129.15,126.93,127.52,126.736354822703,1054520,0.0,1.0
2024-08-05,130.86,131.6,127.0001,127.26,126.47795259361,1203917,0.0,1.0
2024-08-02,132.07,132.24,127.955,129.99,129.191175999084,678785,0.0,1.0
2024-08-01,128.48,130.28,127.7025,130.08,129.280622924539,813546,0.0,1.0
2024-07-31,128.34,128.73,127.35,127.88,127.094142524524,1809368,0.0,1.0
2024-07-30,126.82,128.49,126.01,128.22,127.432053131799,1105064,0.0,1.0
2024-07-29,126.48,127.41,125.57,127.04,126.259304553609,620366,0.0,1.0
2024-07-26,125.54,126.355,125.25,126.16,125.384712393603,504438,0.0,1.0
2024-07-25,126.5,127.9,124.71,124.93,124.162271079049,900421,0.0,1.0
2024-07-24,125.03,125.985,124.75,125.9,125.12631016451,837752,0.0,1.0
2024-07-23,123.51,125.15,122.87,124.54,123.77466773541,629498,0.0,1.0
2024-07-22,123.08,124.035,122.7,123.51,122.750997366312,925266,0.0,1.0
2024-07-19,123.98,123.98,121.81,122.95,122.194438719035,1031875,0.0,1.0
2024-07-18,124.02,125.08,123.16,123.22,122.462779495401,1169182,0.0,1.0
2024-07-17,122.84,125.38,122.525,124.65,123.883991755411,794670,0.0,1.0
2024-07-16,121.36,122.48,120.76,122.34,121.588187335394,697481,0.0,1.0
2024-07-15,120.32,121.26,119.9,120.83,120.087466697202,588458,0.0,1.0
2024-07-12,120.58,121.84,120.13,120.94,120.196790717203,816031,0.0,1.0
2024-07-11,118.02,120.275,117.78,119.87,119.133366159014,940878,0.0,1.0
2024-07-10,115.27,117.07,114.645,117.01,116.290941638994,803222,0.0,1.0
2024-07-09,113.65,114.99,113.46,114.77,114.064707049887,942089,0.0,1.0
2024-07-08,114.71,115.065,113.59,114.08,113.378947288064,867600,0.0,1.0
2024-07-05,115.28,115.86,114.23,114.62,113.915628840795,1429173,0.0,1.0
2024-07-03,116.53,117.005,115.16,115.16,114.452310393526,403055,0.0,1.0
2024-07-02,116.03,116.55,115.61,116.52,115.803952822627,806352,0.0,1.0
2024-07-01,116.92,117.3,115.745,115.98,115.267271269896,853420,0.0,1.0
2024-06-28,117.01,117.05,115.575,116.65,115.933153937173,1452574,0.0,1.0
2024-06-27,116.25,116.85,114.52,116.55,115.833768464445,644626,0.0,1.0
2024-06-26,115.35,116.32,114.69,116.11,115.396472384442,931869,0.0,1.0
2024-06-25,117.96,118.35,115.97,116.53,115.8138913699,1214781,0.0,1.0
2024-06-24,115.97,118.37,115.97,118.02,117.294734913546,821906,0.0,1.0
2024-06-21,117.02,117.91,116.23,116.29,115.575366235353,1456966,0.0,1.0
2024-06-20,116.81,118.38,116.7,117.18,116.459896942631,735640,0.0,1.0
2024-06-18,116.22,117.35,115.91,117.0,116.281003091721,699056,0.0,1.0
2024-06-17,115.69,117.05,115.31,116.29,115.575366235353,800881,0.0,1.0
2024-06-14,115.49,116.3,115.21,116.15,115.436226573533,818916,0.0,1.0
2024-06-13,116.06,116.58,115.25,116.17,115.456103668079,1537561,0.0,1.0
2024-06-12,117.27,117.75,115.5,116.18,115.466042215352,1185659,0.0,1.0
2024-06-11,115.0,115.795,114.47,115.75,115.038684682621,1098490,0.0,1.0
2024-06-10,114.69,115.59,114.45,115.48,114.770343906256,1060641,0.0,1.0
2024-06-07,114.35,115.56,114.35,114.78,114.07464559716,1073171,0.0,1.0
2024-06-06,114.76,115.51,114.34,115.45,114.740528264438,1125266,0.0,1.0
2024-06-05,115.49,115.615,114.385,115.01,114.303232184435,1087071,0.0,1.0
2024-06-04,114.92,116.4,114.24,115.89,115.177824344441,880333,0.0,1.0
2024-06-03,115.92,116.58,115.33,115.51,114.800159548074,892538,0.0,1.0
2024-05-31,113.09,116.11,112.85,115.92,115.207639986259,1985411,0.0,1.0
2024-05-30,111.83,112.62,111.48,112.59,111.898103744418,1306616,0.0,1.0
2024-05-29,111.3,112.075,110.97,111.34,110.655785335318,1165937,0.0,1.0
2024-05-28,112.8,113.67,111.98,112.04,111.351483644414,1227250,0.0,1.0
2024-05-24,113.51,114.17,112.19,112.61,111.917980838963,797165,0.805,1.0
2024-05-23,116.56,116.56,113.85,113.99,112.48539113727,1351051,0.0,1.0
2024-05-22,117.93,118.39,116.89,117.19,115.643152797409,1200346,0.0,1.0
2024-05-21,118.32,118.9499,117.74,118.5,116.935861477028,957170,0.0,1.0
2024-05-20,118.5,118.95,118.09,118.28,116.718765362894,646044,0.0,1.0
2024-05-17,118.75,118.77,117.98,118.64,117.074013549659,1703609,0.0,1.0
2024-05-16,118.0,119.45,117.74,118.56,116.995069508156,1339075,0.0,1.0
2024-05-15,118.5,118.59,117.53,117.81,116.254969119061,1274072,0.0,1.0
2024-05-14,117.75,117.75,116.555,117.25,115.702360828536,1217671,0.0,1.0
2024-05-13,117.66,118.27,116.14,116.33,114.794504351246,1282740,0.0,1.0
2024-05-10,119.71,119.78,116.86,117.18,115.633284792221,3140268,0.0,1.0
2024-05-09,119.26,121.48,117.61,119.69,118.110154094392,1878021,0.0,1.0
2024-05-08,120.31,120.79,119.6,120.59,118.998274561307,991614,0.0,1.0
2024-05-07,120.0,120.52,119.2,120.34,118.751574431608,747848,0.0,1.0
2024-05-06,119.58,119.79,118.75,119.45,117.873321969882,478755,0.0,1.0
2024-05-03,119.71,119.88,118.295,119.32,117.745037902439,608234,0.0,1.0
2024-05-02,119.08,119.58,118.395,119.05,117.478601762365,529745,0.0,1.0
2024-05-01,118.2,119.9,117.67,118.66,117.093749560035,498525,0.0,1.0
2024-04-30,118.1,118.66,117.01,117.9,116.343781165752,784026,0.0,1.0
2024-04-29,117.28,118.64,117.28,118.64,117.074013549659,618760,0.0,1.0
2024-04-26,118.32,118.48,116.92,116.93,115.386584662522,733068,0.0,1.0
2024-04-25,118.48,118.75,117.03,118.17,116.610217305826,523268,0.0,1.0
2024-04-24,116.69,118.7,116.1525,118.66,117.093749560035,728010,0.0,1.0
2024-04-23,117.85,118.85,117.59,117.67,116.11681704643,657470,0.0,1.0
2024-04-22,116.97,118.46,116.39,118.08,116.521405259135,603823,0.0,1.0
2024-04-19,115.03,117.26,115.025,117.2,115.653020802597,1108359,0.0,1.0
2024-04-18,114.95,115.08,114.03,114.57,113.05773543817,563701,0.0,1.0
2024-04-17,113.02,114.945,112.785,114.56,113.047867432982,687741,0.0,1.0
2024-04-16,112.73,112.84,110.97,112.33,110.847302276072,973119,0.0,1.0
2024-04-15,114.7,115.21,112.575,113.06,111.567666654792,904242,0.0,1.0
2024-04-12,114.21,115.49,113.225,113.99,112.48539113727,668373,0.0,1.0
2024-04-11,115.91,115.91,113.93,114.38,112.870243339599,793078,0.0,1.0
2024-04-10,114.88,115.24,113.71,115.08,113.561003702754,627482,0.0,1.0
2024-04-09,116.75,117.2589,116.21,116.64,115.100412512072,528178,0.0,1.0
2024-04-08,116.4,116.96,115.951,116.33,114.794504351246,675349,0.0,1.0
2024-04-05,115.58,116.41,115.01,116.23,114.695824299367,509566,0.0,1.0
2024-04-04,117.96,117.96,115.16,116.13,114.597144247488,544124,0.0,1.0
2024-04-03,117.6,117.8662,116.33,116.97,115.426056683274,627498,0.0,1.0
2024-04-02,117.52,119.1,117.52,117.77,116.215497098309,661212,0.0,1.0
2024-04-01,119.05,119.36,117.48,117.85,116.294441139812,630418,0.0,1.0
2024-03-28,118.06,119.05,117.89,118.87,117.300977668982,1265443,0.0,1.0
2024-03-27,115.93,118.3,115.54,118.26,116.699029352518,833597,0.0,1.0
2024-03-26,116.05,116.2,114.75,115.25,113.728759790949,514276,0.0,1.0
2024-03-25,116.9,116.975,115.635,116.1,114.567540231924,466489,0.0,1.0
2024-03-22,117.63,117.9,116.34,116.57,115.031336475757,538347,0.0,1.0
2024-03-21,116.67,117.18,116.1,116.83,115.287904610643,473812,0.0,1.0
2024-03-20,115.35,116.53,115.26,116.5,114.962260439441,979178,0.0,1.0
2024-03-19,115.89,116.68,115.325,115.78,114.25176406591,805795,0.0,1.0
2024-03-18,114.76,116.435,114.295,115.41,113.886647873956,861445,0.0,1.0
2024-03-15,114.0,115.915,113.82,114.55,113.037999427794,2832286,0.0,1.0
2024-03-14,116.8,116.8,114.52,114.9,113.383379609372,1289300,0.0,1.0
2024-03-13,117.12,117.24,115.81,116.23,114.695824299367,1051112,0.0,1.0
2024-03-12,116.58,117.16,115.78,116.52,114.981996449817,1222171,0.0,1.0
2024-03-11,116.04,117.14,115.5,117.0,115.455660698838,845035,0.0,1.0
2024-03-08,116.06,116.6344,115.295,115.82,114.291236086662,999668,0.0,1.0
2024-03-07,116.11,116.62,115.18,115.59,114.064271967339,796991,0.0,1.0
2024-03-06,115.04,115.645,114.4,115.2,113.67941976501,1120122,0.0,1.0
2024-03-05,115.05,115.43,113.72,114.46,112.949187381103,1395521,0.0,1.0
2024-03-04,112.32,115.02,112.32,114.68,113.166283495237,980975,0.0,1.0
2024-03-01,112.62,113.23,111.255,112.73,111.24202248359,578275,0.0,1.0
2024-02-29,113.11,113.555,112.62,112.91,111.419646576973,1189123,0.0,1.0
2024-02-28,112.46,113.27,111.85,112.46,110.975586343516,619462,0.0,1.0
2024-02-27,112.05,112.62,111.516,112.53,111.044662379831,498206,0.0,1.0
2024-02-26,112.53,112.53,111.02,111.62,110.146673907729,682541,0.0,1.0
2024-02-23,113.39,114.03,112.74,112.76,111.271626499154,733077,0.805,1.0
2024-02-22,113.67,114.61,113.03,114.19,111.884005018609,922128,0.0,1.0
2024-02-21,114.03,114.99,113.6875,114.69,112.373907834174,831880,0.0,1.0
2024-02-20,114.07,115.66,113.55,113.69,111.394102203045,843317,0.0,1.0
2024-02-16,113.65,114.51,113.3,113.95,111.648851667138,1012070,0.0,1.0
2024-02-15,113.29,114.59,113.29,114.27,111.962389469099,719071,0.0,1.0
2024-02-14,111.8,113.2935,111.54,112.98,110.698440204943,700652,0.0,1.0
2024-02-13,113.65,113.75,110.46,111.75,109.493279278655,633587,0.0,1.0
2024-02-12,113.26,114.3,112.98,114.0,111.697841948695,918513,0.0,1.0
2024-02-09,112.59,113.505,112.59,113.11,110.82581493699,745088,0.0,1.0
2024-02-08,111.46,113.04,111.345,112.93,110.649449923387,819192,0.0,1.0
2024-02-07,113.26,113.26,110.6375,111.93,109.669644292258,1227501,0.0,1.0
2024-02-06,111.5,111.96,110.84,111.81,109.552067616522,1171841,0.0,1.0
2024-02-05,112.71,113.06,111.23,111.78,109.522673447589,780260,0.0,1.0
2024-02-02,114.66,115.035,112.65,113.77,111.472486653535,774717,0.0,1.0
2024-02-01,114.04,115.82,113.31,115.79,113.451694028415,638620,0.0,1.0
2024-01-31,115.54,115.9,113.19,113.94,111.639053610827,1123090,0.0,1.0
2024-01-30,113.91,114.96,113.56,114.51,112.19754282057,525394,0.0,1.0
2024-01-29,113.76,114.5,113.3,114.26,111.952591412788,572886,0.0,1.0
2024-01-26,114.29,114.49,113.42,113.7,111.403900259356,799660,0.0,1.0
2024-01-25,111.39,114.03,111.3353,113.92,111.619457498204,1102005,0.0,1.0
2024-01-24,113.38,113.465,110.72,110.89,108.650646435884,825936,0.0,1.0
2024-01-23,111.65,113.2825,111.65,112.7,110.424094628227,752299,0.0,1.0
2024-01-22,113.27,113.87,112.44,113.14,110.855209105924,685876,0.0,1.0
2024-01-19,113.3,113.5,112.145,113.08,110.796420768056,1169938,0.0,1.0
