,ATR_Open,ATR_High,ATR_Low,ATR_Close,ATR_Adj Close,ATR_Volume,ATR_Dividend Amount,ATR_Split Coefficient
2024-10-07,159.39,159.6355,158.01,158.69,158.69,223348,0.0,1.0
2024-10-04,159.94,161.47,159.33,160.58,160.58,350508,0.0,1.0
2024-10-03,157.99,160.46,156.635,158.94,158.94,366992,0.0,1.0
2024-10-02,159.86,160.11,157.955,158.75,158.75,186859,0.0,1.0
2024-10-01,160.54,160.54,159.05,159.97,159.97,192217,0.0,1.0
2024-09-30,159.29,160.42,158.925,160.19,160.19,289783,0.0,1.0
2024-09-27,158.68,161.55,158.26,159.89,159.89,354288,0.0,1.0
2024-09-26,157.94,159.06,157.7,158.38,158.38,371630,0.0,1.0
2024-09-25,157.3,157.87,155.87,157.14,157.14,284138,0.0,1.0
2024-09-24,156.18,157.08,156.03,156.63,156.63,246154,0.0,1.0
2024-09-23,156.17,156.905,154.74,155.96,155.96,315802,0.0,1.0
2024-09-20,156.31,156.31,154.48,155.91,155.91,663306,0.0,1.0
2024-09-19,155.02,158.805,155.02,156.9,156.9,412361,0.0,1.0
2024-09-18,153.76,155.49,152.71,153.07,153.07,214216,0.0,1.0
2024-09-17,154.0,155.565,151.87,153.03,153.03,259948,0.0,1.0
2024-09-16,153.04,153.17,152.07,152.99,152.99,182901,0.0,1.0
2024-09-13,152.19,153.01,151.895,152.28,152.28,138618,0.0,1.0
2024-09-12,150.89,152.01,149.97,151.96,151.96,200432,0.0,1.0
2024-09-11,150.79,150.88,148.63,150.84,150.84,178025,0.0,1.0
2024-09-10,151.87,152.79,151.44,151.51,151.51,158060,0.0,1.0
2024-09-09,152.57,153.06,151.435,151.91,151.91,241501,0.0,1.0
2024-09-06,150.38,153.121,150.38,152.38,152.38,319137,0.0,1.0
2024-09-05,151.08,151.76,149.95,150.72,150.72,200644,0.0,1.0
2024-09-04,149.6,150.9,149.6,150.73,150.73,170507,0.0,1.0
2024-09-03,152.11,152.375,149.73,150.04,150.04,362364,0.0,1.0
2024-08-30,152.2,153.44,151.64,153.19,153.19,178473,0.0,1.0
2024-08-29,152.55,152.91,151.21,152.28,152.28,187083,0.0,1.0
2024-08-28,150.93,151.965,150.93,151.54,151.54,248964,0.0,1.0
2024-08-27,150.01,151.54,149.84,151.2,151.2,208270,0.0,1.0
2024-08-26,150.68,152.67,150.14,150.16,150.16,235517,0.0,1.0
2024-08-23,149.66,150.53,149.4374,150.44,150.44,221443,0.0,1.0
2024-08-22,149.57,150.4,148.67,148.99,148.99,200439,0.0,1.0
2024-08-21,148.17,149.575,147.46,149.33,149.33,267296,0.0,1.0
2024-08-20,146.98,148.31,146.98,148.11,148.11,387203,0.0,1.0
2024-08-19,146.32,147.73,145.92,146.97,146.97,191184,0.0,1.0
2024-08-16,146.11,146.84,145.61,146.72,146.72,250647,0.0,1.0
2024-08-15,145.0,147.34,145.0,147.01,147.01,277520,0.0,1.0
2024-08-14,144.13,144.81,143.49,143.9,143.9,115706,0.0,1.0
2024-08-13,143.51,145.3,143.1,144.37,144.37,212115,0.0,1.0
2024-08-12,143.97,144.1807,142.77,143.29,143.29,221275,0.0,1.0
2024-08-09,145.41,145.41,143.47,143.95,143.95,263240,0.0,1.0
2024-08-08,144.46,146.16,144.46,145.56,145.56,268614,0.0,1.0
2024-08-07,146.01,147.26,143.47,143.6,143.6,353634,0.0,1.0
2024-08-06,141.33,146.085,141.11,144.93,144.93,476046,0.0,1.0
2024-08-05,143.43,143.43,139.48,140.68,140.68,448532,0.0,1.0
2024-08-02,146.58,147.0,143.75,145.69,145.69,213450,0.0,1.0
2024-08-01,146.88,149.5399,145.43,147.03,147.03,335307,0.0,1.0
2024-07-31,146.5,148.85,145.41,146.98,146.98,280587,0.0,1.0
2024-07-30,147.38,147.9,145.405,145.75,145.75,411026,0.0,1.0
2024-07-29,146.58,148.355,145.17,147.8,147.8,390942,0.0,1.0
2024-07-26,143.13,151.29,142.355,146.66,146.66,562787,0.0,1.0
2024-07-25,142.83,144.05,141.22,141.49,141.49,558095,0.45,1.0
2024-07-24,146.07,146.6275,143.9,144.14,143.683025221925,250577,0.0,1.0
2024-07-23,147.87,148.51,145.665,146.04,145.577001549951,234547,0.0,1.0
2024-07-22,145.99,147.56,145.25,147.19,146.72335564323,235688,0.0,1.0
2024-07-19,146.59,146.59,144.655,145.94,145.477318585318,251235,0.0,1.0
2024-07-18,144.61,147.25,144.605,146.28,145.81624066507,434172,0.0,1.0
2024-07-17,144.34,145.7699,144.34,144.86,144.400742567282,242285,0.0,1.0
2024-07-16,143.85,145.3,143.85,144.56,144.101693673383,178792,0.0,1.0
2024-07-15,144.76,145.69,143.14,143.43,142.975276173031,319875,0.0,1.0
2024-07-12,143.41,145.49,143.41,144.59,144.131598562773,263895,0.0,1.0
2024-07-11,141.2,143.3,140.75,142.09,141.639524446949,244519,0.0,1.0
2024-07-10,140.75,141.63,140.57,141.29,140.842060729886,142003,0.0,1.0
2024-07-09,140.86,141.27,139.75,140.04,139.596023671974,238431,0.0,1.0
2024-07-08,141.65,142.5,141.5,141.51,141.061363252078,249264,0.0,1.0
2024-07-05,140.99,141.435,139.73,140.9,140.453297167817,206970,0.0,1.0
2024-07-03,140.88,141.4,140.57,141.22,140.772282654643,143290,0.0,1.0
2024-07-02,138.48,140.5,137.76,140.4,139.954882344653,259374,0.0,1.0
2024-07-01,141.38,141.48,138.39,138.54,138.10077920248,306423,0.0,1.0
2024-06-28,143.78,144.32,140.09,140.81,140.363582499648,435070,0.0,1.0
2024-06-27,143.87,143.88,142.27,143.87,143.413881217416,377322,0.0,1.0
2024-06-26,144.25,144.785,142.96,143.71,143.254388474003,192427,0.0,1.0
2024-06-25,146.79,146.8,144.5,144.86,144.400742567282,194504,0.0,1.0
2024-06-24,147.22,148.23,146.67,146.72,146.254845709455,182882,0.0,1.0
2024-06-21,145.87,147.135,145.31,146.85,146.384433563478,444074,0.0,1.0
2024-06-20,146.66,147.53,145.67,145.81,145.347730731295,199915,0.0,1.0
2024-06-18,146.48,147.69,146.47,146.69,146.224940820065,219892,0.0,1.0
2024-06-17,144.87,146.6799,144.57,146.33,145.866082147386,303775,0.0,1.0
2024-06-14,145.09,145.38,143.6775,144.75,144.291091306186,141531,0.0,1.0
2024-06-13,145.89,146.53,145.02,145.83,145.367667324222,232384,0.0,1.0
2024-06-12,146.24,146.31,144.07,145.83,145.367667324222,221319,0.0,1.0
2024-06-11,144.91,145.74,144.35,145.5,145.038713540933,147727,0.0,1.0
2024-06-10,144.83,145.81,143.99,145.59,145.128428209102,125799,0.0,1.0
2024-06-07,145.77,146.33,145.45,145.55,145.088555023249,179120,0.0,1.0
2024-06-06,148.01,148.01,145.4,145.96,145.497255178244,197623,0.0,1.0
2024-06-05,147.72,148.2,147.08,147.92,147.45104128505,229231,0.0,1.0
2024-06-04,147.65,148.39,146.7,148.19,147.720185289559,287867,0.0,1.0
2024-06-03,148.5,148.5,146.03,148.16,147.690280400169,266215,0.0,1.0
2024-05-31,146.09,147.83,145.92,147.69,147.221770466394,358871,0.0,1.0
2024-05-30,145.13,146.9779,145.0,146.14,145.676684514584,328097,0.0,1.0
2024-05-29,145.65,146.7,144.515,144.84,144.380805974355,229680,0.0,1.0
2024-05-28,147.62,147.775,145.82,146.71,146.244877412991,318431,0.0,1.0
2024-05-24,148.48,148.83,147.36,148.09,147.620502324926,162320,0.0,1.0
2024-05-23,148.66,148.95,147.56,147.72,147.251675355784,171707,0.0,1.0
