,AVA_Open,AVA_High,AVA_Low,AVA_Close,AVA_Adj Close,AVA_Volume,AVA_Dividend Amount,AVA_Split Coefficient
2024-10-07,37.75,37.75,37.05,37.18,37.18,335826,0.0,1.0
2024-10-04,37.6,37.91,37.39,37.88,37.88,358945,0.0,1.0
2024-10-03,38.09,38.09,37.71,37.72,37.72,282819,0.0,1.0
2024-10-02,38.35,38.51,37.93,38.03,38.03,421343,0.0,1.0
2024-10-01,38.76,38.95,38.49,38.65,38.65,368712,0.0,1.0
2024-09-30,38.78,38.81,38.46,38.75,38.75,462354,0.0,1.0
2024-09-27,38.49,38.99,38.37,38.72,38.72,352568,0.0,1.0
2024-09-26,38.54,38.89,38.155,38.19,38.19,455393,0.0,1.0
2024-09-25,38.42,38.56,38.1,38.54,38.54,509606,0.0,1.0
2024-09-24,38.54,38.88,38.22,38.23,38.23,375251,0.0,1.0
2024-09-23,38.45,38.66,38.25,38.62,38.62,474176,0.0,1.0
2024-09-20,38.25,38.555,38.11,38.31,38.31,1191931,0.0,1.0
2024-09-19,38.74,38.785,38.09,38.34,38.34,397725,0.0,1.0
2024-09-18,38.77,39.26,38.57,38.7,38.7,416856,0.0,1.0
2024-09-17,39.1,39.44,38.78,38.81,38.81,399398,0.0,1.0
2024-09-16,38.77,39.04,38.59,38.97,38.97,612841,0.0,1.0
2024-09-13,37.97,38.54,37.85,38.54,38.54,464383,0.0,1.0
2024-09-12,37.6,37.99,37.58,37.63,37.63,544940,0.0,1.0
2024-09-11,38.39,38.43,37.66,37.8,37.8,602218,0.0,1.0
2024-09-10,38.37,38.8,38.325,38.63,38.63,389232,0.0,1.0
2024-09-09,38.38,38.38,38.07,38.28,38.28,437600,0.0,1.0
2024-09-06,39.0,39.15,38.39,38.41,38.41,971975,0.0,1.0
2024-09-05,39.42,39.575,38.93,38.95,38.95,586445,0.0,1.0
2024-09-04,39.12,39.41,38.93,39.14,39.14,412524,0.0,1.0
2024-09-03,38.44,39.1,38.39,39.08,39.08,703905,0.0,1.0
2024-08-30,38.23,38.66,38.14,38.64,38.64,587955,0.0,1.0
2024-08-29,38.48,38.48,38.045,38.13,38.13,324176,0.0,1.0
2024-08-28,38.26,38.56,38.09,38.38,38.38,332182,0.0,1.0
2024-08-27,38.53,38.71,38.08,38.25,38.25,405075,0.0,1.0
2024-08-26,39.19,39.43,38.98,39.1,39.1,285524,0.0,1.0
2024-08-23,38.48,38.99,38.28,38.9,38.9,354441,0.0,1.0
2024-08-22,38.49,38.5682,38.11,38.39,38.39,318772,0.475,1.0
2024-08-21,38.66,39.045,38.5501,38.97,38.4937167116943,346453,0.0,1.0
2024-08-20,38.65,38.73,38.41,38.53,38.0590943007848,352317,0.0,1.0
2024-08-19,38.21,38.81,38.2001,38.74,38.2665277241734,359859,0.0,1.0
2024-08-16,38.08,38.469,38.08,38.23,37.762760838801,279417,0.0,1.0
2024-08-15,37.9,38.22,37.65,37.93,37.4664273768172,757141,0.0,1.0
2024-08-14,37.79,38.035,37.71,37.72,37.2589939534285,428768,0.0,1.0
2024-08-13,38.0,38.05,37.585,37.81,37.3478939920237,505310,0.0,1.0
2024-08-12,38.04,38.115,37.4,37.74,37.2787495175608,460278,0.0,1.0
2024-08-09,38.04,38.19,37.33,38.04,37.5750829795446,539851,0.0,1.0
2024-08-08,38.11,38.415,37.58,38.04,37.5750829795446,796913,0.0,1.0
2024-08-07,37.86,38.45,37.4,38.26,37.7923941849994,742789,0.0,1.0
2024-08-06,37.56,38.32,37.56,38.17,37.7034941464042,587951,0.0,1.0
2024-08-05,38.95,38.98,37.57,37.76,37.298505081693,624629,0.0,1.0
2024-08-02,39.44,39.985,38.9,39.64,39.1555281101248,507343,0.0,1.0
2024-08-01,39.33,39.68,38.95,39.62,39.1357725459925,476571,0.0,1.0
2024-07-31,39.64,39.82,39.18,39.18,38.701150135083,1033858,0.0,1.0
