,AXP_Open,AXP_High,AXP_Low,AXP_Close,AXP_Adj Close,AXP_Volume,AXP_Dividend Amount,AXP_Split Coefficient
2024-10-07,274.35,276.31,271.55,273.79,273.79,3287461,0.0,1.0
2024-10-04,272.25,276.79,270.0,275.97,275.97,2240183,0.7,1.0
2024-10-03,269.64,271.1,267.638,268.59,267.910443127191,1614588,0.0,1.0
2024-10-02,268.6,271.39,266.25,270.92,270.234548017494,2009621,0.0,1.0
2024-10-01,271.28,271.83,266.5167,268.6,267.920417826291,2429482,0.0,1.0
2024-09-30,270.1,271.48,267.29,271.2,270.513839592294,2113106,0.0,1.0
2024-09-27,268.0,272.68,267.42,271.06,270.374193804894,2231903,0.0,1.0
2024-09-26,268.29,268.99,266.34,268.15,267.471556366791,1430575,0.0,1.0
2024-09-25,267.09,268.72,265.55,266.17,265.496565944989,2116345,0.0,1.0
2024-09-24,267.77,268.5,263.03,266.21,265.536464741389,2340349,0.0,1.0
2024-09-23,271.36,272.41,267.0517,267.3,266.62370694329,2534914,0.0,1.0
2024-09-20,268.4,271.49,266.95,268.99,268.309431091192,5847242,0.0,1.0
2024-09-19,267.83,270.1,266.35,268.75,268.070038312791,2973435,0.0,1.0
2024-09-18,264.4,266.35,261.0,262.18,261.516661004084,2577368,0.0,1.0
2024-09-17,261.52,267.2184,261.345,265.4,264.728514114288,2765723,0.0,1.0
2024-09-16,261.31,262.85,259.15,261.09,260.429418802183,2170169,0.0,1.0
2024-09-13,256.23,260.21,255.75,259.0,258.344706690281,2199187,0.0,1.0
2024-09-12,254.16,257.0,252.59,255.15,254.504447536777,2279719,0.0,1.0
2024-09-11,244.4,254.625,243.5018,254.18,253.536901724076,3149868,0.0,1.0
2024-09-10,251.72,252.5,240.59,245.42,244.799065312466,3630857,0.0,1.0
2024-09-09,248.25,253.15,247.53,250.92,250.285149817472,3080770,0.0,1.0
2024-09-06,251.29,253.565,243.32,244.06,243.442506234865,3652963,0.0,1.0
2024-09-05,252.71,253.17,248.37,251.84,251.202822134673,2711284,0.0,1.0
2024-09-04,254.99,256.58,250.66,251.74,251.103075143673,3024884,0.0,1.0
2024-09-03,255.77,257.48,252.79,254.31,253.666572812376,2970272,0.0,1.0
2024-08-30,260.49,261.75,256.1,258.65,257.99559222178,3442125,0.0,1.0
2024-08-29,258.0,261.565,256.825,259.84,259.182581414682,2423526,0.0,1.0
2024-08-28,254.21,258.63,253.75,257.09,256.439539162179,2557059,0.0,1.0
2024-08-27,253.7,256.68,253.7,255.03,254.384751147577,2518173,0.0,1.0
2024-08-26,252.42,256.16,251.95,253.88,253.237660751075,1931103,0.0,1.0
2024-08-23,248.0,252.17,248.0,251.3,250.664188383273,1868199,0.0,1.0
2024-08-22,246.77,248.92,245.755,247.76,247.133144901869,1981273,0.0,1.0
2024-08-21,249.64,249.82,243.35,246.3,245.676838833267,3502452,0.0,1.0
2024-08-20,254.22,254.62,252.26,253.08,252.439684823074,1659736,0.0,1.0
2024-08-19,252.0,254.11,251.84,254.05,253.407230635776,1653379,0.0,1.0
2024-08-16,249.39,251.75,249.13,251.71,251.073151046373,2149718,0.0,1.0
2024-08-15,247.77,250.36,245.35,249.5,248.868742545271,2656834,0.0,1.0
2024-08-14,239.81,244.09,239.51,243.76,243.143265261864,2132461,0.0,1.0
2024-08-13,238.71,239.27,236.4701,238.99,238.385333791159,1913334,0.0,1.0
2024-08-12,238.2,238.99,235.395,237.05,236.450242165757,1746952,0.0,1.0
2024-08-09,233.52,238.34,233.09,237.85,237.248218093758,1956562,0.0,1.0
2024-08-08,231.05,234.5,231.01,233.54,232.949122781653,2239218,0.0,1.0
2024-08-07,234.02,236.17,228.5102,228.8,228.221115408248,2665313,0.0,1.0
2024-08-06,226.96,233.18,226.5,231.12,230.535245599451,3148178,0.0,1.0
2024-08-05,226.64,230.775,222.03,225.92,225.348402067445,4890744,0.0,1.0
2024-08-02,244.51,244.65,230.05,232.28,231.692310695052,6902632,0.0,1.0
2024-08-01,253.85,255.0,246.4101,248.68,248.05081721907,3929730,0.0,1.0
2024-07-31,253.11,256.24,252.43,253.04,252.399786026674,2180687,0.0,1.0
2024-07-30,249.46,253.68,249.23,252.48,251.841202877074,2498841,0.0,1.0
2024-07-29,246.63,247.96,244.3101,247.89,247.262815990169,2059335,0.0,1.0
2024-07-26,241.93,246.39,241.88,245.89,245.267876170167,2174459,0.0,1.0
2024-07-25,240.0,244.96,239.39,240.18,239.57232298406,3828806,0.0,1.0
2024-07-24,245.0,245.62,240.67,240.99,240.380273611161,2838067,0.0,1.0
2024-07-23,246.96,248.99,245.04,246.9,246.275320779268,2564233,0.0,1.0
2024-07-22,243.01,245.61,239.9,244.75,244.130760472765,2589997,0.0,1.0
2024-07-19,241.8,243.38,237.65,242.38,241.766756786063,5750391,0.0,1.0
2024-07-18,250.8,253.73,247.755,249.2,248.56950157227,4053298,0.0,1.0
2024-07-17,248.81,250.84,247.38,249.96,249.327578703871,2471910,0.0,1.0
2024-07-16,244.14,249.76,243.8,249.63,248.998413633571,3074640,0.0,1.0
2024-07-15,240.45,244.66,240.45,244.0,243.382658040265,3054379,0.0,1.0
2024-07-12,238.97,240.2599,237.23,238.63,238.026244623559,2612283,0.0,1.0
2024-07-11,238.87,239.95,236.96,238.75,238.145941012759,1868831,0.0,1.0
2024-07-10,236.57,239.45,235.6221,238.93,238.325485596559,2202968,0.0,1.0
2024-07-09,234.97,239.2,234.12,237.75,237.148471102758,1943710,0.0,1.0
2024-07-08,236.23,239.5,233.76,234.51,233.916668594354,2638572,0.0,1.0
2024-07-05,235.71,236.7,233.56,235.63,235.033834893556,2488328,0.7,1.0
2024-07-03,236.5,237.58,235.19,235.71,234.417235318241,1365850,0.0,1.0
2024-07-02,233.55,236.19,232.97,235.97,234.675809333696,1871656,0.0,1.0
2024-07-01,232.33,234.8,231.55,233.81,232.527655974537,2792825,0.0,1.0
2024-06-28,229.25,233.6,228.74,231.55,230.280051070972,3901233,0.0,1.0
2024-06-27,229.79,230.33,227.37,228.4,227.147327422198,2264343,0.0,1.0
2024-06-26,230.04,232.49,229.14,230.68,229.414822634644,3151882,0.0,1.0
2024-06-25,230.86,231.3,228.535,230.59,229.325316244679,3479902,0.0,1.0
2024-06-24,231.68,233.9,230.2069,231.47,230.200489835447,2152725,0.0,1.0
2024-06-21,231.11,231.11,227.5,230.38,229.116468001427,5064401,0.0,1.0
2024-06-20,228.56,231.68,226.44,230.21,228.947400375938,2968253,0.0,1.0
2024-06-18,227.58,229.31,226.7701,229.31,228.052336476288,2176467,0.0,1.0
2024-06-17,224.2,228.465,224.02,228.27,227.018040414471,2426689,0.0,1.0
2024-06-14,221.38,225.64,221.34,224.82,223.586962132481,2373907,0.0,1.0
2024-06-13,223.41,223.75,220.742,222.19,220.971386514616,3011267,0.0,1.0
2024-06-12,227.43,228.4,222.83,224.04,222.811240086118,3091113,0.0,1.0
2024-06-11,231.64,231.64,224.21,224.53,223.298552653705,3168074,0.0,1.0
2024-06-10,231.95,233.9225,230.6,232.44,231.165169816181,2933675,0.0,1.0
2024-06-07,232.41,234.1205,231.71,232.67,231.393908368314,2212477,0.0,1.0
2024-06-06,234.79,236.4,232.7,233.35,232.070178870271,2709843,0.0,1.0
2024-06-05,236.25,237.7,233.7,234.69,233.402829565305,2925098,0.0,1.0
2024-06-04,236.39,240.0,235.73,237.25,235.948789102086,2512117,0.0,1.0
2024-06-03,240.18,241.36,233.5309,236.88,235.580818387786,2677196,0.0,1.0
2024-05-31,238.0,240.19,235.91,240.0,238.683706573238,5102491,0.0,1.0
2024-05-30,236.37,237.32,234.975,237.22,235.918953638765,2386412,0.0,1.0
2024-05-29,235.45,237.66,234.665,235.94,234.645973870374,2711330,0.0,1.0
2024-05-28,237.75,238.47,235.88,237.25,235.948789102086,2315401,0.0,1.0
2024-05-24,236.86,240.07,236.69,238.18,236.873688465058,1624528,0.0,1.0
2024-05-23,240.83,240.83,235.12,235.46,234.168606457228,3272593,0.0,1.0
2024-05-22,242.91,243.465,239.525,240.09,238.773212963203,2292745,0.0,1.0
2024-05-21,242.34,243.575,241.34,243.08,241.746814140928,1825937,0.0,1.0
2024-05-20,243.11,244.4138,242.1,242.3,240.971092094565,1983370,0.0,1.0
2024-05-17,242.8,243.19,241.9,242.82,241.488240125473,1848915,0.0,1.0
2024-05-16,241.72,243.348,240.85,241.32,239.996466959391,2606056,0.0,1.0
2024-05-15,241.63,242.87,240.25,241.7,240.374382828132,2013389,0.0,1.0
2024-05-14,238.15,242.09,238.1,241.53,240.205315202642,2387310,0.0,1.0
2024-05-13,242.95,243.54,238.1,238.65,237.341110723764,2768890,0.0,1.0
2024-05-10,240.5,243.54,240.31,242.3,240.971092094565,2590895,0.0,1.0
2024-05-09,235.96,239.38,235.56,239.14,237.828423291351,3166350,0.0,1.0
2024-05-08,234.4,236.85,233.52,236.24,234.944328503591,2501911,0.0,1.0
2024-05-07,235.5,236.0,233.41,234.66,233.372994101983,2084529,0.0,1.0
2024-05-06,232.3,234.57,231.32,234.33,233.044804005445,2259573,0.0,1.0
2024-05-03,233.26,233.35,229.13,230.77,229.504329024609,3203304,0.0,1.0
2024-05-02,233.58,233.95,230.911,232.5,231.224840742824,2734874,0.0,1.0
2024-05-01,233.22,235.14,231.23,231.46,230.190544681007,4176158,0.0,1.0
2024-04-30,237.88,239.61,233.77,234.03,232.746449372229,3564276,0.0,1.0
2024-04-29,236.59,239.12,235.64,238.92,237.609629893658,3696787,0.0,1.0
2024-04-26,236.0,236.92,234.4248,235.64,234.347619237157,2993335,0.0,1.0
2024-04-25,238.13,238.45,235.405,237.1,235.799611785478,3328959,0.0,1.0
2024-04-24,238.27,240.55,237.97,239.12,237.808532982469,4429243,0.0,1.0
2024-04-23,234.77,239.42,233.67,238.96,237.649410511421,4684450,0.0,1.0
2024-04-22,232.03,235.3699,227.69,233.0,231.722098464852,5151299,0.0,1.0
2024-04-19,218.84,231.6,218.84,231.04,229.772848194504,7573684,0.0,1.0
2024-04-18,218.26,221.445,217.175,217.5,216.307109081997,3901454,0.0,1.0
2024-04-17,219.56,220.28,216.52,217.67,216.476176707486,2256782,0.0,1.0
2024-04-16,217.7,219.38,216.51,218.34,217.142502055003,4176672,0.0,1.0
2024-04-15,221.89,222.73,216.82,218.4,217.202172981647,3459235,0.0,1.0
2024-04-12,217.0,218.275,216.115,218.2,217.003269892836,2441341,0.0,1.0
2024-04-11,217.5,219.1701,214.5148,218.2,217.003269892836,3139034,0.0,1.0
2024-04-10,217.51,219.5,215.52,217.65,216.456286398605,3115019,0.0,1.0
2024-04-09,222.99,223.93,217.97,219.84,218.634275221086,3489456,0.0,1.0
2024-04-08,223.46,224.85,223.125,224.11,222.880856167202,1398625,0.0,1.0
2024-04-05,220.0,223.12,219.52,222.46,221.23990568451,1821386,0.0,1.0
2024-04-04,229.14,229.68,219.21,219.59,218.385646360072,3031275,0.7,1.0
2024-04-03,225.81,227.255,225.25,226.63,224.670838597227,2066633,0.0,1.0
2024-04-02,226.37,226.97,224.5905,225.53,223.580347830528,1981638,0.0,1.0
2024-04-01,227.44,228.57,226.83,227.61,225.642366734831,1505571,0.0,1.0
2024-03-28,228.46,228.46,226.34,227.69,225.721675154228,2295844,0.0,1.0
2024-03-27,227.2,228.0,225.14,227.75,225.781156468775,2153112,0.0,1.0
2024-03-26,226.62,226.87,224.32,224.46,222.519597721103,2106373,0.0,1.0
2024-03-25,225.34,226.99,225.23,226.03,224.076025451755,2119586,0.0,1.0
2024-03-22,229.05,230.54,225.91,225.96,224.006630584783,2284653,0.0,1.0
2024-03-21,229.11,231.69,228.99,229.12,227.139313150936,3523879,0.0,1.0
2024-03-20,221.49,228.06,221.225,227.91,225.939773307567,2249652,0.0,1.0
2024-03-19,221.05,221.95,219.37,221.69,219.773543699507,1817740,0.0,1.0
2024-03-18,219.9,221.73,218.99,220.97,219.059767924941,1893106,0.0,1.0
2024-03-15,220.98,221.595,217.217,218.46,216.571466266382,5267916,0.0,1.0
2024-03-14,224.28,224.29,219.1,220.47,218.564090303714,2414606,0.0,1.0
2024-03-13,223.14,223.49,221.87,222.81,220.883861571055,2575404,0.0,1.0
