,BANC_Open,BANC_High,BANC_Low,BANC_Close,BANC_Adj Close,BANC_Volume,BANC_Dividend Amount,BANC_Split Coefficient
2024-10-07,13.84,13.84,13.575,13.66,13.66,2266725,0.0,1.0
2024-10-04,14.19,14.23,13.9,13.92,13.92,1658283,0.0,1.0
2024-10-03,13.83,13.925,13.745,13.87,13.87,1579440,0.0,1.0
2024-10-02,14.1,14.26,13.865,13.89,13.89,1260778,0.0,1.0
2024-10-01,14.62,14.65,14.03,14.05,14.05,2640674,0.0,1.0
2024-09-30,14.68,14.955,14.575,14.73,14.73,2346717,0.0,1.0
2024-09-27,14.97,15.0,14.695,14.79,14.79,1585110,0.0,1.0
2024-09-26,15.01,15.0159,14.75,14.82,14.82,1379094,0.0,1.0
2024-09-25,15.0,15.0,14.73,14.75,14.75,1932168,0.0,1.0
2024-09-24,15.03,15.29,14.81,15.03,15.03,2217432,0.0,1.0
2024-09-23,15.06,15.19,14.79,14.84,14.84,2579947,0.0,1.0
2024-09-20,15.33,15.4,15.04,15.05,15.05,6665796,0.0,1.0
2024-09-19,15.0,15.43,14.89,15.38,15.38,2378514,0.0,1.0
2024-09-18,14.78,14.99,14.275,14.72,14.72,3662785,0.0,1.0
2024-09-17,14.46,14.79,14.3,14.69,14.69,4325336,0.0,1.0
2024-09-16,14.32,14.41,14.1,14.24,14.24,2274842,0.1,1.0
2024-09-13,14.14,14.335,14.14,14.31,14.2102092050209,2094010,0.0,1.0
2024-09-12,14.02,14.055,13.81,13.85,13.7534170153417,1328003,0.0,1.0
2024-09-11,13.72,13.935,13.515,13.9,13.8030683403068,2704379,0.0,1.0
2024-09-10,13.97,13.97,13.48,13.88,13.7832078103208,2055984,0.0,1.0
2024-09-09,13.77,14.085,13.71,13.85,13.7534170153417,2246834,0.0,1.0
2024-09-06,14.18,14.3,13.78,13.81,13.7136959553696,2295323,0.0,1.0
2024-09-05,14.22,14.33,13.93,14.13,14.0314644351464,2888148,0.0,1.0
2024-09-04,13.98,14.155,13.7725,14.09,13.9917433751743,1524198,0.0,1.0
2024-09-03,14.02,14.27,13.91,14.02,13.9222315202232,1268736,0.0,1.0
2024-08-30,14.39,14.49,14.04,14.22,14.1208368200837,1404660,0.0,1.0
2024-08-29,14.48,14.6,14.25,14.36,14.2598605299861,954880,0.0,1.0
2024-08-28,14.33,14.595,14.1,14.31,14.2102092050209,978509,0.0,1.0
2024-08-27,14.34,14.55,14.13,14.46,14.3591631799163,1138713,0.0,1.0
2024-08-26,14.81,14.82,14.47,14.48,14.3790237099024,1141808,0.0,1.0
2024-08-23,14.11,14.86,14.065,14.64,14.5379079497908,2702541,0.0,1.0
2024-08-22,14.05,14.21,13.89,13.93,13.8328591352859,906709,0.0,1.0
2024-08-21,14.12,14.12,13.825,14.01,13.9123012552301,963405,0.0,1.0
2024-08-20,14.23,14.32,13.94,13.94,13.8427894002789,1180691,0.0,1.0
2024-08-19,13.95,14.33,13.85,14.32,14.2201394700139,1557208,0.0,1.0
2024-08-16,13.39,13.985,13.39,13.91,13.8129986052999,1502883,0.0,1.0
2024-08-15,13.27,13.62,13.27,13.45,13.3562064156206,1389244,0.0,1.0
2024-08-14,13.1,13.26,12.9,12.95,12.8596931659693,1514075,0.0,1.0
2024-08-13,13.2,13.325,12.95,13.23,13.1377405857741,1063550,0.0,1.0
2024-08-12,13.27,13.5,12.94,13.04,12.9490655509066,1205019,0.0,1.0
2024-08-09,13.12,13.2,12.8901,13.08,12.9887866108787,1327484,0.0,1.0
2024-08-08,13.08,13.2,12.815,13.13,13.0384379358438,1538034,0.0,1.0
2024-08-07,13.01,13.11,12.734,12.81,12.7206694560669,1483338,0.0,1.0
2024-08-06,12.58,12.905,12.35,12.67,12.5816457461646,1895120,0.0,1.0
2024-08-05,12.07,12.755,11.97,12.57,12.4823430962343,2471094,0.0,1.0
2024-08-02,12.75,12.92,12.315,12.88,12.7901813110181,3412737,0.0,1.0
2024-08-01,13.94,13.98,13.06,13.19,13.098019525802,2568150,0.0,1.0
2024-07-31,13.98,14.39,13.7547,13.98,13.882510460251,2248292,0.0,1.0
2024-07-30,14.04,14.23,13.84,13.96,13.862649930265,2393820,0.0,1.0
2024-07-29,14.48,14.55,13.915,13.96,13.862649930265,2919318,0.0,1.0
2024-07-26,13.69,14.51,13.68,14.4,14.2995815899582,4492623,0.0,1.0
2024-07-25,12.9,13.5,12.83,13.48,13.3859972105997,3085438,0.0,1.0
2024-07-24,13.68,13.86,12.9125,12.95,12.8596931659693,2894418,0.0,1.0
2024-07-23,13.46,13.92,13.11,13.83,13.7335564853556,5115283,0.0,1.0
2024-07-22,14.38,14.745,14.12,14.68,14.5776290097629,2513249,0.0,1.0
2024-07-19,14.22,14.535,14.1,14.39,14.2896513249651,2055108,0.0,1.0
2024-07-18,14.39,14.785,14.15,14.27,14.1704881450488,2663504,0.0,1.0
2024-07-17,14.4,14.855,14.26,14.51,14.4088145048814,2847726,0.0,1.0
2024-07-16,14.0,14.725,13.96,14.67,14.5676987447699,3564608,0.0,1.0
2024-07-15,13.87,14.02,13.79,13.96,13.862649930265,3160430,0.0,1.0
2024-07-12,13.63,13.735,13.43,13.61,13.5150906555091,1719473,0.0,1.0
2024-07-11,13.2,13.58,13.04,13.53,13.4356485355649,2811804,0.0,1.0
2024-07-10,12.54,12.915,12.525,12.8,12.7107391910739,2986581,0.0,1.0
2024-07-09,12.38,12.54,12.31,12.53,12.4426220362622,2347662,0.0,1.0
2024-07-08,12.9,12.96,12.47,12.5,12.4128312412831,1403301,0.0,1.0
2024-07-05,13.03,13.0799,12.71,12.75,12.6610878661088,1905781,0.0,1.0
2024-07-03,13.18,13.36,12.965,12.99,12.8994142259414,1411820,0.0,1.0
2024-07-02,12.85,13.25,12.85,13.19,13.098019525802,1487301,0.0,1.0
2024-07-01,12.8,12.88,12.53,12.83,12.740529986053,2326492,0.0,1.0
2024-06-28,12.57,12.9,12.49,12.78,12.6908786610879,4918583,0.0,1.0
2024-06-27,12.09,12.425,11.88,12.38,12.2936680613668,3909500,0.0,1.0
2024-06-26,12.21,12.3375,12.085,12.18,12.0950627615063,3033721,0.0,1.0
2024-06-25,12.67,12.71,12.24,12.28,12.1943654114365,3016678,0.0,1.0
2024-06-24,12.82,13.02,12.69,12.79,12.7008089260809,2103122,0.0,1.0
2024-06-21,12.75,12.82,12.55,12.7,12.6114365411437,3167823,0.0,1.0
2024-06-20,12.87,12.98,12.725,12.82,12.73059972106,1307690,0.0,1.0
2024-06-18,13.04,13.15,12.86,12.9,12.8100418410042,1318036,0.0,1.0
2024-06-17,12.75,13.09,12.7,13.07,12.9788563458856,1176946,0.0,1.0
2024-06-14,12.85,12.99,12.665,12.84,12.750460251046,1089024,0.1,1.0
2024-06-13,13.41,13.49,13.09,13.1,12.9081166374577,1419119,0.0,1.0
2024-06-12,13.29,13.73,13.275,13.53,13.3318181759392,2230769,0.0,1.0
2024-06-11,12.75,12.96,12.59,12.9,12.7110461544431,1352975,0.0,1.0
2024-06-10,12.77,13.0,12.575,12.86,12.6716320578402,2072937,0.0,1.0
2024-06-07,12.95,13.135,12.91,13.04,12.8489954925533,1250683,0.0,1.0
2024-06-06,13.13,13.23,12.82,13.17,12.9770913065128,1702445,0.0,1.0
2024-06-05,12.89,13.09,12.645,13.08,12.8884095891563,1930475,0.0,1.0
