,BANR_Open,BANR_High,BANR_Low,BANR_Close,BANR_Adj Close,BANR_Volume,BANR_Dividend Amount,BANR_Split Coefficient
2024-10-07,59.16,59.29,58.52,59.02,59.02,251343,0.0,1.0
2024-10-04,59.86,60.01,59.09,59.5,59.5,148284,0.0,1.0
2024-10-03,57.52,58.75,57.15,58.62,58.62,202718,0.0,1.0
2024-10-02,57.85,58.61,57.24,58.02,58.02,250337,0.0,1.0
2024-10-01,59.53,59.54,57.49,57.86,57.86,207038,0.0,1.0
2024-09-30,58.44,59.96,58.0675,59.56,59.56,203718,0.0,1.0
2024-09-27,59.36,60.105,58.715,58.83,58.83,206634,0.0,1.0
2024-09-26,59.49,60.09,59.005,59.22,59.22,209738,0.0,1.0
2024-09-25,60.07,60.07,58.125,58.7,58.7,224626,0.0,1.0
2024-09-24,60.78,61.135,59.78,60.07,60.07,208227,0.0,1.0
2024-09-23,61.42,61.76,60.31,60.73,60.73,291048,0.0,1.0
2024-09-20,60.96,61.41,60.4,61.29,61.29,965520,0.0,1.0
2024-09-19,60.7,61.665,59.8,61.29,61.29,257889,0.0,1.0
2024-09-18,58.75,61.475,57.685,59.53,59.53,237592,0.0,1.0
2024-09-17,58.91,59.56,58.18,58.54,58.54,202347,0.0,1.0
2024-09-16,57.69,58.46,56.72,58.29,58.29,176993,0.0,1.0
2024-09-13,56.84,57.55,56.53,57.55,57.55,107965,0.0,1.0
2024-09-12,56.09,57.77,55.23,56.0,56.0,88312,0.0,1.0
2024-09-11,56.3,56.7,53.78,55.98,55.98,125971,0.0,1.0
2024-09-10,56.8,56.97,55.46,56.88,56.88,130116,0.0,1.0
2024-09-09,57.29,57.56,54.735,56.77,56.77,137992,0.0,1.0
2024-09-06,58.35,58.95,56.99,57.2,57.2,138925,0.0,1.0
2024-09-05,58.86,59.08,57.67,58.24,58.24,142476,0.0,1.0
2024-09-04,58.57,59.1,58.0,58.57,58.57,204494,0.0,1.0
2024-09-03,58.97,59.75,58.37,58.79,58.79,174015,0.0,1.0
2024-08-30,59.33,59.65,58.59,59.57,59.57,141368,0.0,1.0
2024-08-29,60.14,60.34,59.06,59.21,59.21,162952,0.0,1.0
2024-08-28,58.71,59.96,58.655,59.67,59.67,117116,0.0,1.0
2024-08-27,59.08,59.13,58.49,58.98,58.98,170481,0.0,1.0
