,BBBY_Open,BBBY_High,BBBY_Low,BBBY_Close,BBBY_Adj Close,BBBY_Volume,BBBY_Dividend Amount,BBBY_Split Coefficient
2023-09-29,0.0999,0.11,0.067,0.0789,0.0789,8823802,0.0,1.0
2023-09-28,0.12,0.13,0.0902,0.11,0.11,2587315,0.0,1.0
2023-09-27,0.0756,0.175,0.0726,0.1399,0.1399,2829743,0.0,1.0
2023-09-26,0.0782,0.08,0.0651,0.0751,0.0751,2935161,0.0,1.0
2023-09-25,0.1094,0.11,0.075,0.0784,0.0784,4954997,0.0,1.0
2023-09-22,0.13,0.13,0.092,0.1,0.1,4048933,0.0,1.0
2023-09-21,0.1,0.185,0.1,0.115,0.115,4140664,0.0,1.0
2023-09-20,0.18,0.2,0.17,0.175,0.175,1096501,0.0,1.0
2023-09-19,0.18,0.2,0.16,0.185,0.185,1675236,0.0,1.0
2023-09-18,0.2,0.2,0.16,0.175,0.175,1498754,0.0,1.0
2023-09-15,0.16,0.2,0.16,0.175,0.175,2527973,0.0,1.0
2023-09-14,0.19,0.193,0.135,0.16,0.16,3037385,0.0,1.0
2023-09-13,0.155,0.2,0.15,0.1899,0.1899,7151260,0.0,1.0
2023-09-12,0.228,0.23,0.1705,0.1898,0.1898,23103722,0.0,1.0
2023-09-11,0.228,0.255,0.2175,0.2315,0.2315,9172565,0.0,1.0
2023-09-08,0.22,0.2399,0.205,0.2337,0.2337,7224412,0.0,1.0
2023-09-07,0.2251,0.23,0.2134,0.23,0.23,4558432,0.0,1.0
2023-09-06,0.235,0.2489,0.2212,0.228,0.228,5054646,0.0,1.0
2023-09-05,0.2618,0.2619,0.2225,0.241,0.241,9123568,0.0,1.0
2023-09-01,0.2113,0.268,0.2092,0.261975,0.261975,13946081,0.0,1.0
2023-08-31,0.2165,0.2198,0.209,0.2125,0.2125,3551315,0.0,1.0
2023-08-30,0.2127,0.218,0.208,0.211,0.211,4407750,0.0,1.0
2023-08-29,0.2,0.2189,0.19,0.2101,0.2101,4980455,0.0,1.0
2023-08-28,0.201,0.2099,0.1949,0.204,0.204,5438788,0.0,1.0
2023-08-25,0.21,0.2189,0.203,0.213,0.213,3484173,0.0,1.0
2023-08-24,0.205,0.225,0.191,0.213,0.213,6422826,0.0,1.0
2023-08-23,0.2,0.24,0.185,0.206,0.206,11398946,0.0,1.0
2023-08-22,0.1896,0.207,0.18,0.2,0.2,7067922,0.0,1.0
2023-08-21,0.2,0.2099,0.195,0.204,0.204,5772047,0.0,1.0
2023-08-18,0.18,0.2199,0.1666,0.2058,0.2058,9076493,0.0,1.0
2023-08-17,0.1903,0.198,0.1651,0.185,0.185,12810640,0.0,1.0
2023-08-16,0.216,0.2169,0.189,0.198,0.198,15226663,0.0,1.0
2023-08-15,0.2221,0.2285,0.2119,0.218,0.218,5006451,0.0,1.0
2023-08-14,0.245,0.248,0.21,0.229,0.229,9509836,0.0,1.0
2023-08-11,0.2301,0.255,0.221,0.248,0.248,7182256,0.0,1.0
2023-08-10,0.235,0.2399,0.22,0.2291,0.2291,6093316,0.0,1.0
2023-08-09,0.2573,0.2574,0.2356,0.2369,0.2369,6570302,0.0,1.0
2023-08-08,0.2651,0.27,0.2405,0.248,0.248,9893543,0.0,1.0
2023-08-07,0.285,0.287,0.256,0.264,0.264,6593395,0.0,1.0
2023-08-04,0.2749,0.289,0.2723,0.28,0.28,7751967,0.0,1.0
2023-08-03,0.271,0.275,0.245,0.2749,0.2749,8883692,0.0,1.0
2023-08-02,0.264,0.2727,0.2451,0.2669,0.2669,11952983,0.0,1.0
2023-08-01,0.286,0.2899,0.211,0.2611,0.2611,19156507,0.0,1.0
2023-07-31,0.2899,0.3,0.275,0.2814,0.2814,8651560,0.0,1.0
2023-07-28,0.2829,0.295,0.275,0.288,0.288,7458600,0.0,1.0
2023-07-27,0.305,0.31,0.263,0.285,0.285,16840633,0.0,1.0
2023-07-26,0.31,0.33,0.3021,0.3124,0.3124,5866958,0.0,1.0
2023-07-25,0.3036,0.319,0.295,0.3021,0.3021,7847998,0.0,1.0
2023-07-24,0.2897,0.33,0.282,0.3151,0.3151,10516214,0.0,1.0
2023-07-21,0.275,0.3599,0.2445,0.31505,0.31505,32771068,0.0,1.0
2023-07-20,0.376,0.37985,0.3422,0.3642,0.3642,11387158,0.0,1.0
2023-07-19,0.3767,0.3998,0.36,0.3797,0.3797,18464669,0.0,1.0
2023-07-18,0.3439,0.3845,0.343425,0.3769,0.3769,16379933,0.0,1.0
2023-07-17,0.3121,0.365,0.312,0.3415,0.3415,16191481,0.0,1.0
2023-07-14,0.3087,0.330025,0.3002,0.312,0.312,12070293,0.0,1.0
2023-07-13,0.2987,0.3099,0.285,0.3,0.3,9955336,0.0,1.0
2023-07-12,0.2875,0.298,0.272,0.2965,0.2965,11446329,0.0,1.0
2023-07-11,0.2925,0.3089,0.23765,0.2834,0.2834,13347193,0.0,1.0
2023-07-10,0.2725,0.2988,0.265,0.279,0.279,8182406,0.0,1.0
2023-07-07,0.25,0.305,0.2213,0.2836,0.2836,30003225,0.0,1.0
2023-07-06,0.3045,0.32,0.285,0.3083,0.3083,12269765,0.0,1.0
2023-07-05,0.3074,0.325,0.3005,0.3101,0.3101,9162857,0.0,1.0
2023-07-03,0.29,0.3049,0.28,0.301,0.301,6498904,0.0,1.0
2023-06-30,0.2999,0.302,0.255,0.274585,0.274585,13736810,0.0,1.0
2023-06-29,0.2948,0.3307,0.2901,0.292,0.292,16683257,0.0,1.0
2023-06-28,0.3315,0.3649,0.3147,0.341025,0.341025,15953518,0.0,1.0
2023-06-27,0.325,0.388,0.2752,0.326,0.326,43295049,0.0,1.0
2023-06-26,0.2401,0.3295,0.231,0.3199,0.3199,31561103,0.0,1.0
2023-06-23,0.2,0.2309,0.19,0.23,0.23,11171599,0.0,1.0
