,BGS_Open,BGS_High,BGS_Low,BGS_Close,BGS_Adj Close,BGS_Volume,BGS_Dividend Amount,BGS_Split Coefficient
2024-10-07,8.42,8.425,8.14,8.22,8.22,822031,0.0,1.0
2024-10-04,8.49,8.63,8.43,8.44,8.44,832240,0.0,1.0
2024-10-03,8.75,8.75,8.4,8.42,8.42,1240077,0.0,1.0
2024-10-02,8.85,8.95,8.775,8.79,8.79,723192,0.0,1.0
2024-10-01,8.87,8.93,8.77,8.91,8.91,935666,0.0,1.0
2024-09-30,9.15,9.15,8.86,8.88,8.88,943181,0.19,1.0
2024-09-27,9.39,9.44,9.305,9.34,9.14434399117971,815389,0.0,1.0
2024-09-26,8.96,9.32,8.95,9.29,9.09539140022051,793759,0.0,1.0
2024-09-25,9.05,9.05,8.84,8.87,8.68418963616318,1164773,0.0,1.0
2024-09-24,9.11,9.155,8.935,9.01,8.82125689084895,747842,0.0,1.0
2024-09-23,9.21,9.23,9.05,9.05,8.86041896361632,804419,0.0,1.0
2024-09-20,9.17,9.31,9.0999,9.18,8.98769570011025,2276310,0.0,1.0
2024-09-19,9.34,9.35,9.15,9.18,8.98769570011025,550123,0.0,1.0
2024-09-18,9.17,9.41,9.115,9.22,9.02685777287762,819750,0.0,1.0
2024-09-17,9.1,9.2534,9.09,9.19,8.99748621830209,588683,0.0,1.0
2024-09-16,9.22,9.27,9.015,9.04,8.85062844542448,689452,0.0,1.0
2024-09-13,8.81,9.15,8.8,9.14,8.94853362734289,878824,0.0,1.0
2024-09-12,8.38,8.755,8.355,8.71,8.52754134509372,746982,0.0,1.0
2024-09-11,8.42,8.43,8.21,8.37,8.19466372657111,589119,0.0,1.0
2024-09-10,8.65,8.65,8.395,8.41,8.23382579933848,479789,0.0,1.0
2024-09-09,8.68,8.7,8.47,8.59,8.41005512679162,826668,0.0,1.0
2024-09-06,8.71,8.79,8.61,8.7,8.51775082690187,750694,0.0,1.0
2024-09-05,8.38,8.79,8.37,8.73,8.5471223814774,819388,0.0,1.0
2024-09-04,8.17,8.3758,8.17,8.33,8.15550165380375,625284,0.0,1.0
2024-09-03,8.44,8.445,8.2,8.21,8.03801543550166,764325,0.0,1.0
2024-08-30,8.5,8.54,8.35,8.47,8.29256890848953,506012,0.0,1.0
2024-08-29,8.52,8.55,8.3308,8.47,8.29256890848953,518619,0.0,1.0
2024-08-28,8.58,8.66,8.435,8.49,8.31214994487321,481619,0.0,1.0
2024-08-27,8.58,8.69,8.55,8.6,8.41984564498346,616160,0.0,1.0
2024-08-26,8.44,8.69,8.425,8.63,8.44921719955899,1437864,0.0,1.0
2024-08-23,8.24,8.465,8.19,8.41,8.23382579933848,646916,0.0,1.0
2024-08-22,8.42,8.42,8.2,8.23,8.05759647188534,623171,0.0,1.0
2024-08-21,8.3,8.4,8.24,8.37,8.19466372657111,689119,0.0,1.0
2024-08-20,8.35,8.37,8.17,8.22,8.0478059536935,712930,0.0,1.0
2024-08-19,8.38,8.425,8.3324,8.4,8.22403528114664,628619,0.0,1.0
2024-08-16,8.4,8.45,8.285,8.3,8.12613009922823,616197,0.0,1.0
2024-08-15,8.45,8.47,8.325,8.44,8.263197353914,841456,0.0,1.0
2024-08-14,8.35,8.41,8.185,8.31,8.13592061742007,691271,0.0,1.0
2024-08-13,8.1,8.35,8.03,8.31,8.13592061742007,829490,0.0,1.0
2024-08-12,8.21,8.2392,7.99,8.02,7.85199558985667,1040909,0.0,1.0
2024-08-09,8.6,8.615,8.085,8.24,8.06738699007718,1171838,0.0,1.0
2024-08-08,8.49,8.7543,8.47,8.66,8.47858875413451,1036133,0.0,1.0
2024-08-07,8.52,8.84,8.08,8.43,8.25340683572216,1652009,0.0,1.0
2024-08-06,8.29,8.8,8.285,8.66,8.47858875413451,1549933,0.0,1.0
2024-08-05,8.2,8.44,8.11,8.37,8.19466372657111,1193041,0.0,1.0
2024-08-02,8.46,8.57,8.34,8.56,8.3806835722161,958330,0.0,1.0
2024-08-01,8.62,8.7,8.455,8.6,8.41984564498346,1092822,0.0,1.0
2024-07-31,8.7,8.7799,8.53,8.62,8.43942668136714,1126572,0.0,1.0
2024-07-30,8.53,8.66,8.51,8.63,8.44921719955899,945570,0.0,1.0
2024-07-29,8.52,8.61,8.47,8.56,8.3806835722161,724639,0.0,1.0
2024-07-26,8.48,8.55,8.32,8.53,8.35131201764057,820174,0.0,1.0
2024-07-25,8.18,8.44,8.14,8.35,8.17508269018743,892633,0.0,1.0
2024-07-24,8.12,8.25,8.085,8.13,7.95969128996693,655875,0.0,1.0
2024-07-23,8.13,8.23,8.06,8.18,8.00864388092613,608502,0.0,1.0
2024-07-22,8.25,8.26,7.84,8.15,7.97927232635061,1138991,0.0,1.0
2024-07-19,8.51,8.51,8.15,8.18,8.00864388092613,998141,0.0,1.0
2024-07-18,8.52,8.78,8.43,8.54,8.36110253583241,1090844,0.0,1.0
2024-07-17,8.26,8.69,8.26,8.63,8.44921719955899,1261836,0.0,1.0
2024-07-16,8.03,8.35,7.985,8.32,8.14571113561191,1267945,0.0,1.0
2024-07-15,7.95,8.13,7.8405,7.98,7.81283351708931,1142487,0.0,1.0
2024-07-12,7.97,8.06,7.76,7.88,7.71492833517089,878140,0.0,1.0
2024-07-11,7.8,7.9,7.68,7.87,7.70513781697905,921649,0.0,1.0
2024-07-10,7.74,7.79,7.63,7.73,7.56807056229328,588690,0.0,1.0
2024-07-09,7.8,7.8,7.62,7.68,7.51911797133407,886260,0.0,1.0
2024-07-08,7.86,7.93,7.75,7.82,7.65618522601985,733605,0.0,1.0
2024-07-05,7.81,7.86,7.64,7.8,7.63660418963616,957258,0.0,1.0
2024-07-03,7.93,7.97,7.8302,7.84,7.67576626240353,435861,0.0,1.0
2024-07-02,7.97,8.03,7.87,7.91,7.74429988974642,715837,0.0,1.0
2024-07-01,8.03,8.13,7.9,7.95,7.78346196251378,874936,0.0,1.0
2024-06-28,7.98,8.14,7.9401,8.08,7.91073869900772,1623963,0.19,1.0
2024-06-27,8.02,8.24,7.86,8.2,7.84377960482023,1809664,0.0,1.0
2024-06-26,8.01,8.045,7.855,7.99,7.64290232225776,1367542,0.0,1.0
2024-06-25,8.35,8.39,8.03,8.03,7.68116466179347,1427685,0.0,1.0
2024-06-24,8.35,8.47,8.295,8.39,8.02552571761485,928093,0.0,1.0
2024-06-21,8.17,8.44,8.16,8.34,7.97769779319521,2462513,0.0,1.0
