,BID_Open,BID_High,BID_Low,BID_Close,BID_Adj Close,BID_Volume,BID_Dividend Amount,BID_Split Coefficient
2019-10-14,56.99,56.99,56.99,56.99,56.99,0,0.0,1.0
2019-10-11,56.99,56.99,56.99,56.99,56.99,0,0.0,1.0
2019-10-10,56.99,56.99,56.99,56.99,56.99,0,0.0,1.0
2019-10-09,56.99,56.99,56.99,56.99,56.99,0,0.0,1.0
2019-10-08,56.99,56.99,56.99,56.99,56.99,0,0.0,1.0
2019-10-07,56.99,56.99,56.99,56.99,56.99,0,0.0,1.0
2019-10-04,56.99,56.99,56.99,56.99,56.99,0,0.0,1.0
2019-10-03,56.99,56.99,56.99,56.99,56.99,0,0.0,1.0
2019-10-02,56.98,57.0,56.98,56.99,56.99,2099005,0.0,1.0
2019-10-01,56.99,57.02,56.98,57.0,57.0,720342,0.0,1.0
2019-09-30,57.0,57.05,56.98,56.98,56.98,1494350,0.0,1.0
2019-09-27,56.98,57.04,56.96,57.0,57.0,884409,0.0,1.0
2019-09-26,56.97,56.99,56.96,56.96,56.96,1211025,0.0,1.0
2019-09-25,56.95,56.98,56.95,56.95,56.95,271793,0.0,1.0
2019-09-24,56.96,56.97,56.94,56.95,56.95,576150,0.0,1.0
2019-09-23,56.94,56.98,56.94,56.96,56.96,956271,0.0,1.0
2019-09-20,56.97,56.99,56.91,56.94,56.94,1446766,0.0,1.0
2019-09-19,56.89,56.98,56.88,56.94,56.94,1228163,0.0,1.0
2019-09-18,56.93,57.05,56.87,56.9,56.9,347792,0.0,1.0
2019-09-17,56.92,56.95,56.87,56.91,56.91,261812,0.0,1.0
2019-09-16,56.87,56.99,56.87,56.87,56.87,238558,0.0,1.0
2019-09-13,56.95,57.0,56.85,56.87,56.87,144643,0.0,1.0
2019-09-12,57.0,57.11,56.85,56.85,56.85,437113,0.0,1.0
2019-09-11,56.89,56.96,56.84,56.9,56.9,251277,0.0,1.0
2019-09-10,56.79,56.88,56.78,56.83,56.83,468782,0.0,1.0
2019-09-09,56.9,56.92,56.78,56.78,56.78,544793,0.0,1.0
2019-09-06,56.95,56.95,56.79,56.83,56.83,662353,0.0,1.0
2019-09-05,57.38,57.38,56.5,56.84,56.84,4587221,0.0,1.0
2019-09-04,57.71,57.85,57.0,57.02,57.02,413952,0.0,1.0
2019-09-03,57.66,57.66,57.01,57.16,57.16,584751,0.0,1.0
2019-08-30,57.79,57.92,57.7,57.75,57.75,648387,0.0,1.0
2019-08-29,57.85,58.09,57.6,57.67,57.67,272726,0.0,1.0
2019-08-28,57.6,57.65,57.32,57.61,57.61,375568,0.0,1.0
2019-08-27,58.0,58.04,57.52,57.67,57.67,327600,0.0,1.0
2019-08-26,58.68,58.68,57.87,58.1,58.1,536897,0.0,1.0
2019-08-23,58.75,59.0,58.6,58.68,58.68,589392,0.0,1.0
2019-08-22,58.91,58.91,58.57,58.84,58.84,434241,0.0,1.0
2019-08-21,59.0,59.0,58.73,58.83,58.83,512981,0.0,1.0
2019-08-20,58.6,58.96,58.5,58.81,58.81,416505,0.0,1.0
2019-08-19,58.51,58.98,58.45,58.69,58.69,1060872,0.0,1.0
2019-08-16,58.25,58.3,57.9,58.2,58.2,325361,0.0,1.0
2019-08-15,58.4,58.5,57.78,58.11,58.11,754634,0.0,1.0
2019-08-14,58.08,58.44,57.97,58.24,58.24,415535,0.0,1.0
2019-08-13,58.3,58.98,57.93,58.56,58.56,277361,0.0,1.0
2019-08-12,58.25,58.76,58.15,58.4,58.4,290543,0.0,1.0
2019-08-09,58.98,59.0,58.41,58.63,58.63,380504,0.0,1.0
2019-08-08,59.19,59.25,58.7,59.13,59.13,286576,0.0,1.0
2019-08-07,58.2,59.28,58.0,58.84,58.84,720030,0.0,1.0
2019-08-06,58.54,58.77,57.28,57.94,57.94,246164,0.0,1.0
2019-08-05,57.8,58.63,57.43,58.31,58.31,457241,0.0,1.0
2019-08-02,58.38,58.58,58.05,58.45,58.45,142525,0.0,1.0
2019-08-01,59.71,59.71,57.87,58.38,58.38,457633,0.0,1.0
2019-07-31,58.95,59.94,58.04,59.71,59.71,664733,0.0,1.0
2019-07-30,58.14,59.1,58.05,58.9,58.9,319776,0.0,1.0
2019-07-29,58.7,58.96,58.02,58.38,58.38,238396,0.0,1.0
2019-07-26,58.56,58.9,58.42,58.79,58.79,231009,0.0,1.0
2019-07-25,58.7,58.75,57.97,58.38,58.38,344059,0.0,1.0
2019-07-24,58.0,58.9,57.95,58.84,58.84,240586,0.0,1.0
2019-07-23,58.13,58.5,58.13,58.19,58.19,213575,0.0,1.0
2019-07-22,58.04,58.19,57.64,58.0,58.0,273467,0.0,1.0
2019-07-19,58.49,58.5,57.92,57.93,57.93,287348,0.0,1.0
2019-07-18,58.44,58.98,58.19,58.29,58.29,190857,0.0,1.0
2019-07-17,58.9,58.9,57.63,58.42,58.42,426388,0.0,1.0
2019-07-16,58.21,59.36,58.21,59.2,59.2,372539,0.0,1.0
2019-07-15,58.06,58.44,57.7,58.4,58.4,337867,0.0,1.0
2019-07-12,57.85,58.34,57.75,58.09,58.09,822520,0.0,1.0
2019-07-11,57.91,57.96,57.43,57.85,57.85,245729,0.0,1.0
2019-07-10,58.35,58.36,57.61,57.68,57.68,300279,0.0,1.0
2019-07-09,57.86,58.43,57.76,58.27,58.27,215126,0.0,1.0
2019-07-08,58.26,58.26,57.67,58.1,58.1,421753,0.0,1.0
2019-07-05,57.85,58.6,57.5,58.5,58.5,419734,0.0,1.0
2019-07-03,58.07,58.6,57.8,58.2,58.2,188069,0.0,1.0
2019-07-02,58.2,58.52,57.34,58.16,58.16,392627,0.0,1.0
2019-07-01,58.14,58.7,57.4,58.28,58.28,767212,0.0,1.0
2019-06-28,59.1,59.3,57.84,58.13,58.13,730219,0.0,1.0
2019-06-27,58.68,59.18,58.29,59.08,59.08,564234,0.0,1.0
2019-06-26,57.88,58.7,57.61,58.49,58.49,504218,0.0,1.0
2019-06-25,58.11,58.8,57.62,57.73,57.73,847293,0.0,1.0
2019-06-24,58.61,58.67,57.99,58.26,58.26,787788,0.0,1.0
2019-06-21,56.33,59.03,56.3,58.92,58.92,3379558,0.0,1.0
2019-06-20,56.7,56.75,56.21,56.53,56.53,806024,0.0,1.0
2019-06-19,56.2,56.9101,56.0,56.7,56.7,3503679,0.0,1.0
2019-06-18,56.13,56.63,55.99,56.21,56.21,5064695,0.0,1.0
2019-06-17,55.3,56.35,55.16,56.13,56.13,10342532,0.0,1.0
2019-06-14,35.27,35.64,35.17,35.39,35.39,210372,0.0,1.0
2019-06-13,35.23,35.7,35.11,35.38,35.38,203491,0.0,1.0
2019-06-12,35.27,35.4,34.87,35.07,35.07,223718,0.0,1.0
2019-06-11,35.23,35.71,34.84,35.46,35.46,317524,0.0,1.0
2019-06-10,34.85,35.32,34.595,35.07,35.07,433382,0.0,1.0
2019-06-07,34.83,34.91,34.14,34.5,34.5,420940,0.0,1.0
2019-06-06,33.7,34.59,33.5,34.54,34.54,561937,0.0,1.0
2019-06-05,33.73,33.85,33.16,33.67,33.67,478351,0.0,1.0
2019-06-04,32.71,33.895,32.71,33.71,33.71,445264,0.0,1.0
2019-06-03,33.6,33.92,32.01,32.38,32.38,789748,0.0,1.0
2019-05-31,35.53,35.53,33.59,33.71,33.71,903471,0.0,1.0
2019-05-30,36.33,36.67,35.99,36.0,36.0,488271,0.0,1.0
2019-05-29,38.24,38.5,36.0,36.37,36.37,959232,0.0,1.0
2019-05-28,37.9,38.9,37.9,38.56,38.56,657347,0.0,1.0
2019-05-24,37.76,38.07,37.48,37.8,37.8,197325,0.0,1.0
2019-05-23,37.89,38.05,37.05,37.39,37.39,372761,0.0,1.0
2019-05-22,37.9,38.48,37.73,38.23,38.23,320974,0.0,1.0
2019-05-21,37.43,38.45,37.19,38.14,38.14,395576,0.0,1.0
2019-05-20,37.42,37.45,36.85,37.21,37.21,486632,0.0,1.0
2019-05-17,37.25,37.92,37.1,37.48,37.48,516296,0.0,1.0
