,BR_Open,BR_High,BR_Low,BR_Close,BR_Adj Close,BR_Volume,BR_Dividend Amount,BR_Split Coefficient
2024-10-07,213.57,215.89,213.2,215.18,215.18,389822,0.0,1.0
2024-10-04,215.36,216.15,213.12,215.33,215.33,341319,0.0,1.0
2024-10-03,213.22,215.17,212.37,215.0,215.0,393220,0.0,1.0
2024-10-02,213.62,215.82,212.09,213.75,213.75,499244,0.0,1.0
2024-10-01,215.05,215.5599,212.28,214.69,214.69,556193,0.0,1.0
2024-09-30,211.6,215.26,211.6,215.03,215.03,725205,0.0,1.0
2024-09-27,212.27,214.2899,210.97,212.03,212.03,613692,0.0,1.0
2024-09-26,208.91,212.09,208.41,211.75,211.75,757545,0.0,1.0
2024-09-25,211.43,211.43,208.14,208.37,208.37,356192,0.0,1.0
2024-09-24,210.17,211.36,208.89,210.53,210.53,320482,0.0,1.0
2024-09-23,208.98,210.71,208.285,210.65,210.65,382853,0.0,1.0
2024-09-20,208.39,209.2,207.21,208.22,208.22,1172574,0.0,1.0
2024-09-19,210.53,210.57,207.28,208.99,208.99,913686,0.0,1.0
2024-09-18,211.1,212.695,208.48,208.59,208.59,532767,0.0,1.0
2024-09-17,211.73,213.27,210.47,210.96,210.96,374002,0.0,1.0
2024-09-16,212.61,214.22,210.64,211.64,211.64,292854,0.0,1.0
2024-09-13,210.7,212.24,210.395,211.95,211.95,366452,0.0,1.0
2024-09-12,210.1,211.69,208.58,210.53,210.53,384845,0.88,1.0
2024-09-11,212.74,212.94,208.02,211.25,210.370666004446,518294,0.0,1.0
2024-09-10,211.32,214.48,210.29,214.15,213.258594673856,768988,0.0,1.0
2024-09-09,208.14,211.595,208.14,210.65,209.77316352112,455372,0.0,1.0
2024-09-06,210.31,210.99,206.95,207.59,206.725900856156,632306,0.0,1.0
2024-09-05,212.07,212.63,208.83,210.85,209.972331015562,699960,0.0,1.0
2024-09-04,211.44,212.365,210.18,211.94,211.057793860272,498260,0.0,1.0
2024-09-03,211.13,212.905,210.6,211.45,210.569833498888,637875,0.0,1.0
2024-08-30,213.42,213.43,210.1,212.86,211.973964334705,646289,0.0,1.0
2024-08-29,212.12,213.21,210.44,212.1,211.217127855825,352696,0.0,1.0
2024-08-28,210.68,212.915,210.145,211.59,210.709250744998,488222,0.0,1.0
2024-08-27,209.03,211.2,209.03,210.16,209.285203159737,659206,0.0,1.0
2024-08-26,209.5,211.32,208.8,209.45,208.578158554468,483234,0.0,1.0
2024-08-23,211.1,211.1,208.28,209.03,208.159906816139,446492,0.0,1.0
2024-08-22,211.14,211.705,209.39,210.22,209.34495340807,461255,0.0,1.0
2024-08-21,209.59,211.48,208.8,211.14,210.261123882503,574355,0.0,1.0
2024-08-20,209.53,210.53,208.19,209.49,208.617992053356,529265,0.0,1.0
2024-08-19,209.18,210.16,208.15,209.27,208.39890780947,713031,0.0,1.0
2024-08-16,208.99,210.13,208.1,208.71,207.841238825032,538310,0.0,1.0
