,BRS_Open,BRS_High,BRS_Low,BRS_Close,BRS_Adj Close,BRS_Volume,BRS_Dividend Amount,BRS_Split Coefficient
2019-10-31,0.008712,0.01,0.0086,0.0086,0.0086,58388,0.0,1.0
2019-10-30,0.009,0.0103,0.0086,0.0086,0.0086,156583,0.0,1.0
2019-10-29,0.01005,0.014,0.0086,0.01025,0.01025,267955,0.0,1.0
2019-10-28,0.015,0.015,0.01,0.0101,0.0101,345266,0.0,1.0
2019-10-25,0.01138,0.0125,0.01,0.0125,0.0125,136571,0.0,1.0
2019-10-24,0.01,0.01612,0.01,0.0115,0.0115,240696,0.0,1.0
2019-10-23,0.0118,0.0144,0.0086,0.01,0.01,47059,0.0,1.0
2019-10-22,0.015,0.015,0.0086,0.012,0.012,443896,0.0,1.0
2019-10-21,0.016,0.016,0.0114,0.0145,0.0145,705861,0.0,1.0
2019-10-18,0.02,0.02,0.0091,0.0125,0.0125,720816,0.0,1.0
2019-10-17,0.0091,0.0098,0.009,0.0091,0.0091,466072,0.0,1.0
2019-10-16,0.0089,0.0096,0.008,0.0091,0.0091,275399,0.0,1.0
2019-10-15,0.008,0.0087,0.008,0.008,0.008,111299,0.0,1.0
2019-10-14,0.008,0.0086,0.008,0.008,0.008,296480,0.0,1.0
2019-10-11,0.0085,0.0095,0.008,0.0085,0.0085,349506,0.0,1.0
2019-10-10,0.0091,0.01,0.008,0.0095,0.0095,652848,0.0,1.0
2019-10-09,0.0094,0.0097,0.0076,0.0094,0.0094,747518,0.0,1.0
2019-10-08,0.00995,0.01,0.0076,0.009376,0.009376,1234958,0.0,1.0
2019-10-07,0.03,0.03,0.01,0.01,0.01,6615400,0.0,1.0
2019-10-04,0.04,0.04,0.0333,0.04,0.04,104251,0.0,1.0
2019-10-03,0.039,0.039,0.0333,0.035,0.035,113992,0.0,1.0
2019-10-02,0.0375,0.039,0.036,0.036,0.036,59003,0.0,1.0
2019-10-01,0.0333,0.036,0.0333,0.0333,0.0333,58380,0.0,1.0
2019-09-30,0.0366,0.0366,0.0333,0.03465,0.03465,30951,0.0,1.0
2019-09-27,0.034,0.0359,0.03,0.0301,0.0301,128859,0.0,1.0
2019-09-26,0.0335,0.033535,0.03,0.033535,0.033535,80127,0.0,1.0
2019-09-25,0.0339,0.0339,0.029,0.0325,0.0325,77038,0.0,1.0
2019-09-24,0.03,0.0339,0.0295,0.0295,0.0295,36615,0.0,1.0
2019-09-23,0.029,0.0379,0.029,0.0295,0.0295,180780,0.0,1.0
2019-09-20,0.03125,0.034,0.0285,0.0285,0.0285,34283,0.0,1.0
2019-09-19,0.0332,0.034,0.0316,0.0316,0.0316,193924,0.0,1.0
