,BYD_Open,BYD_High,BYD_Low,BYD_Close,BYD_Adj Close,BYD_Volume,BYD_Dividend Amount,BYD_Split Coefficient
2024-10-07,64.82,65.02,64.12,64.55,64.55,625288,0.0,1.0
2024-10-04,65.0,65.02,64.275,64.8,64.8,582037,0.0,1.0
2024-10-03,63.47,64.07,63.13,64.06,64.06,425789,0.0,1.0
2024-10-02,63.62,64.11,63.32,64.05,64.05,591805,0.0,1.0
2024-10-01,64.67,64.67,63.3403,63.9,63.9,621873,0.0,1.0
2024-09-30,65.0,65.08,64.28,64.65,64.65,561384,0.0,1.0
2024-09-27,65.52,65.86,64.855,65.35,65.35,596568,0.0,1.0
2024-09-26,64.48,65.1,64.29,64.89,64.89,593240,0.0,1.0
2024-09-25,64.21,64.46,63.92,63.96,63.96,723101,0.0,1.0
2024-09-24,64.86,65.37,63.93,64.06,64.06,799303,0.0,1.0
2024-09-23,64.19,64.595,63.85,64.23,64.23,1146557,0.0,1.0
2024-09-20,64.18,64.28,63.506,64.03,64.03,1100949,0.0,1.0
2024-09-19,64.27,64.47,63.675,64.14,64.14,862382,0.0,1.0
2024-09-18,62.79,64.0,62.49,62.98,62.98,850540,0.0,1.0
2024-09-17,62.44,62.98,61.97,62.57,62.57,952918,0.0,1.0
2024-09-16,61.62,62.0199,61.06,61.45,61.45,666231,0.0,1.0
2024-09-13,60.22,61.77,60.195,61.26,61.26,872287,0.17,1.0
2024-09-12,59.19,60.04,58.71,60.02,59.853902002279,605922,0.0,1.0
2024-09-11,58.97,59.24,57.67,58.86,58.6971121601823,1363953,0.0,1.0
2024-09-10,60.53,60.99,58.67,59.33,59.165811492756,816378,0.0,1.0
2024-09-09,60.0,61.0,60.0,60.33,60.1630441152531,714768,0.0,1.0
2024-09-06,60.12,60.76,59.67,59.72,59.5547322155299,971250,0.0,1.0
2024-09-05,61.93,61.93,59.5,59.89,59.7242617613544,1092719,0.0,1.0
2024-09-04,60.36,62.42,60.175,61.58,61.4095848933746,1608801,0.0,1.0
2024-09-03,59.45,59.96,58.91,59.38,59.2156731238808,586646,0.0,1.0
2024-08-30,60.0,60.24,59.19,60.02,59.853902002279,688593,0.0,1.0
2024-08-29,59.78,60.63,59.615,59.93,59.7641510662543,487475,0.0,1.0
2024-08-28,59.56,59.575,59.03,59.42,59.2555624287807,529476,0.0,1.0
2024-08-27,59.66,60.12,59.39,59.92,59.7541787400293,554043,0.0,1.0
2024-08-26,60.48,60.89,59.8,59.92,59.7541787400293,583132,0.0,1.0
2024-08-23,58.95,60.225,58.95,60.03,59.863874328504,785376,0.0,1.0
2024-08-22,59.25,59.61,58.465,58.82,58.6572228552824,534634,0.0,1.0
2024-08-21,58.82,59.195,58.495,59.13,58.9663649682566,683769,0.0,1.0
2024-08-20,58.64,59.315,58.4,58.51,58.3480807423083,667252,0.0,1.0
