,CBT_Open,CBT_High,CBT_Low,CBT_Close,CBT_Adj Close,CBT_Volume,CBT_Dividend Amount,CBT_Split Coefficient
2024-10-07,109.67,110.81,109.08,110.8,110.8,156369,0.0,1.0
2024-10-04,110.9,111.2,109.48,110.48,110.48,149464,0.0,1.0
2024-10-03,109.45,110.2699,108.615,108.94,108.94,171776,0.0,1.0
2024-10-02,111.16,111.77,109.88,110.59,110.59,156904,0.0,1.0
2024-10-01,111.52,111.52,109.58,110.86,110.86,168290,0.0,1.0
2024-09-30,110.15,112.0,110.15,111.77,111.77,289314,0.0,1.0
2024-09-27,112.51,113.12,109.81,110.83,110.83,1941848,0.0,1.0
2024-09-26,110.19,112.2,110.02,111.62,111.62,235089,0.0,1.0
2024-09-25,110.88,111.77,108.2,108.29,108.29,530952,0.0,1.0
2024-09-24,110.55,111.41,108.6,110.22,110.22,203411,0.0,1.0
2024-09-23,110.92,111.42,108.2,109.34,109.34,324973,0.0,1.0
2024-09-20,110.53,111.275,109.25,110.27,110.27,746411,0.0,1.0
2024-09-19,111.1,111.64,108.6202,111.19,111.19,442614,0.0,1.0
2024-09-18,107.72,110.98,107.02,107.85,107.85,261385,0.0,1.0
2024-09-17,106.55,108.385,105.96,107.42,107.42,252258,0.0,1.0
2024-09-16,105.49,105.98,104.5,105.55,105.55,251935,0.0,1.0
2024-09-13,104.01,105.05,103.77,104.75,104.75,189699,0.0,1.0
2024-09-12,101.81,103.0,100.7,102.61,102.61,190978,0.0,1.0
2024-09-11,100.65,101.61,97.51,101.45,101.45,207494,0.0,1.0
2024-09-10,100.45,101.11,99.21,100.72,100.72,292734,0.0,1.0
2024-09-09,99.3,101.065,97.85,100.6,100.6,672307,0.0,1.0
2024-09-06,99.15,100.56,98.2204,99.29,99.29,349909,0.0,1.0
2024-09-05,101.13,101.24,99.36,99.71,99.71,267366,0.0,1.0
2024-09-04,100.86,102.03,100.5,101.24,101.24,265389,0.0,1.0
2024-09-03,103.75,104.555,100.78,101.18,101.18,394665,0.0,1.0
2024-08-30,104.41,105.28,103.56,105.11,105.11,320115,0.43,1.0
2024-08-29,104.14,105.825,103.425,104.26,103.835215084328,268743,0.0,1.0
2024-08-28,102.82,104.315,102.82,103.09,102.669981997347,199047,0.0,1.0
2024-08-27,103.54,104.5,103.14,103.48,103.058393026341,403189,0.0,1.0
2024-08-26,105.42,106.9225,104.49,104.67,104.243544627629,285502,0.0,1.0
2024-08-23,102.49,105.3,101.98,104.24,103.815296570021,466660,0.0,1.0
2024-08-22,101.32,102.51,101.18,101.38,100.966949024067,627383,0.0,1.0
2024-08-21,99.6,101.125,99.02,101.02,100.608415766534,238133,0.0,1.0
2024-08-20,99.84,101.02,98.72,98.75,98.3476643926473,274182,0.0,1.0
2024-08-19,99.24,101.335,99.24,100.89,100.478945423536,310950,0.0,1.0
2024-08-16,98.14,99.48,97.795,99.26,98.8555865074853,310400,0.0,1.0
2024-08-15,97.89,99.46,96.94,98.37,97.9692126208073,253358,0.0,1.0
2024-08-14,95.53,95.55,94.1,95.43,95.0411910176236,344597,0.0,1.0
2024-08-13,95.58,96.22,94.0975,95.04,94.6527799886299,469420,0.0,1.0
2024-08-12,96.15,97.11,94.91,95.23,94.8420058745499,317703,0.0,1.0
2024-08-09,97.47,97.93,96.12,96.15,95.758257532689,403562,0.0,1.0
2024-08-08,98.06,99.25,96.93,97.23,96.8338573052871,473398,0.0,1.0
2024-08-07,102.89,103.57,96.23,96.61,96.2163833617586,599212,0.0,1.0
2024-08-06,94.85,103.12,94.135,101.2,100.7876823953,1111301,0.0,1.0
2024-08-05,85.86,87.1699,83.53,86.96,86.6057002084518,1003199,0.0,1.0
2024-08-02,93.44,94.235,88.115,89.91,89.5436810687891,828053,0.0,1.0
2024-08-01,100.39,101.25,95.52,96.6,96.2064241046049,524173,0.0,1.0
2024-07-31,100.0,102.44,98.9,100.29,99.8813899943149,475461,0.0,1.0
2024-07-30,98.9,100.13,98.38,99.24,98.8356679931779,315918,0.0,1.0
2024-07-29,98.0,99.01,97.72,98.68,98.2779495925715,244271,0.0,1.0
2024-07-26,98.68,98.71,96.97,97.71,97.311901648664,226795,0.0,1.0
2024-07-25,95.96,98.7475,95.48,97.17,96.774101762365,358459,0.0,1.0
2024-07-24,96.98,98.07,95.85,96.16,95.7682167898427,199935,0.0,1.0
2024-07-23,97.55,98.57,96.99,97.23,96.8338573052871,267002,0.0,1.0
2024-07-22,95.68,97.83,95.02,97.55,97.152553534205,258262,0.0,1.0
2024-07-19,97.92,97.92,94.29,95.0,94.6129429600151,271321,0.0,1.0
2024-07-18,98.82,100.5,97.7201,97.8,97.4015349630472,223207,0.0,1.0
2024-07-17,99.26,100.71,99.15,99.53,99.1244864506348,241898,0.0,1.0
2024-07-16,97.14,100.68,97.14,99.9,99.4929789653212,392031,0.0,1.0
2024-07-15,95.38,97.22,94.31,96.71,96.3159759332954,458021,0.0,1.0
2024-07-12,95.02,95.45,94.04,94.99,94.6029837028615,320340,0.0,1.0
2024-07-11,91.83,94.63,91.83,93.74,93.3580765586507,300474,0.0,1.0
2024-07-10,89.57,90.559,88.86,90.31,89.9420513549365,294586,0.0,1.0
2024-07-09,89.3,89.56,87.82,88.24,87.8804851241235,255029,0.0,1.0
2024-07-08,89.08,90.35,88.54,89.54,89.1751885541027,425971,0.0,1.0
2024-07-05,89.16,89.16,87.8825,88.37,88.0099554671215,377565,0.0,1.0
2024-07-03,89.67,90.71,89.67,89.81,89.4440884972522,214256,0.0,1.0
2024-07-02,90.02,90.2525,88.62,89.38,89.0158404396437,463054,0.0,1.0
2024-07-01,92.02,92.73,88.88,89.68,89.3146181542543,614883,0.0,1.0
2024-06-28,94.12,94.24,91.67,91.89,91.5156139852189,834705,0.0,1.0
2024-06-27,95.48,95.48,92.93,93.3,92.9198692438886,261343,0.0,1.0
2024-06-26,93.94,95.07,93.345,94.96,94.5731059314004,355220,0.0,1.0
2024-06-25,95.6,95.97,94.05,94.49,94.1050208451772,349186,0.0,1.0
2024-06-24,96.1,97.0,95.7,96.16,95.7682167898427,333846,0.0,1.0
2024-06-21,94.96,95.59,93.0,95.52,95.1308243320068,940758,0.0,1.0
2024-06-20,97.16,98.291,95.4,95.48,95.0909873033921,266769,0.0,1.0
2024-06-18,96.93,97.99,96.26,97.66,97.2621053628956,272489,0.0,1.0
2024-06-17,96.75,97.14,95.35,96.9,96.5052018192155,256859,0.0,1.0
2024-06-14,99.22,99.5,96.09,97.0,96.6047943907523,395892,0.0,1.0
2024-06-13,99.74,100.6,99.19,100.43,100.020819594467,244783,0.0,1.0
2024-06-12,101.32,102.94,100.12,100.15,99.7419603941633,391161,0.0,1.0
2024-06-11,97.91,99.37,97.61,99.2,98.7958309645632,290103,0.0,1.0
2024-06-10,96.51,98.49,96.08,98.17,97.7700274777335,272131,0.0,1.0
2024-06-07,97.71,98.65,97.17,97.47,97.0728794769755,361502,0.0,1.0
2024-06-06,98.1,98.42,96.81,98.26,97.8596607921167,361129,0.0,1.0
2024-06-05,99.01,99.29,97.83,98.46,98.0588459351904,255780,0.0,1.0
2024-06-04,100.02,100.02,98.6,98.79,98.3875014212621,325014,0.0,1.0
2024-06-03,103.0,103.0,99.745,100.4,99.9909418230055,271988,0.0,1.0
2024-05-31,100.99,102.5,100.27,102.3,101.883200682206,384066,0.43,1.0
2024-05-30,100.34,101.43,99.62,101.41,100.574081389881,285617,0.0,1.0
2024-05-29,99.81,100.84,99.4682,99.78,98.9575174152681,222592,0.0,1.0
2024-05-28,102.44,102.4412,100.45,100.87,100.038532588476,249287,0.0,1.0
2024-05-24,101.97,102.23,100.95,102.13,101.288146458422,277434,0.0,1.0
