,CINF_Open,CINF_High,CINF_Low,CINF_Close,CINF_Adj Close,CINF_Volume,CINF_Dividend Amount,CINF_Split Coefficient
2024-10-07,138.78,138.94,132.13,132.86,132.86,561710,0.0,1.0
2024-10-04,136.0,138.92,135.5,138.72,138.72,432250,0.0,1.0
2024-10-03,136.29,136.32,135.2,135.74,135.74,240699,0.0,1.0
2024-10-02,137.28,137.71,136.47,136.7,136.7,279686,0.0,1.0
2024-10-01,136.41,137.93,135.01,137.28,137.28,515925,0.0,1.0
2024-09-30,136.01,136.42,134.0,136.12,136.12,601725,0.0,1.0
2024-09-27,135.19,136.255,135.0,135.64,135.64,364625,0.0,1.0
2024-09-26,135.68,136.205,134.18,134.96,134.96,412867,0.0,1.0
2024-09-25,137.26,137.26,135.1,135.22,135.22,443480,0.0,1.0
2024-09-24,136.23,136.6,134.685,136.19,136.19,291227,0.0,1.0
2024-09-23,135.46,136.285,134.7,136.23,136.23,383298,0.0,1.0
2024-09-20,135.32,135.86,134.43,134.63,134.63,1523029,0.0,1.0
2024-09-19,136.96,137.65,134.345,135.77,135.77,384413,0.0,1.0
2024-09-18,136.44,137.34,135.74,136.3,136.3,434819,0.0,1.0
2024-09-17,136.38,137.61,135.92,136.17,136.17,761518,0.81,1.0
2024-09-16,136.54,137.61,135.92,137.18,136.368817345598,626184,0.0,1.0
2024-09-13,135.62,136.37,134.84,135.82,135.016859395532,315221,0.0,1.0
2024-09-12,133.99,135.22,133.55,135.12,134.32099868594,305245,0.0,1.0
2024-09-11,136.85,137.125,132.22,133.97,133.177798948752,597737,0.0,1.0
2024-09-10,137.47,138.56,136.53,137.44,136.627279894875,327716,0.0,1.0
2024-09-09,136.14,138.485,133.88,137.47,136.657102496715,840626,0.0,1.0
2024-09-06,136.33,137.325,134.97,135.39,134.589402102497,468423,0.0,1.0
2024-09-05,138.91,139.145,135.67,136.34,135.533784494087,465980,0.0,1.0
2024-09-04,138.55,139.3399,137.41,138.2,137.382785808147,578829,0.0,1.0
2024-09-03,136.79,138.42,136.42,137.57,136.756511169514,528571,0.0,1.0
2024-08-30,135.75,137.51,135.6,137.03,136.219704336399,726397,0.0,1.0
2024-08-29,135.0,135.92,133.53,135.61,134.808101182654,372041,0.0,1.0
2024-08-28,133.91,134.905,132.83,134.82,134.022772667543,456635,0.0,1.0
2024-08-27,132.94,133.71,132.59,133.6,132.809986859396,339549,0.0,1.0
2024-08-26,133.11,134.23,132.43,132.56,131.776136662286,224768,0.0,1.0
2024-08-23,132.61,133.12,131.75,132.81,132.024658344284,200361,0.0,1.0
2024-08-22,130.98,132.05,130.3301,131.97,131.189625492773,352978,0.0,1.0
2024-08-21,131.6,131.9999,130.23,131.04,130.265124835742,236701,0.0,1.0
2024-08-20,131.32,131.495,130.44,130.66,129.887371879106,258556,0.0,1.0
2024-08-19,131.14,131.9799,131.125,131.32,130.543469119579,216824,0.0,1.0
2024-08-16,129.08,131.27,129.02,131.12,130.344651773982,515003,0.0,1.0
2024-08-15,130.77,131.21,129.31,129.87,129.102043363995,433422,0.0,1.0
2024-08-14,128.39,130.67,127.66,130.07,129.300860709593,553943,0.0,1.0
2024-08-13,127.77,128.6,126.65,128.47,127.710321944809,411959,0.0,1.0
2024-08-12,128.04,128.54,126.8,126.86,126.109842312746,275438,0.0,1.0
2024-08-09,127.23,128.27,126.45,128.18,127.422036793693,296725,0.0,1.0
2024-08-08,126.61,127.69,126.55,127.36,126.606885676741,367415,0.0,1.0
2024-08-07,127.1,128.41,125.87,126.27,125.523331143233,651035,0.0,1.0
