,CMC_Open,CMC_High,CMC_Low,CMC_Close,CMC_Adj Close,CMC_Volume,CMC_Dividend Amount,CMC_Split Coefficient
2024-10-07,52.92,53.46,52.59,53.27,53.27,1050292,0.0,1.0
2024-10-04,53.63,54.145,53.22,53.35,53.35,664698,0.0,1.0
2024-10-03,52.8,53.27,52.39,52.65,52.65,640452,0.0,1.0
2024-10-02,54.43,54.73,53.06,53.19,53.19,980416,0.0,1.0
2024-10-01,54.76,55.13,54.27,54.56,54.56,634094,0.0,1.0
2024-09-30,54.81,55.29,54.56,54.96,54.96,786634,0.0,1.0
2024-09-27,55.32,56.23,54.76,55.0,55.0,677953,0.0,1.0
2024-09-26,54.93,55.575,54.07,54.88,54.88,854636,0.0,1.0
2024-09-25,54.82,55.0,53.32,53.55,53.55,650010,0.0,1.0
2024-09-24,54.62,55.38,54.38,54.52,54.52,855983,0.0,1.0
2024-09-23,53.48,53.83,53.16,53.66,53.66,672008,0.0,1.0
2024-09-20,53.98,54.24,52.92,53.27,53.27,2135319,0.0,1.0
2024-09-19,53.45,54.51,52.755,54.48,54.48,838761,0.0,1.0
2024-09-18,51.71,53.17,51.37,51.89,51.89,606339,0.0,1.0
2024-09-17,51.67,52.35,51.12,51.47,51.47,901497,0.0,1.0
2024-09-16,51.81,52.255,51.09,51.43,51.43,677645,0.0,1.0
2024-09-13,50.13,51.56,49.775,51.19,51.19,718960,0.0,1.0
2024-09-12,49.03,49.759,48.79,49.65,49.65,616967,0.0,1.0
2024-09-11,48.44,48.8,47.42,48.67,48.67,928326,0.0,1.0
2024-09-10,49.31,49.485,48.44,49.14,49.14,711685,0.0,1.0
2024-09-09,50.16,50.45,49.31,49.31,49.31,668932,0.0,1.0
2024-09-06,50.05,50.76,49.32,49.81,49.81,682035,0.0,1.0
2024-09-05,50.99,51.165,49.98,50.04,50.04,654032,0.0,1.0
2024-09-04,50.94,51.605,50.42,50.72,50.72,598319,0.0,1.0
2024-09-03,52.87,52.87,50.54,50.94,50.94,1024326,0.0,1.0
2024-08-30,53.39,54.08,53.11,53.59,53.59,839168,0.0,1.0
2024-08-29,53.18,54.33,52.51,53.33,53.33,664508,0.0,1.0
2024-08-28,53.53,53.73,52.35,52.85,52.85,932812,0.0,1.0
2024-08-27,54.09,54.34,53.39,53.74,53.74,570144,0.0,1.0
2024-08-26,54.74,55.06,54.12,54.19,54.19,499293,0.0,1.0
2024-08-23,53.18,54.5,53.06,54.23,54.23,706672,0.0,1.0
2024-08-22,53.77,53.895,52.185,52.89,52.89,942494,0.0,1.0
2024-08-21,54.3,54.56,53.56,53.9,53.9,894618,0.0,1.0
2024-08-20,53.95,54.34,53.525,53.69,53.69,424943,0.0,1.0
2024-08-19,54.43,54.95,53.57,53.97,53.97,489381,0.0,1.0
2024-08-16,53.82,54.745,53.82,54.38,54.38,431631,0.0,1.0
2024-08-15,54.78,55.14,53.88,54.11,54.11,462717,0.0,1.0
2024-08-14,53.75,53.89,52.57,53.25,53.25,573688,0.0,1.0
2024-08-13,52.94,53.7,52.46,53.56,53.56,416607,0.0,1.0
2024-08-12,53.61,53.66,52.61,52.69,52.69,518467,0.0,1.0
2024-08-09,53.15,53.77,52.92,53.53,53.53,400547,0.0,1.0
2024-08-08,52.97,53.85,52.84,53.12,53.12,578375,0.0,1.0
2024-08-07,54.07,54.28,52.25,52.37,52.37,853446,0.0,1.0
2024-08-06,52.86,54.225,52.42,53.29,53.29,632901,0.0,1.0
2024-08-05,52.54,53.69,51.84,52.86,52.86,884752,0.0,1.0
2024-08-02,55.06,55.51,54.11,54.71,54.71,752151,0.0,1.0
2024-08-01,60.07,60.775,56.75,57.63,57.63,987365,0.0,1.0
2024-07-31,60.08,61.26,59.88,60.1,60.1,721394,0.0,1.0
2024-07-30,60.01,60.48,59.47,59.59,59.59,561592,0.0,1.0
2024-07-29,60.14,60.66,59.52,60.01,60.01,600560,0.0,1.0
2024-07-26,59.33,60.85,59.28,60.35,60.35,912077,0.0,1.0
2024-07-25,57.03,59.53,57.03,59.05,59.05,1135383,0.0,1.0
2024-07-24,58.07,58.605,56.82,56.86,56.86,767347,0.0,1.0
2024-07-23,57.52,58.625,57.08,58.23,58.23,676125,0.0,1.0
2024-07-22,57.7,58.066,56.77,57.91,57.91,598298,0.0,1.0
