,CPB_Open,CPB_High,CPB_Low,CPB_Close,CPB_Adj Close,CPB_Volume,CPB_Dividend Amount,CPB_Split Coefficient
2024-10-01,48.86,49.07,48.25,48.36,48.36,2974707,0.0,1.0
2024-09-30,49.43,49.56,48.51,48.92,48.92,2448845,0.0,1.0
2024-09-27,49.07,49.705,48.91,49.36,49.36,2432589,0.0,1.0
2024-09-26,49.32,49.74,49.24,49.42,49.42,2091753,0.0,1.0
2024-09-25,49.88,49.98,49.4,49.49,49.49,1538452,0.0,1.0
2024-09-24,50.2,50.29,49.41,49.65,49.65,2307360,0.0,1.0
2024-09-23,50.91,51.015,50.225,50.45,50.45,2078864,0.0,1.0
2024-09-20,51.15,51.74,51.15,51.21,51.21,5845484,0.0,1.0
2024-09-19,50.9,50.98,50.46,50.84,50.84,1817131,0.0,1.0
2024-09-18,51.34,51.91,50.97,51.08,51.08,2464283,0.0,1.0
2024-09-17,51.54,52.19,51.37,51.52,51.52,1418909,0.0,1.0
2024-09-16,51.37,52.11,51.37,51.56,51.56,1794211,0.0,1.0
2024-09-13,49.84,51.16,49.785,51.09,51.09,2014662,0.0,1.0
2024-09-12,48.92,50.01,48.825,49.78,49.78,1991959,0.0,1.0
2024-09-11,51.25,51.26,48.78,49.14,49.14,4047107,0.0,1.0
2024-09-10,51.74,52.805,50.8,51.1,51.1,3597575,0.0,1.0
2024-09-09,51.89,52.24,51.54,51.74,51.74,2935619,0.0,1.0
2024-09-06,51.2,52.17,51.2,51.89,51.89,2627729,0.0,1.0
2024-09-05,51.86,52.33,51.28,51.34,51.34,2263310,0.0,1.0
2024-09-04,51.29,51.685,50.91,51.64,51.64,2152110,0.0,1.0
2024-09-03,49.96,51.39,49.84,51.35,51.35,2604606,0.0,1.0
2024-08-30,49.01,49.93,49.01,49.72,49.72,3372805,0.0,1.0
2024-08-29,49.63,50.11,48.35,49.25,49.25,3386371,0.0,1.0
2024-08-28,49.83,50.46,49.59,50.17,50.17,3514850,0.0,1.0
2024-08-27,50.63,50.76,49.54,49.84,49.84,3198913,0.0,1.0
2024-08-26,50.93,50.99,50.085,50.44,50.44,3185161,0.0,1.0
2024-08-23,50.6,50.99,50.51,50.8,50.8,1914287,0.0,1.0
2024-08-22,50.72,50.92,50.15,50.6,50.6,1664793,0.0,1.0
2024-08-21,50.46,50.95,50.35,50.59,50.59,1659236,0.0,1.0
2024-08-20,49.6,50.57,49.6,50.37,50.37,1910419,0.0,1.0
2024-08-19,49.34,50.04,48.77,49.95,49.95,2680999,0.0,1.0
2024-08-16,48.99,49.17,48.6801,49.1,49.1,2093609,0.0,1.0
2024-08-15,49.65,49.89,48.8,48.94,48.94,3186043,0.0,1.0
2024-08-14,48.75,49.925,48.75,49.63,49.63,2868113,0.0,1.0
2024-08-13,48.47,48.77,48.04,48.71,48.71,1497445,0.0,1.0
2024-08-12,49.02,49.16,48.32,48.44,48.44,1550597,0.0,1.0
2024-08-09,48.74,49.24,48.25,49.13,49.13,1919885,0.0,1.0
2024-08-08,48.5,49.5,48.22,48.95,48.95,1618089,0.0,1.0
2024-08-07,48.79,49.625,48.69,48.7,48.7,2350307,0.0,1.0
2024-08-06,48.9,49.43,48.65,48.77,48.77,2673843,0.0,1.0
2024-08-05,49.62,50.63,48.535,48.83,48.83,3756390,0.0,1.0
2024-08-02,48.5,49.19,47.825,49.1,49.1,3713549,0.0,1.0
2024-08-01,46.96,48.03,46.76,47.89,47.89,2552799,0.0,1.0
2024-07-31,47.4,47.52,46.83,46.86,46.86,1859224,0.0,1.0
2024-07-30,46.64,47.66,46.605,47.63,47.63,2289259,0.0,1.0
2024-07-29,46.67,47.09,46.22,47.0,47.0,1870694,0.0,1.0
2024-07-26,46.15,46.94,46.09,46.75,46.75,2644154,0.0,1.0
2024-07-25,46.72,47.48,45.83,46.27,46.27,2352760,0.0,1.0
2024-07-24,45.72,46.58,45.28,46.47,46.47,1790703,0.0,1.0
2024-07-23,45.98,46.13,45.43,45.58,45.58,1463876,0.0,1.0
2024-07-22,46.29,46.45,45.78,46.22,46.22,2023909,0.0,1.0
2024-07-19,48.04,48.04,46.36,46.4,46.4,2164319,0.0,1.0
2024-07-18,47.37,48.63,47.36,47.91,47.91,2150907,0.0,1.0
2024-07-17,46.26,47.79,46.02,47.72,47.72,2588095,0.0,1.0
2024-07-16,45.44,46.11,45.23,46.1,46.1,2216158,0.0,1.0
2024-07-15,45.57,45.66,44.81,45.6,45.6,3086414,0.0,1.0
2024-07-12,45.47,45.73,45.23,45.47,45.47,1663590,0.0,1.0
2024-07-11,45.24,45.55,44.83,45.33,45.33,3021379,0.0,1.0
