,CREE_Open,CREE_High,CREE_Low,CREE_Close,CREE_Adj Close,CREE_Volume,CREE_Dividend Amount,CREE_Split Coefficient
2024-10-07,9.42,9.67,9.13,9.61,9.61,6240099,0.0,1.0
2024-10-04,8.95,9.5499,8.78,9.48,9.48,7202500,0.0,1.0
2024-10-03,8.5495,8.79,8.37,8.61,8.61,7961757,0.0,1.0
2024-10-02,8.86,9.425,8.7501,9.15,9.15,6429524,0.0,1.0
2024-10-01,9.72,9.748,8.71,8.89,8.89,10009265,0.0,1.0
2024-09-30,9.8,10.2,9.44,9.7,9.7,8728035,0.0,1.0
2024-09-27,9.37,10.22,9.35,10.18,10.18,13019463,0.0,1.0
2024-09-26,8.33,9.35,8.21,9.21,9.21,13984250,0.0,1.0
2024-09-25,7.97,8.3096,7.86,7.89,7.89,6146268,0.0,1.0
2024-09-24,8.38,8.66,8.11,8.2,8.2,6482465,0.0,1.0
2024-09-23,8.04,8.15,7.605,8.13,8.13,10759916,0.0,1.0
2024-09-20,8.6,8.6,7.92,8.1,8.1,29195367,0.0,1.0
2024-09-19,8.78,9.045,8.42,8.81,8.81,9323378,0.0,1.0
2024-09-18,8.56,9.06,8.3,8.34,8.34,7203413,0.0,1.0
2024-09-17,8.41,9.13,8.41,8.6,8.6,8829145,0.0,1.0
2024-09-16,8.76,8.781,7.88,8.24,8.24,9787425,0.0,1.0
2024-09-13,8.54,9.27,8.28,8.72,8.72,12463123,0.0,1.0
2024-09-12,8.14,8.52,7.765,8.05,8.05,7914579,0.0,1.0
2024-09-11,7.7,8.19,7.5,8.15,8.15,9160329,0.0,1.0
2024-09-10,7.6,7.68,7.28,7.63,7.63,10398104,0.0,1.0
2024-09-09,8.12,8.35,7.42,7.59,7.59,14407518,0.0,1.0
2024-09-06,8.73,8.74,8.05,8.23,8.23,10282151,0.0,1.0
2024-09-05,9.42,9.47,8.48,8.8,8.8,9223533,0.0,1.0
2024-09-04,9.01,9.61,8.75,9.5,9.5,8544046,0.0,1.0
2024-09-03,9.7,10.06,9.045,9.11,9.11,14309607,0.0,1.0
2024-08-30,10.91,11.13,9.72,9.75,9.75,13429338,0.0,1.0
