,CRVL_Open,CRVL_High,CRVL_Low,CRVL_Close,CRVL_Adj Close,CRVL_Volume,CRVL_Dividend Amount,CRVL_Split Coefficient
2024-10-07,313.71,314.335,307.52,309.51,309.51,46741,0.0,1.0
2024-10-04,315.42,316.6,312.7784,316.6,316.6,21740,0.0,1.0
2024-10-03,316.76,319.16,311.025,311.8,311.8,20676,0.0,1.0
2024-10-02,318.565,318.67,316.3984,318.31,318.31,14484,0.0,1.0
2024-10-01,325.26,325.26,317.775,319.6,319.6,23975,0.0,1.0
2024-09-30,319.94,326.935,318.61,326.89,326.89,27845,0.0,1.0
2024-09-27,323.37,329.23,319.03,320.37,320.37,116119,0.0,1.0
2024-09-26,323.99,324.01,321.02,321.17,321.17,30951,0.0,1.0
2024-09-25,321.22,322.175,318.32,320.8,320.8,27986,0.0,1.0
2024-09-24,318.74,321.73,318.34,320.33,320.33,25401,0.0,1.0
2024-09-23,319.52,319.52,316.42,318.04,318.04,24509,0.0,1.0
2024-09-20,317.76,320.13,313.26,317.3,317.3,122974,0.0,1.0
2024-09-19,319.99,320.41,313.75,316.49,316.49,24856,0.0,1.0
2024-09-18,315.24,325.0,312.35,315.19,315.19,34111,0.0,1.0
2024-09-17,321.0,323.4,314.39,314.8,314.8,47293,0.0,1.0
2024-09-16,319.18,324.935,318.98,321.03,321.03,33309,0.0,1.0
2024-09-13,305.94,317.56,305.94,316.93,316.93,37072,0.0,1.0
2024-09-12,303.7,306.39,303.6,304.54,304.54,18404,0.0,1.0
2024-09-11,299.69,303.54,293.88,300.79,300.79,28317,0.0,1.0
2024-09-10,302.54,302.95,297.02,300.84,300.84,30691,0.0,1.0
2024-09-09,304.37,304.37,296.48,300.17,300.17,43740,0.0,1.0
2024-09-06,306.22,309.665,304.22,305.19,305.19,34173,0.0,1.0
2024-09-05,312.4,312.4,304.97,311.13,311.13,24233,0.0,1.0
2024-09-04,310.14,313.07,306.82,311.16,311.16,21188,0.0,1.0
