,CTAS_Open,CTAS_High,CTAS_Low,CTAS_Close,CTAS_Adj Close,CTAS_Volume,CTAS_Dividend Amount,CTAS_Split Coefficient
2024-10-07,203.0,206.01,202.8,204.47,204.47,1261591,0.0,1.0
2024-10-04,205.74,206.115,202.84,204.91,204.91,1747411,0.0,1.0
2024-10-03,204.39,204.91,203.14,204.55,204.55,1390005,0.0,1.0
2024-10-02,203.24,205.5,202.3801,205.3,205.3,1114376,0.0,1.0
2024-10-01,205.19,205.48,202.18,203.86,203.86,1518701,0.0,1.0
2024-09-30,203.48,206.18,203.3,205.88,205.88,1819872,0.0,1.0
2024-09-27,207.67,208.0,202.295,202.35,202.35,2332491,0.0,1.0
2024-09-26,208.82,211.57,206.48,207.01,207.01,2056542,0.0,1.0
2024-09-25,208.1,209.59,204.16,207.21,207.21,1944068,0.0,1.0
2024-09-24,203.99,205.63,202.46,204.85,204.85,1689413,0.0,1.0
2024-09-23,204.45,204.78,203.05,203.99,203.99,1239358,0.0,1.0
2024-09-20,203.79,204.7,202.65,204.16,204.16,3160626,0.0,1.0
2024-09-19,204.97,205.38,202.3,203.74,203.74,1243835,0.0,1.0
2024-09-18,203.95,204.775,201.04,201.38,201.38,1333986,0.0,1.0
2024-09-17,205.53,206.86,203.37,203.77,203.77,1194895,0.0,1.0
2024-09-16,208.05,208.69,204.29,204.95,204.95,1116367,0.0,1.0
2024-09-13,205.92,209.115,205.34,207.77,207.77,1030142,0.0,1.0
2024-09-12,205.5,207.49,201.92,206.02,206.02,1338843,0.0,4.0
2024-09-11,813.87,820.96,795.37,819.83,204.9575,361737,0.0,1.0
2024-09-10,807.02,817.99,805.11,816.42,204.105,275107,0.0,1.0
2024-09-09,785.67,807.08,785.67,804.72,201.18,514358,0.0,1.0
2024-09-06,797.54,800.325,778.89,781.9,195.475,375733,0.0,1.0
2024-09-05,800.39,800.39,787.36,798.92,199.73,392104,0.0,1.0
2024-09-04,800.0,805.7799,796.92,804.78,201.195,260679,0.0,1.0
2024-09-03,805.12,812.005,795.3,799.4,199.85,335459,0.0,1.0
2024-08-30,800.2,807.01,795.395,805.12,201.28,395978,0.0,1.0
2024-08-29,801.88,807.981,797.4,799.25,199.8125,281565,0.0,1.0
2024-08-28,804.5,805.91,793.29,797.79,199.4475,352115,0.0,1.0
2024-08-27,795.0,799.85,793.905,799.59,199.8975,296820,0.0,1.0
2024-08-26,790.46,794.82,787.45,793.66,198.415,238200,0.0,1.0
2024-08-23,786.05,791.65,784.28,788.5,197.125,257244,0.0,1.0
2024-08-22,783.34,789.82,778.07,784.64,196.16,384619,0.0,1.0
2024-08-21,778.96,783.97,776.735,782.95,195.7375,354580,0.0,1.0
2024-08-20,772.0,777.504,767.49,774.66,193.665,394016,0.0,1.0
2024-08-19,764.86,773.32,764.86,772.98,193.245,468999,0.0,1.0
2024-08-16,768.3,768.3,760.92,764.86,191.215,267647,0.0,1.0
2024-08-15,766.19,772.765,764.135,767.74,191.935,309956,1.56,1.0
2024-08-14,757.18,766.14,757.18,763.16,190.403112699857,249629,0.0,1.0
2024-08-13,762.7,766.98,752.69,759.12,189.395160795528,364678,0.0,1.0
2024-08-12,751.68,759.72,749.96,759.63,189.522402248798,321695,0.0,1.0
2024-08-09,747.49,755.975,743.88,755.65,188.529419927207,206701,0.0,1.0
2024-08-08,741.59,753.49,740.19,750.43,187.227066229039,354355,0.0,1.0
2024-08-07,750.55,757.52,739.36,740.19,184.67225744183,300746,0.0,1.0
2024-08-06,740.24,754.15,740.24,745.4,185.972116209541,385913,0.0,1.0
2024-08-05,764.94,764.94,735.671,739.83,184.582439945405,576624,0.0,1.0
2024-08-02,756.22,761.39,744.23,756.76,188.806357207851,485161,0.0,1.0
2024-08-01,760.9,767.32,754.06,761.91,190.091246392825,454214,0.0,1.0
2024-07-31,771.23,773.9499,761.24,763.94,190.597717275445,544434,0.0,1.0
2024-07-30,767.87,771.89,761.75,766.17,191.154086767191,425257,0.0,1.0
2024-07-29,763.06,768.36,760.05,764.86,190.827250877421,232931,0.0,1.0
2024-07-26,759.73,765.29,755.4,761.39,189.961510009099,266430,0.0,1.0
2024-07-25,757.07,764.01,753.3,754.84,188.32733056025,321874,0.0,1.0
2024-07-24,759.85,767.5,751.55,754.05,188.130231054205,585517,0.0,1.0
