,CTB_Open,CTB_High,CTB_Low,CTB_Close,CTB_Adj Close,CTB_Volume,CTB_Dividend Amount,CTB_Split Coefficient
2021-06-08,60.17,60.17,60.17,60.17,60.17,0,0.0,1.0
2021-06-07,60.17,60.17,60.17,60.17,60.17,0,0.0,1.0
2021-06-04,60.46,60.46,59.87,60.17,60.17,112561,0.0,1.0
2021-06-03,59.96,60.28,59.59,60.2,60.2,301162,0.0,1.0
2021-06-02,60.3,60.3962,59.85,60.03,60.03,347063,0.0,1.0
2021-06-01,59.8,60.18,59.44,60.07,60.07,444729,0.0,1.0
2021-05-28,59.56,59.57,59.1,59.38,59.38,478812,0.0,1.0
2021-05-27,59.5,59.59,59.13,59.51,59.51,312083,0.0,1.0
2021-05-26,58.71,58.85,58.32,58.79,58.79,132849,0.105,1.0
2021-05-25,58.97,59.26,58.55,58.59,58.4855437643264,203334,0.0,1.0
2021-05-24,59.28,59.28,58.85,58.88,58.7750267425079,317502,0.0,1.0
2021-05-21,59.19,59.365,58.86,59.2,59.0944562356737,719393,0.0,1.0
2021-05-20,58.65,58.86,58.42,58.69,58.5853654809407,570949,0.0,1.0
2021-05-19,58.56,59.05,58.32,58.79,58.685187197555,590164,0.0,1.0
2021-05-18,59.99,60.17,59.34,59.36,59.2541709822566,301883,0.0,1.0
2021-05-17,59.71,60.09,59.45,60.0,59.8930299685882,593777,0.0,1.0
2021-05-14,59.64,59.76,59.24,59.72,59.6135291620681,527346,0.0,1.0
2021-05-13,58.42,59.61,58.42,59.22,59.1144205789965,965024,0.0,1.0
2021-05-12,58.25,58.87,58.09,58.1,57.9964173529162,296091,0.0,1.0
2021-05-11,58.0,58.7,57.995,58.54,58.4356329060192,487716,0.0,1.0
2021-05-10,59.16,59.64,58.55,58.55,58.4456150776806,353138,0.0,1.0
2021-05-07,58.69,59.24,58.6,59.14,59.0345632057051,153332,0.0,1.0
2021-05-06,58.75,59.02,58.36,58.96,58.8548841157993,277644,0.0,1.0
2021-05-05,58.0,58.79,58.0,58.71,58.6053298242635,405000,0.0,1.0
2021-05-04,57.07,57.94,57.07,57.85,57.7468630613804,451536,0.0,1.0
2021-05-03,57.36,57.52,56.885,57.34,57.2377723066474,995916,0.0,1.0
2021-04-30,57.15,57.65,56.62,56.99,56.8883962984973,975455,0.0,1.0
2021-04-29,57.82,57.82,57.13,57.49,57.3875048815689,333379,0.0,1.0
2021-04-28,57.74,57.87,57.46,57.71,57.6071126581204,277226,0.0,1.0
2021-04-27,57.35,57.7,57.19,57.6,57.4973087698447,804812,0.0,1.0
2021-04-26,57.88,57.99,57.2,57.36,57.2577366499703,414033,0.0,1.0
2021-04-23,57.6,57.83,56.97,57.62,57.5172731131675,412157,0.0,1.0
2021-04-22,57.39,57.58,56.96,57.03,56.9283249851431,423062,0.0,1.0
2021-04-21,56.55,57.23,56.44,57.2,57.0980219033874,546215,0.0,1.0
2021-04-20,56.88,57.17,56.43,56.66,56.5589846336701,670181,0.0,1.0
2021-04-19,56.8,57.35,56.78,57.12,57.0181645300959,546136,0.0,1.0
2021-04-16,57.35,57.37,56.85,57.09,56.9882180151116,465675,0.0,1.0
2021-04-15,57.15,57.35,56.81,57.26,57.157914933356,351083,0.0,1.0
2021-04-14,56.82,57.37,56.58,57.03,56.9283249851431,363641,0.0,1.0
2021-04-13,56.99,57.13,56.52,56.85,56.7486458952373,388934,0.0,1.0
2021-04-12,56.9,57.14,56.65,57.02,56.9183428134816,414063,0.0,1.0
2021-04-09,56.54,56.94,56.54,56.81,56.7087172085916,241617,0.0,1.0
2021-04-08,56.5,56.89,56.39,56.57,56.4691450887172,808081,0.0,1.0
2021-04-07,56.94,57.27,56.71,56.77,56.6687885219458,406679,0.0,1.0
2021-04-06,56.59,57.08,56.56,56.97,56.8684319551745,386305,0.0,1.0
2021-04-05,56.94,57.01,56.21,56.52,56.4192342304101,325138,0.0,1.0
2021-04-01,56.11,56.51,55.84,56.48,56.3793055437643,416012,0.0,1.0
2021-03-31,56.13,56.58,55.98,55.98,55.8801969606928,596885,0.0,1.0
2021-03-30,55.78,56.42,55.78,56.21,56.1097869089057,594413,0.0,1.0
2021-03-29,55.89,56.55,55.56,55.6,55.5008744375584,678326,0.0,1.0
2021-03-26,56.15,56.15,55.39,55.89,55.7903574157399,947187,0.0,1.0
2021-03-25,54.15,55.8,54.12,55.55,55.4509635792512,1160862,0.0,1.0
2021-03-24,56.11,56.13,54.8,54.8,54.7023007046439,621298,0.0,1.0
2021-03-23,55.43,56.08,55.04,55.57,55.4709279225741,672767,0.0,1.0
2021-03-22,56.16,56.54,55.69,56.15,56.0498938789371,338943,0.0,1.0
2021-03-19,57.04,57.04,56.08,56.08,55.9800186773071,1256168,0.0,1.0
2021-03-18,57.31,57.69,56.9,56.91,56.8085389252059,320841,0.0,1.0
2021-03-17,57.0,57.67,56.73,57.59,57.4873265981832,389639,0.0,1.0
2021-03-16,57.25,57.39,56.83,56.97,56.8684319551745,347088,0.0,1.0
2021-03-15,57.96,58.09,57.1017,57.6,57.4973087698447,326638,0.0,1.0
2021-03-12,57.95,58.26,57.68,57.94,57.8367026063333,377481,0.0,1.0
2021-03-11,57.61,57.91,57.39,57.83,57.7268987180576,467442,0.0,1.0
2021-03-10,57.01,57.84,56.92,57.72,57.6170948297818,692546,0.0,1.0
2021-03-09,58.02,58.31,57.18,57.27,57.1678971050174,1056649,0.0,1.0
2021-03-08,58.51,58.51,57.645,58.17,58.0662925545462,703698,0.0,1.0
2021-03-05,58.46,58.48,57.34,57.92,57.8167382630104,1311987,0.0,1.0
2021-03-04,58.68,59.02,57.6,57.67,57.5671839714747,1100109,0.0,1.0
2021-03-03,57.95,58.78,57.8284,58.62,58.5154902793106,1606511,0.0,1.0
2021-03-02,57.25,58.25,57.1,57.62,57.5172731131675,1569791,0.0,1.0
2021-03-01,58.16,58.22,56.85,57.25,57.1479327616945,1006578,0.0,1.0
2021-02-26,56.4,57.58,56.03,57.24,57.1379505900331,2083790,0.105,1.0
2021-02-25,57.0,57.45,56.33,56.33,56.1266153411207,1514595,0.0,1.0
2021-02-24,57.48,58.01,56.77,57.11,56.9037990792012,2577067,0.0,1.0
2021-02-23,55.81,58.19,55.61,57.86,57.6510911350478,3499227,0.0,1.0
2021-02-22,51.97,57.68,51.48,56.64,56.4354960575373,10326393,0.0,1.0
2021-02-19,43.29,44.27,43.29,43.77,43.6119643792092,405516,0.0,1.0
2021-02-18,42.38,43.0,42.23,42.72,42.5657555010239,307373,0.0,1.0
2021-02-17,41.96,42.81,41.38,42.73,42.5757193951018,234887,0.0,1.0
2021-02-16,42.04,42.4,41.75,42.12,41.9679218563466,232794,0.0,1.0
2021-02-12,41.87,42.25,41.11,41.77,41.6191855636182,203004,0.0,1.0
2021-02-11,42.68,42.83,41.4915,42.45,42.2967303609191,270440,0.0,1.0
2021-02-10,41.19,42.85,41.19,42.31,42.1572358438277,315049,0.0,1.0
2021-02-09,39.79,41.75,39.63,41.07,40.9217129781613,395442,0.0,1.0
2021-02-08,40.31,40.36,39.61,40.03,39.885467994054,280073,0.0,1.0
2021-02-05,40.15,40.2,38.91,40.13,39.9851069348335,320751,0.0,1.0
2021-02-04,38.71,39.59,38.5,39.52,39.3773093960783,339973,0.0,1.0
2021-02-03,38.31,38.705,37.98,38.57,38.4307394586726,292417,0.0,1.0
2021-02-02,37.98,38.17,37.07,38.01,37.8727613903071,276437,0.0,1.0
2021-02-01,37.02,37.94,36.94,37.45,37.3147833219416,438649,0.0,1.0
2021-01-29,37.43,37.65,36.3,36.75,36.6173107364847,464993,0.0,1.0
2021-01-28,37.53,37.99,36.87,37.7,37.5638806738905,397882,0.0,1.0
2021-01-27,37.61,38.0,36.2,37.19,37.0557220759148,614716,0.0,1.0
2021-01-26,39.35,39.74,38.26,38.47,38.331100517893,227702,0.0,1.0
2021-01-25,39.99,39.99,38.2601,38.97,38.8292952217908,393562,0.0,1.0
2021-01-22,40.07,40.32,39.29,40.17,40.0249625111454,299084,0.0,1.0
2021-01-21,39.94,40.84,39.7,40.37,40.2242403927045,297305,0.0,1.0
2021-01-20,39.46,40.05,39.15,39.77,39.6264067480272,275266,0.0,1.0
2021-01-19,39.45,39.65,38.65,39.26,39.1182481500514,506969,0.0,1.0
2021-01-15,41.06,41.175,39.11,39.17,39.0285731033499,613250,0.0,1.0
2021-01-14,41.91,42.0,41.3724,41.59,41.439835470215,296954,0.0,1.0
2021-01-13,42.29,42.87,40.4121,41.57,41.4199076820591,671063,0.0,1.0
2021-01-12,40.81,42.4099,40.15,42.29,42.1373080556718,616118,0.0,1.0
2021-01-11,40.34,41.09,40.13,40.8,40.6526878380565,215909,0.0,1.0
2021-01-08,42.21,42.35,40.54,41.01,40.8619296136936,406110,0.0,1.0
2021-01-07,41.0,41.945,40.945,41.35,41.2007020123441,281385,0.0,1.0
2021-01-06,41.03,41.745,39.69,40.82,40.6726156262124,659360,0.0,1.0
2021-01-05,38.83,40.68,38.58,40.38,40.2342042867824,496003,0.0,1.0
2021-01-04,40.68,41.11,38.66,39.13,38.988717527038,641177,0.0,1.0
2020-12-31,38.34,40.64,38.322,40.5,40.3537710157179,520545,0.0,1.0
2020-12-30,38.06,38.61,37.73,38.19,38.0521114837103,168022,0.0,1.0
2020-12-29,38.14,38.15,37.22,37.97,37.8329058139952,294730,0.0,1.0
2020-12-28,38.45,38.7481,37.79,37.99,37.8528336021512,233602,0.0,1.0
2020-12-24,37.8,37.99,37.27,37.92,37.7830863436055,83291,0.0,1.0
2020-12-23,37.22,37.96,37.2,37.82,37.6834474028259,132478,0.0,1.0
2020-12-22,37.54,37.77,36.93,36.98,36.8464803002777,443161,0.0,1.0
2020-12-21,37.76,37.8,36.86,37.53,37.3944944745652,473631,0.0,1.0
2020-12-18,40.65,40.735,38.14,38.34,38.2015698948796,789638,0.0,1.0
2020-12-17,40.21,40.76,39.62,40.49,40.3438071216399,257970,0.0,1.0
2020-12-16,40.72,41.12,39.59,40.14,39.9950708289115,242064,0.0,1.0
2020-12-15,39.21,40.36,38.915,40.32,40.1744209223147,179473,0.0,1.0
2020-12-14,39.31,39.31,38.53,38.99,38.8492230099467,355766,0.0,1.0
2020-12-11,39.67,40.09,38.33,38.61,38.4705950349844,361014,0.0,1.0
2020-12-10,40.08,40.52,38.3901,40.12,39.9751430407556,413023,0.0,1.0
2020-12-09,41.5,41.97,40.38,40.7,40.553048897277,417139,0.0,1.0
2020-12-08,40.34,41.12,40.17,41.11,40.9615685544731,442622,0.0,1.0
2020-12-07,41.6,41.73,39.83,40.29,40.1445292400808,408506,0.0,1.0
2020-12-04,40.15,41.965,40.11,41.71,41.5594021991504,693354,0.0,1.0
2020-12-03,39.99,40.75,39.67,39.88,39.7360095828847,178647,0.0,1.0
2020-12-02,40.29,40.47,39.4,39.97,39.8256846295863,357063,0.0,1.0
2020-12-01,40.56,41.199,40.1,40.7,40.553048897277,413809,0.0,1.0
2020-11-30,40.85,41.0,39.58,39.73,39.5865511717153,337616,0.105,1.0
2020-11-27,41.05,41.27,40.49,41.12,40.8635366933836,169537,0.0,1.0
2020-11-25,41.85,42.2,40.75,41.1,40.8436614323459,340317,0.0,1.0
2020-11-24,42.17,42.315,41.42,42.0,41.7380481790396,325226,0.0,1.0
2020-11-23,40.29,42.06,40.29,41.47,41.2113537615422,423656,0.0,1.0
2020-11-20,40.05,40.45,39.45,39.91,39.6610834006065,352815,0.0,1.0
2020-11-19,40.45,40.841,39.6213,40.32,40.0685262518781,254672,0.0,1.0
2020-11-18,41.63,41.78,40.55,40.6,40.346779906405,306065,0.0,1.0
2020-11-17,41.19,41.905,40.15,41.29,41.0324764122035,371736,0.0,1.0
2020-11-16,40.97,41.76,40.39,41.54,41.280917175174,360807,0.0,1.0
2020-11-13,39.12,40.52,38.97,40.23,39.9790875772087,405341,0.0,1.0
