,CVG_Open,CVG_High,CVG_Low,CVG_Close,CVG_Adj Close,CVG_Volume,CVG_Dividend Amount,CVG_Split Coefficient
2018-12-14,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-12-13,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-12-12,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-12-11,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-12-10,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-12-07,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-12-04,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-12-03,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-30,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-29,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-28,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-27,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-26,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-21,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-20,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-19,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-16,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-15,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-14,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-13,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-12,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-09,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-08,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-07,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-06,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-05,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-02,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-11-01,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-31,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-30,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-29,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-26,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-25,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-24,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-23,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-22,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-19,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-18,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-17,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-16,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-15,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-12,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-11,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-10,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-09,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-08,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-05,24.41,24.41,24.41,24.41,24.41,0,0.0,1.0
2018-10-04,23.92,24.48,23.69,24.41,24.41,5029942,0.0,1.0
2018-10-03,23.78,24.1501,23.5,23.93,23.93,2710880,0.0,1.0
2018-10-02,23.81,23.96,23.67,23.68,23.68,921867,0.0,1.0
2018-10-01,23.84,23.93,23.71,23.83,23.83,1239739,0.0,1.0
2018-09-28,23.81,23.84,23.675,23.74,23.74,2274763,0.0,1.0
2018-09-27,24.1,24.11,23.87,23.89,23.89,769181,0.0,1.0
