,CY_Open,CY_High,CY_Low,CY_Close,CY_Adj Close,CY_Volume,CY_Dividend Amount,CY_Split Coefficient
2020-04-16,23.82,23.82,23.82,23.82,23.82,2,0.0,1.0
2020-04-15,23.83,23.84,23.82,23.82,23.82,18676467,0.0,1.0
2020-04-14,23.835,23.84,23.82,23.82,23.82,15041113,0.0,1.0
2020-04-13,23.82,23.83,23.82,23.82,23.82,5908420,0.0,1.0
2020-04-09,23.82,23.83,23.81,23.82,23.82,7967181,0.0,1.0
2020-04-08,23.81,23.82,23.8,23.82,23.82,13235555,0.0,1.0
2020-04-07,23.81,23.82,23.8,23.81,23.81,60984841,0.0,1.0
2020-04-06,23.44,23.45,23.29,23.42,23.42,4847336,0.0,1.0
2020-04-03,23.3,23.34,23.18,23.31,23.31,7451973,0.0,1.0
2020-04-02,23.38,23.45,23.19,23.31,23.31,5272618,0.0,1.0
2020-04-01,23.17,23.5,23.17,23.4,23.4,9051808,0.0,1.0
2020-03-31,23.16,23.58,23.14,23.32,23.32,7656058,0.0,1.0
2020-03-30,23.18,23.23,23.05,23.22,23.22,7091952,0.0,1.0
2020-03-27,22.95,23.185,22.95,23.12,23.12,5124113,0.0,1.0
2020-03-26,23.1,23.28,23.0,23.04,23.04,8150496,0.0,1.0
2020-03-25,22.95,23.325,22.86,23.0,23.0,9445094,0.11,1.0
2020-03-24,22.88,23.1,22.72,23.03,22.9203807875379,8960591,0.0,1.0
2020-03-23,22.26,22.8,22.12,22.6,22.4924275205539,10324042,0.0,1.0
2020-03-20,22.26,22.53,21.7,22.11,22.0047598442233,10456826,0.0,1.0
2020-03-19,21.05,22.11,20.5,22.0,21.8952834270878,11219228,0.0,1.0
2020-03-18,21.37,22.23,20.0,21.13,21.0294244915621,12819339,0.0,1.0
2020-03-17,21.73,22.43,19.915,22.21,22.104283859801,18200137,0.0,1.0
2020-03-16,22.39,22.85,21.11,21.32,21.2185201211597,12351191,0.0,1.0
2020-03-13,23.01,23.19,22.89,23.11,23.0,15672603,0.0,1.0
2020-03-12,22.34,23.01,22.27,22.91,22.8009519688447,17624985,0.0,1.0
2020-03-11,22.41,23.26,22.4,22.92,22.8109043704024,23801924,0.0,1.0
2020-03-10,22.4,22.765,22.0,22.75,22.6417135439204,50958304,0.0,1.0
2020-03-09,15.41,16.3,14.91,15.28,15.2072695802683,18641480,0.0,1.0
2020-03-06,16.61,17.16,15.92,16.37,16.2920813500649,51673645,0.0,1.0
2020-03-05,23.12,23.15,18.32,19.18,19.0887061877975,49714692,0.0,1.0
2020-03-04,23.27,23.27,23.05,23.22,23.1094764171354,5868242,0.0,1.0
2020-03-03,23.19,23.32,23.09,23.23,23.1194288186932,6595066,0.0,1.0
2020-03-02,23.1,23.3,23.0,23.295,23.1841194288187,8681623,0.0,1.0
2020-02-28,23.03,23.15,22.92,23.09,22.9800951968845,9670488,0.0,1.0
2020-02-27,23.1,23.19,23.03,23.05,22.9402855906534,9263431,0.0,1.0
2020-02-26,23.2,23.27,23.13,23.155,23.04478580701,7094135,0.0,1.0
2020-02-25,23.37,23.37,23.09,23.13,23.0199048031155,8300709,0.0,1.0
2020-02-24,23.32,23.4,23.27,23.355,23.2438338381653,3815433,0.0,1.0
2020-02-21,23.41,23.44,23.39,23.4,23.2886196451752,5565271,0.0,1.0
2020-02-20,23.4,23.435,23.4,23.42,23.3085244482908,2269600,0.0,1.0
2020-02-19,23.44,23.44,23.385,23.4,23.2886196451752,3427525,0.0,1.0
2020-02-18,23.38,23.42,23.37,23.39,23.2786672436175,3897675,0.0,1.0
2020-02-14,23.45,23.48,23.4,23.42,23.3085244482908,1967555,0.0,1.0
2020-02-13,23.42,23.5,23.37,23.48,23.3682388576374,7642490,0.0,1.0
2020-02-12,23.44,23.49,23.4,23.44,23.3284292514063,3836406,0.0,1.0
2020-02-11,23.37,23.45,23.36,23.42,23.3085244482908,2422139,0.0,1.0
2020-02-10,23.42,23.42,23.35,23.35,23.2388576373864,4691401,0.0,1.0
2020-02-07,23.33,23.43,23.33,23.42,23.3085244482908,4929202,0.0,1.0
2020-02-06,23.42,23.42,23.365,23.38,23.2687148420597,4168694,0.0,1.0
2020-02-05,23.39,23.44,23.345,23.44,23.3284292514063,8820279,0.0,1.0
2020-02-04,23.39,23.41,23.32,23.32,23.2090004327131,3391848,0.0,1.0
2020-02-03,23.39,23.395,23.32,23.36,23.2488100389442,5042188,0.0,1.0
2020-01-31,23.37,23.42,23.33,23.33,23.2189528342709,5427308,0.0,1.0
2020-01-30,23.35,23.39,23.33,23.385,23.2736910428386,3262113,0.0,1.0
2020-01-29,23.38,23.41,23.33,23.33,23.2189528342709,4854547,0.0,1.0
2020-01-28,23.39,23.41,23.37,23.38,23.2687148420597,5031662,0.0,1.0
2020-01-27,23.44,23.45,23.37,23.37,23.2587624405019,4823275,0.0,1.0
2020-01-24,23.41,23.46,23.41,23.46,23.3483340545219,6828166,0.0,1.0
2020-01-23,23.43,23.46,23.4,23.41,23.298572046733,3627973,0.0,1.0
2020-01-22,23.45,23.47,23.38,23.41,23.298572046733,6149727,0.0,1.0
2020-01-21,23.43,23.47,23.41,23.45,23.3383816529641,1724426,0.0,1.0
2020-01-17,23.38,23.49,23.3645,23.49,23.3781912591952,5400907,0.0,1.0
2020-01-16,23.37,23.39,23.34,23.38,23.2687148420597,6952041,0.0,1.0
2020-01-15,23.38,23.405,23.33,23.35,23.2388576373864,4050676,0.0,1.0
2020-01-14,23.38,23.415,23.34,23.37,23.2587624405019,3693418,0.0,1.0
2020-01-13,23.4239,23.435,23.36,23.37,23.2587624405019,4672188,0.0,1.0
2020-01-10,23.39,23.445,23.39,23.4,23.2886196451752,7765942,0.0,1.0
2020-01-09,23.4,23.44,23.33,23.41,23.298572046733,8042120,0.0,1.0
2020-01-08,23.35,23.43,23.35,23.37,23.2587624405019,4315488,0.0,1.0
2020-01-07,23.44,23.51,23.32,23.32,23.2090004327131,12356057,0.0,1.0
2020-01-06,23.44,23.53,23.405,23.52,23.4080484638685,10019313,0.0,1.0
2020-01-03,23.44,23.48,23.4,23.48,23.3682388576374,2400271,0.0,1.0
2020-01-02,23.33,23.49,23.33,23.49,23.3781912591952,3501069,0.0,1.0
2019-12-31,23.34,23.39,23.32,23.33,23.2189528342709,2871183,0.0,1.0
2019-12-30,23.45,23.45,23.3,23.32,23.2090004327131,2580682,0.0,1.0
2019-12-27,23.42,23.47,23.41,23.43,23.3184768498486,1993374,0.0,1.0
2019-12-26,23.39,23.455,23.39,23.43,23.3184768498486,2535137,0.0,1.0
2019-12-24,23.42,23.44,23.34,23.42,23.3085244482908,3801083,0.11,1.0
2019-12-23,23.45,23.49,23.42,23.44,23.219371571098,5650925,0.0,1.0
2019-12-20,23.44,23.5,23.42,23.5,23.2788068225599,5045359,0.0,1.0
2019-12-19,23.41,23.46,23.4,23.45,23.2292774463416,4648958,0.0,1.0
2019-12-18,23.45,23.46,23.4,23.405,23.1847010077453,4110022,0.0,1.0
2019-12-17,23.42,23.47,23.39,23.46,23.2391833215853,5553384,0.0,1.0
2019-12-16,23.38,23.41,23.285,23.38,23.1599363196361,11204515,0.0,1.0
2019-12-13,23.41,23.43,23.365,23.38,23.1599363196361,2917450,0.0,1.0
2019-12-12,23.39,23.46,23.37,23.44,23.219371571098,4422890,0.0,1.0
2019-12-11,23.38,23.45,23.37,23.385,23.164889257258,3342256,0.0,1.0
2019-12-10,23.38,23.47,23.35,23.38,23.1599363196361,7254691,0.0,1.0
2019-12-09,23.41,23.42,23.31,23.36,23.1401245691489,7469769,0.0,1.0
2019-12-06,23.5,23.52,23.37,23.4,23.1797480701234,4441658,0.0,1.0
2019-12-05,23.48,23.52,23.45,23.45,23.2292774463416,3184332,0.0,1.0
2019-12-04,23.45,23.535,23.45,23.46,23.2391833215853,4094364,0.0,1.0
2019-12-03,23.44,23.5,23.37,23.45,23.2292774463416,2397993,0.0,1.0
2019-12-02,23.44,23.55,23.42,23.48,23.2589950720726,5352386,0.0,1.0
2019-11-29,23.35,23.46,23.35,23.45,23.2292774463416,3759018,0.0,1.0
2019-11-27,23.51,23.52,23.34,23.39,23.1698421948798,3725353,0.0,1.0
2019-11-26,23.46,23.52,23.45,23.52,23.2986185730471,1850136,0.0,1.0
2019-11-25,23.42,23.49,23.405,23.48,23.2589950720726,2202273,0.0,1.0
2019-11-22,23.38,23.44,23.37,23.41,23.1896539453671,3238689,0.0,1.0
2019-11-21,23.34,23.43,23.33,23.37,23.1500304443925,3938046,0.0,1.0
2019-11-20,23.4,23.435,23.32,23.35,23.1302186939052,4440032,0.0,1.0
2019-11-19,23.42,23.45,23.36,23.38,23.1599363196361,5192630,0.0,1.0
2019-11-18,23.41,23.44,23.39,23.44,23.219371571098,3138774,0.0,1.0
2019-11-15,23.42,23.44,23.36,23.44,23.219371571098,3621897,0.0,1.0
2019-11-14,23.41,23.44,23.34,23.44,23.219371571098,1199407,0.0,1.0
2019-11-13,23.32,23.46,23.31,23.44,23.219371571098,3219130,0.0,1.0
2019-11-12,23.33,23.38,23.32,23.37,23.1500304443925,3226181,0.0,1.0
2019-11-11,23.29,23.34,23.285,23.31,23.0905951929306,2200922,0.0,1.0
2019-11-08,23.33,23.38,23.3,23.31,23.0905951929306,1509556,0.0,1.0
2019-11-07,23.35,23.37,23.3,23.34,23.1203128186616,3292673,0.0,1.0
2019-11-06,23.28,23.39,23.26,23.32,23.1005010681743,5503445,0.0,1.0
2019-11-05,23.31,23.32,23.27,23.29,23.0707834424434,4045132,0.0,1.0
2019-11-04,23.3,23.34,23.27,23.29,23.0707834424434,2960938,0.0,1.0
2019-11-01,23.26,23.35,23.26,23.27,23.0509716919561,4241756,0.0,1.0
2019-10-31,23.28,23.31,23.25,23.27,23.0509716919561,2264655,0.0,1.0
2019-10-30,23.24,23.3,23.18,23.29,23.0707834424434,2189140,0.0,1.0
2019-10-29,23.25,23.3499,23.23,23.28,23.0608775671997,3149511,0.0,1.0
2019-10-28,23.35,23.38,23.09,23.25,23.0311599414688,10130320,0.0,1.0
2019-10-25,23.45,23.47,23.26,23.35,23.1302186939052,3391801,0.0,1.0
2019-10-24,23.48,23.49,23.45,23.46,23.2391833215853,1754014,0.0,1.0
2019-10-23,23.44,23.5,23.44,23.44,23.219371571098,3939971,0.0,1.0
2019-10-22,23.44,23.49,23.44,23.47,23.2490891968289,1439576,0.0,1.0
2019-10-21,23.45,23.48,23.415,23.46,23.2391833215853,2889882,0.0,1.0
2019-10-18,23.43,23.47,23.4,23.44,23.219371571098,2050925,0.0,1.0
2019-10-17,23.46,23.47,23.4,23.45,23.2292774463416,3559275,0.0,1.0
2019-10-16,23.38,23.43,23.35,23.38,23.1599363196361,3819078,0.0,1.0
2019-10-15,23.45,23.46,23.35,23.375,23.1549833820143,5332477,0.0,1.0
2019-10-14,23.47,23.47,23.41,23.42,23.1995598206107,1571362,0.0,1.0
2019-10-11,23.46,23.48,23.42,23.45,23.2292774463416,5310060,0.0,1.0
2019-10-10,23.4,23.47,23.4,23.435,23.2144186334762,3435312,0.0,1.0
2019-10-09,23.44,23.45,23.39,23.395,23.1747951325016,6918543,0.0,1.0
2019-10-08,23.38,23.43,23.37,23.4,23.1797480701234,3404873,0.0,1.0
2019-10-07,23.39,23.44,23.37,23.42,23.1995598206107,2173466,0.0,1.0
2019-10-04,23.38,23.41,23.365,23.4,23.1797480701234,2502637,0.0,1.0
2019-10-03,23.31,23.385,23.31,23.38,23.1599363196361,3330728,0.0,1.0
2019-10-02,23.32,23.39,23.16,23.3,23.080689317687,5166421,0.0,1.0
2019-10-01,23.37,23.41,23.33,23.33,23.1104069434179,5370975,0.0,1.0
2019-09-30,23.24,23.37,23.21,23.34,23.1203128186616,3178452,0.0,1.0
2019-09-27,23.21,23.24,23.21,23.21,22.9915364404942,4409654,0.0,1.0
2019-09-26,23.22,23.25,23.21,23.21,22.9915364404942,2177123,0.0,1.0
2019-09-25,23.25,23.26,23.21,23.22,23.0014423157379,2990551,0.11,1.0
2019-09-24,23.33,23.38,23.3048,23.33,23.0014423157379,2631708,0.0,1.0
2019-09-23,23.24,23.43,23.23,23.32,22.9915831462926,3258426,0.0,1.0
2019-09-20,23.35,23.4,23.18,23.24,22.9127097907307,5694728,0.0,1.0
2019-09-19,23.32,23.39,23.22,23.25,22.922568960176,5530727,0.0,1.0
2019-09-18,23.39,23.4,23.31,23.31,22.9817239768474,5813802,0.0,1.0
2019-09-17,23.35,23.4,23.35,23.39,23.0605973324093,3205635,0.0,1.0
2019-09-16,23.32,23.39,23.3,23.36,23.0310198240736,6673254,0.0,1.0
2019-09-13,23.35,23.37,23.33,23.34,23.0113014851831,3759458,0.0,1.0
2019-09-12,23.28,23.38,23.27,23.33,23.0014423157379,5534413,0.0,1.0
2019-09-11,23.22,23.29,23.2,23.27,22.9422872990664,3085251,0.0,1.0
2019-09-10,23.19,23.24,23.16,23.22,22.8929914518403,4066794,0.0,1.0
2019-09-09,23.18,23.2,23.1,23.19,22.8634139435046,13073131,0.0,1.0
2019-09-06,23.1,23.182,23.04,23.15,22.8239772657236,6898823,0.0,1.0
2019-09-05,23.1,23.16,23.08,23.09,22.7648222490522,4410419,0.0,1.0
2019-09-04,23.07,23.1,23.0,23.08,22.7549630796069,3490532,0.0,1.0
2019-09-03,22.99,23.09,22.96,23.03,22.7056672323808,3849970,0.0,1.0
2019-08-30,23.0,23.02,22.89,23.01,22.6859488934903,3649085,0.0,1.0
2019-08-29,22.94,23.07,22.91,22.96,22.6366530462641,4376540,0.0,1.0
2019-08-28,22.87,22.92,22.84,22.87,22.547920521257,4694442,0.0,1.0
2019-08-27,23.0,23.09,22.64,22.85,22.5282021823665,7700714,0.0,1.0
2019-08-26,22.93,23.0,22.89,22.98,22.6563713851546,5177356,0.0,1.0
2019-08-23,22.94,23.0,22.83,22.85,22.5282021823665,3864498,0.0,1.0
2019-08-22,23.06,23.075,22.98,22.99,22.6662305545998,1952911,0.0,1.0
2019-08-21,22.99,23.1,22.98,23.09,22.7648222490522,4343873,0.0,1.0
2019-08-20,22.97,23.0,22.92,22.97,22.6465122157093,2671349,0.0,1.0
2019-08-19,22.97,23.0,22.9,22.95,22.6267938768189,2559963,0.0,1.0
2019-08-16,22.87,22.97,22.82,22.96,22.6366530462641,2345423,0.0,1.0
2019-08-15,22.83,22.9,22.8,22.85,22.5282021823665,2475614,0.0,1.0
2019-08-14,22.78,22.87,22.75,22.83,22.508483843476,4136114,0.0,1.0
2019-08-13,22.73,22.89,22.71,22.89,22.5676388601474,3748253,0.0,1.0
2019-08-12,22.66,22.83,22.64,22.76,22.4394696573594,3868584,0.0,1.0
2019-08-09,22.82,22.87,22.63,22.68,22.3605963017975,4083158,0.0,1.0
2019-08-08,22.78,22.9,22.735,22.86,22.5380613518117,5425114,0.0,1.0
2019-08-07,22.68,22.81,22.63,22.74,22.4197513184689,8743924,0.0,1.0
2019-08-06,22.75,22.87,22.64,22.77,22.4493288268046,4957981,0.0,1.0
2019-08-05,22.63,22.73,22.5,22.68,22.3605963017975,6804675,0.0,1.0
2019-08-02,22.93,22.95,22.795,22.82,22.4986246740308,5159464,0.0,1.0
2019-08-01,22.95,23.11,22.9,22.96,22.6366530462641,8827897,0.0,1.0
2019-07-31,23.01,23.09,22.95,22.97,22.6465122157093,6980166,0.0,1.0
2019-07-30,22.92,23.05,22.92,23.02,22.6958080629355,3846546,0.0,1.0
2019-07-29,22.85,23.02,22.8,23.0,22.676089724045,3893519,0.0,1.0
2019-07-26,22.85,23.04,22.805,22.88,22.5577796907022,6468077,0.0,1.0
2019-07-25,22.7,22.82,22.7,22.75,22.4296104879141,6643790,0.0,1.0
2019-07-24,22.5,22.75,22.47,22.71,22.3901738101332,6724977,0.0,1.0
2019-07-23,22.4,22.515,22.38,22.51,22.1929904212284,3771528,0.0,1.0
