,DGX_Open,DGX_High,DGX_Low,DGX_Close,DGX_Adj Close,DGX_Volume,DGX_Dividend Amount,DGX_Split Coefficient
2024-10-01,154.81,155.35,153.69,153.95,153.95,500194,0.0,1.0
2024-09-30,155.09,155.59,153.55,155.25,155.25,934676,0.0,1.0
2024-09-27,154.66,156.52,154.46,154.8,154.8,712319,0.0,1.0
2024-09-26,152.04,154.495,152.04,154.42,154.42,647760,0.0,1.0
2024-09-25,153.59,154.16,151.89,152.49,152.49,697470,0.0,1.0
2024-09-24,153.61,154.68,152.205,153.08,153.08,788005,0.0,1.0
2024-09-23,153.22,155.0,153.0,153.98,153.98,678386,0.0,1.0
2024-09-20,155.1,155.1,152.56,152.99,152.99,1456258,0.0,1.0
2024-09-19,155.84,156.88,154.51,155.12,155.12,519544,0.0,1.0
2024-09-18,155.2,157.06,155.1,155.48,155.48,440170,0.0,1.0
2024-09-17,156.37,156.8,154.57,155.38,155.38,476180,0.0,1.0
2024-09-16,155.34,157.23,155.22,156.36,156.36,618457,0.0,1.0
2024-09-13,155.02,155.515,153.33,154.38,154.38,570725,0.0,1.0
2024-09-12,153.51,154.97,151.88,154.76,154.76,762506,0.0,1.0
2024-09-11,152.13,153.965,149.52,153.56,153.56,958076,0.0,1.0
2024-09-10,154.59,155.41,151.24,152.86,152.86,656119,0.0,1.0
2024-09-09,152.96,155.64,152.56,154.29,154.29,912132,0.0,1.0
2024-09-06,154.24,155.03,152.02,152.93,152.93,827465,0.0,1.0
2024-09-05,155.26,155.515,152.28,154.23,154.23,756110,0.0,1.0
2024-09-04,157.21,159.36,154.89,155.39,155.39,597596,0.0,1.0
2024-09-03,157.0,158.22,156.02,156.97,156.97,745946,0.0,1.0
2024-08-30,155.92,157.34,155.49,156.97,156.97,883728,0.0,1.0
2024-08-29,155.02,156.715,154.415,156.23,156.23,698709,0.0,1.0
2024-08-28,153.53,155.29,153.38,154.88,154.88,569990,0.0,1.0
2024-08-27,154.28,154.648,152.95,153.6,153.6,494545,0.0,1.0
2024-08-26,153.95,154.71,153.5,153.9,153.9,425352,0.0,1.0
2024-08-23,153.75,153.81,152.02,153.56,153.56,472341,0.0,1.0
2024-08-22,153.31,153.31,152.1616,152.84,152.84,477564,0.0,1.0
2024-08-21,151.37,153.07,150.9,152.97,152.97,625068,0.0,1.0
2024-08-20,151.36,151.36,150.01,150.91,150.91,432235,0.0,1.0
2024-08-19,151.44,152.88,150.52,151.12,151.12,688336,0.0,1.0
2024-08-16,149.98,151.84,148.66,151.38,151.38,717096,0.0,1.0
2024-08-15,150.18,150.86,148.58,149.69,149.69,685182,0.0,1.0
2024-08-14,150.47,150.74,149.435,149.85,149.85,510357,0.0,1.0
2024-08-13,151.0,152.0,148.83,150.77,150.77,728393,0.0,1.0
2024-08-12,149.0,150.56,148.735,150.42,150.42,692970,0.0,1.0
2024-08-09,150.0,150.51,148.415,149.31,149.31,675578,0.0,1.0
2024-08-08,145.83,150.25,145.4285,150.06,150.06,799975,0.0,1.0
2024-08-07,146.9,148.715,145.84,146.13,146.13,1090306,0.0,1.0
2024-08-06,145.93,148.31,145.49,146.89,146.89,822562,0.0,1.0
2024-08-05,149.89,150.55,144.87,145.79,145.79,1261944,0.0,1.0
2024-08-02,148.0,151.78,147.21,150.08,150.08,1024026,0.0,1.0
2024-08-01,142.86,147.89,142.86,147.67,147.67,1120766,0.0,1.0
2024-07-31,142.53,143.51,140.7099,142.3,142.3,1276196,0.0,1.0
2024-07-30,141.81,144.74,141.81,142.89,142.89,937233,0.0,1.0
2024-07-29,145.0,145.11,141.82,142.14,142.14,1532247,0.0,1.0
2024-07-26,144.92,146.73,144.57,145.59,145.59,1282555,0.0,1.0
2024-07-25,144.65,147.1126,143.775,144.25,144.25,1127724,0.0,1.0
2024-07-24,141.99,144.38,140.06,143.91,143.91,1060757,0.0,1.0
2024-07-23,143.96,146.41,137.71,140.96,140.96,1893390,0.0,1.0
2024-07-22,146.54,148.255,145.72,147.35,147.35,1334433,0.0,1.0
2024-07-19,148.11,148.11,145.94,146.01,146.01,906997,0.0,1.0
2024-07-18,147.59,149.85,146.24,146.84,146.84,765684,0.0,1.0
2024-07-17,148.93,150.585,148.1,148.48,148.48,769798,0.0,1.0
2024-07-16,145.34,148.73,144.29,148.6,148.6,1008559,0.0,1.0
2024-07-15,144.09,146.51,143.74,144.59,144.59,1277055,0.0,1.0
2024-07-12,144.17,145.22,143.485,144.11,144.11,581878,0.0,1.0
2024-07-11,141.85,143.75,141.54,143.5,143.5,951551,0.0,1.0
2024-07-10,140.73,140.95,138.9275,140.45,140.45,722969,0.0,1.0
2024-07-09,138.62,139.21,136.99,138.36,138.36,932202,0.0,1.0
2024-07-08,140.39,140.94,138.84,138.92,138.92,642490,0.75,1.0
2024-07-05,141.21,142.0,138.77,140.45,139.69581155581,1017722,0.0,1.0
2024-07-03,139.98,140.94,137.21,140.9,140.143395145701,808361,0.0,1.0
2024-07-02,137.06,138.05,136.35,136.64,135.906270494738,1048547,0.0,1.0
2024-07-01,137.52,139.28,136.3,137.09,136.353854084628,788676,0.0,1.0
2024-06-28,137.94,138.62,135.47,136.88,136.144981742679,1284686,0.0,1.0
2024-06-27,138.58,139.37,137.02,137.34,136.602511634567,936170,0.0,1.0
2024-06-26,137.8,138.71,136.96,138.6,137.85574568626,710857,0.0,1.0
2024-06-25,139.78,140.1734,137.65,138.3,137.557356626334,734398,0.0,1.0
2024-06-24,139.36,140.58,138.2165,140.23,139.476992911864,599412,0.0,1.0
2024-06-21,138.64,139.69,137.9,138.96,138.213812558173,908537,0.0,1.0
2024-06-20,136.37,138.29,135.82,138.2,137.457893606358,758495,0.0,1.0
2024-06-18,136.33,137.75,136.33,137.3,136.562726426577,759682,0.0,1.0
2024-06-17,136.77,137.75,136.6,137.02,136.284229970645,815828,0.0,1.0
2024-06-14,138.0,139.175,137.01,137.85,137.109773036443,718644,0.0,1.0
