,DVN_Open,DVN_High,DVN_Low,DVN_Close,DVN_Adj Close,DVN_Volume,DVN_Dividend Amount,DVN_Split Coefficient
2024-10-07,42.42,43.0288,42.31,42.61,42.61,8362686,0.0,1.0
2024-10-04,42.4,42.54,41.86,42.42,42.42,10292828,0.0,1.0
2024-10-03,40.52,41.91,40.395,41.79,41.79,11722783,0.0,1.0
2024-10-02,40.5,40.73,39.9,40.5,40.5,8133175,0.0,1.0
2024-10-01,38.76,40.15,38.65,39.76,39.76,12618687,0.0,1.0
2024-09-30,38.91,39.51,38.665,39.12,39.12,10935413,0.0,1.0
2024-09-27,38.29,39.0575,38.21,38.96,38.96,8631655,0.0,1.0
2024-09-26,39.2,39.4,37.765,37.87,37.87,16997558,0.0,1.0
2024-09-25,40.73,40.89,39.765,39.8,39.8,8386565,0.0,1.0
2024-09-24,41.85,41.8801,40.915,41.01,41.01,6904972,0.0,1.0
2024-09-23,40.79,41.49,40.53,41.12,41.12,7209770,0.0,1.0
2024-09-20,40.79,40.8887,40.2,40.79,40.79,12847519,0.0,1.0
2024-09-19,41.13,41.43,40.78,40.97,40.97,6471463,0.0,1.0
2024-09-18,40.18,41.1,40.06,40.37,40.37,5996618,0.0,1.0
2024-09-17,39.55,40.56,39.41,40.46,40.46,7490746,0.0,1.0
2024-09-16,39.75,40.18,39.385,39.64,39.64,7139014,0.0,1.0
2024-09-13,39.78,40.09,39.36,39.45,39.45,8673476,0.44,1.0
2024-09-12,39.95,40.445,39.38,40.01,39.56867635999,8038092,0.0,1.0
2024-09-11,40.25,40.26,39.02,39.93,39.4895587866633,10260750,0.0,1.0
2024-09-10,41.4,41.43,40.1,40.23,39.7862496866383,7926379,0.0,1.0
2024-09-09,41.5,41.85,41.275,41.4,40.9433441965405,7694679,0.0,1.0
2024-09-06,42.1,42.38,41.08,41.34,40.8840060165455,6226394,0.0,1.0
2024-09-05,42.65,42.74,41.93,42.08,41.615843569817,5320855,0.0,1.0
2024-09-04,43.2,43.47,42.1,42.24,41.7740787164703,6279482,0.0,1.0
2024-09-03,43.96,44.08,42.81,43.02,42.5454750564051,6389031,0.0,1.0
2024-08-30,44.54,44.84,44.375,44.78,44.2860616695914,5832476,0.0,1.0
2024-08-29,44.94,45.34,44.51,45.0,44.5036349962397,4365549,0.0,1.0
2024-08-28,44.29,44.87,44.25,44.59,44.0981574329406,3651223,0.0,1.0
2024-08-27,45.06,45.26,44.59,44.65,44.1574956129356,3767348,0.0,1.0
2024-08-26,45.5,46.04,45.01,45.14,44.6420907495613,5334138,0.0,1.0
2024-08-23,44.0,44.7703,43.95,44.7,44.2069440962647,4314258,0.0,1.0
2024-08-22,43.95,44.08,43.54,43.67,43.1883053396841,4173601,0.0,1.0
2024-08-21,44.51,44.64,43.61,43.84,43.3564301830033,5366609,0.0,1.0
2024-08-20,44.99,45.0,43.8,44.04,43.5542241163199,6267686,0.0,1.0
2024-08-19,45.26,45.54,45.05,45.19,44.6915392328904,5064518,0.0,1.0
2024-08-16,44.97,45.42,44.82,45.09,44.5926422662321,4917934,0.0,1.0
2024-08-15,44.74,45.55,44.74,45.44,44.9387816495362,5403680,0.0,1.0
2024-08-14,44.8,44.84,44.17,44.49,43.9992604662823,5709618,0.0,1.0
2024-08-13,44.76,45.04,44.34,44.64,44.1476059162697,6873010,0.0,1.0
2024-08-12,45.12,45.48,44.98,45.33,44.8299949862121,4920626,0.0,1.0
2024-08-09,45.01,45.19,44.3,44.92,44.424517422913,6233393,0.0,1.0
2024-08-08,43.77,45.21,43.6,45.11,44.6124216595638,8819749,0.0,1.0
2024-08-07,43.52,44.45,43.14,43.17,42.6938205063926,11873912,0.0,1.0
2024-08-06,41.54,42.4299,41.325,41.98,41.5169466031587,8326710,0.0,1.0
