,EQIX_Open,EQIX_High,EQIX_Low,EQIX_Close,EQIX_Adj Close,EQIX_Volume,EQIX_Dividend Amount,EQIX_Split Coefficient
2024-10-01,894.98,894.98,876.365,883.0,883.0,419917,0.0,1.0
2024-09-30,879.41,889.555,879.41,887.63,887.63,534582,0.0,1.0
2024-09-27,886.15,889.61,879.945,882.69,882.69,359055,0.0,1.0
2024-09-26,896.62,896.62,876.49,878.98,878.98,579472,0.0,1.0
2024-09-25,892.08,896.5208,888.01,890.01,890.01,554115,0.0,1.0
2024-09-24,881.92,892.0694,880.44,887.58,887.58,435032,0.0,1.0
2024-09-23,883.87,890.6,876.26,881.92,881.92,452040,0.0,1.0
2024-09-20,865.8,886.495,862.95,877.2,877.2,1240589,0.0,1.0
2024-09-19,874.95,879.47,868.72,870.99,870.99,596995,0.0,1.0
2024-09-18,862.3,872.87,859.9323,860.95,860.95,288287,0.0,1.0
2024-09-17,877.24,881.96,861.72,864.33,864.33,322156,0.0,1.0
2024-09-16,871.38,880.725,871.38,876.57,876.57,249137,0.0,1.0
2024-09-13,869.9,875.66,869.9,871.54,871.54,282044,0.0,1.0
2024-09-12,874.71,874.71,855.45,868.81,868.81,344173,0.0,1.0
2024-09-11,854.48,869.27,847.0,867.7,867.7,656349,0.0,1.0
2024-09-10,835.9,865.45,835.34,864.78,864.78,598614,0.0,1.0
2024-09-09,821.34,835.395,820.08,831.8,831.8,430136,0.0,1.0
2024-09-06,821.53,825.01,809.54,817.96,817.96,457770,0.0,1.0
2024-09-05,826.24,829.035,816.6,821.74,821.74,333726,0.0,1.0
2024-09-04,826.19,830.0,816.0,827.59,827.59,585226,0.0,1.0
2024-09-03,829.47,835.49,825.3,832.15,832.15,402407,0.0,1.0
2024-08-30,820.38,836.48,816.99,834.36,834.36,520988,0.0,1.0
2024-08-29,812.78,823.38,810.0,818.74,818.74,310380,0.0,1.0
2024-08-28,817.48,818.5,810.31,813.7,813.7,218633,0.0,1.0
2024-08-27,815.42,820.68,813.6,817.98,817.98,257082,0.0,1.0
2024-08-26,830.39,833.0,816.085,818.9,818.9,284009,0.0,1.0
2024-08-23,822.42,829.39,817.96,827.96,827.96,532749,0.0,1.0
2024-08-22,818.39,820.85,814.13,818.95,818.95,418336,0.0,1.0
2024-08-21,826.0,826.9,816.01,817.99,817.99,382690,4.26,1.0
2024-08-20,833.57,833.57,824.78,829.84,825.540676923077,284125,0.0,1.0
2024-08-19,820.93,834.6,820.7,830.38,826.07787923381,304239,0.0,1.0
2024-08-16,825.8,831.7,821.0,828.66,824.366790392216,371708,0.0,1.0
2024-08-15,838.15,839.05,827.14,830.08,825.779433505625,553501,0.0,1.0
