,ES_Open,ES_High,ES_Low,ES_Close,ES_Adj Close,ES_Volume,ES_Dividend Amount,ES_Split Coefficient
2024-10-07,65.0,65.27,64.01,64.08,64.08,1374466,0.0,1.0
2024-10-04,65.07,65.59,64.68,65.38,65.38,1593769,0.0,1.0
2024-10-03,66.65,66.99,65.57,65.89,65.89,1604663,0.0,1.0
2024-10-02,67.17,67.97,66.14,66.68,66.68,2741637,0.0,1.0
2024-10-01,67.63,68.1,66.71,67.73,67.73,3450821,0.0,1.0
2024-09-30,67.44,68.165,67.44,68.05,68.05,1888279,0.0,1.0
2024-09-27,66.18,67.675,66.18,67.52,67.52,1844660,0.0,1.0
2024-09-26,65.98,67.0,65.81,65.99,65.99,1432703,0.0,1.0
2024-09-25,66.84,66.88,65.98,66.13,66.13,1554839,0.0,1.0
2024-09-24,66.18,67.38,66.0,66.52,66.52,1999614,0.0,1.0
2024-09-23,66.93,66.96,66.325,66.53,66.53,2064819,0.715,1.0
2024-09-20,67.14,67.54,66.77,67.14,66.426116439884,4668617,0.0,1.0
2024-09-19,67.06,67.385,66.47,67.2,66.485478474236,2331513,0.0,1.0
2024-09-18,67.95,68.145,67.14,67.49,66.772394973604,1624762,0.0,1.0
2024-09-17,68.4,68.62,68.04,68.23,67.5045267306119,1600327,0.0,1.0
2024-09-16,68.3,68.73,68.03,68.4,67.6727191612759,1984805,0.0,1.0
2024-09-13,67.58,68.0,67.37,67.97,67.24729124842,1850194,0.0,1.0
2024-09-12,67.91,68.41,67.17,67.5,66.782288645996,1684979,0.0,1.0
2024-09-11,67.68,67.86,66.88,67.79,67.069205145364,2126073,0.0,1.0
2024-09-10,68.17,68.6,67.54,68.0,67.2769722655959,2617335,0.0,1.0
2024-09-09,67.52,68.09,67.4,68.06,67.3363342999479,1351390,0.0,1.0
2024-09-06,68.21,68.41,67.33,67.4,66.683351922076,1104569,0.0,1.0
2024-09-05,69.01,69.01,67.91,68.05,67.3264406275559,1366448,0.0,1.0
2024-09-04,67.72,68.7,67.41,68.17,67.4451646962599,1418787,0.0,1.0
2024-09-03,67.5,68.13,67.26,67.73,67.009843111012,1526526,0.0,1.0
2024-08-30,66.89,67.54,66.38,67.53,66.811969663172,3607831,0.0,1.0
2024-08-29,67.03,67.29,66.08,66.66,65.951220165068,1089734,0.0,1.0
2024-08-28,66.54,67.33,66.46,67.04,66.327179715964,1366902,0.0,1.0
2024-08-27,66.86,67.1099,66.3,66.44,65.733559372444,1560500,0.0,1.0
2024-08-26,67.0,67.25,66.65,66.97,66.25792400922,1406080,0.0,1.0
2024-08-23,67.36,67.445,66.56,66.78,66.069944233772,1562967,0.0,1.0
2024-08-22,66.65,67.25,66.62,67.14,66.426116439884,2483463,0.0,1.0
2024-08-21,66.0,66.71,65.98,66.53,65.822602423972,2247677,0.0,1.0
2024-08-20,65.9,66.125,65.72,66.0,65.2982377871961,2194102,0.0,1.0
2024-08-19,65.1,65.98,64.92,65.84,65.1399390289241,2722498,0.0,1.0
2024-08-16,65.06,65.205,64.72,65.11,64.4177009443081,2269215,0.0,1.0
2024-08-15,65.51,65.925,64.66,64.85,64.1604654621161,3628329,0.0,1.0
2024-08-14,65.35,66.75,65.25,66.45,65.743453044836,2474714,0.0,1.0
2024-08-13,65.08,65.82,64.99,65.75,65.0508959773961,2426210,0.0,1.0
2024-08-12,64.87,65.23,64.53,64.87,64.1802528069001,2605982,0.0,1.0
