,ETFC_Open,ETFC_High,ETFC_Low,ETFC_Close,ETFC_Adj Close,ETFC_Volume,ETFC_Dividend Amount,ETFC_Split Coefficient
2020-10-02,49.26,49.26,49.26,49.26,49.26,1,0.0,1.0
2020-10-01,50.76,51.18,48.91,49.26,49.26,20707933,0.0,1.0
2020-09-30,49.24,50.7,48.98,50.05,50.05,2851648,0.0,1.0
2020-09-29,49.83,49.96,48.88,48.93,48.93,1642767,0.0,1.0
2020-09-28,49.6,50.83,49.59,50.1,50.1,1385865,0.0,1.0
2020-09-25,47.66,48.93,47.48,48.63,48.63,1869632,0.0,1.0
2020-09-24,48.04,49.03,47.44,48.21,48.21,1808900,0.0,1.0
2020-09-23,49.52,49.9034,48.0,48.02,48.02,1151554,0.0,1.0
2020-09-22,49.92,50.3,48.595,49.3,49.3,1663910,0.0,1.0
2020-09-21,50.53,50.86,49.18,50.02,50.02,3687440,0.0,1.0
2020-09-18,52.15,52.77,51.8,51.95,51.95,2538102,0.0,1.0
2020-09-17,52.02,52.74,51.78,52.04,52.04,1552703,0.0,1.0
2020-09-16,52.43,53.78,52.07,53.01,53.01,1864444,0.0,1.0
2020-09-15,52.96,53.1,52.07,52.18,52.18,1311411,0.0,1.0
2020-09-14,52.52,53.34,52.2,53.0,53.0,2108842,0.0,1.0
2020-09-11,52.18,52.83,51.9,52.24,52.24,1520722,0.0,1.0
2020-09-10,53.34,53.47,51.96,52.14,52.14,1761397,0.0,1.0
2020-09-09,52.44,53.415,52.19,52.94,52.94,1792927,0.0,1.0
2020-09-08,53.83,54.05,51.85,51.885,51.885,3770649,0.0,1.0
2020-09-04,55.58,55.68,53.53,54.53,54.53,2861726,0.0,1.0
2020-09-03,55.57,56.26,54.02,54.6,54.6,2598727,0.0,1.0
2020-09-02,54.59,55.32,54.29,55.09,55.09,1138820,0.0,1.0
2020-09-01,53.67,54.64,53.53,54.4,54.4,1449048,0.0,1.0
2020-08-31,54.66,54.8,54.08,54.1,54.1,2214189,0.0,1.0
2020-08-28,54.82,54.97,54.37,54.65,54.65,3330899,0.0,1.0
2020-08-27,53.79,54.81,53.64,54.51,54.51,2094087,0.0,1.0
2020-08-26,53.94,54.03,53.52,53.66,53.66,1042619,0.0,1.0
2020-08-25,54.53,54.85,53.78,53.97,53.97,1054004,0.0,1.0
2020-08-24,53.04,54.46,53.04,54.31,54.31,2262939,0.0,1.0
2020-08-21,52.52,53.34,52.41,52.98,52.98,2219136,0.0,1.0
2020-08-20,52.45,53.01,52.31,52.7,52.7,1022554,0.0,1.0
2020-08-19,52.96,53.97,52.93,53.29,53.29,1356464,0.0,1.0
2020-08-18,53.37,53.37,52.59,52.9,52.9,1280148,0.14,1.0
2020-08-17,54.31,54.41,53.11,53.37,53.229128959276,1852329,0.0,1.0
2020-08-14,53.94,54.59,53.67,54.36,54.2165158371041,1251692,0.0,1.0
2020-08-13,54.01,54.5,53.76,54.21,54.0669117647059,1263124,0.0,1.0
2020-08-12,54.64,55.53,53.97,54.45,54.306278280543,2050330,0.0,1.0
2020-08-11,53.32,55.0,53.23,53.84,53.6978883861237,2072976,0.0,1.0
2020-08-10,52.41,52.86,52.26,52.61,52.4711349924585,2334940,0.0,1.0
2020-08-07,51.09,52.52,50.94,52.41,52.2716628959276,1158945,0.0,1.0
2020-08-06,51.66,51.9644,51.19,51.38,51.2443815987934,1638165,0.0,1.0
2020-08-05,51.28,52.0,51.28,51.86,51.7231146304676,1542228,0.0,1.0
2020-08-04,51.37,51.76,51.07,51.27,51.1346719457014,1332621,0.0,1.0
2020-08-03,51.05,51.91,50.67,51.46,51.3241704374057,1495248,0.0,1.0
2020-07-31,50.96,50.96,50.1982,50.77,50.6359917043741,1356769,0.0,1.0
2020-07-30,51.24,51.24,50.4,50.81,50.6758861236803,2007096,0.0,1.0
2020-07-29,51.83,52.3,51.52,52.235,52.097124811463,1141588,0.0,1.0
2020-07-28,52.48,52.82,51.835,51.89,51.7530354449472,1276570,0.0,1.0
2020-07-27,51.67,53.18,51.29,52.98,52.8401583710407,1772171,0.0,1.0
2020-07-24,52.44,52.44,51.65,51.77,51.6333521870287,2064277,0.0,1.0
2020-07-23,52.81,52.94,51.96,52.24,52.1021116138763,2224366,0.0,1.0
2020-07-22,53.75,54.04,52.7,52.71,52.570871040724,3115446,0.0,1.0
2020-07-21,53.81,54.18,53.22,54.08,53.9372549019608,2112300,0.0,1.0
2020-07-20,53.62,53.81,53.04,53.55,53.4086538461538,2416200,0.0,1.0
2020-07-17,54.51,54.76,53.7,54.14,53.9970965309201,2395400,0.0,1.0
2020-07-16,53.41,55.29,53.03,54.37,54.2264894419306,2476400,0.0,1.0
2020-07-15,54.09,54.12,52.12,53.08,52.9398944193062,2716100,0.0,1.0
2020-07-14,51.92,52.25,50.58,52.16,52.022322775264,2604400,0.0,1.0
