,EXTN_Open,EXTN_High,EXTN_Low,EXTN_Close,EXTN_Adj Close,EXTN_Volume,EXTN_Dividend Amount,EXTN_Split Coefficient
2022-10-28,4.58,4.58,4.58,4.58,4.58,0,0.0,1.0
2022-10-27,4.58,4.58,4.58,4.58,4.58,0,0.0,1.0
2022-10-26,4.58,4.58,4.58,4.58,4.58,0,0.0,1.0
2022-10-25,4.58,4.58,4.58,4.58,4.58,0,0.0,1.0
2022-10-24,4.58,4.58,4.58,4.58,4.58,0,0.0,1.0
2022-10-21,4.58,4.58,4.58,4.58,4.58,0,0.0,1.0
2022-10-20,4.58,4.58,4.58,4.58,4.58,0,0.0,1.0
2022-10-19,4.58,4.58,4.58,4.58,4.58,0,0.0,1.0
2022-10-18,4.58,4.58,4.58,4.58,4.58,0,0.0,1.0
2022-10-17,4.58,4.58,4.58,4.58,4.58,0,0.0,1.0
2022-10-14,4.58,4.58,4.58,4.58,4.58,0,0.0,1.0
2022-10-13,4.58,4.58,4.58,4.58,4.58,0,0.0,1.0
2022-10-12,4.79,4.82,4.57,4.58,4.58,2673258,0.0,1.0
2022-10-11,4.83,5.09,4.57,4.84,4.84,740995,0.0,1.0
2022-10-10,4.99,5.03,4.66,4.94,4.94,132553,0.0,1.0
2022-10-07,5.15,5.25,4.98,5.04,5.04,421888,0.0,1.0
2022-10-06,4.93,5.06,4.82,5.0,5.0,131908,0.0,1.0
2022-10-05,4.82,5.1,4.58,4.95,4.95,203877,0.0,1.0
2022-10-04,4.4,4.86,4.37,4.82,4.82,351074,0.0,1.0
2022-10-03,4.23,4.46,4.2,4.38,4.38,73318,0.0,1.0
2022-09-30,4.09,4.23,4.055,4.16,4.16,90832,0.0,1.0
2022-09-29,4.31,4.31,3.94,4.18,4.18,53041,0.0,1.0
2022-09-28,4.05,4.32,3.97,4.26,4.26,376607,0.0,1.0
2022-09-27,4.0,4.01,3.87,3.95,3.95,77474,0.0,1.0
2022-09-26,3.95,4.18,3.78,3.86,3.86,298470,0.0,1.0
2022-09-23,4.36,4.36,4.08,4.17,4.17,93338,0.0,1.0
2022-09-22,4.73,4.73,4.43,4.53,4.53,57658,0.0,1.0
2022-09-21,4.65,4.7,4.55,4.63,4.63,70685,0.0,1.0
2022-09-20,4.69,4.69,4.455,4.55,4.55,37016,0.0,1.0
2022-09-19,4.6,4.69,4.5378,4.68,4.68,28367,0.0,1.0
2022-09-16,4.7,4.75,4.53,4.7,4.7,233250,0.0,1.0
2022-09-15,4.75,4.8,4.7,4.77,4.77,122441,0.0,1.0
2022-09-14,4.79,4.8481,4.76,4.78,4.78,56890,0.0,1.0
2022-09-13,5.0,5.0,4.66,4.7,4.7,97089,0.0,1.0
2022-09-12,4.96,5.11,4.93,5.02,5.02,169181,0.0,1.0
2022-09-09,4.94,5.025,4.86,5.01,5.01,152900,0.0,1.0
2022-09-08,4.7,4.84,4.623,4.83,4.83,87080,0.0,1.0
2022-09-07,4.69,4.73,4.5,4.72,4.72,87343,0.0,1.0
2022-09-06,5.0,5.0,4.7,4.75,4.75,54467,0.0,1.0
2022-09-02,4.94,4.96,4.83,4.96,4.96,66016,0.0,1.0
2022-09-01,4.81,4.83,4.72,4.83,4.83,80824,0.0,1.0
2022-08-31,4.86,4.95,4.76,4.91,4.91,201633,0.0,1.0
2022-08-30,5.05,5.05,4.8001,4.94,4.94,34839,0.0,1.0
2022-08-29,4.96,5.11,4.84,5.06,5.06,84157,0.0,1.0
2022-08-26,5.11,5.11,4.8,5.0,5.0,118793,0.0,1.0
2022-08-25,5.13,5.13,5.04,5.1,5.1,62023,0.0,1.0
2022-08-24,4.85,5.12,4.84,5.09,5.09,325259,0.0,1.0
2022-08-23,4.73,4.96,4.65,4.87,4.87,163390,0.0,1.0
2022-08-22,4.53,4.64,4.41,4.64,4.64,49312,0.0,1.0
2022-08-19,4.63,4.63,4.48,4.6,4.6,83384,0.0,1.0
2022-08-18,4.6,4.69,4.56,4.69,4.69,49721,0.0,1.0
2022-08-17,4.63,4.63,4.41,4.52,4.52,43703,0.0,1.0
2022-08-16,4.61,4.82,4.5212,4.67,4.67,67903,0.0,1.0
2022-08-15,4.58,4.64,4.37,4.64,4.64,148567,0.0,1.0
2022-08-12,4.71,4.71,4.47,4.7,4.7,151473,0.0,1.0
2022-08-11,4.07,4.72,3.96,4.71,4.71,997470,0.0,1.0
2022-08-10,3.97,4.16,3.95,4.05,4.05,114558,0.0,1.0
2022-08-09,4.1,4.12,3.97,3.98,3.98,155020,0.0,1.0
2022-08-08,3.86,4.02,3.83,4.0,4.0,109741,0.0,1.0
2022-08-05,3.79,3.9125,3.691,3.89,3.89,101849,0.0,1.0
2022-08-04,4.07,4.13,3.84,3.87,3.87,523952,0.0,1.0
2022-08-03,4.09,4.11,3.98,4.06,4.06,220561,0.0,1.0
2022-08-02,4.05,4.23,4.02,4.09,4.09,342740,0.0,1.0
2022-08-01,4.0,4.09,3.95,4.09,4.09,46889,0.0,1.0
2022-07-29,4.04,4.19,3.99,4.11,4.11,108580,0.0,1.0
2022-07-28,4.06,4.12,3.95,4.04,4.04,103913,0.0,1.0
2022-07-27,3.82,4.04,3.74,4.02,4.02,146813,0.0,1.0
2022-07-26,3.78,3.81,3.66,3.79,3.79,46508,0.0,1.0
2022-07-25,3.74,3.74,3.64,3.72,3.72,62052,0.0,1.0
2022-07-22,3.76,3.77,3.65,3.72,3.72,64104,0.0,1.0
2022-07-21,3.79,3.87,3.62,3.79,3.79,197673,0.0,1.0
2022-07-20,3.77,3.97,3.65,3.88,3.88,179701,0.0,1.0
2022-07-19,3.49,3.875,3.49,3.84,3.84,121181,0.0,1.0
2022-07-18,3.44,3.53,3.34,3.48,3.48,429526,0.0,1.0
2022-07-15,3.44,3.44,3.315,3.38,3.38,474753,0.0,1.0
2022-07-14,3.57,3.62,3.27,3.37,3.37,306299,0.0,1.0
2022-07-13,3.7,3.75,3.59,3.66,3.66,241385,0.0,1.0
2022-07-12,3.96,4.06,3.71,3.75,3.75,397067,0.0,1.0
2022-07-11,4.17,4.17,3.97,4.06,4.06,161021,0.0,1.0
2022-07-08,4.32,4.32,4.02,4.26,4.26,190839,0.0,1.0
2022-07-07,3.94,4.36,3.94,4.3,4.3,186906,0.0,1.0
2022-07-06,4.02,4.02,3.56,3.87,3.87,327088,0.0,1.0
2022-07-05,3.85,4.07,3.805,4.0,4.0,285499,0.0,1.0
2022-07-01,4.3,4.32,3.86,3.89,3.89,204221,0.0,1.0
2022-06-30,4.31,4.41,4.17,4.3,4.3,323140,0.0,1.0
2022-06-29,4.56,4.56,4.36,4.41,4.41,181560,0.0,1.0
2022-06-28,4.62,4.6834,4.47,4.52,4.52,129184,0.0,1.0
2022-06-27,4.51,4.59,4.5,4.52,4.52,107788,0.0,1.0
2022-06-24,4.64,4.69,4.5,4.56,4.56,184632,0.0,1.0
2022-06-23,4.6,4.61,4.31,4.58,4.58,543670,0.0,1.0
2022-06-22,4.75,4.79,4.55,4.62,4.62,183082,0.0,1.0
2022-06-21,4.83,5.0458,4.75,4.99,4.99,237612,0.0,1.0
2022-06-17,4.78,4.955,4.53,4.75,4.75,296270,0.0,1.0
2022-06-16,5.03,5.19,4.72,4.81,4.81,467011,0.0,1.0
2022-06-15,5.11,5.355,5.0,5.2,5.2,608837,0.0,1.0
2022-06-14,5.57,5.57,5.0,5.06,5.06,265009,0.0,1.0
2022-06-13,5.59,5.75,5.4,5.49,5.49,218215,0.0,1.0
