,EZPW_Open,EZPW_High,EZPW_Low,EZPW_Close,EZPW_Adj Close,EZPW_Volume,EZPW_Dividend Amount,EZPW_Split Coefficient
2024-10-07,11.5,11.5,11.205,11.33,11.33,391962,0.0,1.0
2024-10-04,11.1,11.485,11.095,11.4,11.4,407712,0.0,1.0
2024-10-03,11.1,11.12,10.86,10.95,10.95,342095,0.0,1.0
2024-10-02,11.26,11.311888,10.89,11.1,11.1,440688,0.0,1.0
2024-10-01,11.21,11.315,11.159,11.23,11.23,733689,0.0,1.0
2024-09-30,10.83,11.3,10.83,11.21,11.21,967009,0.0,1.0
2024-09-27,10.73,10.8956,10.69,10.82,10.82,387857,0.0,1.0
2024-09-26,10.66,10.745,10.56,10.68,10.68,315530,0.0,1.0
2024-09-25,10.8,10.8,10.6,10.64,10.64,499490,0.0,1.0
2024-09-24,10.91,10.94,10.63,10.73,10.73,539306,0.0,1.0
2024-09-23,10.8,11.05,10.775,11.02,11.02,333099,0.0,1.0
2024-09-20,10.84,10.98,10.7601,10.77,10.77,782716,0.0,1.0
2024-09-19,10.97,10.9805,10.8,10.85,10.85,338962,0.0,1.0
2024-09-18,11.19,11.19,10.88,10.91,10.91,294938,0.0,1.0
2024-09-17,10.81,11.18,10.81,11.17,11.17,517096,0.0,1.0
2024-09-16,11.0,11.12,10.775,10.8,10.8,378150,0.0,1.0
2024-09-13,10.98,11.155,10.965,11.0,11.0,492336,0.0,1.0
2024-09-12,10.97,11.155,10.9233,10.97,10.97,414700,0.0,1.0
2024-09-11,11.09,11.095,10.815,10.88,10.88,399399,0.0,1.0
2024-09-10,11.22,11.325,10.9292,11.1,11.1,468485,0.0,1.0
2024-09-09,11.53,11.6,11.18,11.19,11.19,562247,0.0,1.0
2024-09-06,11.84,11.95,11.48,11.53,11.53,689470,0.0,1.0
2024-09-05,11.89,11.995,11.65,11.87,11.87,742715,0.0,1.0
2024-09-04,11.88,12.03,11.82,11.89,11.89,258493,0.0,1.0
2024-09-03,12.12,12.2083,11.895,11.91,11.91,352757,0.0,1.0
2024-08-30,11.83,12.23,11.83,12.22,12.22,454904,0.0,1.0
2024-08-29,11.79,11.86,11.68,11.8,11.8,487291,0.0,1.0
2024-08-28,11.67,11.84,11.67,11.76,11.76,418847,0.0,1.0
2024-08-27,11.75,11.95,11.67,11.76,11.76,272527,0.0,1.0
2024-08-26,11.93,11.9992,11.77,11.8,11.8,264569,0.0,1.0
2024-08-23,11.71,11.86,11.615,11.85,11.85,527369,0.0,1.0
2024-08-22,11.69,11.82,11.57,11.75,11.75,181341,0.0,1.0
2024-08-21,11.74,12.01,11.61,11.7,11.7,353446,0.0,1.0
2024-08-20,11.97,12.0,11.69,11.73,11.73,509520,0.0,1.0
2024-08-19,11.82,12.01,11.65,12.0,12.0,594655,0.0,1.0
2024-08-16,11.43,11.81,11.4,11.8,11.8,957937,0.0,1.0
2024-08-15,11.49,11.58,11.35,11.4,11.4,333837,0.0,1.0
2024-08-14,11.69,11.71,11.31,11.35,11.35,384035,0.0,1.0
2024-08-13,11.5,11.75,11.4201,11.59,11.59,565284,0.0,1.0
2024-08-12,11.57,11.58,11.44,11.48,11.48,610024,0.0,1.0
2024-08-09,11.52,11.585,11.4,11.42,11.42,523951,0.0,1.0
2024-08-08,11.32,11.66,11.29,11.34,11.34,739146,0.0,1.0
2024-08-07,10.9,11.27,10.89,11.21,11.21,510346,0.0,1.0
2024-08-06,11.05,11.22,10.79,10.85,10.85,498188,0.0,1.0
2024-08-05,10.9,11.265,10.69,11.14,11.14,578065,0.0,1.0
2024-08-02,10.64,11.415,10.61,11.07,11.07,947614,0.0,1.0
2024-08-01,10.58,10.94,10.335,10.49,10.49,623041,0.0,1.0
2024-07-31,10.46,10.64,10.26,10.42,10.42,406400,0.0,1.0
2024-07-30,10.17,10.425,10.17,10.38,10.38,379022,0.0,1.0
2024-07-29,10.31,10.345,10.03,10.12,10.12,416633,0.0,1.0
2024-07-26,10.44,10.44,10.105,10.32,10.32,659768,0.0,1.0
2024-07-25,10.13,10.395,10.07,10.34,10.34,557331,0.0,1.0
2024-07-24,10.07,10.165,9.98,10.05,10.05,431795,0.0,1.0
2024-07-23,10.08,10.17,10.01,10.08,10.08,383957,0.0,1.0
2024-07-22,10.0,10.11,9.91,10.1,10.1,521326,0.0,1.0
2024-07-19,10.25,10.25,9.99,10.0,10.0,859515,0.0,1.0
2024-07-18,10.25,10.36,10.14,10.29,10.29,480799,0.0,1.0
2024-07-17,10.2,10.37,10.16,10.25,10.25,559171,0.0,1.0
2024-07-16,10.13,10.305,10.13,10.22,10.22,261247,0.0,1.0
2024-07-15,10.23,10.26,10.125,10.13,10.13,245155,0.0,1.0
2024-07-12,10.15,10.2299,10.06,10.11,10.11,390656,0.0,1.0
2024-07-11,9.8,10.14,9.8,10.13,10.13,349788,0.0,1.0
2024-07-10,9.75,9.895,9.71,9.81,9.81,467063,0.0,1.0
2024-07-09,10.03,10.03,9.655,9.71,9.71,626109,0.0,1.0
2024-07-08,10.09,10.14,9.915,9.99,9.99,403215,0.0,1.0
2024-07-05,10.15,10.25,10.01,10.07,10.07,299043,0.0,1.0
2024-07-03,10.33,10.3999,10.16,10.25,10.25,215165,0.0,1.0
2024-07-02,10.34,10.435,10.26,10.33,10.33,553910,0.0,1.0
2024-07-01,10.53,10.57,10.315,10.34,10.34,461626,0.0,1.0
2024-06-28,10.27,10.48,10.22,10.47,10.47,313958,0.0,1.0
2024-06-27,10.33,10.345,10.14,10.22,10.22,338582,0.0,1.0
2024-06-26,10.22,10.41,10.22,10.33,10.33,421157,0.0,1.0
2024-06-25,10.3,10.35,10.15,10.15,10.15,229766,0.0,1.0
2024-06-24,10.1,10.335,10.1,10.27,10.27,560512,0.0,1.0
2024-06-21,10.17,10.26,10.08,10.11,10.11,1038298,0.0,1.0
2024-06-20,10.33,10.46,10.17,10.18,10.18,438358,0.0,1.0
2024-06-18,10.2,10.395,10.17,10.32,10.32,409373,0.0,1.0
2024-06-17,10.0,10.2299,9.904,10.21,10.21,369301,0.0,1.0
2024-06-14,10.1,10.19,10.01,10.03,10.03,350614,0.0,1.0
2024-06-13,10.32,10.36,10.15,10.17,10.17,403590,0.0,1.0
2024-06-12,10.27,10.4136,10.25,10.3,10.3,416161,0.0,1.0
2024-06-11,10.19,10.235,10.06,10.2,10.2,419958,0.0,1.0
2024-06-10,10.42,10.45,10.03,10.27,10.27,659931,0.0,1.0
2024-06-07,10.37,10.5,10.36,10.48,10.48,348125,0.0,1.0
2024-06-06,10.36,10.475,10.33,10.42,10.42,352664,0.0,1.0
2024-06-05,10.32,10.46,10.23,10.36,10.36,248234,0.0,1.0
2024-06-04,10.24,10.375,10.21,10.25,10.25,410744,0.0,1.0
2024-06-03,10.56,10.58,10.295,10.32,10.32,314684,0.0,1.0
2024-05-31,10.3,10.56,10.27,10.49,10.49,479921,0.0,1.0
2024-05-30,10.23,10.4,10.21,10.29,10.29,383908,0.0,1.0
2024-05-29,10.23,10.33,10.13,10.2,10.2,341658,0.0,1.0
2024-05-28,10.17,10.375,10.17,10.24,10.24,555202,0.0,1.0
2024-05-24,9.98,10.21,9.98,10.2,10.2,374561,0.0,1.0
2024-05-23,10.0,10.1,9.9,9.98,9.98,556150,0.0,1.0
2024-05-22,10.0,10.1401,9.93,9.97,9.97,572761,0.0,1.0
2024-05-21,10.04,10.185,10.01,10.05,10.05,362666,0.0,1.0
2024-05-20,10.18,10.26,10.01,10.01,10.01,427867,0.0,1.0
2024-05-17,10.2,10.26,10.04,10.23,10.23,1071043,0.0,1.0
2024-05-16,10.22,10.27,10.15,10.16,10.16,570046,0.0,1.0
2024-05-15,10.36,10.39,10.1099,10.21,10.21,633729,0.0,1.0
2024-05-14,10.37,10.38,10.26,10.34,10.34,475980,0.0,1.0
2024-05-13,10.27,10.47,10.27,10.31,10.31,398976,0.0,1.0
2024-05-10,10.31,10.39,10.15,10.26,10.26,660987,0.0,1.0
2024-05-09,10.3,10.37,10.2,10.33,10.33,533070,0.0,1.0
2024-05-08,10.3,10.46,10.1697,10.34,10.34,580861,0.0,1.0
2024-05-07,10.33,10.685,10.33,10.38,10.38,1015581,0.0,1.0
2024-05-06,10.45,10.52,10.3,10.32,10.32,563871,0.0,1.0
2024-05-03,10.54,10.54,10.29,10.43,10.43,936935,0.0,1.0
2024-05-02,10.69,10.69,9.8,10.54,10.54,1342406,0.0,1.0
2024-05-01,10.9,11.09,10.77,11.03,11.03,673001,0.0,1.0
2024-04-30,11.16,11.16,10.97,10.98,10.98,681679,0.0,1.0
2024-04-29,11.43,11.47,11.032,11.18,11.18,519977,0.0,1.0
2024-04-26,11.18,11.4,11.12,11.36,11.36,393055,0.0,1.0
2024-04-25,11.32,11.42,10.94,11.07,11.07,521392,0.0,1.0
2024-04-24,11.46,11.52,11.36,11.5,11.5,481849,0.0,1.0
2024-04-23,11.18,11.4999,11.18,11.47,11.47,760569,0.0,1.0
2024-04-22,11.26,11.282,11.15,11.16,11.16,367856,0.0,1.0
2024-04-19,10.9,11.24,10.9,11.2,11.2,823305,0.0,1.0
2024-04-18,11.05,11.055,10.925,10.955,10.955,616492,0.0,1.0
2024-04-17,11.35,11.35,10.96,11.06,11.06,451473,0.0,1.0
2024-04-16,10.95,11.28,10.82,11.26,11.26,728487,0.0,1.0
2024-04-15,10.87,11.1,10.74,10.82,10.82,468579,0.0,1.0
2024-04-12,11.22,11.29,10.7007,10.85,10.85,639178,0.0,1.0
2024-04-11,11.14,11.3,11.01,11.26,11.26,716864,0.0,1.0
2024-04-10,10.67,11.145,10.63,11.05,11.05,1048291,0.0,1.0
2024-04-09,10.83,10.85,10.68,10.72,10.72,414423,0.0,1.0
2024-04-08,10.61,10.87,10.6,10.83,10.83,394659,0.0,1.0
2024-04-05,10.71,10.765,10.64,10.64,10.64,346810,0.0,1.0
2024-04-04,10.95,11.09,10.69,10.71,10.71,272331,0.0,1.0
2024-04-03,10.96,11.0191,10.88,10.92,10.92,301924,0.0,1.0
2024-04-02,11.0,11.03,10.84,10.91,10.91,464566,0.0,1.0
2024-04-01,11.38,11.4,11.025,11.11,11.11,550405,0.0,1.0
2024-03-28,11.11,11.38,10.962,11.33,11.33,757875,0.0,1.0
2024-03-27,11.27,11.2701,11.07,11.1,11.1,400065,0.0,1.0
2024-03-26,10.8,11.22,10.76,11.08,11.08,623284,0.0,1.0
2024-03-25,10.78,10.845,10.76,10.78,10.78,336003,0.0,1.0
2024-03-22,10.85,10.915,10.75,10.78,10.78,457160,0.0,1.0
2024-03-21,10.7,10.82,10.7,10.71,10.71,429897,0.0,1.0
2024-03-20,10.45,10.695,10.35,10.64,10.64,281879,0.0,1.0
2024-03-19,10.3,10.5389,10.295,10.43,10.43,373373,0.0,1.0
2024-03-18,10.41,10.465,10.285,10.29,10.29,363414,0.0,1.0
2024-03-15,10.42,10.51,10.31,10.45,10.45,419830,0.0,1.0
2024-03-14,10.6,10.6,10.33,10.45,10.45,589093,0.0,1.0
2024-03-13,10.65,10.7,10.58,10.6,10.6,231780,0.0,1.0
2024-03-12,10.59,10.7,10.45,10.66,10.66,256511,0.0,1.0
