,FBIN_Open,FBIN_High,FBIN_Low,FBIN_Close,FBIN_Adj Close,FBIN_Volume,FBIN_Dividend Amount,FBIN_Split Coefficient
2024-11-01,84.12,84.87,83.28,83.79,83.79,1000599,0.0,1.0
2024-10-31,83.61,84.32,83.04,83.33,83.33,595541,0.0,1.0
2024-10-30,83.68,84.86,83.02,84.03,84.03,1035053,0.0,1.0
2024-10-29,84.94,86.14,83.52,83.89,83.89,2268710,0.0,1.0
2024-10-28,86.31,87.55,85.6,86.98,86.98,1069522,0.0,1.0
2024-10-25,87.0,88.01,85.43,85.49,85.49,1233030,0.0,1.0
2024-10-24,86.95,88.05,86.18,87.88,87.88,1047259,0.0,1.0
2024-10-23,86.81,87.815,85.89,86.66,86.66,1111892,0.0,1.0
2024-10-22,87.12,87.57,86.15,87.44,87.44,977348,0.0,1.0
2024-10-21,89.98,89.98,87.89,88.15,88.15,916083,0.0,1.0
2024-10-18,89.49,90.2,88.595,90.01,90.01,690990,0.0,1.0
2024-10-17,89.74,90.23,88.405,88.87,88.87,778936,0.0,1.0
2024-10-16,89.7,90.28,89.1517,89.99,89.99,655437,0.0,1.0
2024-10-15,89.34,90.5,88.79,88.96,88.96,815588,0.0,1.0
2024-10-14,88.25,89.22,87.72,89.06,89.06,561194,0.0,1.0
2024-10-11,87.4,88.425,87.4,87.98,87.98,613166,0.0,1.0
2024-10-10,87.2,87.81,86.8,87.3,87.3,704596,0.0,1.0
2024-10-09,88.2,88.64,87.43,88.35,88.35,751901,0.0,1.0
2024-10-08,87.08,87.87,86.1,87.2,87.2,920131,0.0,1.0
2024-10-07,86.07,87.0,84.75,86.76,86.76,992062,0.0,1.0
2024-10-04,88.15,88.21,85.71,86.84,86.84,951501,0.0,1.0
2024-10-03,87.34,88.23,86.4281,87.8,87.8,1014756,0.0,1.0
2024-10-02,87.97,88.71,87.33,87.62,87.62,906373,0.0,1.0
2024-10-01,89.87,90.535,87.843639,88.65,88.65,736508,0.0,1.0
2024-09-30,88.31,89.69,88.18,89.53,89.53,863710,0.0,1.0
2024-09-27,88.98,89.57,87.95,88.6,88.6,651293,0.0,1.0
2024-09-26,87.66,88.99,86.98,87.68,87.68,701524,0.0,1.0
2024-09-25,87.04,87.25,85.91,86.46,86.46,815382,0.0,1.0
2024-09-24,86.99,87.94,86.92,87.55,87.55,841092,0.0,1.0
2024-09-23,87.51,88.22,85.93,87.03,87.03,964081,0.0,1.0
2024-09-20,87.24,87.72,86.43,86.57,86.57,3087010,0.0,1.0
2024-09-19,86.89,88.11,85.51,87.91,87.91,1663493,0.0,1.0
2024-09-18,85.58,86.905,84.58,84.91,84.91,1178651,0.0,1.0
2024-09-17,84.88,85.84,84.18,85.09,85.09,1130952,0.0,1.0
2024-09-16,83.59,84.67,83.24,84.1,84.1,906609,0.0,1.0
2024-09-13,82.29,83.45,82.15,83.16,83.16,949266,0.0,1.0
2024-09-12,79.65,81.245,78.84,81.13,81.13,705939,0.0,1.0
2024-09-11,79.07,79.45,77.195,79.38,79.38,898348,0.0,1.0
2024-09-10,78.65,80.25,77.74,79.91,79.91,1415398,0.0,1.0
2024-09-09,77.61,78.85,77.3025,77.91,77.91,1280082,0.0,1.0
2024-09-06,77.11,79.085,76.38,77.4,77.4,1456948,0.0,1.0
2024-09-05,77.16,77.555,76.285,76.43,76.43,568373,0.0,1.0
2024-09-04,76.83,77.38,76.55,77.04,77.04,461790,0.0,1.0
2024-09-03,79.41,79.99,76.88,77.35,77.35,934057,0.0,1.0
2024-08-30,79.23,79.84,78.41,79.41,79.41,1759694,0.0,1.0
2024-08-29,79.17,79.85,78.04,78.54,78.54,509489,0.0,1.0
2024-08-28,78.85,79.525,78.34,78.95,78.95,856488,0.0,1.0
2024-08-27,80.22,80.22,79.12,79.3,79.3,918949,0.0,1.0
2024-08-26,82.0,82.245,80.895,80.92,80.92,809195,0.0,1.0
2024-08-23,78.9,81.52,78.88,81.38,81.38,1263929,0.24,1.0
2024-08-22,79.14,79.14,77.82,78.53,78.2990860083313,869991,0.0,1.0
2024-08-21,77.84,79.11,77.11,79.06,78.8275275667729,1189208,0.0,1.0
2024-08-20,77.24,77.925,76.71,77.18,76.9530556236217,959872,0.0,1.0
2024-08-19,77.73,78.14,76.41,77.05,76.8234378828719,1146629,0.0,1.0
2024-08-16,77.23,78.22,76.8,77.07,76.8433790737564,1066277,0.0,1.0
2024-08-15,76.55,77.78,75.83,77.47,77.2422028914482,1629530,0.0,1.0
2024-08-14,74.48,75.76,74.315,75.3,75.0785836804705,1568386,0.0,1.0
2024-08-13,72.44,74.67,72.04,73.99,73.77243567753,915247,0.0,1.0
2024-08-12,72.88,72.94,71.47,71.73,71.5190811075717,1007933,0.0,1.0
2024-08-09,73.34,73.4545,72.28,73.07,72.855140896839,960399,0.0,1.0
2024-08-08,71.94,73.18,71.28,73.06,72.8451703013967,1149450,0.0,1.0
2024-08-07,75.56,75.79,71.17,71.28,71.0704043126685,1446504,0.0,1.0
2024-08-06,73.6,75.845,72.68,74.9,74.6797598627788,926353,0.0,1.0
2024-08-05,73.635,75.35,72.35,73.84,73.6228767458956,1580099,0.0,1.0
2024-08-02,77.53,77.53,75.15,76.59,76.3647904925264,1493516,0.0,1.0
2024-08-01,81.17,81.89,78.56,79.12,78.8873511394266,1614028,0.0,1.0
2024-07-31,81.98,82.52,80.34,80.81,80.5723817691742,1517527,0.0,1.0
2024-07-30,80.0,81.76,79.77,81.4,81.1606469002696,1581267,0.0,1.0
2024-07-29,78.63,79.85,78.14,79.69,79.4556750796373,1975006,0.0,1.0
2024-07-26,74.09,79.69,74.07,78.74,78.5084685126195,3359184,0.0,1.0
2024-07-25,70.04,73.24,69.92,72.17,71.9577873070326,2592989,0.0,1.0
2024-07-24,70.92,71.8,69.01,69.04,68.8369909335947,1597230,0.0,1.0
2024-07-23,70.79,71.51,70.27,71.32,71.1102866944376,1114342,0.0,1.0
2024-07-22,71.37,71.93,70.23,71.39,71.1800808625337,1429443,0.0,1.0
2024-07-19,73.15,73.41,71.29,71.79,71.5789046802254,1170040,0.0,1.0
2024-07-18,74.07,76.17,73.19,73.21,72.9947292330311,1618255,0.0,1.0
2024-07-17,73.62,75.02,73.62,73.93,73.7126121048763,2005323,0.0,1.0
2024-07-16,70.82,74.99,70.415,74.73,74.5102597402598,2169448,0.0,1.0
2024-07-15,70.52,71.41,69.955,70.0,69.7941680960549,1579374,0.0,1.0
2024-07-12,68.92,71.23,68.92,70.42,70.2129331046312,2021918,0.0,1.0
2024-07-11,67.2,68.87,66.505,68.79,68.5877260475374,1959678,0.0,1.0
2024-07-10,64.34,64.98,64.02,64.84,64.6493408478314,1319649,0.0,1.0
2024-07-09,63.91,64.76,63.91,64.3,64.1109286939476,1261896,0.0,1.0
2024-07-08,63.27,64.76,63.055,64.43,64.2405464346974,1658429,0.0,1.0
2024-07-05,62.9,63.775,62.54,62.64,62.4558098505268,2141314,0.0,1.0
2024-07-03,63.38,64.2,63.07,63.28,63.0939279588336,971196,0.0,1.0
2024-07-02,63.46,63.9,63.21,63.42,63.2335162950257,1017993,0.0,1.0
2024-07-01,65.33,65.67,63.23,63.44,63.2534574859103,1484853,0.0,1.0
2024-06-28,65.67,66.59,64.74,64.94,64.7490468022544,2504939,0.0,1.0
2024-06-27,65.14,65.659,64.97,65.47,65.2774883606959,1498505,0.0,1.0
2024-06-26,63.52,65.31,63.16,65.17,64.9783704974271,1600578,0.0,1.0
2024-06-25,66.53,66.695,62.84,63.88,63.6921636853712,2533945,0.0,1.0
2024-06-24,67.9,68.63,67.06,67.12,66.9226366086744,1234247,0.0,1.0
2024-06-21,67.48,67.83,66.25,67.11,66.9126660132321,6072314,0.0,1.0
2024-06-20,67.02,67.73,66.63,67.63,67.4311369762313,1448852,0.0,1.0
2024-06-18,67.44,67.6,66.92,67.6,67.4012251899044,963943,0.0,1.0
2024-06-17,66.26,67.36,66.03,67.36,67.1619308992894,1257353,0.0,1.0
2024-06-14,67.87,68.11,66.63,67.33,67.1320191129625,1221547,0.0,1.0
2024-06-13,67.71,69.15,67.3537,68.89,68.6874320019603,1335270,0.0,1.0
2024-06-12,68.08,69.18,67.38,67.87,67.6704312668464,1912232,0.0,1.0
2024-06-11,65.87,66.02,65.305,65.89,65.6962533692722,1300256,0.0,1.0
2024-06-10,65.14,66.4,64.92,66.22,66.0252830188679,907192,0.0,1.0
2024-06-07,65.7,66.655,65.12,65.99,65.7959593236952,774435,0.0,1.0
2024-06-06,66.97,67.44,66.53,66.67,66.4739598137711,624179,0.0,1.0
2024-06-05,66.88,67.295,65.96,67.22,67.0223425630973,1217171,0.0,1.0
2024-06-04,68.55,68.97,66.48,66.62,66.4241068365597,1513192,0.0,1.0
2024-06-03,70.92,71.045,68.4,68.97,68.7671967654987,975955,0.0,1.0
2024-05-31,69.0,70.32,68.43,70.06,69.8539916687087,2166550,0.0,1.0
2024-05-30,68.56,69.3,68.32,68.83,68.6276084293065,1179052,0.0,1.0
2024-05-29,67.62,68.14,67.27,67.75,67.5507841215389,1246282,0.0,1.0
2024-05-28,70.2,70.42,68.4,68.57,68.3683729478069,920152,0.0,1.0
2024-05-24,70.46,70.68,69.7585,70.23,70.0234917912277,578189,0.0,1.0
2024-05-23,71.06,71.12,69.87,70.03,69.8240798823818,969334,0.24,1.0
2024-05-22,71.34,71.68,70.32,70.88,70.4302089378571,1177441,0.0,1.0
2024-05-21,71.93,72.085,70.92,71.81,71.3543073339097,674659,0.0,1.0
2024-05-20,73.17,73.28,72.17,72.24,71.7815786353104,909298,0.0,1.0
2024-05-17,73.18,73.37,72.605,73.0,72.5367558191813,581321,0.0,1.0
2024-05-16,74.83,74.955,73.09,73.13,72.6659308637908,736735,0.0,1.0
2024-05-15,75.34,75.73,74.79,75.2,74.7227950356498,650361,0.0,1.0
2024-05-14,75.02,75.03,73.83,74.23,73.758950472025,701776,0.0,1.0
2024-05-13,75.88,76.08,74.1,74.11,73.6397119693086,648480,0.0,1.0
2024-05-10,75.25,75.665,75.035,75.32,74.8420335383662,795984,0.0,1.0
2024-05-09,73.38,75.13,73.36,75.1,74.6234296167194,809007,0.0,1.0
2024-05-08,72.35,73.31,71.96,73.27,72.8050424502933,873063,0.0,1.0
2024-05-07,73.84,74.3,72.77,72.82,72.3578980651066,1021166,0.0,1.0
2024-05-06,73.95,74.335,73.46,73.76,73.2919330030522,730235,0.0,1.0
2024-05-03,73.1,74.28,72.6,73.15,72.6858039475769,1610731,0.0,1.0
2024-05-02,72.29,72.475,70.25,71.43,70.9767187419743,1188453,0.0,1.0
2024-05-01,70.9,72.92,69.72,71.11,70.658749401397,2486721,0.0,1.0
2024-04-30,74.52,75.24,73.07,73.1,72.6361212381117,1238839,0.0,1.0
2024-04-29,74.4,75.42,74.39,75.25,74.772477745115,1199173,0.0,1.0
2024-04-26,73.68,74.68,72.92,74.18,73.7092677625599,1023086,0.0,1.0
2024-04-25,72.2,73.24,71.42,73.22,72.7553597408281,1387158,0.0,1.0
2024-04-24,74.25,75.28,72.57,73.53,73.0633925395123,750875,0.0,1.0
2024-04-23,73.07,74.94,72.52,74.64,74.1663486896396,1288129,0.0,1.0
2024-04-22,73.96,74.0,72.5825,72.9,72.4373904002509,1487020,0.0,1.0
2024-04-19,73.33,73.9,73.08,73.51,73.0435194557263,862542,0.0,1.0
2024-04-18,75.23,75.67,73.47,73.58,73.1130752489775,1222087,0.0,1.0
2024-04-17,76.28,76.37,74.26,74.37,73.8980620585276,927877,0.0,1.0
2024-04-16,75.12,75.495,74.21,75.4,74.9215258735106,1073310,0.0,1.0
2024-04-15,78.19,78.48,75.805,76.3,75.815814643884,970658,0.0,1.0
2024-04-12,76.94,77.7,76.42,77.56,77.0678189224069,980198,0.0,1.0
2024-04-11,77.69,77.99,77.32,77.66,77.1671843413372,978804,0.0,1.0
2024-04-10,77.81,78.875,77.1,77.17,76.6802937885784,1221236,0.0,1.0
2024-04-09,81.38,81.43,79.8,80.6,80.0885276578906,890440,0.0,1.0
2024-04-08,81.85,82.135,81.1,81.14,80.6251009201147,550277,0.0,1.0
2024-04-05,81.39,82.23,80.9,81.41,80.8933875512267,685100,0.0,1.0
2024-04-04,83.0,84.21,80.87,81.19,80.6747836295799,848925,0.0,1.0
2024-04-03,81.58,82.69,81.08,82.15,81.6286916513116,1294383,0.0,1.0
2024-04-02,82.09,82.2,79.21,81.79,81.2709761431622,1119602,0.0,1.0
2024-04-01,84.71,84.92,82.95,83.06,82.5329169635781,840763,0.0,1.0
2024-03-28,84.2,84.829,83.94,84.67,84.1327002083573,830486,0.0,1.0
2024-03-27,82.22,84.17,82.0,84.15,83.6160000299193,871970,0.0,1.0
2024-03-26,81.69,82.45,81.39,81.78,81.2610396012691,921675,0.0,1.0
2024-03-25,82.06,82.445,81.45,81.63,81.1119914728736,576529,0.0,1.0
2024-03-22,83.75,83.88,82.05,82.2,81.6783743607768,1157885,0.0,1.0
2024-03-21,82.42,84.29,82.02,83.88,83.3477133988072,918794,0.0,1.0
2024-03-20,80.39,81.78,79.86,81.54,81.0225625958362,798284,0.0,1.0
2024-03-19,78.99,80.28,78.88,80.26,79.7506852335273,1579991,0.0,1.0
2024-03-18,80.34,80.725,78.71,78.99,78.4887444131114,1183107,0.0,1.0
2024-03-15,78.71,80.2,78.43,80.11,79.6016371051317,2231308,0.0,1.0
2024-03-14,80.77,81.4,78.83,79.2,78.6974117928652,955441,0.0,1.0
2024-03-13,81.73,81.96,80.9,81.23,80.714529797152,790946,0.0,1.0
2024-03-12,81.12,82.09,80.66,81.87,81.3504684783065,567338,0.0,1.0
2024-03-11,81.02,81.42,80.04,81.35,80.8337682998685,810201,0.0,1.0
2024-03-08,82.3,82.865,81.15,81.47,80.9530068025849,603791,0.0,1.0
2024-03-07,81.07,81.71,80.88,81.64,81.1219280147666,719066,0.0,1.0
2024-03-06,81.82,81.99,80.1,80.31,79.8003679429925,710332,0.0,1.0
2024-03-05,81.85,82.47,80.79,81.03,80.5157989592912,746469,0.0,1.0
2024-03-04,83.33,83.85,81.94,82.09,81.5690723999533,983625,0.0,1.0
2024-03-01,81.2,83.04,80.83,82.91,82.3838688351825,922642,0.0,1.0
2024-02-29,81.46,81.64,80.81,81.34,80.8238317579754,2363336,0.0,1.0
2024-02-28,81.41,82.0,80.475,80.89,80.3766873727887,683549,0.0,1.0
2024-02-27,80.22,81.47,80.09,81.46,80.9430702606919,715020,0.0,1.0
2024-02-26,80.47,80.88,79.73,79.83,79.3234139321266,695653,0.0,1.0
2024-02-23,80.7,81.11,80.25,80.76,80.2475123281792,550761,0.0,1.0
2024-02-22,80.32,80.99,80.19,80.47,79.9593526132811,921047,0.24,1.0
2024-02-21,79.65,80.13,79.35,79.77,79.028095130237,951364,0.0,1.0
2024-02-20,78.6,79.85,77.98,79.32,78.582280377716,857599,0.0,1.0
2024-02-16,78.88,80.14,78.81,79.31,78.5723733832155,804026,0.0,1.0
2024-02-15,80.3,80.72,79.76,79.9,79.1568860587431,1033817,0.0,1.0
2024-02-14,79.55,79.94,78.53,79.54,78.8002342567263,1183696,0.0,1.0
2024-02-13,78.38,79.96,77.64,78.43,77.7005578671743,1415429,0.0,1.0
2024-02-12,80.15,81.48,80.005,81.33,80.5735862723101,936098,0.0,1.0
2024-02-09,80.14,80.48,79.71,80.13,79.3847469322539,1049474,0.0,1.0
2024-02-08,79.15,80.27,79.12,80.12,79.3748399377534,1390253,0.0,1.0
2024-02-07,78.32,79.56,77.83,78.49,77.7599998341771,1479388,0.0,1.0
2024-02-06,76.31,77.92,76.225,77.68,76.9575332796391,1404310,0.0,1.0
2024-02-05,76.32,76.745,75.07,76.26,75.5507400605726,1424420,0.0,1.0
2024-02-02,77.49,78.22,76.06,77.42,76.699951422627,1369307,0.0,1.0
2024-02-01,78.52,78.84,76.795,78.78,78.0473026746907,1280126,0.0,1.0
2024-01-31,78.82,80.23,76.26,77.59,76.8683703291349,2864931,0.0,1.0
2024-01-30,79.89,80.91,79.32,80.79,80.0386085692848,1449003,0.0,1.0
2024-01-29,79.47,80.23,79.06,80.06,79.3153979707506,1308269,0.0,1.0
2024-01-26,78.82,80.07,78.82,79.15,78.413861471208,1636304,0.0,1.0
2024-01-25,76.99,78.85,76.63,78.83,78.096837647193,1584682,0.0,1.0
2024-01-24,77.65,77.73,75.72,75.9,75.1940882585558,881521,0.0,1.0
2024-01-23,79.11,79.11,76.6,76.86,76.1451597306007,1697930,0.0,1.0
2024-01-22,78.62,79.57,78.4008,79.46,78.7209783007225,787850,0.0,1.0
2024-01-19,76.88,77.85,76.175,77.84,77.1160451916466,624050,0.0,1.0
2024-01-18,76.95,77.26,75.785,77.23,76.5117185271181,502171,0.0,1.0
2024-01-17,76.11,76.58,75.87,76.29,75.580461044074,684190,0.0,1.0
2024-01-16,76.97,77.36,76.435,77.13,76.4126485821134,566039,0.0,1.0
2024-01-12,79.26,79.26,77.195,77.88,77.1556731696485,716579,0.0,1.0
2024-01-11,77.99,78.67,77.015,78.57,77.8392557901808,1249345,0.0,1.0
2024-01-10,77.41,78.42,76.99,78.4,77.6708368836729,932289,0.0,1.0
2024-01-09,75.56,77.14,75.51,77.12,76.4027415876129,900037,0.0,1.0
2024-01-08,75.06,76.69,74.605,76.5,75.7885079285839,1432822,0.0,1.0
2024-01-05,73.47,75.705,73.47,74.72,74.0250629075005,1035178,0.0,1.0
2024-01-04,73.73,74.615,73.5181,74.02,73.3315732924677,1179233,0.0,1.0
2024-01-03,74.08,74.45,73.08,74.15,73.4603642209738,1046568,0.0,1.0
2024-01-02,75.17,76.02,74.63,75.5,74.797808478537,1092131,0.0,1.0
2023-12-29,76.82,77.1,76.11,76.14,75.431856126567,814895,0.0,1.0
2023-12-28,76.71,77.16,76.31,76.89,76.1748807141021,1085806,0.0,1.0
2023-12-27,77.49,77.65,76.955,77.0,76.2838576536073,1229385,0.0,1.0
2023-12-26,77.3,77.72,77.03,77.17,76.4522765601153,955971,0.0,1.0
2023-12-22,77.66,77.67,76.95,77.3,76.5810674886213,1017748,0.0,1.0
2023-12-21,78.25,78.375,76.38,77.27,76.5513465051199,984522,0.0,1.0
2023-12-20,78.68,79.16,77.125,77.2,76.4819975436167,864273,0.0,1.0
2023-12-19,78.79,79.02,77.91,78.78,78.0473026746907,1058668,0.0,1.0
2023-12-18,79.69,79.69,77.53,78.02,77.2943710926551,1035436,0.0,1.0
2023-12-15,79.36,80.33,78.95,79.4,78.6615363337197,3055326,0.0,1.0
2023-12-14,77.68,80.32,77.68,79.75,79.0082811412361,2090699,0.0,1.0
2023-12-13,74.0,76.76,73.17,76.12,75.4120421375661,1378116,0.0,1.0
2023-12-12,73.3,74.36,72.98,73.85,73.1631543859597,860019,0.0,1.0
2023-12-11,73.24,73.72,72.85,73.15,72.4696647709269,850901,0.0,1.0
2023-12-08,72.59,73.52,72.36,73.43,72.74706061694,698822,0.0,1.0
2023-12-07,72.53,72.76,72.055,72.35,71.6771052108894,687375,0.0,1.0
2023-12-06,72.5,73.82,72.47,72.59,71.9148730789007,869605,0.0,1.0
2023-12-05,72.04,72.47,71.435,71.59,70.9241736288538,901575,0.0,1.0
2023-12-04,71.0,72.68,70.854,72.27,71.5978492548857,1271759,0.0,1.0
2023-12-01,68.5,71.3,68.35,71.27,70.6071498048388,1378448,0.0,1.0
2023-11-30,68.0,68.67,67.305,68.43,67.7935633667058,2051147,0.0,1.0
2023-11-29,67.63,68.69,67.195,68.04,67.4071905811875,1287544,0.0,1.0
2023-11-28,66.92,67.3,66.21,66.53,65.9112344116168,824923,0.0,1.0
2023-11-27,66.09,67.43,65.83,67.15,66.5254680706458,847411,0.0,1.0
2023-11-24,65.61,66.509,65.6,66.38,65.7626294941097,229813,0.0,1.0
2023-11-22,66.36,66.64,65.7,66.04,65.4257916810938,646564,0.23,1.0
2023-11-21,65.88,66.22,65.32,65.91,65.0703776927855,798636,0.0,1.0
2023-11-20,67.01,67.01,65.85,66.08,65.2382120761533,925602,0.0,1.0
2023-11-17,66.57,67.39,66.57,67.24,66.3834349273691,1023121,0.0,1.0
2023-11-16,66.16,66.54,65.48,66.16,65.3171929624441,1133149,0.0,1.0
2023-11-15,65.36,67.28,65.36,65.92,65.0802503035718,1419429,0.0,1.0
2023-11-14,62.16,65.63,62.16,65.43,64.596492375041,2112319,0.0,1.0
2023-11-13,60.52,60.7,59.72,59.84,59.0777029454754,1014080,0.0,1.0
2023-11-10,60.6,61.02,60.18,61.0,60.2229257966912,469077,0.0,1.0
2023-11-09,61.35,61.62,60.01,60.15,59.383753879852,990336,0.0,1.0
2023-11-08,60.64,61.59,60.5,61.49,60.706683725222,909131,0.0,1.0
2023-11-07,60.45,61.26,60.45,60.88,60.1044544672551,631298,0.0,1.0
2023-11-06,61.46,61.735,60.465,60.62,59.8477665868101,815711,0.0,1.0
2023-11-03,60.53,62.37,60.53,61.76,60.9732442164532,1394587,0.0,1.0
2023-11-02,59.42,59.76,58.86,59.46,58.7025437355944,1018790,0.0,1.0
2023-11-01,55.81,57.93,55.655,57.85,57.1130533989932,1283600,0.0,1.0
2023-10-31,56.0,56.67,55.47,55.8,55.0891681877929,995615,0.0,1.0
2023-10-30,55.8,56.255,54.88,55.75,55.0398051338612,1201236,0.0,1.0
2023-10-27,56.02,56.08,54.54,55.19,54.486938929826,1045366,0.0,1.0
2023-10-26,55.93,56.88,54.1,55.91,55.1977669064427,2272822,0.0,1.0
2023-10-25,56.22,56.5,55.21,55.23,54.5264293729714,1673801,0.0,1.0
2023-10-24,57.94,58.09,57.06,57.09,56.3627349792311,1101826,0.0,1.0
2023-10-23,57.0,57.98,57.0,57.53,56.7971298538302,908585,0.0,1.0
2023-10-20,57.74,58.09,57.075,57.44,56.7082763567531,943168,0.0,1.0
2023-10-19,58.24,59.08,57.36,57.6,56.8662381293346,981693,0.0,1.0
2023-10-18,60.23,60.23,58.71,58.74,57.9917157589777,972569,0.0,1.0
2023-10-17,60.24,61.82,60.22,61.13,60.3512697369136,1493517,0.0,1.0
2023-10-16,60.23,61.02,59.55,60.77,59.9958557486053,872142,0.0,1.0
2023-10-13,59.68,60.09,58.44,59.14,58.3866201904314,1287466,0.0,1.0
2023-10-12,62.11,62.11,58.64,59.74,58.978976837612,1126309,0.0,1.0
2023-10-11,61.39,62.51,61.39,62.47,61.6741995822836,877612,0.0,1.0
2023-10-10,60.69,62.02,60.465,61.09,60.3117792937683,1021456,0.0,1.0
2023-10-09,59.52,60.85,58.95,60.56,59.7885309220921,808973,0.0,1.0
2023-10-06,59.94,60.79,59.32,60.12,59.354136047493,1224976,0.0,1.0
2023-10-05,60.37,60.9,59.81,60.59,59.8181487544511,1014313,0.0,1.0
2023-10-04,59.79,60.6,59.09,60.51,59.7391678681604,962906,0.0,1.0
2023-10-03,60.49,60.675,59.35,59.49,58.7321615679534,1020451,0.0,1.0
2023-10-02,61.68,62.24,60.67,60.85,60.074836634896,1189451,0.0,1.0
2023-09-29,63.28,63.57,61.95,62.16,61.3681486479069,1221959,0.0,1.0
2023-09-28,61.93,63.29,61.54,62.77,61.9703779058738,1114818,0.0,1.0
2023-09-27,62.34,62.75,61.87,62.43,61.6347091391382,781069,0.0,1.0
2023-09-26,62.25,62.985,61.6,61.62,60.8350276654444,893390,0.0,1.0
2023-09-25,62.21,63.245,62.21,62.62,61.8222887440787,568420,0.0,1.0
2023-09-22,64.16,64.7,62.405,62.68,61.8815244087968,884457,0.0,1.0
2023-09-21,63.47,64.225,62.99,63.66,62.8490402658583,1200186,0.0,1.0
2023-09-20,64.88,65.66,64.06,64.19,63.3722886375345,781625,0.0,1.0
2023-09-19,64.23,64.88,63.89,64.5,63.6783395719111,822667,0.0,1.0
2023-09-18,63.84,64.74,63.785,64.43,63.6092312964068,727592,0.0,1.0
2023-09-15,64.37,64.39,63.58,64.0,63.184709032594,4213553,0.0,1.0
2023-09-14,64.7,65.14,64.49,64.76,63.9350274523561,838738,0.0,1.0
2023-09-13,64.95,65.17,63.64,64.17,63.3525434159618,929167,0.0,1.0
2023-09-12,65.12,65.88,64.76,65.02,64.191715332801,736627,0.0,1.0
2023-09-11,66.06,66.51,65.4,65.43,64.596492375041,728344,0.0,1.0
2023-09-08,65.35,66.36,65.08,65.59,64.7544541476225,880982,0.0,1.0
2023-09-07,65.99,66.45,64.87,65.43,64.596492375041,1378850,0.0,1.0
2023-09-06,66.69,67.47,66.27,66.5,65.6528617291797,1035855,0.0,1.0
2023-09-05,69.21,69.54,66.69,66.7,65.8503139449066,1081728,0.0,1.0
2023-09-01,69.9,70.55,69.63,70.26,69.3649633848446,809824,0.0,1.0
2023-08-31,68.85,69.56,68.66,69.02,68.1407596473381,1363812,0.0,1.0
2023-08-30,68.48,69.25,68.36,68.81,67.9334348208249,936633,0.0,1.0
2023-08-29,66.12,68.7,66.12,68.57,67.6964921619527,858178,0.0,1.0
2023-08-28,66.46,67.09,65.99,66.38,65.5343903997436,766062,0.0,1.0
2023-08-25,66.78,66.78,64.93,65.94,65.0999955251445,918968,0.0,1.0
2023-08-24,66.39,67.1,65.815,66.46,65.6133712860343,1205538,0.23,1.0
2023-08-23,66.02,67.06,65.88,67.06,65.9773980872914,571773,0.0,1.0
