,FCF_Open,FCF_High,FCF_Low,FCF_Close,FCF_Adj Close,FCF_Volume,FCF_Dividend Amount,FCF_Split Coefficient
2024-10-07,16.36,16.425,16.26,16.34,16.34,694115,0.0,1.0
2024-10-04,16.58,16.58,16.34,16.47,16.47,513345,0.0,1.0
2024-10-03,16.13,16.395,16.07,16.25,16.25,469159,0.0,1.0
2024-10-02,16.48,16.72,16.22,16.24,16.24,438762,0.0,1.0
2024-10-01,17.05,17.085,16.53,16.59,16.59,431570,0.0,1.0
2024-09-30,16.66,17.17,16.66,17.15,17.15,526505,0.0,1.0
2024-09-27,16.74,16.88,16.56,16.7,16.7,423826,0.0,1.0
2024-09-26,16.87,16.87,16.59,16.59,16.59,430450,0.0,1.0
2024-09-25,16.81,16.81,16.6,16.63,16.63,563836,0.0,1.0
2024-09-24,17.1,17.1,16.75,16.75,16.75,483752,0.0,1.0
2024-09-23,17.2,17.23,16.865,17.0,17.0,514605,0.0,1.0
2024-09-20,17.37,17.42,17.06,17.13,17.13,1600732,0.0,1.0
2024-09-19,17.37,17.59,17.1303,17.5,17.5,601844,0.0,1.0
2024-09-18,16.97,17.68,16.8,17.07,17.07,547374,0.0,1.0
2024-09-17,16.98,17.36,16.85,16.99,16.99,489188,0.0,1.0
2024-09-16,16.71,17.015,16.54,16.94,16.94,424372,0.0,1.0
2024-09-13,16.56,16.73,16.44,16.72,16.72,425311,0.0,1.0
2024-09-12,16.45,16.5,16.2,16.37,16.37,398866,0.0,1.0
2024-09-11,16.37,16.38,15.99,16.31,16.31,436880,0.0,1.0
2024-09-10,16.53,16.61,16.215,16.56,16.56,415023,0.0,1.0
2024-09-09,16.5,16.685,16.42,16.49,16.49,530045,0.0,1.0
2024-09-06,16.79,16.85,16.42,16.54,16.54,373861,0.0,1.0
2024-09-05,17.01,17.01,16.665,16.71,16.71,310905,0.0,1.0
2024-09-04,17.06,17.16,16.73,16.83,16.83,456582,0.0,1.0
2024-09-03,17.07,17.24,16.961,17.15,17.15,444815,0.0,1.0
2024-08-30,17.18,17.29,17.0,17.22,17.22,455713,0.0,1.0
2024-08-29,17.25,17.315,16.96,17.15,17.15,344969,0.0,1.0
2024-08-28,16.86,17.26,16.86,17.1,17.1,363396,0.0,1.0
2024-08-27,16.99,17.0,16.75,16.94,16.94,457075,0.0,1.0
2024-08-26,17.2,17.325,17.03,17.08,17.08,544266,0.0,1.0
2024-08-23,16.49,17.4,16.415,17.15,17.15,557837,0.0,1.0
2024-08-22,16.31,16.465,16.27,16.34,16.34,445319,0.0,1.0
2024-08-21,16.33,16.37,16.13,16.37,16.37,325880,0.0,1.0
2024-08-20,16.4,16.4,16.23,16.25,16.25,367024,0.0,1.0
2024-08-19,16.32,16.55,16.26,16.47,16.47,466496,0.0,1.0
2024-08-16,15.91,16.42,15.905,16.31,16.31,780480,0.0,1.0
2024-08-15,16.0,16.29,15.9,15.9,15.9,736755,0.0,1.0
2024-08-14,15.97,15.99,15.63,15.69,15.69,366897,0.0,1.0
2024-08-13,15.92,15.94,15.62,15.93,15.93,618176,0.0,1.0
2024-08-12,16.0,16.18,15.715,15.72,15.72,540564,0.0,1.0
2024-08-09,16.07,16.085,15.795,15.99,15.99,646491,0.0,1.0
2024-08-08,16.25,16.25,15.94,16.11,16.11,418873,0.0,1.0
2024-08-07,16.3,16.36,15.91,16.01,16.01,423740,0.0,1.0
2024-08-06,16.13,16.33,15.92,16.09,16.09,746125,0.0,1.0
2024-08-05,16.06,16.43,15.68,16.2,16.2,841921,0.0,1.0
2024-08-02,16.61,16.8,16.39,16.73,16.73,834600,0.13,1.0
2024-08-01,18.09,18.1,17.17,17.31,17.1765302491103,877024,0.0,1.0
2024-07-31,18.1,18.5,18.045,18.08,17.9405931198102,656496,0.0,1.0
2024-07-30,18.04,18.26,17.84,18.24,18.099359430605,507522,0.0,1.0
2024-07-29,18.26,18.44,17.92,17.93,17.7917497034401,741071,0.0,1.0
2024-07-26,18.73,18.85,18.3,18.58,18.4367378410439,832713,0.0,1.0
2024-07-25,17.75,19.01,17.69,18.6,18.4565836298932,1737081,0.0,1.0
2024-07-24,16.55,17.7,16.535,17.3,17.1666073546856,1264759,0.0,1.0
2024-07-23,16.47,16.99,16.47,16.79,16.6605397390273,670993,0.0,1.0
2024-07-22,16.32,16.72,16.09,16.62,16.4918505338078,670154,0.0,1.0
2024-07-19,16.5,16.855,16.35,16.4,16.273546856465,910687,0.0,1.0
2024-07-18,16.58,16.98,16.37,16.54,16.4124673784104,1392488,0.0,1.0
2024-07-17,16.0,16.67,16.0,16.64,16.5116963226572,855257,0.0,1.0
2024-07-16,15.75,16.35,15.61,16.21,16.0850118623962,962665,0.0,1.0
2024-07-15,15.23,15.74,15.23,15.56,15.4400237247924,726898,0.0,1.0
2024-07-12,15.1,15.21,14.97,15.05,14.933956109134,512534,0.0,1.0
2024-07-11,14.72,15.05,14.6,14.96,14.844650059312,643848,0.0,1.0
2024-07-10,14.1,14.41,14.054,14.4,14.2889679715302,385949,0.0,1.0
2024-07-09,13.8,14.1,13.74,14.09,13.9813582443654,476372,0.0,1.0
2024-07-08,13.83,13.91,13.705,13.85,13.7432087781732,505354,0.0,1.0
2024-07-05,13.81,13.855,13.68,13.71,13.6042882562278,434960,0.0,1.0
2024-07-03,14.09,14.1,13.76,13.84,13.7332858837485,373138,0.0,1.0
2024-07-02,13.75,14.06,13.75,14.03,13.9218208778173,360181,0.0,1.0
2024-07-01,13.83,13.99,13.69,13.79,13.6836714116251,439787,0.0,1.0
2024-06-28,13.76,14.04,13.71,13.81,13.7035172004745,1203375,0.0,1.0
2024-06-27,13.4,13.62,13.32,13.61,13.505059311981,299740,0.0,1.0
2024-06-26,13.06,13.4,13.05,13.37,13.2669098457888,371234,0.0,1.0
2024-06-25,13.25,13.27,13.115,13.13,13.0287603795967,443158,0.0,1.0
2024-06-24,13.21,13.445,13.14,13.27,13.1676809015421,421641,0.0,1.0
2024-06-21,13.15,13.17,13.07,13.12,13.018837485172,1239761,0.0,1.0
2024-06-20,13.07,13.22,13.07,13.18,13.07837485172,301392,0.0,1.0
2024-06-18,12.95,13.24,12.95,13.17,13.0684519572954,405896,0.0,1.0
2024-06-17,12.83,13.07,12.77,13.04,12.9394543297746,330776,0.0,1.0
2024-06-14,12.84,12.95,12.77,12.88,12.7806880189798,391973,0.0,1.0
2024-06-13,13.16,13.16,12.935,13.05,12.9493772241993,349049,0.0,1.0
2024-06-12,13.21,13.43,13.09,13.23,13.1279893238434,537342,0.0,1.0
2024-06-11,12.78,12.91,12.71,12.81,12.7112277580071,431351,0.0,1.0
