,FCX_Open,FCX_High,FCX_Low,FCX_Close,FCX_Adj Close,FCX_Volume,FCX_Dividend Amount,FCX_Split Coefficient
2024-11-01,45.6,46.17,45.3,45.59,45.59,7688707,0.0,1.0
2024-10-31,45.41,45.57,44.715,45.02,45.02,9481378,0.0,1.0
2024-10-30,46.28,46.35,45.565,45.97,45.97,9017135,0.0,1.0
2024-10-29,47.49,47.56,46.53,46.57,46.57,8471919,0.0,1.0
2024-10-28,46.86,46.97,46.53,46.73,46.73,6446415,0.0,1.0
2024-10-25,47.0,47.2,46.515,46.6,46.6,8528919,0.0,1.0
2024-10-24,47.99,48.2,46.65,46.84,46.84,10171720,0.0,1.0
2024-10-23,47.51,48.12,47.27,47.92,47.92,10849181,0.0,1.0
2024-10-22,50.0,50.12,47.635,48.53,48.53,14468604,0.0,1.0
2024-10-21,48.43,48.7,47.675,47.94,47.94,10150413,0.0,1.0
2024-10-18,48.82,49.1,48.16,48.18,48.18,8823005,0.0,1.0
2024-10-17,48.26,48.395,47.62,47.95,47.95,8317625,0.0,1.0
2024-10-16,47.81,48.07,47.33,47.97,47.97,7360397,0.0,1.0
2024-10-15,47.985,48.14,47.09,47.28,47.28,11854965,0.15,1.0
2024-10-14,47.92,49.0,47.56,48.86,48.7054775458571,13573484,0.0,1.0
2024-10-11,49.47,50.28,49.37,50.03,49.8717773561037,6415228,0.0,1.0
2024-10-10,48.915,49.825,48.5101,49.54,49.3833270082226,6959947,0.0,1.0
2024-10-09,48.02,48.96,47.71,48.87,48.7154459203036,6977030,0.0,1.0
2024-10-08,48.97,48.97,48.045,48.59,48.4363314358001,13040397,0.0,1.0
2024-10-07,50.42,51.19,50.04,50.79,50.6293738140417,8895482,0.0,1.0
2024-10-04,50.61,51.12,49.98,50.55,50.3901328273245,11510330,0.0,1.0
2024-10-03,49.64,50.05,49.28,49.77,49.6125996204934,10383903,0.0,1.0
2024-10-02,50.86,51.45,50.35,50.82,50.6592789373814,10744242,0.0,1.0
2024-10-01,50.55,50.725,49.54,50.38,50.2206704617331,9102058,0.0,1.0
2024-09-30,50.21,50.51,49.44,49.92,49.7621252371916,14994809,0.0,1.0
2024-09-27,51.24,52.06,51.15,51.34,51.1776344086022,15967707,0.0,1.0
2024-09-26,51.085,52.61,50.8,51.91,51.7458317520557,32403097,0.0,1.0
2024-09-25,48.75,48.98,48.14,48.31,48.1572169512966,12454829,0.0,1.0
2024-09-24,48.18,48.98,47.54,48.72,48.5659203036053,26361607,0.0,1.0
2024-09-23,45.0,45.7678,44.82,45.14,44.9972422517394,15471562,0.0,1.0
2024-09-20,44.68,44.872,44.355,44.53,44.3891714104997,16304203,0.0,1.0
2024-09-19,45.7,45.85,44.99,45.14,44.9972422517394,16920494,0.0,1.0
2024-09-18,43.17,44.97,43.04,43.92,43.78110056926,11573717,0.0,1.0
2024-09-17,42.91,43.51,42.83,43.13,42.9935989879823,6921327,0.0,1.0
2024-09-16,43.23,43.69,42.685,42.89,42.754358001265,11120248,0.0,1.0
2024-09-13,42.14,43.04,42.06,42.66,42.5250853889943,10831602,0.0,1.0
2024-09-12,41.78,42.29,41.59,41.81,41.6777735610373,11414970,0.0,1.0
2024-09-11,40.9,41.405,40.274,41.3,41.1693864642631,13306410,0.0,1.0
2024-09-10,40.29,40.44,39.335,40.41,40.2822011385199,9559469,0.0,1.0
2024-09-09,40.62,40.87,40.18,40.4,40.2722327640734,8663357,0.0,1.0
2024-09-06,41.13,41.4,39.73,40.0,39.8734977862113,13200142,0.0,1.0
2024-09-05,42.09,42.32,41.3,41.4,41.2690702087286,7371470,0.0,1.0
2024-09-04,41.33,42.13,41.0,41.61,41.4784060721063,9571999,0.0,1.0
2024-09-03,42.36,42.39,40.85,41.36,41.2291967109424,18808962,0.0,1.0
2024-08-30,43.89,44.32,43.52,44.28,44.1399620493359,7811563,0.0,1.0
2024-08-29,43.88,44.195,43.475,43.83,43.691385199241,8612580,0.0,1.0
2024-08-28,44.05,44.31,43.535,43.87,43.7312586970272,9080058,0.0,1.0
2024-08-27,44.97,45.6,44.82,45.23,45.0869576217584,6755678,0.0,1.0
2024-08-26,45.6,46.01,44.96,45.19,45.0470841239722,11046763,0.0,1.0
2024-08-23,43.7,44.82,43.6,44.66,44.5187602783049,11801118,0.0,1.0
2024-08-22,43.6,43.69,43.01,43.3,43.1630613535737,7143483,0.0,1.0
2024-08-21,44.03,44.12,43.47,43.89,43.7511954459203,7041684,0.0,1.0
2024-08-20,44.44,44.64,43.39,43.53,43.3923339658444,9390393,0.0,1.0
2024-08-19,43.99,44.4,43.591,44.25,44.1100569259962,10891904,0.0,1.0
2024-08-16,43.3,43.71,43.05,43.44,43.3026185958254,8973128,0.0,1.0
2024-08-15,43.35,44.075,43.22,43.58,43.4421758380772,12988353,0.0,1.0
2024-08-14,42.17,42.17,41.38,41.91,41.7774573055028,9124711,0.0,1.0
2024-08-13,41.54,42.08,41.1,41.89,41.7575205566097,7439350,0.0,1.0
2024-08-12,41.64,41.95,41.21,41.56,41.4285641998735,8945710,0.0,1.0
2024-08-09,41.61,41.66,40.68,41.05,40.9201771030993,9181998,0.0,1.0
2024-08-08,40.0,41.36,39.91,41.04,40.9102087286527,10231441,0.0,1.0
2024-08-07,41.59,41.65,39.49,39.52,39.3950158127767,14519946,0.0,1.0
2024-08-06,40.7,41.865,40.32,41.04,40.9102087286527,11307894,0.0,1.0
2024-08-05,40.0,40.975,39.08,40.87,40.7407463630613,26149093,0.0,1.0
2024-08-02,43.28,43.28,41.63,41.97,41.8372675521822,17152432,0.0,1.0
2024-08-01,45.12,45.44,43.18,43.63,43.4920177103099,12260051,0.0,1.0
2024-07-31,46.01,46.37,45.12,45.41,45.2663883617963,13050798,0.0,1.0
2024-07-30,43.89,44.23,43.49,43.85,43.7113219481341,11608714,0.0,1.0
2024-07-29,44.49,44.81,44.13,44.38,44.2396457938014,9192636,0.0,1.0
