,FE_Open,FE_High,FE_Low,FE_Close,FE_Adj Close,FE_Volume,FE_Dividend Amount,FE_Split Coefficient
2024-10-07,43.27,43.325,42.83,42.87,42.87,3343551,0.0,1.0
2024-10-04,42.89,43.51,42.772,43.46,43.46,2998902,0.0,1.0
2024-10-03,44.14,44.14,43.4,43.42,43.42,4031576,0.0,1.0
2024-10-02,44.19,44.405,43.95,44.05,44.05,3774011,0.0,1.0
2024-10-01,44.47,44.58,44.24,44.51,44.51,2336628,0.0,1.0
2024-09-30,44.26,44.44,44.01,44.35,44.35,2852171,0.0,1.0
2024-09-27,43.85,44.15,43.67,44.05,44.05,2271064,0.0,1.0
2024-09-26,43.54,43.89,43.435,43.61,43.61,2268136,0.0,1.0
2024-09-25,43.72,43.91,43.475,43.79,43.79,2666653,0.0,1.0
2024-09-24,43.89,44.365,43.54,43.65,43.65,2381645,0.0,1.0
2024-09-23,44.22,44.25,43.86,44.03,44.03,3191756,0.0,1.0
2024-09-20,43.49,44.07,43.19,44.0,44.0,7857181,0.0,1.0
2024-09-19,43.25,43.39,42.94,43.23,43.23,3047683,0.0,1.0
2024-09-18,43.7,43.95,43.23,43.49,43.49,4111426,0.0,1.0
2024-09-17,44.22,44.275,43.5,43.69,43.69,6515209,0.0,1.0
2024-09-16,44.68,44.78,44.15,44.34,44.34,2656254,0.0,1.0
2024-09-13,44.06,44.515,43.865,44.47,44.47,2443517,0.0,1.0
2024-09-12,44.22,44.4,43.9,44.06,44.06,2225215,0.0,1.0
2024-09-11,44.18,44.21,43.815,44.15,44.15,2262497,0.0,1.0
2024-09-10,44.51,44.61,44.14,44.27,44.27,2005132,0.0,1.0
2024-09-09,44.2,44.48,44.0674,44.48,44.48,2749964,0.0,1.0
2024-09-06,44.55,44.61,44.125,44.19,44.19,2108414,0.0,1.0
2024-09-05,44.83,44.97,44.345,44.47,44.47,2978455,0.0,1.0
2024-09-04,44.43,44.8,44.245,44.54,44.54,2222765,0.0,1.0
2024-09-03,43.97,44.51,43.82,44.31,44.31,2392469,0.0,1.0
2024-08-30,43.69,44.07,43.635,43.92,43.92,2882519,0.0,1.0
2024-08-29,43.85,43.945,43.29,43.61,43.61,2549359,0.0,1.0
2024-08-28,43.37,43.84,43.3,43.78,43.78,2429951,0.0,1.0
2024-08-27,43.36,43.54,43.085,43.18,43.18,1577873,0.0,1.0
2024-08-26,43.27,43.6,43.21,43.42,43.42,1668333,0.0,1.0
2024-08-23,43.38,43.435,43.09,43.19,43.19,1492065,0.0,1.0
2024-08-22,43.2,43.31,42.985,43.2,43.2,1788355,0.0,1.0
2024-08-21,43.19,43.405,43.1,43.18,43.18,2008550,0.0,1.0
2024-08-20,42.87,43.26,42.87,43.19,43.19,3136182,0.0,1.0
2024-08-19,42.66,42.92,42.52,42.86,42.86,2209134,0.0,1.0
2024-08-16,42.5,42.725,42.31,42.57,42.57,2524221,0.0,1.0
2024-08-15,41.87,42.49,41.695,42.32,42.32,3146632,0.0,1.0
2024-08-14,42.2,42.55,41.84,42.28,42.28,2397820,0.0,1.0
2024-08-13,42.28,42.425,41.885,42.29,42.29,2631230,0.0,1.0
