,FIS_Open,FIS_High,FIS_Low,FIS_Close,FIS_Adj Close,FIS_Volume,FIS_Dividend Amount,FIS_Split Coefficient
2024-10-07,84.6,84.78,84.12,84.3,84.3,2556617,0.0,1.0
2024-10-04,84.16,84.78,83.9,84.63,84.63,2108605,0.0,1.0
2024-10-03,83.26,83.78,82.77,83.71,83.71,2219020,0.0,1.0
2024-10-02,83.34,83.75,82.88,83.46,83.46,2235639,0.0,1.0
2024-10-01,83.75,84.1897,82.83,83.67,83.67,2695456,0.0,1.0
2024-09-30,83.16,83.83,82.66,83.75,83.75,2386587,0.0,1.0
2024-09-27,83.26,84.065,82.94,83.13,83.13,2075786,0.0,1.0
2024-09-26,82.93,83.47,82.56,82.94,82.94,3170537,0.0,1.0
2024-09-25,83.76,84.11,81.815,82.31,82.31,3386014,0.0,1.0
2024-09-24,84.12,84.61,83.57,84.03,84.03,3728914,0.0,1.0
2024-09-23,84.36,84.64,83.62,84.39,84.39,2172340,0.0,1.0
2024-09-20,83.49,84.0999,83.32,84.06,84.06,6188718,0.0,1.0
2024-09-19,85.07,85.14,83.655,84.41,84.41,3149994,0.0,1.0
2024-09-18,84.88,85.18,84.08,84.43,84.43,2688055,0.0,1.0
2024-09-17,84.74,85.63,84.565,85.04,85.04,1866257,0.0,1.0
2024-09-16,84.55,85.26,83.61,85.03,85.03,3049157,0.0,1.0
2024-09-13,84.41,84.77,84.12,84.14,84.14,2639896,0.0,1.0
2024-09-12,83.54,84.4,83.175,84.25,84.25,2417572,0.0,1.0
2024-09-11,82.94,83.61,81.63,83.53,83.53,3340925,0.0,1.0
2024-09-10,82.24,83.47,81.0489,83.42,83.42,2980596,0.36,1.0
2024-09-09,81.86,82.96,81.29,82.39,82.0359727858677,3340410,0.0,1.0
2024-09-06,82.27,83.105,81.08,81.36,81.0103986631654,2725138,0.0,1.0
2024-09-05,82.81,82.92,81.65,82.47,82.1156290284077,2317815,0.0,1.0
2024-09-04,82.7,83.29,82.13,82.4,82.0459298161853,2014827,0.0,1.0
2024-09-03,82.0,83.135,81.99,82.63,82.2749415134877,2993698,0.0,1.0
2024-08-30,81.56,82.48,81.2,82.45,82.0957149677727,4283902,0.0,1.0
2024-08-29,81.26,81.83,80.48,81.33,80.9805275722129,1814006,0.0,1.0
2024-08-28,81.28,81.8,80.84,81.24,80.8909142993554,1694013,0.0,1.0
2024-08-27,80.17,81.9,80.0,81.53,81.1796681785629,3126788,0.0,1.0
2024-08-26,79.67,81.0,79.41,80.38,80.0346096920506,2116822,0.0,1.0
2024-08-23,79.1,79.44,78.495,79.27,78.9293793268083,2002607,0.0,1.0
2024-08-22,79.22,79.45,78.55,78.7,78.3618285987109,1791274,0.0,1.0
2024-08-21,78.68,79.32,78.14,79.21,78.8696371449033,1890590,0.0,1.0
2024-08-20,79.41,79.42,78.3618,78.52,78.1826020529959,1738664,0.0,1.0
2024-08-19,79.87,80.2,78.94,79.16,78.8198519933158,1922351,0.0,1.0
2024-08-16,78.48,79.07,78.165,79.0,78.6605395082359,2167762,0.0,1.0
2024-08-15,78.51,79.25,78.0,78.48,78.142773931726,3125283,0.0,1.0
2024-08-14,78.34,78.44,77.68,78.09,77.7544497493435,3007724,0.0,1.0
2024-08-13,76.59,78.37,76.54,78.26,77.923719264741,4334914,0.0,1.0
2024-08-12,77.52,77.79,75.815,76.13,75.8028718071139,2815581,0.0,1.0
2024-08-09,76.34,77.705,75.47,77.59,77.2565982334686,2576083,0.0,1.0
2024-08-08,76.94,77.61,75.95,76.43,76.1015827166388,3194042,0.0,1.0
2024-08-07,77.77,77.97,76.2,76.45,76.1214967772738,5885263,0.0,1.0
2024-08-06,74.95,77.69,72.675,76.54,76.2111100501313,5743969,0.0,1.0
2024-08-05,72.86,74.13,72.01,72.8,72.487180711387,5640494,0.0,1.0
2024-08-02,74.46,74.6,73.33,74.36,74.0404774409167,2291368,0.0,1.0
2024-08-01,77.13,77.34,74.61,75.09,74.7673406540941,2193139,0.0,1.0
2024-07-31,76.96,77.41,76.35,76.83,76.4998639293387,1989067,0.0,1.0
2024-07-30,76.3,77.11,76.155,76.74,76.4102506564813,1993502,0.0,1.0
2024-07-29,75.98,76.3,75.3,75.72,75.3946335640964,1869527,0.0,1.0
2024-07-26,75.01,76.5,74.67,75.68,75.3548054428265,2334467,0.0,1.0
2024-07-25,75.41,76.07,74.465,74.51,74.1898328956792,3014936,0.0,1.0
2024-07-24,74.72,75.48,74.24,75.33,75.006309381714,2659073,0.0,1.0
2024-07-23,75.3,75.57,74.57,75.1,74.7772976844116,2618738,0.0,1.0
2024-07-22,74.77,75.53,74.16,75.32,74.9963523513965,2717514,0.0,1.0
2024-07-19,76.53,76.53,74.855,75.25,74.926653139174,2987492,0.0,1.0
2024-07-18,76.91,77.29,75.95,76.04,75.7132585342564,3200864,0.0,1.0
2024-07-17,77.02,77.99,76.64,77.26,76.9280162329912,2141921,0.0,1.0
2024-07-16,76.37,77.135,76.37,76.91,76.5795201718787,2761397,0.0,1.0
2024-07-15,76.81,77.3,76.05,76.11,75.7829577464789,3974273,0.0,1.0
2024-07-12,75.97,76.66,75.45,76.42,76.0916256863213,2391426,0.0,1.0
2024-07-11,74.04,75.64,73.61,75.58,75.2552351396515,2322599,0.0,1.0
2024-07-10,73.8,74.12,72.92,73.92,73.6023681069468,2309012,0.0,1.0
2024-07-09,74.85,75.0,73.6,73.72,73.4032275005968,3135839,0.0,1.0
2024-07-08,75.56,75.85,74.66,74.85,74.5283719264741,2049015,0.0,1.0
2024-07-05,75.65,75.755,74.98,75.42,75.0959226545715,2256111,0.0,1.0
2024-07-03,75.59,75.93,74.955,75.81,75.4842468369539,1287286,0.0,1.0
2024-07-02,74.43,75.395,74.135,75.23,74.906739078539,1945459,0.0,1.0
2024-07-01,75.43,76.21,73.97,74.27,73.9508641680592,2576488,0.0,1.0
2024-06-28,74.88,75.48,74.48,75.36,75.0361804726665,4935020,0.0,1.0
2024-06-27,74.82,74.9,73.7881,74.63,74.3093172594891,3168799,0.0,1.0
2024-06-26,74.74,75.21,74.33,74.99,74.6677703509191,2865943,0.0,1.0
2024-06-25,75.44,75.95,75.06,75.2,74.8768679875865,3324975,0.0,1.0
2024-06-24,76.04,76.9,75.48,75.55,75.225364048699,4001057,0.0,1.0
