,FR_Open,FR_High,FR_Low,FR_Close,FR_Adj Close,FR_Volume,FR_Dividend Amount,FR_Split Coefficient
2024-10-07,54.37,54.83,53.98,54.18,54.18,2295361,0.0,1.0
2024-10-04,54.97,55.1,54.21,54.77,54.77,1091856,0.0,1.0
2024-10-03,54.8,54.8,54.22,54.79,54.79,936821,0.0,1.0
2024-10-02,54.47,55.01,54.07,54.93,54.93,668283,0.0,1.0
2024-10-01,56.08,56.08,54.92,55.12,55.12,712610,0.0,1.0
2024-09-30,55.31,56.06,55.13,55.98,55.98,1790156,0.37,1.0
2024-09-27,55.92,56.38,55.62,56.04,55.6720354924579,1445092,0.0,1.0
2024-09-26,56.06,56.24,55.42,55.48,55.1157125110914,2907169,0.0,1.0
2024-09-25,56.5,56.5,55.71,55.96,55.5925607808341,1200545,0.0,1.0
2024-09-24,55.62,56.75,55.53,56.32,55.9501969831411,2752829,0.0,1.0
2024-09-23,55.88,56.24,55.55,55.8,55.4336113575865,2375240,0.0,1.0
2024-09-20,56.23,56.52,55.27,55.51,55.1455155279503,1637345,0.0,1.0
2024-09-19,56.67,57.02,55.97,56.67,56.2978988464951,1484622,0.0,1.0
2024-09-18,56.53,56.93,55.97,56.1,55.7316415261757,1340991,0.0,1.0
2024-09-17,56.76,56.96,56.32,56.38,56.0098030168589,704694,0.0,1.0
2024-09-16,56.65,56.845,56.275,56.67,56.2978988464951,1561918,0.0,1.0
2024-09-13,56.06,56.54,55.89,56.34,55.970065661047,659358,0.0,1.0
2024-09-12,55.63,55.79,54.975,55.6,55.2349245785271,1352599,0.0,1.0
2024-09-11,55.82,56.3452,54.97,55.5,55.1355811889973,1045484,0.0,1.0
2024-09-10,56.65,56.79,56.24,56.5,56.1290150842946,1471433,0.0,1.0
2024-09-09,56.02,56.645,55.45,56.44,56.0694090505768,1348083,0.0,1.0
2024-09-06,56.48,56.57,55.64,55.91,55.5428890860692,1087362,0.0,1.0
2024-09-05,56.97,57.19,56.25,56.44,56.0694090505768,784509,0.0,1.0
2024-09-04,56.69,57.35,56.52,56.65,56.2780301685892,774394,0.0,1.0
2024-09-03,56.21,57.12,56.01,56.97,56.5959290150843,662301,0.0,1.0
2024-08-30,56.49,56.81,55.865,56.73,56.357504880213,908791,0.0,1.0
2024-08-29,55.91,56.17,55.54,56.15,55.7813132209406,953311,0.0,1.0
2024-08-28,56.68,56.958,55.48,55.85,55.4832830523514,643652,0.0,1.0
2024-08-27,56.08,56.92,56.08,56.89,56.5164543034605,729005,0.0,1.0
2024-08-26,56.8,57.11,56.42,56.54,56.1687524401065,1627732,0.0,1.0
2024-08-23,55.29,56.54,54.92,56.41,56.0396060337178,1110868,0.0,1.0
2024-08-22,54.83,55.06,54.45,55.02,54.6587329192547,547148,0.0,1.0
2024-08-21,54.53,54.61,54.06,54.52,54.162015971606,377836,0.0,1.0
2024-08-20,54.84,54.84,54.08,54.52,54.162015971606,592191,0.0,1.0
2024-08-19,54.37,54.97,54.37,54.73,54.3706370896185,364909,0.0,1.0
2024-08-16,54.21,54.51,53.79,54.3,53.9434605146406,670617,0.0,1.0
2024-08-15,54.35,55.0,54.15,54.43,54.0726069210293,715749,0.0,1.0
2024-08-14,53.98,54.12,53.47,53.98,53.6255616681455,482875,0.0,1.0
2024-08-13,53.92,54.33,53.5796,53.96,53.6056929902396,1409370,0.0,1.0
2024-08-12,53.35,53.53,52.73,53.01,52.6619307897072,722231,0.0,1.0
2024-08-09,53.34,53.81,52.73,53.58,53.2281881100266,2019514,0.0,1.0
2024-08-08,52.54,53.28,52.275,53.16,52.8109458740018,693336,0.0,1.0
2024-08-07,52.52,53.55,52.19,52.29,51.9466583850932,1218239,0.0,1.0
2024-08-06,51.45,52.86,51.3,52.31,51.9665270629991,818884,0.0,1.0
2024-08-05,52.33,53.04,51.26,51.35,51.0128305235138,1305361,0.0,1.0
2024-08-02,54.5,54.83,53.32,53.8,53.446743566992,735172,0.0,1.0
2024-08-01,55.27,55.92,54.56,55.0,54.6388642413487,539482,0.0,1.0
2024-07-31,54.84,55.65,54.665,54.72,54.3607027506655,878619,0.0,1.0
2024-07-30,54.41,55.25,54.16,55.04,54.6786015971606,860462,0.0,1.0
2024-07-29,53.73,54.5,53.435,54.27,53.9136574977817,1085290,0.0,1.0
2024-07-26,52.98,53.95,52.78,53.71,53.3573345164153,636070,0.0,1.0
2024-07-25,53.36,54.03,52.56,52.68,52.3340976042591,760880,0.0,1.0
2024-07-24,53.79,54.34,52.815,52.97,52.6221934338953,988126,0.0,1.0
2024-07-23,54.03,54.18,53.54,53.79,53.436809228039,690119,0.0,1.0
2024-07-22,53.52,54.57,53.34,54.19,53.8341827861579,1193161,0.0,1.0
2024-07-19,52.34,53.65,52.06,53.4,53.0493700088731,1674558,0.0,1.0
2024-07-18,53.7,53.99,52.19,52.94,52.5923904170364,3803466,0.0,1.0
2024-07-17,50.83,52.88,50.83,51.44,51.1022395740905,2162812,0.0,1.0
2024-07-16,51.47,51.84,50.69,50.87,50.5359822537711,917703,0.0,1.0
2024-07-15,50.98,51.39,50.71,51.08,50.7446033717835,634270,0.0,1.0
2024-07-12,51.0,51.37,50.44,50.72,50.3869671694765,753163,0.0,1.0
2024-07-11,49.73,50.71,49.48,50.59,50.2578207630879,742886,0.0,1.0
2024-07-10,48.16,48.935,47.8,48.83,48.5093771073647,811833,0.0,1.0
2024-07-09,47.71,47.902,46.9,47.89,47.5755492457853,945465,0.0,1.0
2024-07-08,47.9,48.015,47.49,47.72,47.4066654835847,734855,0.0,1.0
2024-07-05,47.73,48.015,47.43,47.8,47.4861401952085,372873,0.0,1.0
2024-07-03,47.68,47.85,47.36,47.63,47.317256433008,353894,0.0,1.0
2024-07-02,47.5,48.04,47.4,47.48,47.1682413487134,914622,0.0,1.0
2024-07-01,47.34,47.55,46.71,47.13,46.8205394853594,635158,0.0,1.0
2024-06-28,47.03,47.51,46.55,47.51,47.1980443655723,1018977,0.37,1.0
2024-06-27,47.3,47.45,46.62,47.13,46.4587266280164,1274772,0.0,1.0
2024-06-26,47.09,47.66,46.855,47.03,46.3601509296756,1020501,0.0,1.0
2024-06-25,47.78,47.83,47.32,47.42,46.7445961532047,399771,0.0,1.0
2024-06-24,47.21,48.49,47.11,48.04,47.3557654829176,523092,0.0,1.0
2024-06-21,47.23,47.385,46.81,47.27,46.5967326056935,1428415,0.0,1.0
2024-06-20,47.29,47.41,46.82,47.06,46.3897236391778,543983,0.0,1.0
2024-06-18,47.63,47.7471,47.39,47.58,46.9023172705499,577037,0.0,1.0
2024-06-17,47.35,47.77,47.1,47.47,46.7938840023751,557786,0.0,1.0
2024-06-14,47.38,47.64,46.905,47.49,46.8135991420432,737139,0.0,1.0
2024-06-13,47.59,47.79,47.09,47.52,46.8431718515455,1519639,0.0,1.0
2024-06-12,47.84,48.46,47.26,47.51,46.8333142817114,1057401,0.0,1.0
2024-06-11,46.13,47.12,45.93,46.78,46.1137116838236,1027416,0.0,1.0
2024-06-10,46.13,46.49,45.71,46.19,45.5321150636129,1065165,0.0,1.0
2024-06-07,46.26,46.62,46.075,46.5,45.8376997284694,785512,0.0,1.0
2024-06-06,46.5,46.92,46.49,46.87,46.2024298123303,950835,0.0,1.0
2024-06-05,46.93,47.15,46.265,46.71,46.044708694985,576704,0.0,1.0
2024-06-04,46.84,47.52,46.63,46.87,46.2024298123303,713337,0.0,1.0
2024-06-03,47.43,47.52,46.47,46.69,46.0249935553169,858772,0.0,1.0
2024-05-31,46.86,47.18,46.59,47.12,46.4488690581823,885373,0.0,1.0
2024-05-30,46.14,46.74,46.14,46.58,45.916560287142,586098,0.0,1.0
2024-05-29,45.51,46.06,45.38,45.92,45.2659606780928,626002,0.0,1.0
2024-05-28,46.42,46.57,45.97,45.98,45.3251060970972,536593,0.0,1.0
2024-05-24,46.62,46.77,46.11,46.15,45.4926847842766,729466,0.0,1.0
2024-05-23,48.05,48.05,46.225,46.27,45.6109756222855,961160,0.0,1.0
2024-05-22,48.13,48.21,47.77,48.0,47.3163352035813,593263,0.0,1.0
2024-05-21,47.8,48.24,47.76,48.19,47.5036290304288,492373,0.0,1.0
2024-05-20,47.87,48.33,47.73,48.02,47.3360503432494,835448,0.0,1.0
2024-05-17,48.22,48.43,47.78,48.06,47.3754806225858,576973,0.0,1.0
2024-05-16,48.08,48.75,48.0101,48.24,47.5529168795992,654488,0.0,1.0
2024-05-15,48.57,48.91,48.0,48.14,47.4543411812584,798610,0.0,1.0
2024-05-14,47.84,48.11,47.45,47.92,47.2374746449086,827360,0.0,1.0
2024-05-13,48.06,48.14,47.27,47.42,46.7445961532047,2198646,0.0,1.0
2024-05-10,48.24,48.24,47.455,47.72,47.040323248227,438721,0.0,1.0
2024-05-09,47.55,48.345,47.5,48.12,47.4346260415902,671168,0.0,1.0
2024-05-08,47.18,47.49,46.66,47.38,46.7051658738684,601381,0.0,1.0
