,FRGI_Open,FRGI_High,FRGI_Low,FRGI_Close,FRGI_Adj Close,FRGI_Volume,FRGI_Dividend Amount,FRGI_Split Coefficient
2023-10-30,8.49,8.49,8.49,8.49,8.49,0,0.0,1.0
2023-10-27,8.5,8.5,8.49,8.49,8.49,501797,0.0,1.0
2023-10-26,8.5,8.5,8.49,8.49,8.49,218441,0.0,1.0
2023-10-25,8.5,8.5,8.49,8.49,8.49,343295,0.0,1.0
2023-10-24,8.49,8.51,8.49,8.49,8.49,184162,0.0,1.0
2023-10-23,8.48,8.5,8.48,8.49,8.49,71287,0.0,1.0
2023-10-20,8.5,8.5,8.48,8.49,8.49,211716,0.0,1.0
2023-10-19,8.48,8.49,8.48,8.48,8.48,123931,0.0,1.0
2023-10-18,8.5,8.5,8.48,8.48,8.48,101033,0.0,1.0
2023-10-17,8.48,8.49,8.47,8.49,8.49,170222,0.0,1.0
2023-10-16,8.49,8.5,8.47,8.47,8.47,171049,0.0,1.0
2023-10-13,8.47,8.49,8.47,8.47,8.47,80681,0.0,1.0
2023-10-12,8.47,8.48,8.46,8.47,8.47,84309,0.0,1.0
2023-10-11,8.46,8.49,8.46,8.47,8.47,64942,0.0,1.0
2023-10-10,8.47,8.495,8.46,8.46,8.46,141242,0.0,1.0
2023-10-09,8.45,8.48,8.45,8.46,8.46,86289,0.0,1.0
2023-10-06,8.45,8.48,8.45,8.47,8.47,114000,0.0,1.0
2023-10-05,8.45,8.47,8.45,8.45,8.45,149634,0.0,1.0
2023-10-04,8.45,8.46,8.45,8.45,8.45,135608,0.0,1.0
2023-10-03,8.46,8.47,8.45,8.45,8.45,119661,0.0,1.0
2023-10-02,8.44,8.48,8.44,8.46,8.46,97050,0.0,1.0
2023-09-29,8.46,8.46,8.45,8.46,8.46,70194,0.0,1.0
2023-09-28,8.45,8.46,8.44,8.45,8.45,203129,0.0,1.0
2023-09-27,8.45,8.46,8.41,8.44,8.44,171382,0.0,1.0
2023-09-26,8.45,8.46,8.41,8.44,8.44,563089,0.0,1.0
2023-09-25,8.45,8.46,8.44,8.44,8.44,88691,0.0,1.0
2023-09-22,8.44,8.46,8.44,8.46,8.46,306982,0.0,1.0
2023-09-21,8.44,8.46,8.43,8.44,8.44,302535,0.0,1.0
2023-09-20,8.45,8.455,8.44,8.44,8.44,59607,0.0,1.0
2023-09-19,8.43,8.45,8.42,8.44,8.44,90931,0.0,1.0
2023-09-18,8.45,8.45,8.42,8.43,8.43,74576,0.0,1.0
2023-09-15,8.41,8.47,8.41,8.46,8.46,526575,0.0,1.0
2023-09-14,8.44,8.45,8.41,8.41,8.41,165007,0.0,1.0
2023-09-13,8.45,8.48,8.41,8.41,8.41,241344,0.0,1.0
2023-09-12,8.42,8.45,8.42,8.45,8.45,341099,0.0,1.0
2023-09-11,8.41,8.41,8.38,8.4,8.4,888622,0.0,1.0
2023-09-08,8.4,8.41,8.38,8.38,8.38,533823,0.0,1.0
2023-09-07,8.41,8.42,8.36,8.39,8.39,804268,0.0,1.0
2023-09-06,8.43,8.43,8.41,8.41,8.41,294818,0.0,1.0
2023-09-05,8.41,8.42,8.4,8.42,8.42,152381,0.0,1.0
2023-09-01,8.42,8.42,8.4,8.42,8.42,271715,0.0,1.0
2023-08-31,8.42,8.44,8.405,8.41,8.41,127757,0.0,1.0
2023-08-30,8.4,8.42,8.4,8.42,8.42,55414,0.0,1.0
2023-08-29,8.4,8.44,8.4,8.42,8.42,101213,0.0,1.0
2023-08-28,8.41,8.45,8.4,8.42,8.42,116898,0.0,1.0
2023-08-25,8.39,8.425,8.37,8.42,8.42,229355,0.0,1.0
2023-08-24,8.37,8.39,8.36,8.38,8.38,317569,0.0,1.0
2023-08-23,8.39,8.4,8.38,8.385,8.385,302028,0.0,1.0
2023-08-22,8.38,8.41,8.37,8.38,8.38,131571,0.0,1.0
2023-08-21,8.37,8.41,8.37,8.37,8.37,170296,0.0,1.0
2023-08-18,8.35,8.41,8.35,8.37,8.37,171205,0.0,1.0
2023-08-17,8.35,8.39,8.35,8.35,8.35,240660,0.0,1.0
2023-08-16,8.33,8.41,8.33,8.33,8.33,447975,0.0,1.0
2023-08-15,8.35,8.36,8.33,8.33,8.33,222536,0.0,1.0
2023-08-14,8.33,8.35,8.32,8.34,8.34,1689146,0.0,1.0
2023-08-11,8.33,8.36,8.32,8.335,8.335,2458716,0.0,1.0
2023-08-10,8.36,8.36,8.33,8.34,8.34,1545795,0.0,1.0
2023-08-09,8.35,8.37,8.33,8.35,8.35,1246611,0.0,1.0
2023-08-08,8.4,8.4,8.31,8.34,8.34,1844770,0.0,1.0
2023-08-07,8.37,8.48,8.35,8.38,8.38,866990,0.0,1.0
2023-08-04,7.87,7.95,7.64,7.86,7.86,40311,0.0,1.0
2023-08-03,7.55,7.83,7.32,7.81,7.81,27319,0.0,1.0
2023-08-02,7.61,7.64,7.5,7.59,7.59,30531,0.0,1.0
2023-08-01,7.69,7.69,7.5,7.68,7.68,22981,0.0,1.0
2023-07-31,7.69,7.73,7.5,7.7,7.7,17050,0.0,1.0
2023-07-28,7.69,7.74,7.64,7.66,7.66,39350,0.0,1.0
2023-07-27,7.79,7.8,7.54,7.62,7.62,39757,0.0,1.0
2023-07-26,7.83,7.92,7.67,7.75,7.75,32752,0.0,1.0
2023-07-25,7.81,8.08,7.8,7.82,7.82,23070,0.0,1.0
2023-07-24,8.01,8.18,7.87,8.06,8.06,39448,0.0,1.0
2023-07-21,8.21,8.21,7.92,7.98,7.98,29074,0.0,1.0
2023-07-20,8.11,8.24,8.03,8.1,8.1,56799,0.0,1.0
2023-07-19,7.99,8.34,7.99,8.14,8.14,27351,0.0,1.0
2023-07-18,8.05,8.24,7.9,8.22,8.22,35938,0.0,1.0
2023-07-17,8.04,8.06,7.805,7.895,7.895,26799,0.0,1.0
