,FTV_Open,FTV_High,FTV_Low,FTV_Close,FTV_Adj Close,FTV_Volume,FTV_Dividend Amount,FTV_Split Coefficient
2024-10-07,76.12,76.97,75.92,76.32,76.32,1721415,0.0,1.0
2024-10-04,77.89,77.92,76.5,76.91,76.91,1569384,0.0,1.0
2024-10-03,77.11,77.3399,76.48,76.74,76.74,1395163,0.0,1.0
2024-10-02,77.63,78.29,77.36,77.65,77.65,1906687,0.0,1.0
2024-10-01,79.13,79.37,77.43,77.6,77.6,2061853,0.0,1.0
2024-09-30,78.83,79.13,78.215,78.93,78.93,1601186,0.0,1.0
2024-09-27,79.06,79.88,78.793859,79.2,79.2,1787380,0.0,1.0
2024-09-26,77.87,78.76,77.575,78.58,78.58,1846572,0.0,1.0
2024-09-25,77.64,77.76,76.04,76.17,76.17,1056911,0.0,1.0
2024-09-24,77.43,77.64,76.73,77.27,77.27,1996769,0.0,1.0
2024-09-23,76.75,77.15,75.78,76.18,76.18,1335917,0.0,1.0
2024-09-20,76.58,76.78,75.615,76.34,76.34,3698275,0.0,1.0
2024-09-19,77.0,77.68,76.1,77.29,77.29,3173319,0.0,1.0
2024-09-18,75.02,76.46,74.53,75.71,75.71,2739590,0.0,1.0
2024-09-17,74.03,74.88,73.8543,74.73,74.73,1918851,0.0,1.0
2024-09-16,74.12,74.41,73.69,73.72,73.72,1518192,0.0,1.0
2024-09-13,73.66,74.17,73.415,73.6,73.6,1658731,0.08,1.0
2024-09-12,72.68,73.44,71.49,73.4,73.3203040173724,2506800,0.0,1.0
2024-09-11,72.09,72.63,70.23,72.51,72.4312703583062,3405657,0.0,1.0
2024-09-10,72.45,72.5,71.62,72.11,72.0317046688382,4773280,0.0,1.0
2024-09-09,71.39,72.84,70.99,72.31,72.2314875135722,4682049,0.0,1.0
2024-09-06,72.47,72.9,70.48,70.67,70.5932681867535,4424473,0.0,1.0
2024-09-05,72.52,73.66,72.21,72.8,72.7209554831705,5930504,0.0,1.0
2024-09-04,72.59,72.94,71.43,71.69,71.6121606948969,2476140,0.0,1.0
2024-09-03,74.05,74.12,72.29,72.78,72.7009771986971,2594325,0.0,1.0
2024-08-30,73.97,74.58,73.66,74.4,74.3192182410423,2974238,0.0,1.0
