,FULT_Open,FULT_High,FULT_Low,FULT_Close,FULT_Adj Close,FULT_Volume,FULT_Dividend Amount,FULT_Split Coefficient
2024-10-07,17.22,17.36,17.19,17.28,17.28,1321746,0.0,1.0
2024-10-04,17.52,17.66,17.29,17.35,17.35,953852,0.0,1.0
2024-10-03,16.82,17.235,16.82,17.19,17.19,1678527,0.0,1.0
2024-10-02,17.27,17.48,16.97,16.97,16.97,1530355,0.0,1.0
2024-10-01,17.82,17.955,17.245,17.34,17.34,1411754,0.17,1.0
2024-09-30,17.91,18.3,17.82,18.13,17.9539805825243,1793717,0.0,1.0
2024-09-27,18.13,18.405,17.855,17.93,17.7559223300971,1045967,0.0,1.0
2024-09-26,18.01,18.115,17.86,17.94,17.7658252427184,1154533,0.0,1.0
2024-09-25,18.02,18.345,17.79,17.82,17.6469902912621,1094943,0.0,1.0
2024-09-24,18.36,18.46,18.01,18.03,17.8549514563107,1199013,0.0,1.0
2024-09-23,18.52,18.65,18.29,18.4,18.221359223301,1200549,0.0,1.0
2024-09-20,18.95,18.95,18.475,18.49,18.3104854368932,3560075,0.0,1.0
2024-09-19,18.85,19.005,18.48,19.0,18.8155339805825,1573811,0.0,1.0
2024-09-18,18.5,19.02,18.19,18.46,18.2807766990291,1260567,0.0,1.0
2024-09-17,18.48,18.77,18.29,18.4,18.221359223301,912028,0.0,1.0
2024-09-16,17.89,18.36,17.67,18.26,18.0827184466019,1163464,0.0,1.0
2024-09-13,17.62,17.85,17.48,17.83,17.6568932038835,1513247,0.0,1.0
2024-09-12,17.44,17.51,17.11,17.4,17.231067961165,1426598,0.0,1.0
2024-09-11,17.45,17.49,16.985,17.32,17.1518446601942,1513907,0.0,1.0
2024-09-10,17.73,17.805,17.325,17.67,17.4984466019417,1217007,0.0,1.0
2024-09-09,17.91,18.005,17.65,17.73,17.5578640776699,1343085,0.0,1.0
2024-09-06,18.52,18.56,17.905,17.96,17.7856310679612,901757,0.0,1.0
2024-09-05,18.94,18.94,18.38,18.41,18.2312621359223,946102,0.0,1.0
2024-09-04,19.14,19.33,18.62,18.73,18.5481553398058,1331010,0.0,1.0
2024-09-03,19.08,19.34,19.04,19.21,19.0234951456311,969365,0.0,1.0
2024-08-30,19.23,19.43,19.045,19.35,19.1621359223301,789288,0.0,1.0
2024-08-29,19.33,19.39,19.05,19.19,19.0036893203883,1019262,0.0,1.0
2024-08-28,18.89,19.365,18.585,19.15,18.9640776699029,1332580,0.0,1.0
2024-08-27,19.18,19.29,18.92,18.98,18.7957281553398,762071,0.0,1.0
2024-08-26,19.46,19.56,19.29,19.32,19.132427184466,1238139,0.0,1.0
2024-08-23,18.35,19.41,18.26,19.28,19.0928155339806,1547421,0.0,1.0
2024-08-22,18.11,18.265,18.065,18.16,17.9836893203883,675924,0.0,1.0
2024-08-21,18.15,18.15,17.88,18.12,17.9440776699029,718294,0.0,1.0
2024-08-20,18.4,18.44,17.97,17.98,17.8054368932039,819503,0.0,1.0
2024-08-19,18.24,18.445,18.16,18.42,18.2411650485437,1016830,0.0,1.0
2024-08-16,17.66,18.205,17.65,18.11,17.9341747572815,1063949,0.0,1.0
2024-08-15,17.7,17.98,17.66,17.73,17.5578640776699,1009980,0.0,1.0
2024-08-14,17.51,17.535,17.23,17.35,17.1815533980583,859632,0.0,1.0
2024-08-13,17.45,17.49,17.16,17.45,17.2805825242718,726250,0.0,1.0
2024-08-12,17.47,17.63,17.24,17.27,17.1023300970874,1013628,0.0,1.0
2024-08-09,17.44,17.56,17.155,17.27,17.1023300970874,620919,0.0,1.0
2024-08-08,17.13,17.46,17.06,17.42,17.2508737864078,1392014,0.0,1.0
2024-08-07,17.43,17.43,16.88,16.96,16.7953398058252,1046316,0.0,1.0
2024-08-06,17.05,17.35,16.85,17.06,16.8943689320388,1588346,0.0,1.0
2024-08-05,17.05,17.37,16.63,17.08,16.9141747572815,1582999,0.0,1.0
2024-08-02,17.9,18.12,17.61,17.86,17.6866019417476,1586619,0.0,1.0
2024-08-01,19.36,19.49,18.41,18.57,18.3897087378641,1673686,0.0,1.0
2024-07-31,19.74,19.825,19.341,19.37,19.1819417475728,1890607,0.0,1.0
2024-07-30,19.69,19.91,19.57,19.71,19.518640776699,1759575,0.0,1.0
2024-07-29,20.13,20.185,19.62,19.67,19.4790291262136,998069,0.0,1.0
2024-07-26,19.87,20.155,19.8,20.08,19.8850485436893,1308057,0.0,1.0
2024-07-25,19.82,20.18,19.64,19.76,19.5681553398058,2674941,0.0,1.0
2024-07-24,20.03,20.29,19.78,19.78,19.5879611650485,2782185,0.0,1.0
2024-07-23,19.7,20.33,19.64,20.14,19.9444660194175,1801696,0.0,1.0
2024-07-22,19.48,19.92,19.27,19.9,19.7067961165049,1973412,0.0,1.0
2024-07-19,19.22,19.64,19.15,19.55,19.3601941747573,2364262,0.0,1.0
2024-07-18,19.45,20.01,19.0,19.23,19.0433009708738,4721456,0.0,1.0
2024-07-17,18.76,19.735,18.705,19.65,19.4592233009709,6122714,0.0,1.0
2024-07-16,18.1,18.915,18.03,18.81,18.6273786407767,2456910,0.0,1.0
2024-07-15,17.76,18.21,17.675,17.91,17.7361165048544,1867966,0.0,1.0
2024-07-12,17.58,17.645,17.34,17.41,17.2409708737864,2371984,0.0,1.0
2024-07-11,17.25,17.58,16.77,17.44,17.2706796116505,2949983,0.0,1.0
2024-07-10,16.7,17.0,16.63,17.0,16.8349514563107,1082619,0.0,1.0
2024-07-09,16.35,16.7,16.295,16.69,16.5279611650485,925396,0.0,1.0
2024-07-08,16.46,16.51,16.325,16.36,16.2011650485437,1089517,0.0,1.0
