,GAP_Open,GAP_High,GAP_Low,GAP_Close,GAP_Adj Close,GAP_Volume,GAP_Dividend Amount,GAP_Split Coefficient
2024-10-01,21.86,21.888,20.79,21.08,21.08,5229204,0.0,1.0
2024-09-30,21.33,22.14,21.11,22.05,22.05,7052203,0.0,1.0
2024-09-27,21.21,21.53,20.69,21.42,21.42,4974613,0.0,1.0
2024-09-26,21.05,21.15,20.57,21.05,21.05,4834292,0.0,1.0
2024-09-25,20.51,20.73,20.18,20.41,20.41,4244534,0.0,1.0
2024-09-24,20.46,20.9,20.25,20.73,20.73,5092637,0.0,1.0
2024-09-23,20.25,20.45,19.79,20.28,20.28,5898244,0.0,1.0
2024-09-20,20.48,20.69,20.07,20.32,20.32,9171618,0.0,1.0
2024-09-19,20.66,20.88,20.17,20.46,20.46,6284027,0.0,1.0
2024-09-18,20.03,20.92,20.0,20.16,20.16,4889556,0.0,1.0
2024-09-17,21.2,21.24,19.96,20.02,20.02,5417047,0.0,1.0
2024-09-16,21.0,21.29,20.32,20.41,20.41,4756117,0.0,1.0
2024-09-13,20.85,21.43,20.84,21.21,21.21,5577063,0.0,1.0
2024-09-12,19.9,20.755,19.9,20.54,20.54,5454864,0.0,1.0
2024-09-11,19.63,19.97,19.37,19.88,19.88,6764739,0.0,1.0
2024-09-10,19.76,19.79,19.23,19.42,19.42,7195524,0.0,1.0
2024-09-09,20.02,20.35,19.69,19.73,19.73,7741684,0.0,1.0
2024-09-06,21.13,21.5,19.915,20.01,20.01,8820338,0.0,1.0
2024-09-05,22.2,22.45,21.26,21.31,21.31,4657464,0.0,1.0
2024-09-04,22.61,23.12,22.015,22.36,22.36,4088603,0.0,1.0
2024-09-03,22.19,23.06,22.03,22.83,22.83,7060867,0.0,1.0
2024-08-30,22.26,22.61,21.68,22.43,22.43,10872705,0.0,1.0
2024-08-29,24.5,24.5,21.73,22.8,22.8,16630096,0.0,1.0
2024-08-28,23.04,23.28,22.24,22.43,22.43,7220765,0.0,1.0
2024-08-27,23.1,23.72,23.04,23.28,23.28,5000019,0.0,1.0
2024-08-26,24.81,24.85,23.31,23.34,23.34,5709733,0.0,1.0
2024-08-23,24.76,25.4,24.36,24.62,24.62,6528584,0.0,1.0
2024-08-22,23.6,24.54,23.5,24.44,24.44,4067177,0.0,1.0
2024-08-21,24.5,24.65,23.77,24.55,24.55,7170549,0.0,1.0
2024-08-20,23.7,24.09,23.32,23.52,23.52,5525029,0.0,1.0
2024-08-19,24.25,24.4,23.51,23.68,23.68,5301123,0.0,1.0
2024-08-16,24.1,24.495,23.99,24.22,24.22,5149965,0.0,1.0
2024-08-15,23.78,24.5,23.5,24.22,24.22,7440359,0.0,1.0
2024-08-14,23.08,23.24,22.045,22.71,22.71,7117518,0.0,1.0
2024-08-13,22.36,23.12,22.2,23.11,23.11,6506099,0.0,1.0
2024-08-12,22.29,22.58,21.975,22.15,22.15,5466856,0.0,1.0
2024-08-09,21.8,22.66,21.52,22.65,22.65,5598379,0.0,1.0
2024-08-08,20.96,21.955,20.8301,21.81,21.81,6328133,0.0,1.0
2024-08-07,21.99,22.0,20.57,20.64,20.64,6105429,0.0,1.0
2024-08-06,21.04,21.92,20.65,21.41,21.41,5279677,0.0,1.0
2024-08-05,20.0,21.47,19.73,21.05,21.05,6902162,0.0,1.0
2024-08-02,22.48,22.48,21.31,21.7,21.7,7300295,0.0,1.0
2024-08-01,23.64,24.28,22.77,23.22,23.22,6207564,0.0,1.0
2024-07-31,23.41,24.11,22.9,23.48,23.48,10213791,0.0,1.0
2024-07-30,22.36,22.825,21.93,22.78,22.78,8193926,0.0,1.0
2024-07-29,21.51,22.49,21.39,22.24,22.24,7715175,0.0,1.0
2024-07-26,21.35,21.465,21.04,21.44,21.44,5715538,0.0,1.0
2024-07-25,21.32,21.695,21.0313,21.11,21.11,5736870,0.0,1.0
2024-07-24,21.75,21.75,21.2,21.33,21.33,7306765,0.0,1.0
2024-07-23,21.79,22.25,21.68,22.02,22.02,6285356,0.0,1.0
2024-07-22,22.95,23.09,21.67,21.9,21.9,8305318,0.0,1.0
2024-07-19,22.78,22.94,22.56,22.65,22.65,6310045,0.0,1.0
2024-07-18,23.75,23.9,22.62,22.83,22.83,9040906,0.0,1.0
2024-07-17,23.5,23.97,22.91,22.95,22.95,6884273,0.0,1.0
2024-07-16,23.27,24.18,23.14,24.06,24.06,6776721,0.0,1.0
2024-07-15,23.55,23.92,22.8,22.96,22.96,6540934,0.0,1.0
2024-07-12,24.45,24.72,23.93,23.97,23.97,4648242,0.0,1.0
2024-07-11,23.06,24.37,23.0217,24.32,24.32,6652527,0.0,1.0
2024-07-10,23.22,23.515,22.57,22.68,22.68,7477573,0.15,1.0
2024-07-09,23.48,23.84,23.255,23.27,23.1171090670171,6232366,0.0,1.0
2024-07-08,23.52,23.9,23.2,23.44,23.2859921156373,6393114,0.0,1.0
2024-07-05,23.65,24.37,23.22,23.27,23.1171090670171,6644570,0.0,1.0
2024-07-03,23.12,23.965,23.075,23.88,23.7231011826544,4057249,0.0,1.0
2024-07-02,22.9,23.28,22.855,23.0,22.8488830486202,5320340,0.0,1.0
2024-07-01,24.01,24.06,23.17,23.27,23.1171090670171,5234645,0.0,1.0
2024-06-28,23.74,24.12,23.63,23.89,23.7330354796321,5119175,0.0,1.0
2024-06-27,23.78,24.14,23.4802,24.03,23.8721156373193,3939127,0.0,1.0
2024-06-26,24.55,24.89,24.24,24.45,24.2893561103811,4642827,0.0,1.0
2024-06-25,25.67,25.77,24.56,24.62,24.4582391590013,5890228,0.0,1.0
2024-06-24,24.81,25.155,24.49,24.8,24.6370565045992,4767626,0.0,1.0
2024-06-21,25.22,25.35,24.31,24.7,24.5377135348226,8139627,0.0,1.0
2024-06-20,25.72,25.97,24.975,25.2,25.0344283837057,4590251,0.0,1.0
2024-06-18,25.88,26.045,25.58,25.83,25.6602890932983,4277314,0.0,1.0
2024-06-17,25.01,26.35,24.97,26.0,25.8291721419185,6878393,0.0,1.0
2024-06-14,25.6,25.73,24.44,24.99,24.8258081471748,7755009,0.0,1.0
2024-06-13,26.45,26.63,25.43,25.85,25.6801576872536,7902134,0.0,1.0
2024-06-12,27.09,27.24,26.28,26.45,26.2762155059133,9433433,0.0,1.0
2024-06-11,25.68,26.83,25.35,26.82,26.6437844940867,7193813,0.0,1.0
2024-06-10,25.25,26.195,25.09,26.08,25.9086465177398,6861803,0.0,1.0
2024-06-07,25.76,26.085,25.45,25.47,25.3026544021025,6111077,0.0,1.0
2024-06-06,26.76,26.96,25.755,25.76,25.5907490144547,7543255,0.0,1.0
2024-06-05,27.0,27.03,26.225,26.6,26.4252299605782,14809701,0.0,1.0
2024-06-04,28.85,28.91,26.78,26.86,26.6835216819974,13156764,0.0,1.0
2024-06-03,29.13,30.75,28.85,29.03,28.8392641261498,21810709,0.0,1.0
2024-05-31,27.09,29.08,24.9201,28.96,28.7697240473062,53671495,0.0,1.0
2024-05-30,21.71,22.715,21.68,22.52,22.3720367936925,24667588,0.0,1.0
2024-05-29,20.46,21.79,20.46,21.65,21.507752956636,12444368,0.0,1.0
2024-05-28,21.0,21.14,20.26,20.35,20.2162943495401,8827407,0.0,1.0
2024-05-24,21.07,21.44,20.96,20.98,20.8421550591327,6045799,0.0,1.0
2024-05-23,20.72,21.3,20.61,20.86,20.7229434954008,6513309,0.0,1.0
2024-05-22,21.35,21.49,20.47,20.55,20.4149802890933,6690155,0.0,1.0
2024-05-21,21.59,21.6252,21.18,21.49,21.3488042049934,7121463,0.0,1.0
2024-05-20,21.6,21.65,21.205,21.22,21.0805781865966,4512116,0.0,1.0
2024-05-17,21.86,21.95,21.56,21.6,21.4580814717477,3786549,0.0,1.0
2024-05-16,21.78,21.99,21.47,21.76,21.6170302233903,4738331,0.0,1.0
2024-05-15,21.71,22.15,21.59,21.94,21.7958475689882,5508713,0.0,1.0
2024-05-14,22.51,22.76,21.51,21.52,21.3786070959264,7704455,0.0,1.0
2024-05-13,22.97,23.08,22.03,22.26,22.1137450722733,6206877,0.0,1.0
2024-05-10,23.27,23.715,22.745,22.76,22.6104599211564,5802653,0.0,1.0
2024-05-09,22.25,23.1,22.25,23.09,22.9382917214192,4950547,0.0,1.0
2024-05-08,21.98,22.445,21.98,22.41,22.2627595269382,5157666,0.0,1.0
2024-05-07,23.04,23.1399,22.055,22.11,21.9647306176084,7446754,0.0,1.0
2024-05-06,21.76,22.305,21.61,22.21,22.064073587385,6301943,0.0,1.0
2024-05-03,20.94,21.66,20.91,21.59,21.44814717477,5546494,0.0,1.0
2024-05-02,20.21,20.85,19.95,20.79,20.6534034165572,7040743,0.0,1.0
2024-05-01,20.34,20.515,19.81,19.83,19.6997109067017,8462768,0.0,1.0
2024-04-30,21.09,21.41,20.44,20.52,20.3851773981603,7822790,0.0,1.0
2024-04-29,21.15,21.52,20.93,21.25,21.1103810775296,9583227,0.0,1.0
2024-04-26,20.19,21.36,20.06,21.35,21.2097240473062,8786185,0.0,1.0
2024-04-25,20.0,20.33,19.65,20.22,20.0871484888305,5921064,0.0,1.0
2024-04-24,20.97,21.13,20.03,20.11,19.9778712220762,7274070,0.0,1.0
2024-04-23,20.91,21.23,20.67,20.91,20.7726149802891,5767422,0.0,1.0
2024-04-22,21.09,21.23,20.47,20.75,20.6136662286465,5771272,0.0,1.0
2024-04-19,20.95,21.055,20.56,20.76,20.6236005256242,5390899,0.0,1.0
2024-04-18,21.28,21.695,20.905,21.03,20.891826544021,5648286,0.0,1.0
2024-04-17,21.22,21.44,20.68,21.2,21.0607095926413,6729228,0.0,1.0
2024-04-16,21.59,21.62,20.335,20.98,20.8421550591327,11709509,0.0,1.0
2024-04-15,22.84,22.88,21.76,21.88,21.7362417871222,7613067,0.0,1.0
2024-04-12,23.13,23.385,22.37,22.5,22.3521681997372,7021077,0.0,1.0
2024-04-11,22.83,23.73,22.67,23.39,23.236320630749,7511758,0.0,1.0
2024-04-10,22.83,23.32,22.65,23.13,22.9780289093298,8080530,0.0,1.0
2024-04-09,23.58,23.78,23.07,23.14,22.9879632063075,7377117,0.15,1.0
2024-04-08,24.31,24.47,23.47,23.48,23.1754991878102,6683758,0.0,1.0
2024-04-05,24.66,24.94,24.1525,24.25,23.935513428637,6859757,0.0,1.0
2024-04-04,26.11,26.2,24.66,24.69,24.3698072805381,7837060,0.0,1.0
2024-04-03,26.47,26.59,25.86,25.88,25.5443747436341,8810423,0.0,1.0
2024-04-02,26.71,26.755,26.0398,26.61,26.2649077251972,7431988,0.0,1.0
2024-04-01,27.45,27.86,27.23,27.25,26.8966078734169,6313963,0.0,1.0
2024-03-28,27.26,27.77,27.215,27.55,27.1927173178949,5557247,0.0,1.0
2024-03-27,27.81,27.81,27.12,27.29,26.9360891326806,7485187,0.0,1.0
2024-03-26,28.26,28.335,27.63,27.72,27.3605126697657,8087333,0.0,1.0
2024-03-25,28.15,28.37,27.575,27.91,27.5480486512684,9695577,0.0,1.0
2024-03-22,28.38,28.55,27.76,28.08,27.7158440031393,8845029,0.0,1.0
2024-03-21,27.16,28.59,26.98,28.48,28.1106565957766,12952352,0.0,1.0
