,GEN_Open,GEN_High,GEN_Low,GEN_Close,GEN_Adj Close,GEN_Volume,GEN_Dividend Amount,GEN_Split Coefficient
2024-10-07,27.46,27.59,27.2,27.29,27.29,2064643,0.0,1.0
2024-10-04,27.288,27.49,26.98,27.49,27.49,1803157,0.0,1.0
2024-10-03,26.95,26.98,26.7501,26.97,26.97,3125592,0.0,1.0
2024-10-02,27.04,27.245,26.9645,27.0,27.0,1752281,0.0,1.0
2024-10-01,27.5,27.5,26.975,27.19,27.19,2395137,0.0,1.0
2024-09-30,27.47,27.53,27.24,27.43,27.43,2734531,0.0,1.0
2024-09-27,27.19,27.5075,27.19,27.47,27.47,3619133,0.0,1.0
2024-09-26,26.88,27.21,26.71,27.17,27.17,2203313,0.0,1.0
2024-09-25,27.16,27.24,26.685,26.74,26.74,2268896,0.0,1.0
2024-09-24,26.85,27.2,26.78,27.2,27.2,2643833,0.0,1.0
2024-09-23,26.67,26.88,26.38,26.81,26.81,2491308,0.0,1.0
2024-09-20,26.62,26.65,26.125,26.48,26.48,13942387,0.0,1.0
2024-09-19,26.91,27.13,26.66,26.87,26.87,3554464,0.0,1.0
2024-09-18,26.27,26.845,26.27,26.58,26.58,2483328,0.0,1.0
2024-09-17,26.63,26.74,26.44,26.46,26.46,2665061,0.0,1.0
2024-09-16,26.52,26.84,26.51,26.62,26.62,2494055,0.0,1.0
2024-09-13,26.42,26.5,26.265,26.49,26.49,3140245,0.0,1.0
2024-09-12,26.0,26.26,25.785,26.25,26.25,3397923,0.0,1.0
2024-09-11,25.68,26.04,25.27,26.02,26.02,3674226,0.0,1.0
2024-09-10,25.83,25.97,25.57,25.9,25.9,2610782,0.0,1.0
2024-09-09,25.64,26.0,25.485,25.72,25.72,3520194,0.0,1.0
2024-09-06,25.89,26.165,25.325,25.38,25.38,2864921,0.0,1.0
2024-09-05,26.12,26.36,25.83,25.94,25.94,2377112,0.0,1.0
2024-09-04,26.03,26.32,25.94,26.15,26.15,2225031,0.0,1.0
2024-09-03,26.29,26.72,26.02,26.08,26.08,3666887,0.0,1.0
2024-08-30,26.53,26.64,26.28,26.46,26.46,5696208,0.0,1.0
2024-08-29,26.41,26.76,26.24,26.42,26.42,2299389,0.0,1.0
2024-08-28,26.33,26.43,26.045,26.22,26.22,2715890,0.0,1.0
2024-08-27,25.96,26.37,25.92,26.35,26.35,2288647,0.0,1.0
2024-08-26,25.81,26.4,25.72,26.14,26.14,3390386,0.0,1.0
2024-08-23,25.43,25.74,25.265,25.72,25.72,2052709,0.0,1.0
2024-08-22,25.73,25.8,25.21,25.29,25.29,2275348,0.0,1.0
2024-08-21,25.35,25.77,25.035,25.75,25.75,2561309,0.0,1.0
2024-08-20,25.46,25.555,25.185,25.31,25.31,2036936,0.0,1.0
2024-08-19,25.22,25.7,25.19,25.48,25.48,2901004,0.125,1.0
2024-08-16,24.87,25.29,24.77,25.27,25.146635422769,2707050,0.0,1.0
2024-08-15,25.22,25.2589,24.73,24.88,24.7585393477836,2448729,0.0,1.0
2024-08-14,24.84,25.02,24.725,24.94,24.8182464362429,2038554,0.0,1.0
2024-08-13,24.78,24.91,24.47,24.88,24.7585393477836,2690051,0.0,1.0
2024-08-12,24.94,25.1,24.45,24.62,24.4998086311267,1976836,0.0,1.0
2024-08-09,24.76,25.0895,24.605,24.9,24.7784417106034,2108918,0.0,1.0
2024-08-08,24.5,24.77,24.41,24.74,24.6192228080453,3842469,0.0,1.0
2024-08-07,24.72,25.03,24.2,24.26,24.141566100371,3174300,0.0,1.0
2024-08-06,24.7,24.87,24.4,24.42,24.3007850029291,3217670,0.0,1.0
2024-08-05,24.26,25.045,24.12,24.63,24.5097598125366,3810630,0.0,1.0
2024-08-02,24.92,25.44,23.89,25.16,25.0371724272603,5833432,0.0,1.0
2024-08-01,25.93,26.07,25.19,25.24,25.1167818785393,3966143,0.0,1.0
2024-07-31,26.03,26.37,25.92,25.99,25.8631204842804,3903840,0.0,1.0
2024-07-30,26.15,26.29,25.75,25.77,25.644194493263,2862469,0.0,1.0
2024-07-29,26.168,26.33,25.97,26.06,25.9327787541496,2105434,0.0,1.0
2024-07-26,25.54,26.27,25.37,26.09,25.9626322983792,4689681,0.0,1.0
2024-07-25,25.24,25.67,25.1,25.21,25.0869283343097,3079778,0.0,1.0
2024-07-24,25.34,25.53,25.14,25.2,25.0769771528998,3745064,0.0,1.0
2024-07-23,25.47,25.53,25.26,25.29,25.1665377855888,2062133,0.0,1.0
2024-07-22,25.66,25.74,25.31,25.53,25.4053661394259,2798562,0.0,1.0
2024-07-19,25.64,25.71,25.32,25.48,25.3556102323765,2805692,0.0,1.0
2024-07-18,25.715,25.92,25.41,25.58,25.4551220464753,2454876,0.0,1.0
2024-07-17,25.34,25.81,25.27,25.78,25.6541456746729,2759955,0.0,1.0
2024-07-16,25.54,25.83,25.39,25.58,25.4551220464753,3495882,0.0,1.0
2024-07-15,25.6,25.785,25.3125,25.36,25.2361960554579,2768073,0.0,1.0
2024-07-12,25.0,25.55,24.85,25.51,25.3854637766061,2529675,0.0,1.0
2024-07-11,24.65,25.29,24.65,25.0,24.8779535247022,2706520,0.0,1.0
2024-07-10,24.08,24.62,24.055,24.6,24.479906268307,2807758,0.0,1.0
2024-07-09,24.46,24.58,24.065,24.13,24.0122007420426,3332710,0.0,1.0
2024-07-08,24.66,24.74,24.42,24.55,24.4301503612576,2819203,0.0,1.0
2024-07-05,24.495,24.77,24.43,24.64,24.5197109939465,5610764,0.0,1.0
2024-07-03,24.97,25.04,24.68,24.68,24.559515719586,2704991,0.0,1.0
2024-07-02,24.92,25.06,24.55,24.96,24.8381487990627,3241112,0.0,1.0
2024-07-01,24.98,25.17,24.8,24.89,24.7684905291935,3351693,0.0,1.0
2024-06-28,24.72,25.0,24.67,24.98,24.8580511618824,6394211,0.0,1.0
2024-06-27,24.33,24.71,24.25,24.62,24.4998086311267,4134964,0.0,1.0
2024-06-26,24.1,24.32,23.99,24.19,24.0719078305019,3195202,0.0,1.0
2024-06-25,24.2,24.37,24.1,24.17,24.0520054676821,4198850,0.0,1.0
2024-06-24,23.93,24.25,23.69,24.08,23.9624448349932,4985482,0.0,1.0
2024-06-21,23.78,24.34,23.64,24.22,24.1017613747315,29237071,0.0,1.0
2024-06-20,23.52,23.825,23.34,23.76,23.644007029877,4210811,0.0,1.0
2024-06-18,23.77,24.0,23.27,23.56,23.4449834016794,5432555,0.0,1.0
2024-06-17,24.38,24.38,23.64,23.69,23.5743487600078,5499611,0.0,1.0
2024-06-14,24.41,24.67,24.305,24.39,24.2709314586995,3759276,0.0,1.0
2024-06-13,24.73,25.085,24.35,24.49,24.3704432727983,3547105,0.0,1.0
2024-06-12,24.78,25.11,24.65,24.89,24.7684905291935,5102667,0.0,1.0
2024-06-11,24.43,24.535,24.13,24.36,24.2410779144698,3914161,0.0,1.0
2024-06-10,24.46,24.9,24.13,24.48,24.3604920913884,6431802,0.0,1.0
2024-06-07,24.24,24.82,23.86,24.72,24.5993204452255,8481448,0.0,1.0
2024-06-06,25.4,25.615,25.31,25.44,25.315805506737,3644427,0.0,1.0
2024-06-05,24.88,25.48,24.88,25.46,25.3357078695567,4761695,0.0,1.0
2024-06-04,24.63,25.065,24.62,24.82,24.6988322593243,4324585,0.0,1.0
2024-06-03,24.94,25.06,24.48,24.81,24.6888810779145,6012763,0.0,1.0
2024-05-31,24.69,24.91,24.425,24.83,24.7087834407342,19913062,0.0,1.0
