,GEO_Open,GEO_High,GEO_Low,GEO_Close,GEO_Adj Close,GEO_Volume,GEO_Dividend Amount,GEO_Split Coefficient
2024-10-07,13.39,13.81,13.23,13.72,13.72,1622775,0.0,1.0
2024-10-04,13.5,13.52,13.2,13.41,13.41,1445174,0.0,1.0
2024-10-03,12.95,13.43,12.86,13.32,13.32,1890811,0.0,1.0
2024-10-02,12.81,13.08,12.8,13.04,13.04,1254297,0.0,1.0
2024-10-01,12.75,13.0,12.54,12.83,12.83,1310821,0.0,1.0
2024-09-30,12.64,13.36,12.62,12.85,12.85,2773873,0.0,1.0
2024-09-27,12.85,12.94,12.58,12.71,12.71,1516760,0.0,1.0
2024-09-26,12.6,12.845,12.55,12.71,12.71,1573251,0.0,1.0
2024-09-25,12.7,12.81,12.41,12.43,12.43,1050932,0.0,1.0
2024-09-24,12.66,12.85,12.65,12.68,12.68,1241085,0.0,1.0
2024-09-23,12.48,12.69,12.385,12.62,12.62,1752155,0.0,1.0
2024-09-20,12.38,12.67,12.29,12.37,12.37,3395046,0.0,1.0
2024-09-19,13.01,13.01,12.41,12.49,12.49,2253528,0.0,1.0
2024-09-18,12.9,13.0,12.5,12.51,12.51,1552727,0.0,1.0
2024-09-17,13.26,13.2799,12.8,12.84,12.84,1689447,0.0,1.0
2024-09-16,13.01,13.285,12.98,13.12,13.12,1308394,0.0,1.0
2024-09-13,12.65,12.97,12.415,12.96,12.96,1562726,0.0,1.0
2024-09-12,12.61,12.83,12.53,12.61,12.61,1340203,0.0,1.0
2024-09-11,12.51,12.73,11.75,12.55,12.55,5043743,0.0,1.0
2024-09-10,13.52,13.59,13.205,13.47,13.47,2201002,0.0,1.0
2024-09-09,13.4,13.72,13.09,13.45,13.45,3382703,0.0,1.0
2024-09-06,13.17,13.33,12.975,13.13,13.13,1514075,0.0,1.0
2024-09-05,13.09,13.44,12.97,13.23,13.23,1418342,0.0,1.0
2024-09-04,13.17,13.235,12.87,13.07,13.07,1540707,0.0,1.0
2024-09-03,13.68,13.7351,13.08,13.21,13.21,1683466,0.0,1.0
2024-08-30,13.67,13.87,13.6,13.87,13.87,1599292,0.0,1.0
2024-08-29,13.62,13.6899,13.34,13.55,13.55,1291859,0.0,1.0
2024-08-28,13.3,13.6,13.26,13.56,13.56,1141384,0.0,1.0
2024-08-27,13.53,13.595,13.28,13.3,13.3,1443531,0.0,1.0
2024-08-26,14.16,14.23,13.615,13.65,13.65,1768264,0.0,1.0
2024-08-23,13.74,14.25,13.66,14.22,14.22,1465740,0.0,1.0
2024-08-22,13.73,13.942,13.59,13.7,13.7,1222313,0.0,1.0
2024-08-21,13.45,13.97,13.43,13.73,13.73,2229447,0.0,1.0
2024-08-20,13.17,13.58,13.14,13.42,13.42,1760995,0.0,1.0
2024-08-19,13.07,13.27,12.922,13.22,13.22,1234491,0.0,1.0
2024-08-16,13.07,13.28,12.93,13.02,13.02,1080352,0.0,1.0
2024-08-15,13.27,13.3175,12.685,13.11,13.11,2262744,0.0,1.0
2024-08-14,13.01,13.3489,12.77,13.08,13.08,2992735,0.0,1.0
2024-08-13,12.71,12.76,12.2,12.31,12.31,1780350,0.0,1.0
2024-08-12,12.26,12.79,12.18,12.69,12.69,2925492,0.0,1.0
2024-08-09,12.45,12.555,12.045,12.22,12.22,2510679,0.0,1.0
2024-08-08,12.34,12.53,12.11,12.46,12.46,2352415,0.0,1.0
2024-08-07,13.0,13.07,11.83,12.12,12.12,5740387,0.0,1.0
2024-08-06,12.53,13.12,12.5,12.83,12.83,2535929,0.0,1.0
2024-08-05,12.31,12.835,12.01,12.53,12.53,4618250,0.0,1.0
2024-08-02,13.41,13.65,13.14,13.24,13.24,2387482,0.0,1.0
2024-08-01,14.45,14.47,13.74,13.77,13.77,3042887,0.0,1.0
2024-07-31,14.71,14.79,14.31,14.5,14.5,2405493,0.0,1.0
2024-07-30,15.21,15.3,14.3,14.47,14.47,2918816,0.0,1.0
2024-07-29,15.8,15.84,15.02,15.06,15.06,2395915,0.0,1.0
2024-07-26,15.61,15.86,15.555,15.68,15.68,1454917,0.0,1.0
2024-07-25,15.65,15.8,15.3,15.37,15.37,1935943,0.0,1.0
2024-07-24,16.2,16.42,15.535,15.61,15.61,2098335,0.0,1.0
2024-07-23,16.14,16.48,16.01,16.45,16.45,1677051,0.0,1.0
2024-07-22,15.84,16.47,15.76,16.2,16.2,2520139,0.0,1.0
2024-07-19,16.68,16.81,16.3,16.34,16.34,2456113,0.0,1.0
2024-07-18,17.17,17.41,16.5,16.71,16.71,2419317,0.0,1.0
2024-07-17,17.49,18.05,17.15,17.22,17.22,4141886,0.0,1.0
2024-07-16,17.49,18.01,17.34,17.96,17.96,3098956,0.0,1.0
2024-07-15,17.55,17.8,17.11,17.43,17.43,6979516,0.0,1.0
2024-07-12,15.7,16.305,15.64,15.94,15.94,2459235,0.0,1.0
2024-07-11,15.42,15.66,14.92,15.57,15.57,2183894,0.0,1.0
2024-07-10,15.07,15.45,14.98,15.11,15.11,1771159,0.0,1.0
2024-07-09,15.06,15.095,14.86,14.97,14.97,1636808,0.0,1.0
2024-07-08,14.89,15.075,14.72,15.06,15.06,1544961,0.0,1.0
2024-07-05,14.8,15.005,14.575,14.83,14.83,1773875,0.0,1.0
2024-07-03,15.29,15.365,14.67,14.99,14.99,1832012,0.0,1.0
2024-07-02,15.04,15.45,14.87,15.29,15.29,2786670,0.0,1.0
2024-07-01,14.4,15.57,14.15,15.03,15.03,4522607,0.0,1.0
2024-06-28,14.27,14.5,13.955,14.36,14.36,5869624,0.0,1.0
2024-06-27,13.08,13.6,13.07,13.51,13.51,1863111,0.0,1.0
2024-06-26,13.33,14.03,13.181,13.26,13.26,3933892,0.0,1.0
2024-06-25,12.85,13.34,12.77,13.33,13.33,1736022,0.0,1.0
2024-06-24,12.66,12.94,12.55,12.84,12.84,1608650,0.0,1.0
2024-06-21,12.69,12.77,12.51,12.56,12.56,4099845,0.0,1.0
2024-06-20,12.8,12.935,12.64,12.67,12.67,1889196,0.0,1.0
2024-06-18,13.1,13.21,12.8,12.85,12.85,1288166,0.0,1.0
2024-06-17,13.01,13.1,12.735,13.1,13.1,1565295,0.0,1.0
2024-06-14,13.05,13.37,12.995,13.05,13.05,1567496,0.0,1.0
2024-06-13,12.75,13.19,12.73,13.11,13.11,1691869,0.0,1.0
2024-06-12,13.63,13.6999,12.7401,12.8,12.8,2938874,0.0,1.0
2024-06-11,13.4,13.48,12.77,13.44,13.44,3728657,0.0,1.0
2024-06-10,14.2,14.2,13.64,13.68,13.68,1823361,0.0,1.0
2024-06-07,13.92,13.92,13.72,13.79,13.79,1115134,0.0,1.0
2024-06-06,14.03,14.36,13.9,13.93,13.93,1562493,0.0,1.0
2024-06-05,14.98,15.055,14.21,14.23,14.23,3000539,0.0,1.0
2024-06-04,14.99,15.4,14.92,15.09,15.09,2856157,0.0,1.0
2024-06-03,14.63,15.36,14.63,14.97,14.97,3617243,0.0,1.0
2024-05-31,14.14,14.545,14.11,14.54,14.54,1767621,0.0,1.0
2024-05-30,13.78,14.285,13.78,14.14,14.14,2112265,0.0,1.0
2024-05-29,13.78,13.865,13.6,13.68,13.68,1222830,0.0,1.0
2024-05-28,14.02,14.08,13.715,13.9,13.9,1418984,0.0,1.0
2024-05-24,13.7,14.0,13.6503,13.92,13.92,1203227,0.0,1.0
2024-05-23,14.28,14.28,13.71,13.89,13.89,1526500,0.0,1.0
2024-05-22,13.83,14.23,13.83,14.2,14.2,2283680,0.0,1.0
2024-05-21,13.58,13.88,13.5,13.84,13.84,1677937,0.0,1.0
2024-05-20,13.48,13.67,13.42,13.58,13.58,1925209,0.0,1.0
2024-05-17,13.29,13.57,13.235,13.42,13.42,2290780,0.0,1.0
2024-05-16,12.72,13.56,12.7,13.23,13.23,3067040,0.0,1.0
2024-05-15,13.1,13.16,12.515,12.71,12.71,3911290,0.0,1.0
2024-05-14,13.14,13.24,12.955,13.12,13.12,3017192,0.0,1.0
2024-05-13,13.47,13.56,12.91,13.08,13.08,2983817,0.0,1.0
2024-05-10,13.63,13.635,13.4297,13.48,13.48,2343462,0.0,1.0
2024-05-09,13.67,13.83,13.41,13.63,13.63,2573822,0.0,1.0
2024-05-08,13.44,13.655,13.18,13.6,13.6,2493032,0.0,1.0
2024-05-07,13.66,13.97,12.915,13.63,13.63,5864363,0.0,1.0
2024-05-06,14.66,14.705,14.21,14.43,14.43,2930896,0.0,1.0
2024-05-03,15.07,15.14,14.605,14.65,14.65,1487520,0.0,1.0
2024-05-02,14.9,15.08,14.86,14.98,14.98,1568843,0.0,1.0
2024-05-01,14.83,15.065,14.73,14.74,14.74,1795349,0.0,1.0
2024-04-30,14.98,15.12,14.85,14.86,14.86,1593201,0.0,1.0
2024-04-29,14.94,15.14,14.9,15.03,15.03,1695740,0.0,1.0
2024-04-26,14.81,14.97,14.77,14.87,14.87,1279624,0.0,1.0
2024-04-25,14.72,14.84,14.57,14.79,14.79,2288202,0.0,1.0
2024-04-24,15.19,15.19,14.935,15.07,15.07,1409281,0.0,1.0
2024-04-23,14.8,15.25,14.8,14.99,14.99,2434251,0.0,1.0
2024-04-22,14.69,14.98,14.63,14.86,14.86,2834396,0.0,1.0
2024-04-19,14.7,15.07,14.44,14.57,14.57,2633668,0.0,1.0
2024-04-18,14.99,15.175,14.645,14.77,14.77,2601195,0.0,1.0
2024-04-17,15.3,15.42,14.98,14.99,14.99,3289542,0.0,1.0
2024-04-16,15.12,15.45,15.1,15.18,15.18,1970095,0.0,1.0
2024-04-15,15.37,15.48,15.115,15.2,15.2,2489831,0.0,1.0
2024-04-12,15.58,15.7799,15.331,15.37,15.37,1494900,0.0,1.0
2024-04-11,15.72,15.99,15.47,15.68,15.68,1704086,0.0,1.0
2024-04-10,15.59,16.01,15.34,15.59,15.59,2702787,0.0,1.0
2024-04-09,16.0,16.31,15.835,15.92,15.92,3325528,0.0,1.0
2024-04-08,15.25,15.95,15.07,15.93,15.93,3132480,0.0,1.0
2024-04-05,14.33,15.425,14.11,15.14,15.14,5293583,0.0,1.0
2024-04-04,14.12,14.42,13.92,14.05,14.05,1715985,0.0,1.0
2024-04-03,13.82,14.1609,13.78,14.06,14.06,1858055,0.0,1.0
2024-04-02,14.11,14.13,13.645,13.91,13.91,2701016,0.0,1.0
2024-04-01,14.17,14.475,13.9,14.26,14.26,2211149,0.0,1.0
2024-03-28,14.2,14.35,13.96,14.12,14.12,2475718,0.0,1.0
2024-03-27,14.6,14.62,14.12,14.21,14.21,2450910,0.0,1.0
2024-03-26,14.6,14.95,14.5,14.52,14.52,2345616,0.0,1.0
2024-03-25,14.65,14.8088,14.52,14.57,14.57,2547854,0.0,1.0
2024-03-22,14.76,14.812,14.5,14.62,14.62,2471223,0.0,1.0
2024-03-21,14.15,14.76,14.09,14.74,14.74,6022182,0.0,1.0
2024-03-20,13.07,14.09,13.02,14.06,14.06,4315727,0.0,1.0
2024-03-19,12.74,13.28,12.7,13.09,13.09,4047715,0.0,1.0
2024-03-18,13.0,13.04,12.66,12.87,12.87,2232316,0.0,1.0
2024-03-15,12.62,13.21,12.6,13.15,13.15,6999867,0.0,1.0
2024-03-14,12.61,12.68,12.335,12.48,12.48,3683904,0.0,1.0
2024-03-13,11.95,12.59,11.92,12.3,12.3,3925351,0.0,1.0
2024-03-12,12.0,12.05,11.77,11.86,11.86,1626479,0.0,1.0
2024-03-11,11.83,11.98,11.75,11.9,11.9,1160795,0.0,1.0
2024-03-08,12.0,12.015,11.75,11.93,11.93,1164566,0.0,1.0
2024-03-07,11.99,12.02,11.845,11.98,11.98,1136940,0.0,1.0
2024-03-06,11.86,12.015,11.77,11.94,11.94,1723147,0.0,1.0
2024-03-05,11.66,11.86,11.5,11.71,11.71,1432927,0.0,1.0
2024-03-04,12.01,12.12,11.71,11.75,11.75,1943790,0.0,1.0
2024-03-01,12.32,12.4,11.955,12.09,12.09,1907025,0.0,1.0
2024-02-29,12.27,12.32,12.05,12.27,12.27,1519429,0.0,1.0
2024-02-28,12.11,12.53,12.04,12.13,12.13,1923774,0.0,1.0
2024-02-27,12.13,12.25,12.035,12.19,12.19,1491203,0.0,1.0
2024-02-26,11.76,12.2,11.72,12.07,12.07,2196385,0.0,1.0
2024-02-23,11.85,11.89,11.71,11.76,11.76,1153479,0.0,1.0
2024-02-22,11.92,12.05,11.64,11.84,11.84,2383460,0.0,1.0
2024-02-21,11.92,12.06,11.73,11.92,11.92,2224906,0.0,1.0
2024-02-20,11.95,12.1,11.68,11.94,11.94,3167859,0.0,1.0
2024-02-16,11.74,12.48,11.66,12.23,12.23,6309011,0.0,1.0
2024-02-15,12.12,12.2249,11.1,11.79,11.79,5874876,0.0,1.0
2024-02-14,11.4,11.4799,11.01,11.11,11.11,4532311,0.0,1.0
2024-02-13,11.33,11.6416,11.26,11.28,11.28,2253567,0.0,1.0
2024-02-12,11.56,11.72,11.455,11.61,11.61,2780860,0.0,1.0
2024-02-09,12.03,12.24,11.4,11.56,11.56,5042844,0.0,1.0
2024-02-08,11.42,12.19,11.2598,12.02,12.02,4677208,0.0,1.0
2024-02-07,11.49,11.82,11.39,11.45,11.45,2721731,0.0,1.0
2024-02-06,11.4,11.4797,11.2,11.24,11.24,1949917,0.0,1.0
2024-02-05,11.47,11.79,11.13,11.45,11.45,3450112,0.0,1.0
2024-02-02,11.4,11.53,11.24,11.34,11.34,2131859,0.0,1.0
2024-02-01,11.17,11.49,11.04,11.45,11.45,2369173,0.0,1.0
2024-01-31,11.56,11.575,11.0305,11.12,11.12,2418077,0.0,1.0
2024-01-30,11.63,11.82,11.57,11.6,11.6,1492090,0.0,1.0
2024-01-29,11.43,11.69,11.37,11.68,11.68,2666794,0.0,1.0
2024-01-26,11.32,11.53,11.28,11.43,11.43,2336624,0.0,1.0
2024-01-25,11.82,11.93,11.18,11.28,11.28,3684311,0.0,1.0
2024-01-24,11.8,12.285,11.66,11.82,11.82,3837423,0.0,1.0
2024-01-23,11.68,11.72,11.51,11.65,11.65,2410424,0.0,1.0
2024-01-22,11.0,11.58,10.97,11.48,11.48,3241765,0.0,1.0
2024-01-19,10.78,10.935,10.71,10.93,10.93,2756524,0.0,1.0
2024-01-18,10.52,10.795,10.47,10.73,10.73,2072023,0.0,1.0
2024-01-17,10.64,10.755,10.46,10.46,10.46,1841017,0.0,1.0
2024-01-16,10.65,10.83,10.64,10.74,10.74,2294647,0.0,1.0
2024-01-12,11.07,11.1,10.69,10.72,10.72,1182648,0.0,1.0
2024-01-11,10.92,11.0,10.7,10.98,10.98,1567814,0.0,1.0
2024-01-10,10.76,11.17,10.76,10.97,10.97,2473426,0.0,1.0
2024-01-09,10.92,10.9202,10.62,10.79,10.79,2539326,0.0,1.0
2024-01-08,10.72,10.988,10.72,10.96,10.96,2424133,0.0,1.0
2024-01-05,10.7,10.895,10.67,10.67,10.67,1430098,0.0,1.0
2024-01-04,10.79,10.85,10.71,10.73,10.73,1656291,0.0,1.0
2024-01-03,10.6,11.01,10.53,10.76,10.76,1420261,0.0,1.0
2024-01-02,10.79,10.88,10.67,10.76,10.76,2657328,0.0,1.0
2023-12-29,11.13,11.17,10.56,10.83,10.83,6003159,0.0,1.0
2023-12-28,11.22,11.33,11.16,11.25,11.25,1491452,0.0,1.0
2023-12-27,11.24,11.305,11.0601,11.15,11.15,1338949,0.0,1.0
2023-12-26,11.24,11.345,11.1,11.15,11.15,1537646,0.0,1.0
2023-12-22,11.1,11.345,11.0,11.23,11.23,2499181,0.0,1.0
2023-12-21,10.68,11.2,10.61,11.1,11.1,5553117,0.0,1.0
2023-12-20,10.74,10.815,10.6,10.62,10.62,2711402,0.0,1.0
2023-12-19,10.56,10.8099,10.525,10.75,10.75,2773871,0.0,1.0
2023-12-18,10.55,10.7385,10.425,10.56,10.56,2961052,0.0,1.0
2023-12-15,10.47,10.72,10.41,10.56,10.56,4958836,0.0,1.0
2023-12-14,10.24,10.45,10.128,10.44,10.44,3784823,0.0,1.0
2023-12-13,10.2,10.275,9.955,10.16,10.16,2414223,0.0,1.0
2023-12-12,10.17,10.36,10.16,10.17,10.17,2057766,0.0,1.0
2023-12-11,10.26,10.36,10.135,10.27,10.27,2204907,0.0,1.0
2023-12-08,10.13,10.36,10.105,10.29,10.29,2119930,0.0,1.0
2023-12-07,9.88,10.22,9.88,10.08,10.08,2110894,0.0,1.0
2023-12-06,10.13,10.259,9.85,9.93,9.93,1815675,0.0,1.0
2023-12-05,9.96,10.195,9.81,10.1,10.1,1594834,0.0,1.0
2023-12-04,10.25,10.25,9.77,9.93,9.93,2260930,0.0,1.0
2023-12-01,10.13,10.39,9.98,10.25,10.25,1944321,0.0,1.0
2023-11-30,10.45,10.59,10.045,10.15,10.15,2574483,0.0,1.0
2023-11-29,10.44,10.645,10.2713,10.58,10.58,2675485,0.0,1.0
2023-11-28,10.28,10.53,10.155,10.4,10.4,3196482,0.0,1.0
2023-11-27,9.83,10.3,9.82,10.28,10.28,3227385,0.0,1.0
2023-11-24,9.75,9.92,9.7446,9.89,9.89,920893,0.0,1.0
2023-11-22,9.38,9.8,9.38,9.78,9.78,1717635,0.0,1.0
2023-11-21,9.54,9.62,9.34,9.34,9.34,1585210,0.0,1.0
2023-11-20,9.56,9.69,9.47,9.63,9.63,1678508,0.0,1.0
2023-11-17,9.58,9.67,9.4401,9.56,9.56,1534565,0.0,1.0
2023-11-16,9.52,9.62,9.44,9.52,9.52,1542075,0.0,1.0
2023-11-15,9.58,9.76,9.39,9.52,9.52,2159799,0.0,1.0
2023-11-14,9.48,9.63,9.355,9.59,9.59,4185170,0.0,1.0
2023-11-13,9.3,9.32,9.135,9.3,9.3,1258609,0.0,1.0
2023-11-10,9.23,9.4,9.09,9.34,9.34,1863005,0.0,1.0
2023-11-09,9.29,9.41,9.155,9.19,9.19,1853341,0.0,1.0
2023-11-08,9.49,9.58,9.18,9.27,9.27,2854319,0.0,1.0
