,GIII_Open,GIII_High,GIII_Low,GIII_Close,GIII_Adj Close,GIII_Volume,GIII_Dividend Amount,GIII_Split Coefficient
2024-10-07,30.06,30.2107,29.17,29.67,29.67,544470,0.0,1.0
2024-10-04,28.99,30.13,28.8612,30.11,30.11,492818,0.0,1.0
2024-10-03,28.91,29.14,28.37,28.49,28.49,452121,0.0,1.0
2024-10-02,30.19,30.38,29.02,29.18,29.18,515466,0.0,1.0
2024-10-01,30.34,30.62,30.06,30.45,30.45,517795,0.0,1.0
2024-09-30,29.79,30.5893,29.6071,30.52,30.52,595711,0.0,1.0
2024-09-27,30.17,30.68,29.86,30.05,30.05,445355,0.0,1.0
2024-09-26,30.43,31.18,30.07,30.27,30.27,650450,0.0,1.0
2024-09-25,31.41,31.54,29.82,30.05,30.05,615252,0.0,1.0
2024-09-24,31.99,32.325,31.471,31.57,31.57,402518,0.0,1.0
2024-09-23,31.75,31.8646,31.29,31.82,31.82,494223,0.0,1.0
2024-09-20,31.64,32.01,31.34,31.71,31.71,1804986,0.0,1.0
2024-09-19,32.7,32.74,31.705,31.85,31.85,466759,0.0,1.0
2024-09-18,31.97,32.76,31.6,31.8,31.8,517874,0.0,1.0
2024-09-17,32.27,32.595,31.66,32.06,32.06,439515,0.0,1.0
2024-09-16,31.47,32.06,31.37,31.74,31.74,504760,0.0,1.0
2024-09-13,30.41,31.19,30.33,31.19,31.19,554322,0.0,1.0
2024-09-12,30.57,30.95,29.865,30.07,30.07,570758,0.0,1.0
2024-09-11,30.55,30.625,29.61,30.57,30.57,669483,0.0,1.0
2024-09-10,30.81,30.9495,29.82,30.53,30.53,962521,0.0,1.0
2024-09-09,32.05,32.41,30.82,30.85,30.85,1053080,0.0,1.0
2024-09-06,30.55,32.455,30.001,32.18,32.18,1179265,0.0,1.0
2024-09-05,27.1,32.095,26.31,30.55,30.55,2325868,0.0,1.0
2024-09-04,25.13,25.34,24.83,25.04,25.04,638911,0.0,1.0
2024-09-03,26.19,26.37,24.971,25.24,25.24,598520,0.0,1.0
2024-08-30,26.59,26.59,26.0,26.47,26.47,343690,0.0,1.0
2024-08-29,26.03,26.62,25.85,26.31,26.31,359315,0.0,1.0
2024-08-28,26.2,26.3,25.72,25.79,25.79,598798,0.0,1.0
2024-08-27,26.35,26.44,26.075,26.29,26.29,248441,0.0,1.0
2024-08-26,26.87,26.97,26.35,26.4,26.4,359828,0.0,1.0
2024-08-23,26.05,26.65,25.935,26.54,26.54,350964,0.0,1.0
2024-08-22,26.06,26.19,25.66,25.72,25.72,360678,0.0,1.0
2024-08-21,26.2,26.82,26.16,26.2,26.2,474988,0.0,1.0
2024-08-20,25.98,26.07,25.66,25.79,25.79,290240,0.0,1.0
2024-08-19,25.82,25.99,25.59,25.89,25.89,307370,0.0,1.0
2024-08-16,25.41,25.76,25.27,25.58,25.58,227426,0.0,1.0
2024-08-15,25.36,25.76,25.03,25.39,25.39,334588,0.0,1.0
2024-08-14,24.98,25.09,24.5801,24.64,24.64,370345,0.0,1.0
2024-08-13,24.93,25.42,24.69,24.85,24.85,346134,0.0,1.0
2024-08-12,24.86,25.04,24.45,24.6,24.6,304331,0.0,1.0
2024-08-09,24.87,25.18,24.34,24.88,24.88,221103,0.0,1.0
2024-08-08,24.75,25.15,24.19,24.84,24.84,321869,0.0,1.0
2024-08-07,25.1,25.29,23.99,24.14,24.14,403106,0.0,1.0
2024-08-06,24.05,24.74,23.48,24.48,24.48,371395,0.0,1.0
2024-08-05,22.92,24.2,20.6556,24.05,24.05,528488,0.0,1.0
2024-08-02,25.37,25.85,24.65,24.75,24.75,404962,0.0,1.0
2024-08-01,27.57,27.63,26.41,26.66,26.66,314140,0.0,1.0
2024-07-31,27.29,28.44,27.04,27.57,27.57,356740,0.0,1.0
2024-07-30,27.13,27.49,26.615,27.04,27.04,349268,0.0,1.0
2024-07-29,26.7,27.18,26.58,27.0,27.0,458727,0.0,1.0
2024-07-26,26.41,26.91,26.2292,26.65,26.65,454345,0.0,1.0
2024-07-25,26.38,26.4,25.64,25.85,25.85,507198,0.0,1.0
2024-07-24,26.7,26.92,26.22,26.33,26.33,388497,0.0,1.0
2024-07-23,26.32,27.33,26.2537,26.87,26.87,637791,0.0,1.0
2024-07-22,25.82,26.82,25.45,26.53,26.53,642478,0.0,1.0
