,GPN_Open,GPN_High,GPN_Low,GPN_Close,GPN_Adj Close,GPN_Volume,GPN_Dividend Amount,GPN_Split Coefficient
2024-10-07,98.72,98.99,96.27,97.57,97.57,2217112,0.0,1.0
2024-10-04,99.34,99.49,97.53,98.65,98.65,1963689,0.0,1.0
2024-10-03,97.32,98.63,97.25,98.19,98.19,1502792,0.0,1.0
2024-10-02,100.02,100.02,96.57,97.66,97.66,3378048,0.0,1.0
2024-10-01,101.15,101.88,99.885,100.42,100.42,2609565,0.0,1.0
2024-09-30,100.22,102.57,100.22,102.42,102.42,2831925,0.0,1.0
2024-09-27,98.65,101.52,97.85,101.02,101.02,2796684,0.0,1.0
2024-09-26,97.8,98.35,96.415,97.67,97.67,4561128,0.0,1.0
2024-09-25,100.76,101.0,96.01,97.06,97.06,8009288,0.0,1.0
2024-09-24,111.21,117.96,102.5,103.81,103.81,9982772,0.0,1.0
2024-09-23,111.24,112.88,110.59,110.98,110.98,2112324,0.0,1.0
2024-09-20,112.3,112.3,109.86,110.69,110.69,2684939,0.0,1.0
2024-09-19,113.49,114.05,111.47,112.97,112.97,2046507,0.0,1.0
2024-09-18,111.97,113.2,111.17,111.26,111.26,1058218,0.0,1.0
2024-09-17,112.17,112.88,111.0,112.07,112.07,1255348,0.0,1.0
2024-09-16,110.84,111.53,109.74,111.05,111.05,984407,0.0,1.0
2024-09-13,109.54,111.23,109.54,110.44,110.44,1192168,0.25,1.0
2024-09-12,109.59,110.0,107.19,109.35,109.103026470323,1206633,0.0,1.0
2024-09-11,108.29,109.61,105.975,109.33,109.083071641521,1345631,0.0,1.0
2024-09-10,110.14,110.15,107.66,109.36,109.113003884723,1869609,0.0,1.0
2024-09-09,108.75,111.1,108.365,110.0,109.75155840636,1857111,0.0,1.0
2024-09-06,108.74,110.27,107.68,107.95,107.706188454242,2122864,0.0,1.0
2024-09-05,110.65,110.65,108.27,108.96,108.7139073087,1299019,0.0,1.0
2024-09-04,109.47,111.35,109.189,110.04,109.791468063962,1206451,0.0,1.0
2024-09-03,110.08,111.22,109.0,109.59,109.342484415936,1262757,0.0,1.0
2024-08-30,111.16,111.45,110.25,111.01,110.759277260819,2013645,0.0,1.0
2024-08-29,109.24,111.84,108.64,110.88,110.629570873611,1465465,0.0,1.0
