,HCN_Open,HCN_High,HCN_Low,HCN_Close,HCN_Adj Close,HCN_Volume,HCN_Dividend Amount,HCN_Split Coefficient
2018-02-27,54.35,54.71,52.22,52.22,52.22,3189636,0.0,1.0
2018-02-26,54.61,54.67,53.42,54.4,54.4,2582150,0.0,1.0
2018-02-23,53.91,54.41,53.06,54.41,54.41,2638932,0.0,1.0
2018-02-22,53.82,55.06,53.114,53.74,53.74,3324065,0.0,1.0
2018-02-21,54.9,55.05,53.85,53.99,53.99,3416275,0.0,1.0
2018-02-20,55.51,56.1,54.79,54.8,54.8,2626558,0.0,1.0
2018-02-16,55.3,56.44,55.2521,55.79,55.79,4025070,0.0,1.0
2018-02-15,54.37,55.58,54.2,55.17,55.17,2907145,0.0,1.0
2018-02-14,54.54,54.72,53.43,54.15,54.15,3242832,0.0,1.0
2018-02-13,54.36,55.32,53.63,55.08,55.08,3832935,0.0,1.0
2018-02-12,54.83,54.97,53.0,54.27,54.27,4112924,0.87,1.0
2018-02-09,54.63,56.0,53.66,55.48,54.6046354733406,4297357,0.0,1.0
2018-02-08,56.36,57.21,54.66,54.67,53.8074156692057,3863098,0.0,1.0
2018-02-07,57.11,58.1,56.43,56.55,55.657752992383,3238025,0.0,1.0
2018-02-06,55.91,57.2799,55.29,57.21,56.3073394994559,3853840,0.0,1.0
2018-02-05,58.37,58.86,56.41,56.53,55.6380685527748,3513489,0.0,1.0
2018-02-02,57.57,58.82,56.89,58.45,57.5277747551687,2821263,0.0,1.0
2018-02-01,60.0,60.29,57.94,58.04,57.1242437431991,2608406,0.0,1.0
2018-01-31,58.65,60.01,58.6,59.97,59.0237921653972,4248709,0.0,1.0
2018-01-30,59.44,59.89,58.53,58.53,57.6065125136017,2415852,0.0,1.0
2018-01-29,60.15,60.23,58.99,59.52,58.5808922742111,2044891,0.0,1.0
2018-01-26,60.97,60.99,60.09,60.59,59.6340097932535,2171322,0.0,1.0
2018-01-25,60.53,60.91,60.41,60.84,59.8800652883569,2133343,0.0,1.0
2018-01-24,60.27,60.94,60.145,60.54,59.5847986942329,2355891,0.0,1.0
2018-01-23,59.67,60.51,59.28,60.32,59.3682698585419,2740074,0.0,1.0
2018-01-22,59.26,59.71,59.01,59.33,58.3938900979325,2817882,0.0,1.0
2018-01-19,59.29,59.321,58.24,59.29,58.354521218716,3010988,0.0,1.0
2018-01-18,59.9,59.9,58.96,59.29,58.354521218716,3449603,0.0,1.0
2018-01-17,59.58,60.19,59.01,60.11,59.1615832426551,4694960,0.0,1.0
2018-01-16,59.3,60.72,59.2,59.26,58.3249945593036,3144839,0.0,1.0
2018-01-12,60.31,60.31,58.98,59.16,58.2265723612622,2682151,0.0,1.0
2018-01-11,61.04,61.43,60.14,60.17,59.2206365614799,2404917,0.0,1.0
2018-01-10,61.08,61.2,60.7,60.71,59.7521164309032,3046684,0.0,1.0
2018-01-09,62.5,62.62,61.3,61.37,60.4017029379761,2016259,0.0,1.0
2018-01-08,62.4,62.84,62.33,62.59,61.6024537540805,1617417,0.0,1.0
2018-01-05,62.84,62.98,62.21,62.37,61.3859249183895,1993651,0.0,1.0
2018-01-04,64.11,64.145,62.73,62.76,61.7697714907508,1982055,0.0,1.0
2018-01-03,64.3,64.68,63.95,64.14,63.1279978237214,1827003,0.0,1.0
2018-01-02,63.91,64.5,63.67,64.03,63.019733405876,1992357,0.0,1.0
2017-12-29,63.7,64.292,63.51,63.77,62.7638356909684,1367448,0.0,1.0
2017-12-28,63.28,63.74,63.06,63.72,62.7146245919478,1268521,0.0,1.0
2017-12-27,63.71,63.75,63.1167,63.27,62.2717247007617,1542207,0.0,1.0
2017-12-26,63.35,64.08,63.15,63.49,62.4882535364527,1799705,0.0,1.0
2017-12-22,63.54,63.87,63.28,63.4,62.3996735582154,1585070,0.0,1.0
2017-12-21,63.555,63.97,63.26,63.48,62.4784113166485,1852399,0.0,1.0
2017-12-20,64.48,65.12,63.65,63.66,62.655571273123,2169566,0.0,1.0
2017-12-19,67.02,67.24,64.11,64.48,63.462633297062,4079613,0.0,1.0
2017-12-18,67.27,67.7959,67.07,67.34,66.2775081610446,1603811,0.0,1.0
2017-12-15,66.63,67.25,66.39,66.94,65.8838193688792,3935064,0.0,1.0
2017-12-14,66.285,66.63,66.08,66.29,65.2440750816104,1894633,0.0,1.0
2017-12-13,66.34,66.87,66.26,66.41,65.3621817192601,2318409,0.0,1.0
2017-12-12,65.97,66.45,65.585,66.12,65.0767573449401,2457286,0.0,1.0
2017-12-11,66.28,66.3,65.69,65.92,64.8799129488575,2101122,0.0,1.0
2017-12-08,66.29,66.63,66.13,66.32,65.2736017410228,2003350,0.0,1.0
2017-12-07,66.29,67.0,65.99,66.19,65.1456528835691,2545938,0.0,1.0
2017-12-06,66.12,66.67,65.75,66.29,65.2440750816104,2226111,0.0,1.0
2017-12-05,66.99,67.25,65.97,66.12,65.0767573449401,2671671,0.0,1.0
2017-12-04,68.09,68.21,66.77,67.13,66.0708215451578,2461535,0.0,1.0
2017-12-01,67.71,68.22,67.11,67.96,66.887725788901,2051724,0.0,1.0
2017-11-30,67.81,67.88,66.95,67.46,66.3956147986942,2523857,0.0,1.0
2017-11-29,67.02,67.47,66.7,67.28,66.2184548422198,1593014,0.0,1.0
2017-11-28,67.5,67.615,66.64,67.12,66.0609793253536,1583687,0.0,1.0
2017-11-27,68.19,68.27,67.46,67.47,66.4054570184984,1204271,0.0,1.0
2017-11-24,68.41,68.6,68.14,68.26,67.182992383025,462210,0.0,1.0
2017-11-22,68.09,68.4464,67.97,68.17,67.0944124047878,1263900,0.0,1.0
2017-11-21,68.04,68.63,68.0,68.29,67.2125190424374,2169514,0.0,1.0
2017-11-20,68.08,68.15,67.4,67.93,66.8581991294886,1296972,0.0,1.0
2017-11-17,67.79,68.16,67.79,67.96,66.887725788901,1357857,0.0,1.0
2017-11-16,67.74,68.35,67.62,67.94,66.8680413492927,1780283,0.0,1.0
2017-11-15,68.11,68.42,67.72,67.74,66.67119695321,2317248,0.0,1.0
2017-11-14,68.12,68.74,67.9,68.09,67.0156746463547,1373039,0.0,1.0
2017-11-13,68.2,68.55,67.94,68.32,67.2420457018498,2525515,0.0,1.0
2017-11-10,68.0,68.53,68.0,68.12,67.0452013057671,1397187,0.0,1.0
2017-11-09,68.5,68.875,68.02,68.28,67.2026768226333,1448155,0.0,1.0
2017-11-08,68.55,69.19,68.2,68.75,67.6652611534276,2142685,0.0,1.0
2017-11-07,69.07,69.8,68.3,68.59,67.5077856365615,2726382,0.0,1.0
2017-11-06,67.69,68.02,67.39,68.0,66.9270946681175,2121536,0.87,1.0
2017-11-03,67.43,68.25,67.31,68.15,66.2274067319908,1376972,0.0,1.0
2017-11-02,67.26,68.091,67.18,67.72,65.8095375479152,1880693,0.0,1.0
2017-11-01,67.0,67.43,66.67,67.02,65.129285387792,1186143,0.0,1.0
2017-10-31,67.11,67.23,66.18,66.96,65.0709780597814,1371551,0.0,1.0
2017-10-30,67.15,67.43,66.8,67.21,65.3139252598254,1273967,0.0,1.0
2017-10-27,65.72,67.82,65.7,67.16,65.2653358198166,1924919,0.0,1.0
2017-10-26,66.66,66.86,65.63,65.76,63.9048314995703,1133299,0.0,1.0
2017-10-25,66.37,66.76,65.4,66.215,64.3469954036504,1335490,0.0,1.0
2017-10-24,67.52,67.64,66.56,66.85,64.9640812917621,1646161,0.0,1.0
2017-10-23,68.35,68.39,67.37,67.49,65.5860261238747,1337404,0.0,1.0
2017-10-20,68.21,68.21,67.75,68.17,66.2468425079943,1527742,0.0,1.0
2017-10-19,68.32,68.65,67.98,68.18,66.2565603959961,1220176,0.0,1.0
2017-10-18,68.19,68.51,67.83,68.31,66.382892940019,1268902,0.0,1.0
2017-10-17,67.75,68.29,67.63,68.19,66.2662782839979,1268847,0.0,1.0
2017-10-16,68.25,68.43,67.76,68.07,66.1496636279767,1274905,0.0,1.0
2017-10-13,68.35,68.56,67.84,68.2,66.2759961719996,1918197,0.0,1.0
2017-10-12,67.84,68.01,67.09,68.01,66.0913562999662,1373169,0.0,1.0
2017-10-11,67.97,68.3,67.7358,67.94,66.0233310839539,1973181,0.0,1.0
2017-10-10,68.43,68.72,67.61,68.01,66.0913562999662,2687189,0.0,1.0
2017-10-09,68.4,68.82,68.18,68.25,66.3245856120084,1260542,0.0,1.0
2017-10-06,68.3,68.39,67.46,68.35,66.421764492026,2894910,0.0,1.0
2017-10-05,68.89,69.18,68.41,68.52,66.5869685880559,2049132,0.0,1.0
2017-10-04,68.98,68.98,68.0,68.63,66.6938653560753,3274257,0.0,1.0
2017-10-03,69.6,70.2,69.21,69.44,67.4810142842178,1543317,0.0,1.0
2017-10-02,70.87,70.87,69.49,69.55,67.5879110522371,1769405,0.0,1.0
2017-09-29,70.36,70.96,69.96,70.28,68.2973168763656,2035786,0.0,1.0
2017-09-28,69.81,70.6,69.77,70.58,68.5888535164184,1148780,0.0,1.0
2017-09-27,71.25,71.66,69.77,69.91,67.9377550203005,2373889,0.0,1.0
2017-09-26,71.24,71.9,70.68,71.81,69.7841537406348,2809964,0.0,1.0
2017-09-25,71.09,71.51,70.93,71.31,69.2982593405468,1429334,0.0,1.0
2017-09-22,72.33,72.39,70.8,70.96,68.9581332604852,1849014,0.0,1.0
2017-09-21,73.19,73.4,72.17,72.2,70.1631513727034,1490496,0.0,1.0
2017-09-20,73.71,73.87,72.9,73.2,71.1349401728794,2113006,0.0,1.0
2017-09-19,74.4,74.63,73.27,73.43,71.3584515969198,1676384,0.0,1.0
2017-09-18,74.52,74.71,73.95,74.31,72.2136257410747,1430490,0.0,1.0
2017-09-15,74.26,74.62,73.61,74.57,72.4662908291204,2706522,0.0,1.0
2017-09-14,74.01,74.45,73.5,74.45,72.3496761730993,1651281,0.0,1.0
2017-09-13,74.26,74.48,73.82,74.1,72.0095500930377,1488675,0.0,1.0
