,HCSG_Open,HCSG_High,HCSG_Low,HCSG_Close,HCSG_Adj Close,HCSG_Volume,HCSG_Dividend Amount,HCSG_Split Coefficient
2024-10-07,9.99,9.99,9.765,9.88,9.88,387209,0.0,1.0
2024-10-04,9.83,10.11,9.83,10.05,10.05,408715,0.0,1.0
2024-10-03,10.14,10.165,9.7,9.71,9.71,469721,0.0,1.0
2024-10-02,10.36,10.51,10.11,10.22,10.22,643772,0.0,1.0
2024-10-01,11.19,11.19,10.39,10.42,10.42,523707,0.0,1.0
2024-09-30,11.01,11.2,10.96,11.17,11.17,351745,0.0,1.0
2024-09-27,11.18,11.22,10.955,11.04,11.04,327218,0.0,1.0
2024-09-26,11.23,11.32,11.04,11.05,11.05,309723,0.0,1.0
2024-09-25,11.13,11.15,10.99,11.07,11.07,350200,0.0,1.0
2024-09-24,11.0,11.27,10.97,11.14,11.14,322581,0.0,1.0
2024-09-23,11.4,11.4,10.945,10.95,10.95,298143,0.0,1.0
2024-09-20,11.7,11.77,11.29,11.35,11.35,1689374,0.0,1.0
2024-09-19,11.96,11.96,11.41,11.81,11.81,477698,0.0,1.0
2024-09-18,11.51,11.94,11.42,11.66,11.66,489707,0.0,1.0
2024-09-17,11.41,11.71,11.36,11.53,11.53,399647,0.0,1.0
2024-09-16,11.22,11.28,11.07,11.26,11.26,386312,0.0,1.0
2024-09-13,10.77,11.14,10.645,11.14,11.14,331688,0.0,1.0
2024-09-12,10.59,10.73,10.52,10.61,10.61,308657,0.0,1.0
2024-09-11,10.68,10.68,10.35,10.59,10.59,213066,0.0,1.0
2024-09-10,10.54,10.865,10.525,10.76,10.76,356320,0.0,1.0
2024-09-09,10.46,10.575,10.18,10.51,10.51,365509,0.0,1.0
2024-09-06,10.76,10.78,10.41,10.49,10.49,251203,0.0,1.0
2024-09-05,10.84,10.84,10.72,10.77,10.77,161947,0.0,1.0
2024-09-04,10.78,10.915,10.68,10.78,10.78,282451,0.0,1.0
2024-09-03,10.77,10.91,10.77,10.8,10.8,246916,0.0,1.0
2024-08-30,10.86,10.9,10.725,10.89,10.89,217404,0.0,1.0
2024-08-29,10.95,10.95,10.78,10.86,10.86,224032,0.0,1.0
2024-08-28,10.84,10.96,10.72,10.81,10.81,219022,0.0,1.0
2024-08-27,11.06,11.06,10.76,10.89,10.89,224731,0.0,1.0
2024-08-26,10.99,11.21,10.982,11.1,11.1,292771,0.0,1.0
2024-08-23,10.61,11.03,10.61,10.91,10.91,317665,0.0,1.0
2024-08-22,10.67,10.71,10.505,10.55,10.55,234413,0.0,1.0
2024-08-21,10.64,10.755,10.57,10.69,10.69,286392,0.0,1.0
2024-08-20,10.73,10.75,10.5548,10.59,10.59,275955,0.0,1.0
2024-08-19,10.69,10.7568,10.65,10.74,10.74,253447,0.0,1.0
2024-08-16,10.63,10.845,10.63,10.67,10.67,340972,0.0,1.0
2024-08-15,10.69,10.78,10.6,10.62,10.62,278530,0.0,1.0
2024-08-14,10.61,10.635,10.405,10.45,10.45,228872,0.0,1.0
2024-08-13,10.49,10.62,10.42,10.59,10.59,270473,0.0,1.0
2024-08-12,10.55,10.55,10.335,10.38,10.38,266669,0.0,1.0
2024-08-09,10.61,10.61,10.41,10.48,10.48,362341,0.0,1.0
2024-08-08,10.56,10.69,10.42,10.58,10.58,299355,0.0,1.0
2024-08-07,10.71,10.7399,10.45,10.49,10.49,331266,0.0,1.0
2024-08-06,10.41,10.63,10.3,10.55,10.55,396949,0.0,1.0
2024-08-05,10.23,10.45,10.12,10.42,10.42,516468,0.0,1.0
2024-08-02,10.82,10.94,10.72,10.81,10.81,480500,0.0,1.0
2024-08-01,11.42,11.58,10.985,11.13,11.13,492396,0.0,1.0
2024-07-31,11.6,11.66,11.32,11.43,11.43,637679,0.0,1.0
2024-07-30,11.64,11.64,11.15,11.51,11.51,763882,0.0,1.0
2024-07-29,11.34,11.695,11.31,11.56,11.56,457900,0.0,1.0
2024-07-26,10.95,11.37,10.94,11.35,11.35,584820,0.0,1.0
2024-07-25,11.2,11.2,10.76,10.79,10.79,783512,0.0,1.0
2024-07-24,11.03,11.55,10.12,11.075,11.075,2069147,0.0,1.0
2024-07-23,11.68,11.96,11.67,11.87,11.87,431407,0.0,1.0
2024-07-22,11.55,11.75,11.4,11.71,11.71,425232,0.0,1.0
2024-07-19,11.64,11.71,11.45,11.49,11.49,362063,0.0,1.0
2024-07-18,11.66,11.905,11.515,11.62,11.62,420507,0.0,1.0
2024-07-17,11.67,12.02,11.63,11.76,11.76,434599,0.0,1.0
2024-07-16,11.4,11.76,11.26,11.76,11.76,447451,0.0,1.0
2024-07-15,11.29,11.45,11.245,11.28,11.28,535661,0.0,1.0
2024-07-12,11.21,11.29,11.09,11.23,11.23,428441,0.0,1.0
