,HIBB_Open,HIBB_High,HIBB_Low,HIBB_Close,HIBB_Adj Close,HIBB_Volume,HIBB_Dividend Amount,HIBB_Split Coefficient
2024-07-25,87.49,87.49,87.49,87.49,87.49,0,0.0,1.0
2024-07-24,87.49,87.5,87.48,87.49,87.49,1059843,0.0,1.0
2024-07-23,87.49,87.53,87.46,87.48,87.48,698427,0.0,1.0
2024-07-22,87.45,87.48,87.43,87.47,87.47,1619287,0.0,1.0
2024-07-19,87.46,87.47,87.42,87.44,87.44,796192,0.0,1.0
2024-07-18,87.4,87.51,87.4,87.44,87.44,852023,0.0,1.0
2024-07-17,87.37,87.41,87.37,87.39,87.39,873406,0.0,1.0
2024-07-16,87.39,87.42,87.33,87.39,87.39,413907,0.0,1.0
2024-07-15,87.35,87.4,87.31,87.35,87.35,481259,0.0,1.0
2024-07-12,87.39,87.4,87.27,87.34,87.34,402141,0.0,1.0
2024-07-11,87.37,87.41,87.28,87.28,87.28,585018,0.0,1.0
2024-07-10,87.28,87.335,87.25,87.32,87.32,268185,0.0,1.0
2024-07-09,87.26,87.32,87.22,87.25,87.25,576175,0.0,1.0
2024-07-08,87.25,87.29,87.2,87.23,87.23,319039,0.0,1.0
2024-07-05,87.15,87.29,87.15,87.19,87.19,219170,0.0,1.0
2024-07-03,87.22,87.23,87.08,87.15,87.15,320326,0.0,1.0
2024-07-02,87.12,87.21,87.1,87.18,87.18,288870,0.0,1.0
2024-07-01,87.2,87.21,87.09,87.09,87.09,452959,0.0,1.0
2024-06-28,87.17,87.23,87.11,87.21,87.21,280068,0.0,1.0
2024-06-27,87.11,87.25,87.089,87.21,87.21,362515,0.0,1.0
2024-06-26,87.08,87.16,87.06,87.11,87.11,230452,0.0,1.0
2024-06-25,87.1,87.25,87.05,87.06,87.06,267683,0.0,1.0
2024-06-24,87.08,87.2,87.025,87.06,87.06,543135,0.0,1.0
2024-06-21,87.15,87.23,86.88,86.88,86.88,732724,0.0,1.0
2024-06-20,87.11,87.17,87.05,87.05,87.05,227974,0.0,1.0
2024-06-18,87.09,87.2,87.07,87.16,87.16,239024,0.0,1.0
2024-06-17,87.11,87.22,87.03,87.12,87.12,278387,0.0,1.0
2024-06-14,87.01,87.11,87.0,87.07,87.07,235976,0.0,1.0
2024-06-13,87.26,87.39,87.03,87.05,87.05,583415,0.0,1.0
2024-06-12,87.1,87.23,87.02,87.15,87.15,531209,0.0,1.0
2024-06-11,87.05,87.17,86.97,87.08,87.08,446973,0.0,1.0
2024-06-10,86.83,87.36,86.83,87.16,87.16,1631509,0.0,1.0
2024-06-07,86.1,86.33,86.03,86.05,86.05,630710,0.0,1.0
2024-06-06,86.18,86.27,86.03,86.03,86.03,512396,0.0,1.0
2024-06-05,86.26,86.56,85.6101,86.15,86.15,713521,0.0,1.0
2024-06-04,86.58,86.58,86.21,86.27,86.27,550796,0.0,1.0
2024-06-03,86.72,86.77,86.37,86.37,86.37,664492,0.0,1.0
2024-05-31,86.85,86.89,86.44,86.58,86.58,557923,0.0,1.0
2024-05-30,86.7,87.09,86.495,86.55,86.55,328495,0.0,1.0
2024-05-29,86.44,86.925,86.41,86.48,86.48,279741,0.0,1.0
2024-05-28,86.49,86.58,86.34,86.38,86.38,242226,0.0,1.0
2024-05-24,86.5,86.67,86.16,86.26,86.26,338020,0.0,1.0
2024-05-23,86.36,86.465,86.26,86.3,86.3,313281,0.0,1.0
2024-05-22,86.38,86.48,86.24,86.25,86.25,533956,0.0,1.0
2024-05-21,86.4,86.55,86.34,86.34,86.34,459500,0.0,1.0
