,HOMB_Open,HOMB_High,HOMB_Low,HOMB_Close,HOMB_Adj Close,HOMB_Volume,HOMB_Dividend Amount,HOMB_Split Coefficient
2024-10-07,26.4,26.44,26.16,26.27,26.27,602866,0.0,1.0
2024-10-04,26.51,26.72,26.31,26.51,26.51,666303,0.0,1.0
2024-10-03,25.84,26.27,25.78,26.04,26.04,536961,0.0,1.0
2024-10-02,26.08,26.57,25.995,26.07,26.07,567312,0.0,1.0
2024-10-01,26.96,26.96,26.16,26.24,26.24,1021415,0.0,1.0
2024-09-30,26.75,27.23,26.59,27.09,27.09,880528,0.0,1.0
2024-09-27,27.16,27.18,26.765,26.83,26.83,669482,0.0,1.0
2024-09-26,26.97,26.97,26.66,26.82,26.82,707540,0.0,1.0
2024-09-25,27.14,27.14,26.59,26.64,26.64,747643,0.0,1.0
2024-09-24,27.5,27.6,27.01,27.09,27.09,716234,0.0,1.0
2024-09-23,27.61,27.75,27.33,27.56,27.56,753123,0.0,1.0
2024-09-20,27.79,27.87,27.41,27.43,27.43,3201887,0.0,1.0
2024-09-19,27.99,28.16,27.57,28.06,28.06,856054,0.0,1.0
2024-09-18,27.35,28.16,26.99,27.38,27.38,1149397,0.0,1.0
2024-09-17,27.3,27.79,27.09,27.27,27.27,763670,0.0,1.0
2024-09-16,27.01,27.35,26.725,27.11,27.11,826004,0.0,1.0
2024-09-13,26.84,26.98,26.67,26.93,26.93,850668,0.0,1.0
2024-09-12,26.59,26.59,26.195,26.5,26.5,613023,0.0,1.0
2024-09-11,26.35,26.52,25.81,26.49,26.49,748711,0.0,1.0
2024-09-10,26.81,26.92,26.2,26.7,26.7,804080,0.0,1.0
2024-09-09,26.74,27.01,26.6,26.74,26.74,726103,0.0,1.0
2024-09-06,27.29,27.42,26.655,26.75,26.75,679170,0.0,1.0
2024-09-05,27.72,27.72,27.12,27.18,27.18,576687,0.0,1.0
2024-09-04,27.73,27.95,27.345,27.48,27.48,536881,0.0,1.0
2024-09-03,27.56,27.95,27.42,27.78,27.78,796264,0.0,1.0
2024-08-30,27.8,27.89,27.52,27.84,27.84,575978,0.0,1.0
2024-08-29,27.97,27.97,27.49,27.65,27.65,465304,0.0,1.0
2024-08-28,27.39,27.84,27.33,27.67,27.67,455509,0.0,1.0
2024-08-27,27.42,27.57,27.2,27.48,27.48,530643,0.0,1.0
2024-08-26,28.0,28.16,27.57,27.6,27.6,763879,0.0,1.0
2024-08-23,27.08,28.2,26.9,27.89,27.89,1155019,0.0,1.0
2024-08-22,26.74,26.98,26.68,26.82,26.82,552297,0.0,1.0
2024-08-21,26.67,26.725,26.34,26.69,26.69,427027,0.0,1.0
2024-08-20,26.73,26.73,26.41,26.51,26.51,537191,0.0,1.0
2024-08-19,26.48,26.82,26.44,26.8,26.8,649426,0.0,1.0
2024-08-16,26.11,26.72,26.11,26.45,26.45,1088656,0.0,1.0
2024-08-15,26.0,26.39,25.915,26.17,26.17,1018574,0.0,1.0
2024-08-14,25.88,25.88,25.49,25.63,25.63,806910,0.195,1.0
2024-08-13,26.02,26.02,25.53,25.94,25.7441316553727,762967,0.0,1.0
2024-08-12,26.21,26.46,25.67,25.74,25.5456418199419,599402,0.0,1.0
2024-08-09,26.02,26.08,25.83,26.02,25.823527589545,628354,0.0,1.0
2024-08-08,26.03,26.11,25.74,26.08,25.8830745401742,658881,0.0,1.0
2024-08-07,26.16,26.26,25.58,25.71,25.5158683446273,776532,0.0,1.0
2024-08-06,25.67,26.2,25.38,25.81,25.6151132623427,983171,0.0,1.0
2024-08-05,25.54,26.03,25.01,25.72,25.5257928363988,1946352,0.0,1.0
2024-08-02,26.49,26.96,26.28,26.63,26.4289215876089,1874075,0.0,1.0
2024-08-01,28.18,28.38,27.06,27.4,27.1931074540174,1695569,0.0,1.0
