,HRL_Open,HRL_High,HRL_Low,HRL_Close,HRL_Adj Close,HRL_Volume,HRL_Dividend Amount,HRL_Split Coefficient
2024-10-01,31.62,31.8,31.34,31.66,31.66,2161499,0.0,1.0
2024-09-30,31.97,31.97,31.59,31.7,31.7,1980902,0.0,1.0
2024-09-27,31.75,32.11,31.675,31.72,31.72,1653228,0.0,1.0
2024-09-26,31.0,31.605,31.0,31.57,31.57,3654682,0.0,1.0
2024-09-25,31.31,31.3452,30.93,31.11,31.11,3227598,0.0,1.0
2024-09-24,31.57,31.62,31.1101,31.17,31.17,1919068,0.0,1.0
2024-09-23,31.69,31.845,31.425,31.48,31.48,2028176,0.0,1.0
2024-09-20,32.12,32.2,31.63,31.77,31.77,6532309,0.0,1.0
2024-09-19,32.42,32.52,31.89,32.13,32.13,1817046,0.0,1.0
2024-09-18,32.39,32.825,32.28,32.4,32.4,1699437,0.0,1.0
2024-09-17,32.27,32.695,32.27,32.37,32.37,1759465,0.0,1.0
2024-09-16,32.35,32.61,32.26,32.53,32.53,1711602,0.0,1.0
2024-09-13,31.67,32.12,31.62,32.08,32.08,1703229,0.0,1.0
2024-09-12,31.21,31.65,31.0713,31.62,31.62,2398989,0.0,1.0
2024-09-11,32.05,32.22,31.225,31.34,31.34,1760208,0.0,1.0
2024-09-10,32.46,32.54,32.14,32.22,32.22,2123654,0.0,1.0
2024-09-09,32.57,32.65,32.24,32.4,32.4,2533569,0.0,1.0
2024-09-06,32.06,32.76,32.0,32.57,32.57,2687905,0.0,1.0
2024-09-05,31.36,32.25,31.075,32.11,32.11,4269610,0.0,1.0
2024-09-04,29.85,31.09,29.21,31.01,31.01,5811806,0.0,1.0
2024-09-03,32.55,33.16,32.275,33.14,33.14,3205832,0.0,1.0
2024-08-30,32.21,32.57,32.13,32.55,32.55,3679910,0.0,1.0
2024-08-29,32.59,32.71,32.08,32.19,32.19,1800372,0.0,1.0
2024-08-28,32.21,32.545,32.1,32.39,32.39,2172016,0.0,1.0
2024-08-27,32.38,32.395,32.03,32.21,32.21,1712467,0.0,1.0
2024-08-26,32.0,32.415,31.9,32.36,32.36,1832992,0.0,1.0
2024-08-23,32.21,32.43,31.805,31.88,31.88,2325931,0.0,1.0
2024-08-22,32.5,32.5,31.8,31.95,31.95,1652762,0.0,1.0
2024-08-21,32.5,32.68,32.275,32.44,32.44,1525449,0.0,1.0
2024-08-20,32.59,32.59,32.16,32.33,32.33,1624958,0.0,1.0
2024-08-19,32.35,32.71,32.255,32.68,32.68,1426500,0.0,1.0
2024-08-16,31.95,32.4,31.85,32.36,32.36,2223560,0.0,1.0
2024-08-15,32.34,32.49,31.93,32.02,32.02,2402471,0.0,1.0
2024-08-14,32.14,32.53,32.065,32.26,32.26,1829793,0.0,1.0
2024-08-13,32.4,32.46,31.5,31.8,31.8,2754374,0.0,1.0
2024-08-12,31.98,32.09,31.2,31.25,31.25,1531389,0.0,1.0
2024-08-09,31.93,32.1,31.59,32.03,32.03,1350064,0.0,1.0
2024-08-08,31.8,32.235,31.68,31.97,31.97,1461733,0.0,1.0
2024-08-07,31.8,32.275,31.62,31.97,31.97,1909135,0.0,1.0
2024-08-06,32.15,32.42,31.77,31.8,31.8,2804963,0.0,1.0
2024-08-05,32.78,33.14,31.9,32.1,32.1,2918283,0.0,1.0
2024-08-02,32.75,32.98,32.08,32.87,32.87,1633779,0.0,1.0
2024-08-01,32.2,32.56,32.05,32.46,32.46,1630811,0.0,1.0
2024-07-31,32.02,32.255,31.89,32.11,32.11,4401204,0.0,1.0
2024-07-30,31.74,32.11,31.58,32.02,32.02,2076500,0.0,1.0
2024-07-29,31.93,32.09,31.74,31.9,31.9,2012535,0.0,1.0
2024-07-26,31.85,32.1,31.77,32.01,32.01,1631995,0.0,1.0
2024-07-25,31.68,32.37,31.6,31.84,31.84,2360889,0.0,1.0
2024-07-24,31.09,31.575,31.09,31.51,31.51,1845112,0.0,1.0
2024-07-23,31.4,31.54,31.075,31.18,31.18,1619594,0.0,1.0
2024-07-22,31.78,31.84,31.105,31.34,31.34,1759583,0.0,1.0
