,HUBG_Open,HUBG_High,HUBG_Low,HUBG_Close,HUBG_Adj Close,HUBG_Volume,HUBG_Dividend Amount,HUBG_Split Coefficient
2024-10-07,42.01,42.71,41.765,42.47,42.47,426773,0.0,1.0
2024-10-04,43.42,43.45,42.34,42.4,42.4,356149,0.0,1.0
2024-10-03,43.76,43.76,42.81,42.84,42.84,374600,0.0,1.0
2024-10-02,44.21,44.55,43.79,43.86,43.86,627278,0.0,1.0
2024-10-01,45.4,45.7,44.03,44.33,44.33,525047,0.0,1.0
2024-09-30,45.23,46.088,45.13,45.45,45.45,430048,0.0,1.0
2024-09-27,45.41,46.03,44.9,45.18,45.18,437380,0.0,1.0
2024-09-26,45.8,46.23,44.75,44.89,44.89,494971,0.0,1.0
2024-09-25,46.0,46.1599,45.02,45.09,45.09,512878,0.0,1.0
2024-09-24,45.52,46.39,45.27,46.04,46.04,432587,0.0,1.0
2024-09-23,46.1,46.11,45.14,45.2,45.2,462536,0.0,1.0
2024-09-20,46.21,46.339,45.41,45.66,45.66,1486045,0.0,1.0
2024-09-19,46.22,46.83,45.59,46.68,46.68,507116,0.0,1.0
2024-09-18,45.07,46.13,44.865,45.18,45.18,472451,0.0,1.0
2024-09-17,45.33,45.775,44.8,45.22,45.22,418732,0.0,1.0
2024-09-16,45.03,45.33,44.36,44.81,44.81,331423,0.0,1.0
2024-09-13,44.89,45.47,44.7117,44.78,44.78,272224,0.0,1.0
2024-09-12,43.73,44.28,43.37,44.26,44.26,317657,0.0,1.0
2024-09-11,43.85,44.01,42.57,43.86,43.86,343521,0.0,1.0
2024-09-10,43.99,44.2,43.39,44.1,44.1,430418,0.0,1.0
2024-09-09,44.24,44.46,43.79,43.84,43.84,434499,0.0,1.0
2024-09-06,44.96,45.54,44.07,44.39,44.39,246790,0.125,1.0
2024-09-05,45.99,46.06,44.275,45.22,45.0930203302258,446502,0.0,1.0
2024-09-04,45.81,46.18,45.2,45.93,45.8010266202404,316442,0.0,1.0
2024-09-03,46.49,46.49,45.35,45.91,45.781082781085,645433,0.0,1.0
2024-08-30,46.04,47.25,45.72,47.13,46.9976569695608,1086054,0.0,1.0
2024-08-29,45.73,46.21,45.32,45.59,45.4619813545996,546147,0.0,1.0
2024-08-28,43.53,45.79,43.53,45.38,45.2525710434685,684332,0.0,1.0
2024-08-27,43.86,44.11,43.04,43.57,43.4476535999101,353461,0.0,1.0
2024-08-26,43.97,44.375,43.57,43.96,43.8365584634393,360101,0.0,1.0
2024-08-23,43.36,44.06,43.14,43.69,43.5673166348422,318813,0.0,1.0
2024-08-22,43.17,43.61,42.82,43.03,42.9091699427159,286251,0.0,1.0
2024-08-21,43.42,43.72,43.11,43.28,43.1584679321577,347047,0.0,1.0
2024-08-20,43.31,43.48,42.7,42.85,42.7296753903179,306165,0.0,1.0
2024-08-19,43.39,43.55,43.055,43.31,43.1883836908907,360149,0.0,1.0
2024-08-16,43.21,43.78,43.035,43.24,43.118580253847,217553,0.0,1.0
2024-08-15,43.1,44.15,43.09,43.39,43.2681590475121,369949,0.0,1.0
2024-08-14,42.77,42.89,42.07,42.12,42.0017252611479,261533,0.0,1.0
2024-08-13,42.43,42.75,42.01,42.64,42.5202650791868,276418,0.0,1.0
2024-08-12,42.74,42.74,41.88,42.04,41.9219499045266,343306,0.0,1.0
2024-08-09,43.5,43.78,42.49,42.74,42.6199842749635,519696,0.0,1.0
2024-08-08,43.07,43.52,42.76,43.41,43.2881028866674,529196,0.0,1.0
2024-08-07,43.69,43.995,42.32,42.4,42.2809390093227,533117,0.0,1.0
2024-08-06,42.41,43.86,42.27,42.89,42.7695630686285,665796,0.0,1.0
2024-08-05,40.41,42.81,39.0166,42.41,42.2909109289004,533501,0.0,1.0
2024-08-02,39.48,46.09,38.07,42.53,42.4105739638324,877011,0.0,1.0
2024-08-01,47.14,48.39,45.58,46.2,46.0702684488375,620579,0.0,1.0
2024-07-31,46.44,47.55,45.6,46.77,46.6386678647647,382883,0.0,1.0
2024-07-30,46.15,46.69,45.83,46.29,46.1600157250365,350646,0.0,1.0
2024-07-29,46.12,46.61,45.5,45.85,45.721251263619,265294,0.0,1.0
2024-07-26,46.39,46.6,45.21,45.89,45.7611389419297,232416,0.0,1.0
2024-07-25,44.77,46.35,44.76,45.81,45.6813635853083,499770,0.0,1.0
2024-07-24,44.85,45.48,44.36,44.39,44.2653510052791,375601,0.0,1.0
