,HWC_Open,HWC_High,HWC_Low,HWC_Close,HWC_Adj Close,HWC_Volume,HWC_Dividend Amount,HWC_Split Coefficient
2024-10-07,50.39,50.86,50.11,50.74,50.74,432246,0.0,1.0
2024-10-04,50.81,51.11,50.2,50.73,50.73,393019,0.0,1.0
2024-10-03,48.57,49.765,48.36,49.61,49.61,365352,0.0,1.0
2024-10-02,49.2,49.76,48.93,49.12,49.12,291088,0.0,1.0
2024-10-01,50.96,51.19,48.825,49.2,49.2,370893,0.0,1.0
2024-09-30,50.41,51.38,49.95,51.17,51.17,382015,0.0,1.0
2024-09-27,51.72,51.86,50.29,50.43,50.43,623252,0.0,1.0
2024-09-26,50.71,51.43,50.1,51.3,51.3,563106,0.0,1.0
2024-09-25,50.55,50.91,49.785,49.9,49.9,427307,0.0,1.0
2024-09-24,51.35,51.71,50.25,50.68,50.68,650652,0.0,1.0
2024-09-23,51.63,52.12,50.76,51.35,51.35,318922,0.0,1.0
2024-09-20,52.22,52.75,51.25,51.43,51.43,1559185,0.0,1.0
2024-09-19,52.1,52.55,51.06,52.26,52.26,420019,0.0,1.0
2024-09-18,50.5,52.68,49.945,50.79,50.79,523005,0.0,1.0
2024-09-17,50.61,51.53,50.17,50.51,50.51,510913,0.0,1.0
2024-09-16,49.91,50.55,49.25,50.06,50.06,609357,0.0,1.0
2024-09-13,49.42,49.885,48.65,49.8,49.8,518528,0.0,1.0
2024-09-12,48.82,48.82,47.85,48.61,48.61,516541,0.0,1.0
2024-09-11,48.74,49.13,47.22,48.49,48.49,477740,0.0,1.0
2024-09-10,50.21,50.57,48.446,49.31,49.31,383515,0.0,1.0
2024-09-09,50.16,50.43,49.56,49.97,49.97,500902,0.0,1.0
2024-09-06,51.34,51.69,49.715,49.98,49.98,398390,0.0,1.0
2024-09-05,52.71,52.89,51.16,51.23,51.23,453172,0.4,1.0
2024-09-04,53.05,53.72,52.315,52.5,52.0932597327135,408045,0.0,1.0
2024-09-03,53.17,53.94,52.98,53.2,52.7878365291497,446833,0.0,1.0
2024-08-30,53.38,53.83,52.74,53.73,53.3137303893085,352414,0.0,1.0
