,IDA_Open,IDA_High,IDA_Low,IDA_Close,IDA_Adj Close,IDA_Volume,IDA_Dividend Amount,IDA_Split Coefficient
2024-10-07,101.52,101.56,100.7339,101.02,101.02,232778,0.0,1.0
2024-10-04,101.08,101.62,100.29,101.57,101.57,189115,0.0,1.0
2024-10-03,102.68,102.68,101.51,101.75,101.75,151568,0.0,1.0
2024-10-02,102.82,103.14,102.335,102.5,102.5,147653,0.0,1.0
2024-10-01,103.06,103.9,102.66,103.39,103.39,236539,0.0,1.0
2024-09-30,103.34,103.34,102.48,103.09,103.09,178593,0.0,1.0
2024-09-27,102.93,103.7325,102.63,103.22,103.22,178516,0.0,1.0
2024-09-26,102.5,103.0,101.86,102.39,102.39,228432,0.0,1.0
2024-09-25,103.17,103.17,102.095,102.65,102.65,237325,0.0,1.0
2024-09-24,102.79,103.92,102.55,102.67,102.67,270660,0.0,1.0
2024-09-23,102.96,103.82,102.58,103.21,103.21,312913,0.0,1.0
2024-09-20,102.72,102.86,101.67,102.22,102.22,964499,0.0,1.0
2024-09-19,102.57,102.749,101.69,102.44,102.44,406764,0.0,1.0
2024-09-18,103.49,104.69,103.26,103.43,103.43,472068,0.0,1.0
2024-09-17,104.62,105.065,103.166,103.49,103.49,315932,0.0,1.0
2024-09-16,104.1,104.97,103.94,104.49,104.49,325423,0.0,1.0
2024-09-13,103.35,103.86,102.78,103.51,103.51,363931,0.0,1.0
2024-09-12,103.14,103.44,102.57,103.0,103.0,220768,0.0,1.0
2024-09-11,103.63,103.63,102.37,103.28,103.28,192146,0.0,1.0
2024-09-10,103.57,104.7,103.57,104.12,104.12,176349,0.0,1.0
2024-09-09,103.1,104.18,102.96,103.63,103.63,196312,0.0,1.0
2024-09-06,104.72,105.2399,103.22,103.3,103.3,241589,0.0,1.0
2024-09-05,105.1,105.18,104.295,104.48,104.48,198900,0.0,1.0
2024-09-04,103.26,104.69,103.18,104.62,104.62,297297,0.0,1.0
2024-09-03,102.07,103.44,101.905,102.82,102.82,238501,0.0,1.0
2024-08-30,101.72,102.22,100.76,101.91,101.91,277009,0.0,1.0
2024-08-29,101.93,101.93,101.05,101.61,101.61,257063,0.0,1.0
2024-08-28,100.61,102.01,100.61,101.73,101.73,295984,0.0,1.0
2024-08-27,101.53,101.53,100.13,100.37,100.37,341904,0.0,1.0
2024-08-26,102.0,102.41,101.1,101.64,101.64,402937,0.0,1.0
2024-08-23,102.74,102.9,101.68,102.0,102.0,344551,0.0,1.0
2024-08-22,102.77,102.77,101.74,102.22,102.22,147742,0.0,1.0
2024-08-21,102.65,103.352,102.2,102.93,102.93,178268,0.0,1.0
2024-08-20,102.79,103.02,102.225,102.58,102.58,171115,0.0,1.0
2024-08-19,102.28,103.12,101.89,102.86,102.86,137721,0.0,1.0
2024-08-16,102.55,102.69,101.76,102.03,102.03,244988,0.0,1.0
2024-08-15,101.68,102.32,101.355,102.12,102.12,320043,0.0,1.0
2024-08-14,101.68,102.84,101.56,102.31,102.31,224649,0.0,1.0
2024-08-13,101.42,102.13,100.72,101.95,101.95,395979,0.0,1.0
2024-08-12,101.56,101.86,100.47,101.13,101.13,177009,0.0,1.0
2024-08-09,101.73,101.85,100.06,101.65,101.65,341550,0.0,1.0
2024-08-08,100.6,101.83,100.33,101.39,101.39,515246,0.0,1.0
2024-08-07,101.22,102.13,100.35,100.89,100.89,341455,0.0,1.0
2024-08-06,101.04,102.165,100.71,101.22,101.22,386942,0.0,1.0
2024-08-05,103.49,103.51,99.75,100.69,100.69,439402,0.83,1.0
2024-08-02,102.24,104.43,101.29,104.13,103.278661347518,614222,0.0,1.0
2024-08-01,99.97,102.99,98.19,102.31,101.473541174153,584759,0.0,1.0
2024-07-31,98.7,99.46,97.73,97.75,96.95082249803,356163,0.0,1.0
2024-07-30,97.5,98.915,97.2,98.58,97.774036643026,261021,0.0,1.0
2024-07-29,97.75,97.88,97.22,97.63,96.8318035855004,218278,0.0,1.0
2024-07-26,97.91,97.96,96.87,97.5,96.70286643026,251935,0.0,1.0
2024-07-25,96.99,98.28,96.9,97.25,96.4549103624902,631198,0.0,1.0
2024-07-24,95.56,97.09,95.2834,96.44,95.6515327029157,292732,0.0,1.0
2024-07-23,94.91,95.3,94.51,94.86,94.0844503546099,398235,0.0,1.0
2024-07-22,94.52,95.695,94.36,95.4,94.6200354609929,437496,0.0,1.0
2024-07-19,95.15,95.15,93.57,94.34,93.5687017336485,404588,0.0,1.0
2024-07-18,94.9,95.84,94.5712,94.7,93.9257584712372,199751,0.0,1.0
2024-07-17,94.86,96.7925,94.86,95.27,94.4910983057526,407050,0.0,1.0
2024-07-16,94.22,94.9,93.37,94.76,93.985267927502,421230,0.0,1.0
2024-07-15,94.01,94.14,93.16,93.47,92.7058146178093,239239,0.0,1.0
2024-07-12,95.08,95.765,94.81,94.83,94.0546956264775,282925,0.0,1.0
2024-07-11,93.84,95.555,93.84,94.95,94.1737145390071,147341,0.0,1.0
2024-07-10,92.57,93.15,92.12,93.15,92.3884308510638,139129,0.0,1.0
2024-07-09,91.79,92.85,91.79,92.32,91.5652167060678,136652,0.0,1.0
2024-07-08,92.26,92.62,91.77,92.02,91.2676694247439,204822,0.0,1.0
2024-07-05,92.39,92.61,91.78,92.23,91.4759525216706,393513,0.0,1.0
2024-07-03,92.27,93.32,92.19,92.31,91.555298463357,104835,0.0,1.0
2024-07-02,92.54,92.94,91.66,92.25,91.4957890070922,156841,0.0,1.0
2024-07-01,93.63,93.8,91.9918,92.22,91.4660342789598,173963,0.0,1.0
2024-06-28,93.02,93.31,92.3394,93.15,92.3884308510638,410377,0.0,1.0
2024-06-27,92.28,92.73,91.8,92.68,91.9222734436564,228765,0.0,1.0
2024-06-26,90.9,92.11,90.67,92.08,91.3271788810087,272605,0.0,1.0
2024-06-25,92.45,92.45,91.205,91.41,90.6626566193853,305721,0.0,1.0
2024-06-24,92.69,93.16,92.19,92.45,91.6941538613081,298035,0.0,1.0
2024-06-21,91.81,92.58,91.51,92.44,91.6842356185973,717608,0.0,1.0
2024-06-20,91.19,91.84,90.84,91.42,90.6725748620961,182264,0.0,1.0
2024-06-18,91.0,91.81,90.815,91.08,90.3353546099291,231219,0.0,1.0
