,INTC_Open,INTC_High,INTC_Low,INTC_Close,INTC_Adj Close,INTC_Volume,INTC_Dividend Amount,INTC_Split Coefficient
2024-10-07,22.4,22.65,22.0209,22.38,22.38,54928674,0.0,1.0
2024-10-04,22.7,22.91,22.3,22.59,22.59,49966930,0.0,1.0
2024-10-03,22.14,22.73,21.65,22.26,22.26,49565931,0.0,1.0
2024-10-02,22.67,23.0668,22.35,22.39,22.39,59033896,0.0,1.0
2024-10-01,23.46,23.72,22.255,22.69,22.69,86344357,0.0,1.0
2024-09-30,23.74,23.95,23.09,23.46,23.46,66460225,0.0,1.0
2024-09-27,24.16,24.66,23.7034,23.91,23.91,85883278,0.0,1.0
2024-09-26,24.28,24.42,23.25,23.92,23.92,95416939,0.0,1.0
2024-09-25,22.8,24.055,22.73,23.54,23.54,117013357,0.0,1.0
2024-09-24,22.53,23.105,22.285,22.81,22.81,113082534,0.0,1.0
2024-09-23,22.43,22.82,22.03,22.56,22.56,184439134,0.0,1.0
2024-09-20,20.89,23.14,20.35,21.84,21.84,260377912,0.0,1.0
2024-09-19,21.28,21.69,21.03,21.14,21.14,99829168,0.0,1.0
2024-09-18,21.36,21.74,20.715,20.77,20.77,118727940,0.0,1.0
2024-09-17,21.71,22.58,21.24,21.47,21.47,196249783,0.0,1.0
2024-09-16,20.03,21.0699,19.76,20.91,20.91,149337028,0.0,1.0
2024-09-13,19.49,19.8,19.49,19.66,19.66,44236271,0.0,1.0
2024-09-12,19.43,19.54,19.04,19.36,19.36,51602918,0.0,1.0
2024-09-11,19.01,19.69,18.52,19.64,19.64,71403141,0.0,1.0
2024-09-10,19.03,19.11,18.51,18.98,18.98,55621273,0.0,1.0
2024-09-09,19.0,19.54,18.95,19.07,19.07,64244126,0.0,1.0
2024-09-06,19.44,19.49,18.64,18.89,18.89,92686460,0.0,1.0
2024-09-05,19.28,19.9,19.24,19.4,19.4,65388789,0.0,1.0
2024-09-04,19.76,20.045,19.28,19.43,19.43,85370503,0.0,1.0
2024-09-03,21.54,21.69,19.99,20.1,20.1,115305533,0.0,1.0
2024-08-30,21.25,22.12,21.0,22.04,22.04,177785378,0.0,1.0
2024-08-29,19.76,20.6,19.75,20.13,20.13,64529661,0.0,1.0
2024-08-28,19.98,20.105,19.51,19.61,19.61,50144885,0.0,1.0
2024-08-27,20.13,20.26,19.84,20.07,20.07,43862017,0.0,1.0
2024-08-26,20.53,20.56,19.95,20.13,20.13,58534794,0.0,1.0
2024-08-23,20.32,20.93,20.26,20.54,20.54,73398430,0.0,1.0
2024-08-22,21.39,21.4,20.04,20.1,20.1,81444673,0.0,1.0
2024-08-21,21.072,21.44,21.07,21.41,21.41,57028870,0.0,1.0
2024-08-20,21.21,21.23,20.82,20.99,20.99,84161270,0.0,1.0
2024-08-19,20.885,21.86,20.835,21.52,21.52,65956303,0.0,1.0
2024-08-16,20.53,20.895,20.4101,20.87,20.87,48582663,0.0,1.0
2024-08-15,20.32,21.06,20.23,20.69,20.69,84814880,0.0,1.0
2024-08-14,20.485,20.5,19.785,19.92,19.92,56758181,0.0,1.0
2024-08-13,19.48,20.48,19.47,20.47,20.47,77511346,0.0,1.0
2024-08-12,19.87,19.97,19.0,19.36,19.36,54677578,0.0,1.0
2024-08-09,20.08,20.15,19.5,19.71,19.71,76394546,0.0,1.0
2024-08-08,19.1,20.55,18.84,20.49,20.49,96836821,0.0,1.0
2024-08-07,19.92,20.25,18.95,18.99,18.99,97972290,0.125,1.0
2024-08-06,20.32,20.63,19.75,19.83,19.7003243526027,106670372,0.0,1.0
2024-08-05,20.2,20.385,19.2934,20.11,19.9784933298457,147385697,0.0,1.0
2024-08-02,21.94,21.98,20.42,21.48,21.3395343970704,300895920,0.0,1.0
2024-08-01,30.43,30.71,28.89,29.05,28.8600313889616,107672516,0.0,1.0
2024-07-31,30.54,30.87,30.28,30.74,30.5389798587497,56110610,0.0,1.0
2024-07-30,30.845,30.91,30.005,30.13,29.9329688726131,48256628,0.0,1.0
