,IPG_Open,IPG_High,IPG_Low,IPG_Close,IPG_Adj Close,IPG_Volume,IPG_Dividend Amount,IPG_Split Coefficient
2024-11-01,29.56,29.81,29.43,29.48,29.48,2852413,0.0,1.0
2024-10-31,29.86,29.96,29.365,29.4,29.4,3577985,0.0,1.0
2024-10-30,29.89,30.195,29.88,29.95,29.95,2796533,0.0,1.0
2024-10-29,30.4,30.4,29.955,30.03,30.03,2540620,0.0,1.0
2024-10-28,29.88,30.3,29.88,30.24,30.24,3132174,0.0,1.0
2024-10-25,30.08,30.18,29.74,29.8,29.8,2758024,0.0,1.0
2024-10-24,30.24,30.3,29.86,29.89,29.89,3691815,0.0,1.0
2024-10-23,29.38,30.43,29.33,30.04,30.04,6389978,0.0,1.0
2024-10-22,31.44,31.56,29.28,29.78,29.78,9297084,0.0,1.0
2024-10-21,32.0,32.18,31.58,31.62,31.62,6207810,0.0,1.0
2024-10-18,32.17,32.21,31.79,32.03,32.03,3450926,0.0,1.0
2024-10-17,32.08,32.15,31.69,32.06,32.06,3501038,0.0,1.0
2024-10-16,31.6,31.95,31.23,31.93,31.93,4565242,0.0,1.0
2024-10-15,31.72,32.0,31.59,31.63,31.63,4011883,0.0,1.0
2024-10-14,31.39,31.53,31.24,31.5,31.5,2942468,0.0,1.0
2024-10-11,31.08,31.45,31.05,31.39,31.39,5823651,0.0,1.0
2024-10-10,30.98,31.08,30.79,31.06,31.06,2546136,0.0,1.0
2024-10-09,30.91,31.27,30.81,31.02,31.02,3875728,0.0,1.0
2024-10-08,30.64,30.935,30.51,30.87,30.87,4964963,0.0,1.0
2024-10-07,30.7,30.83,30.485,30.66,30.66,3425652,0.0,1.0
2024-10-04,31.19,31.38,30.695,30.79,30.79,2658510,0.0,1.0
2024-10-03,30.83,30.98,30.56,30.82,30.82,3125175,0.0,1.0
2024-10-02,31.06,31.5,31.0,31.07,31.07,3606820,0.0,1.0
2024-10-01,31.49,31.57,30.83,31.22,31.22,3268504,0.0,1.0
2024-09-30,31.18,31.76,31.12,31.63,31.63,4097200,0.0,1.0
2024-09-27,31.65,32.02,31.37,31.62,31.62,4019627,0.0,1.0
2024-09-26,30.97,31.53,30.92,31.49,31.49,2856196,0.0,1.0
2024-09-25,31.34,31.411,30.67,30.72,30.72,3145629,0.0,1.0
2024-09-24,31.27,31.43,31.13,31.22,31.22,4438682,0.0,1.0
2024-09-23,31.27,31.33,30.97,31.3,31.3,3302882,0.0,1.0
2024-09-20,31.49,31.49,30.975,31.11,31.11,8046640,0.0,1.0
2024-09-19,31.72,31.79,31.035,31.49,31.49,4306514,0.0,1.0
2024-09-18,31.225,31.57,31.05,31.08,31.08,4271398,0.0,1.0
2024-09-17,31.38,31.57,31.02,31.23,31.23,3428400,0.0,1.0
2024-09-16,31.11,31.46,31.06,31.17,31.17,3640069,0.0,1.0
2024-09-13,30.65,31.16,30.54,30.85,30.85,2886229,0.0,1.0
2024-09-12,29.65,30.61,29.28,30.54,30.54,5065243,0.0,1.0
2024-09-11,31.06,31.1,30.5,30.93,30.93,2654910,0.0,1.0
2024-09-10,31.06,31.23,30.82,31.15,31.15,3521226,0.0,1.0
2024-09-09,31.1,31.3289,30.95,31.06,31.06,5363211,0.0,1.0
2024-09-06,31.43,31.82,30.97,31.09,31.09,3114293,0.0,1.0
2024-09-05,31.7,31.73,31.24,31.46,31.46,3741444,0.0,1.0
2024-09-04,31.9,32.26,29.79,31.47,31.47,8218257,0.0,1.0
2024-09-03,32.07,32.145,31.76,31.95,31.95,2500299,0.33,1.0
2024-08-30,32.47,32.655,32.325,32.61,32.276626394052,3583878,0.0,1.0
2024-08-29,32.6,32.71,32.195,32.38,32.0489776951673,2064747,0.0,1.0
2024-08-28,32.44,32.585,32.22,32.36,32.0291821561338,1605141,0.0,1.0
2024-08-27,32.32,32.62,32.285,32.49,32.1578531598513,1784107,0.0,1.0
2024-08-26,32.36,32.73,32.23,32.38,32.0489776951673,2208677,0.0,1.0
2024-08-23,31.87,32.36,31.7,32.2,31.8708178438662,2067562,0.0,1.0
2024-08-22,31.65,31.78,31.45,31.66,31.3363382899628,1596168,0.0,1.0
2024-08-21,31.41,31.67,31.25,31.65,31.3264405204461,1704257,0.0,1.0
2024-08-20,31.25,31.38,31.14,31.25,30.930529739777,2259894,0.0,1.0
2024-08-19,31.22,31.47,31.17,31.36,31.039405204461,3493017,0.0,1.0
2024-08-16,31.07,31.377,31.01,31.22,30.9008364312268,2452666,0.0,1.0
2024-08-15,30.96,31.14,30.805,31.07,30.7523698884758,3050558,0.0,1.0
2024-08-14,30.84,30.92,30.435,30.53,30.2178903345725,2290553,0.0,1.0
2024-08-13,30.65,30.82,30.275,30.69,30.3762546468401,2131482,0.0,1.0
2024-08-12,30.43,30.84,30.315,30.51,30.198094795539,2201868,0.0,1.0
2024-08-09,30.44,30.645,30.05,30.41,30.0991171003717,2496791,0.0,1.0
2024-08-08,30.03,30.57,29.91,30.44,30.1288104089219,3111149,0.0,1.0
2024-08-07,30.25,30.43,29.78,29.87,29.5646375464684,5465190,0.0,1.0
2024-08-06,29.62,30.38,29.53,30.0,29.6933085501859,4143577,0.0,1.0
2024-08-05,30.01,30.16,29.14,29.53,29.2281133828996,5004226,0.0,1.0
2024-08-02,30.63,30.69,30.06,30.24,29.9308550185874,3553592,0.0,1.0
2024-08-01,32.16,32.305,30.71,30.96,30.6434944237918,5263795,0.0,1.0
2024-07-31,32.05,32.5,31.67,32.17,31.841124535316,14836964,0.0,1.0
2024-07-30,31.31,32.015,31.2,31.97,31.6431691449814,4904877,0.0,1.0
2024-07-29,31.06,31.37,30.77,31.19,30.8711431226766,2682275,0.0,1.0
2024-07-26,30.61,31.36,30.38,30.98,30.6632899628253,5374974,0.0,1.0
2024-07-25,29.77,30.925,29.6,30.26,29.9506505576208,4691864,0.0,1.0
2024-07-24,30.0,30.07,28.835,29.57,29.2677044609665,7078311,0.0,1.0
2024-07-23,29.55,30.085,29.4,29.93,29.6240241635688,6149625,0.0,1.0
2024-07-22,29.05,29.7,28.92,29.67,29.3666821561338,4500678,0.0,1.0
2024-07-19,30.17,30.17,29.51,29.65,29.3468866171004,3018116,0.0,1.0
2024-07-18,30.15,30.9,29.91,30.06,29.7526951672862,2848175,0.0,1.0
2024-07-17,29.2,30.48,29.2,30.2,29.8912639405204,4559962,0.0,1.0
2024-07-16,29.5,30.66,29.5,30.65,30.3366635687732,3501530,0.0,1.0
2024-07-15,29.44,29.775,29.4,29.5,29.1984200743494,3320829,0.0,1.0
2024-07-12,29.07,29.62,28.95,29.42,29.1192379182156,4463271,0.0,1.0
2024-07-11,28.73,29.285,28.64,28.89,28.594656133829,4055868,0.0,1.0
2024-07-10,28.69,28.825,28.415,28.49,28.1987453531598,3515123,0.0,1.0
2024-07-09,28.41,28.725,28.195,28.51,28.2185408921933,3270407,0.0,1.0
2024-07-08,28.5,28.51,28.215,28.38,28.0898698884758,4984568,0.0,1.0
2024-07-05,28.29,28.56,28.0,28.34,28.0502788104089,6450594,0.0,1.0
2024-07-03,28.75,29.06,28.53,28.77,28.4758828996282,2320701,0.0,1.0
2024-07-02,28.2,28.58,28.06,28.57,28.2779275092937,5025003,0.0,1.0
2024-07-01,29.07,29.16,28.03,28.08,27.792936802974,4420660,0.0,1.0
2024-06-28,29.18,29.27,28.8,29.09,28.7926115241636,7149730,0.0,1.0
2024-06-27,29.16,29.16,28.89,29.12,28.8223048327138,4372741,0.0,1.0
2024-06-26,28.99,29.24,28.78,29.13,28.8322026022305,4329994,0.0,1.0
2024-06-25,29.34,30.71,28.93,29.15,28.8519981412639,6907903,0.0,1.0
2024-06-24,29.66,29.8,29.32,29.51,29.2083178438662,5623445,0.0,1.0
2024-06-21,29.37,29.47,29.01,29.46,29.1588289962825,11669659,0.0,1.0
2024-06-20,29.51,29.78,29.15,29.31,29.0103624535316,6356056,0.0,1.0
2024-06-18,29.47,29.715,29.37,29.58,29.2776022304833,5017096,0.0,1.0
2024-06-17,29.44,29.82,29.44,29.58,29.2776022304833,4977468,0.0,1.0
2024-06-14,29.62,29.75,29.24,29.42,29.1192379182156,3001975,0.0,1.0
2024-06-13,30.09,30.2,29.605,29.9,29.5943308550186,2972599,0.0,1.0
2024-06-12,30.64,30.93,29.975,30.23,29.9209572490706,2632658,0.0,1.0
2024-06-11,30.22,30.465,30.06,30.28,29.9704460966543,2740159,0.0,1.0
2024-06-10,30.62,30.64,30.31,30.45,30.1387081784387,2660525,0.0,1.0
2024-06-07,30.59,30.9,30.51,30.72,30.4059479553903,1765139,0.0,1.0
2024-06-06,30.67,30.92,30.53,30.75,30.4356412639405,1939900,0.0,1.0
2024-06-05,31.04,31.065,30.66,30.77,30.455436802974,3141471,0.0,1.0
2024-06-04,30.45,31.065,30.4,31.01,30.6929832713755,2336185,0.33,1.0
2024-06-03,31.43,31.56,30.79,31.0,30.360002597723,3342047,0.0,1.0
2024-05-31,30.79,31.41,30.68,31.37,30.7223639190507,4660538,0.0,1.0
2024-05-30,30.66,30.9,30.475,30.79,30.1543380639965,2970718,0.0,1.0
2024-05-29,30.82,30.89,30.48,30.49,29.8605315872443,2651923,0.0,1.0
2024-05-28,31.69,31.925,31.12,31.19,30.5460800329994,2670794,0.0,1.0
2024-05-24,31.61,31.74,31.42,31.7,31.0455510434781,1901848,0.0,1.0
2024-05-23,31.91,31.99,31.37,31.4,30.7517445667259,2873341,0.0,1.0
2024-05-22,31.24,31.91,31.18,31.9,31.2414220279795,3063537,0.0,1.0
2024-05-21,31.84,32.01,31.44,31.48,30.8300929605265,2534242,0.0,1.0
2024-05-20,31.83,31.995,31.62,31.98,31.3197704217801,2523927,0.0,1.0
2024-05-17,31.76,31.9,31.6,31.78,31.1238994372786,2861058,0.0,1.0
2024-05-16,31.71,31.925,31.58,31.63,30.9769961989025,2781834,0.0,1.0
2024-05-15,31.93,32.0,31.58,31.77,31.1141058880536,3170128,0.0,1.0
2024-05-14,31.84,32.09,31.55,31.73,31.0749316911533,2503671,0.0,1.0
2024-05-13,31.25,31.575,31.22,31.4,30.7517445667259,2167705,0.0,1.0
2024-05-10,31.17,31.35,30.9875,31.15,30.5069058360991,2887302,0.0,1.0
2024-05-09,30.94,31.3795,30.885,31.2,30.5558735822245,2171171,0.0,1.0
